drug1,drug2,conn score
acyclovir,nicotine,89.58
acyclovir,ozagrel,-16.28
acyclovir,atracurium,85.27
acyclovir,erlotinib,40.44
acyclovir,fenoldopam,38.37
acyclovir,betahistine,-50.82
acyclovir,rosuvastatin,39.72
acyclovir,dexamethasone,90.955
acyclovir,nevirapine,67.6
acyclovir,sertaconazole,28.78
acyclovir,fosinopril,56.07
acyclovir,capsaicin,92.65
acyclovir,penciclovir,61.32
acyclovir,meclofenamic-acid,45.3
acyclovir,gestrinone,-24.3
acyclovir,felodipine,-1.66
acyclovir,urapidil,74.81
acyclovir,fluphenazine,54.07
acyclovir,pimozide,49.65
acyclovir,buflomedil,81.05
acyclovir,tibolone,99.47
acyclovir,pyrimethamine,29.52
acyclovir,amiloride,37.77
acyclovir,topiramate,62.52
acyclovir,finasteride,38.94
acyclovir,trifluoperazine,58.21
acyclovir,phenytoin,22.89
acyclovir,glimepiride,55.69
acyclovir,propafenone,77.31
acyclovir,enalapril,30.1
acyclovir,valsartan,43.53
acyclovir,everolimus,80.28
acyclovir,simvastatin,86.78
acyclovir,benzbromarone,81.64
acyclovir,losartan,78.91
acyclovir,sotalol,23.56
acyclovir,granisetron,98.19
acyclovir,melperone,38.01
acyclovir,tizanidine,76.94
acyclovir,amoxapine,32.01
acyclovir,loratadine,13.44
acyclovir,diflunisal,93.45
acyclovir,ibuprofen,36.755
acyclovir,papaverine,70.73
acyclovir,gefitinib,25.77
acyclovir,metoclopramide,82.24
acyclovir,piroxicam,59.9
acyclovir,phentolamine,35.56
acyclovir,gemfibrozil,48.13
acyclovir,varenicline,76.9
acyclovir,levofloxacin,97.85
acyclovir,rifaximin,-18.07
acyclovir,levonorgestrel,96.27
acyclovir,esmolol,42.54
acyclovir,doxycycline,66.37
acyclovir,chloroquine,47.75
acyclovir,paclitaxel,16.7
acyclovir,penfluridol,74.66
acyclovir,mepivacaine,91.87
acyclovir,cyproheptadine,97.78
acyclovir,quinine,37.8
acyclovir,ofloxacin,-22.27
acyclovir,dolasetron,92.25
acyclovir,ropinirole,43.08
acyclovir,niclosamide,66.62
acyclovir,cladribine,58.43
acyclovir,daunorubicin,87.91
acyclovir,tofacitinib,34.66
acyclovir,nicardipine,92.36
acyclovir,orphenadrine,18.34
acyclovir,lidoflazine,55.02
acyclovir,pyrazinamide,16.45
acyclovir,doxorubicin,68.7
acyclovir,chloramphenicol,86.92
acyclovir,estrone,55.86
acyclovir,mephentermine,66.0
acyclovir,chloroxine,81.45
acyclovir,milrinone,28.7
acyclovir,metergoline,46.52
acyclovir,telmisartan,37.31
acyclovir,midostaurin,59.94
acyclovir,etoposide,79.32
acyclovir,verapamil,-13.08
acyclovir,vinpocetine,-30.07
acyclovir,ondansetron,82.53
acyclovir,diltiazem,8.32
acyclovir,gliquidone,51.53
acyclovir,palbociclib,91.07
acyclovir,cefdinir,83.87
acyclovir,artesunate,58.48
acyclovir,propranolol,99.58
acyclovir,norethindrone,52.23
acyclovir,doxapram,80.25
acyclovir,lamotrigine,74.25
acyclovir,niacin,52.41
acyclovir,menadione,53.67
acyclovir,clofazimine,47.73
acyclovir,perhexiline,43.77
acyclovir,ethinyl-estradiol,73.82
acyclovir,sunitinib,32.125
acyclovir,dopamine,-64.69
acyclovir,carbamazepine,71.01
acyclovir,nortriptyline,79.88
acyclovir,olanzapine,38.81
acyclovir,bosutinib,39.92
acyclovir,podophyllotoxin,89.14
acyclovir,oxybutynin,5.19
acyclovir,fasudil,92.19
acyclovir,sumatriptan,-19.19
acyclovir,famotidine,95.12
acyclovir,pioglitazone,86.1
acyclovir,tadalafil,52.44
acyclovir,benzylpenicillin,96.48
acyclovir,quinapril,63.71
acyclovir,yohimbine,73.43
acyclovir,levetiracetam,55.78
acyclovir,epinephrine,71.06
acyclovir,mitoxantrone,74.08
acyclovir,pilocarpine,60.33
acyclovir,azithromycin,99.54
acyclovir,dasatinib,41.27
acyclovir,anagrelide,37.28
acyclovir,perindopril,-32.98
acyclovir,hydrocortisone,56.391999999999996
acyclovir,leflunomide,90.49
acyclovir,maraviroc,26.39
acyclovir,etacrynic-acid,89.78
acyclovir,naftifine,52.99
acyclovir,lacidipine,21.36
acyclovir,econazole,57.16
acyclovir,dicloxacillin,93.55
acyclovir,nicergoline,-34.71
acyclovir,etodolac,19.94
acyclovir,pinacidil,89.82
acyclovir,praziquantel,94.06
acyclovir,propylthiouracil,0.0
acyclovir,bromocriptine,15.14
acyclovir,butoconazole,18.66
acyclovir,trimipramine,39.18
acyclovir,acarbose,77.86
acyclovir,homochlorcyclizine,-30.8
acyclovir,bisoprolol,29.42
acyclovir,milnacipran,70.08
acyclovir,sirolimus,37.37
acyclovir,zidovudine,92.25
acyclovir,eplerenone,74.2
acyclovir,selegiline,47.93
acyclovir,doxazosin,62.2
acyclovir,candesartan,37.8
acyclovir,exemestane,45.22
acyclovir,picotamide,40.45
acyclovir,warfarin,41.69
acyclovir,toremifene,42.27
acyclovir,gemcitabine,83.06
acyclovir,sildenafil,31.61
acyclovir,nilotinib,45.64
acyclovir,zileuton,16.85
acyclovir,ritodrine,83.96
acyclovir,nimesulide,-70.97
acyclovir,cytarabine,42.08
acyclovir,pantoprazole,23.99
acyclovir,tivozanib,84.21
acyclovir,felbamate,75.36
acyclovir,triclabendazole,-50.26
acyclovir,irinotecan,33.32
acyclovir,lopinavir,70.31
acyclovir,sorafenib,42.72
acyclovir,vemurafenib,81.61
acyclovir,elvitegravir,87.08
acyclovir,pitavastatin,98.45
acyclovir,calcitriol,82.57
acyclovir,reboxetine,-37.33
acyclovir,bifonazole,35.49
acyclovir,vorinostat,60.6
acyclovir,clofarabine,50.02
acyclovir,belinostat,36.64
acyclovir,rimexolone,60.77
acyclovir,nicotinamide,99.47
acyclovir,vidarabine,33.84
acyclovir,isradipine,-26.68
acyclovir,ruxolitinib,41.53
acyclovir,dilazep,17.19
acyclovir,metixene,48.48
acyclovir,olaparib,35.26
acyclovir,mepacrine,77.75
acyclovir,temsirolimus,74.35
acyclovir,ipriflavone,38.76
acyclovir,atovaquone,-10.86
acyclovir,mebendazole,37.37
acyclovir,ranitidine,87.83
acyclovir,tranilast,22.68
acyclovir,acyclovir,99.99
acyclovir,dapsone,34.08
acyclovir,ritonavir,-24.86
acyclovir,carprofen,17.35
acyclovir,eugenol,70.23
acyclovir,mercaptopurine,-9.27
acyclovir,methimazole,2.43
acyclovir,maprotiline,30.97
acyclovir,ivermectin,18.34
acyclovir,tranylcypromine,11.3
acyclovir,crizotinib,51.91
acyclovir,pazopanib,31.52
acyclovir,fludroxycortide,64.14
acyclovir,actarit,-91.64
acyclovir,fulvestrant,61.91
acyclovir,lasalocid,46.59
acyclovir,lenalidomide,-70.91
acyclovir,reserpine,14.51
acyclovir,masitinib,67.22
acyclovir,quercetin,46.37
acyclovir,scopolamine,32.83
acyclovir,rivaroxaban,21.53
acyclovir,docetaxel,15.33
acyclovir,entecavir,-13.46
acyclovir,neratinib,85.9
acyclovir,valproic-acid,25.87
acyclovir,azacitidine,34.56
acyclovir,formoterol,12.51
acyclovir,amsacrine,73.7
acyclovir,naftopidil,3.52
acyclovir,raltegravir,5.74
acyclovir,aspirin,-34.3
acyclovir,raloxifene,43.18
acyclovir,ketoconazole,12.96
acyclovir,griseofulvin,-85.87
acyclovir,vinburnine,26.17
acyclovir,temozolomide,6.06
acyclovir,SN-38,84.48
acyclovir,digoxin,37.38
acyclovir,mepyramine,18.14
acyclovir,physostigmine,71.6
acyclovir,medrysone,65.55
acyclovir,cholic-acid,17.06
acyclovir,deferiprone,-26.15
acyclovir,tamoxifen,19.66
acyclovir,noscapine,36.16
acyclovir,homoharringtonine,58.44
acyclovir,ziprasidone,96.07
acyclovir,methazolamide,19.1
acyclovir,phensuximide,12.68
acyclovir,sitagliptin,3.03
aripiprazole,cabergoline,10.83
aripiprazole,trimebutine,95.84
aripiprazole,secnidazole,97.08
aripiprazole,ipratropium,-13.86
aripiprazole,mestinon,84.85
aripiprazole,clarithromycin,97.22
aripiprazole,rifabutin,98.91
aripiprazole,zafirlukast,73.47
aripiprazole,oxaprozin,82.21
aripiprazole,tolbutamide,5.36
aripiprazole,prochlorperazine,64.74
aripiprazole,celecoxib,88.0
aripiprazole,methylprednisolone,92.61
aripiprazole,bicalutamide,60.26
aripiprazole,moclobemide,68.17
aripiprazole,tacrine,25.91
aripiprazole,rutin,41.53
aripiprazole,lamivudine,94.07
aripiprazole,famciclovir,79.65
aripiprazole,capecitabine,66.45
aripiprazole,meloxicam,27.06
aripiprazole,ganciclovir,32.89
aripiprazole,molindone,26.25
aripiprazole,clonidine,17.65
aripiprazole,latanoprost,99.4
aripiprazole,etomidate,47.28
aripiprazole,diclofenac,63.97
aripiprazole,moxonidine,88.78
aripiprazole,ketotifen,30.95
aripiprazole,flavoxate,49.08
aripiprazole,benzthiazide,27.03
aripiprazole,fluoxetine,91.22
aripiprazole,disopyramide,65.08
aripiprazole,medetomidine,0.81
aripiprazole,flutamide,51.21
aripiprazole,bifemelane,92.96
aripiprazole,bucladesine,-34.49
aripiprazole,riluzole,59.66
aripiprazole,aripiprazole,99.98
aripiprazole,sulpiride,39.964999999999996
aripiprazole,busulfan,5.52
aripiprazole,clozapine,27.37
aripiprazole,paroxetine,92.49
aripiprazole,atomoxetine,77.72
aripiprazole,amitriptyline,59.25
aripiprazole,prazosin,48.86
aripiprazole,dihydroergocristine,78.72
aripiprazole,progesterone,14.2
aripiprazole,saquinavir,73.03
aripiprazole,clomipramine,26.1
aripiprazole,proguanil,45.17
aripiprazole,irbesartan,22.86
aripiprazole,aminoglutethimide,22.86
aripiprazole,altrenogest,61.56
aripiprazole,piperidolate,86.38
aripiprazole,hydroflumethiazide,13.69
aripiprazole,glipizide,19.11
aripiprazole,ubenimex,34.47
aripiprazole,propentofylline,45.96
aripiprazole,phenylbutyrate,27.45
aripiprazole,nateglinide,26.09
aripiprazole,clotrimazole,96.96
aripiprazole,metformin,16.5
aripiprazole,clomifene,82.58
aripiprazole,atorvastatin,91.09
aripiprazole,amodiaquine,51.54
aripiprazole,bupropion,48.0
aripiprazole,rabeprazole,53.98
aripiprazole,ribavirin,25.75
aripiprazole,metoprolol,2.61
aripiprazole,ataluren,34.33
aripiprazole,sulfafurazole,40.2
aripiprazole,prednisone,15.6
aripiprazole,itraconazole,89.39
aripiprazole,fluspirilene,44.95
aripiprazole,fluvoxamine,34.0
aripiprazole,pindolol,31.52
aripiprazole,altretamine,31.85
aripiprazole,clofibric-acid,9.25
aripiprazole,vardenafil,84.6
aripiprazole,quetiapine,8.8
aripiprazole,azathioprine,56.89
aripiprazole,amantadine,-3.03
aripiprazole,ticlopidine,67.31
aripiprazole,loperamide,46.28
aripiprazole,molsidomine,79.33
aripiprazole,chlorambucil,63.68
aripiprazole,thiothixene,76.8
aripiprazole,amlexanox,94.71
aripiprazole,mefloquine,71.31
aripiprazole,anastrozole,3.25
aripiprazole,estradiol,3.91
aripiprazole,diazoxide,56.43
aripiprazole,metolazone,15.39
aripiprazole,primidone,31.47
aripiprazole,racecadotril,24.02
aripiprazole,oxfendazole,93.99
aripiprazole,mirtazapine,56.52
aripiprazole,terbinafine,85.59
aripiprazole,bimatoprost,7.69
aripiprazole,letrozole,40.86
aripiprazole,triflupromazine,94.68
aripiprazole,triamterene,33.22
aripiprazole,imipramine,63.77
aripiprazole,balsalazide,43.29
aripiprazole,duloxetine,66.35
aripiprazole,doxepin,64.68
aripiprazole,protriptyline,20.67
aripiprazole,fluconazole,19.67
aripiprazole,bosentan,41.16
aripiprazole,carvedilol,55.16
aripiprazole,risperidone,65.75
aripiprazole,ambroxol,52.18
aripiprazole,bezafibrate,6.71
aripiprazole,tamibarotene,83.18
aripiprazole,quinidine,32.96
aripiprazole,nimodipine,31.31
aripiprazole,metronidazole,3.74
aripiprazole,oxiconazole,90.08
aripiprazole,escitalopram,52.05
aripiprazole,piretanide,17.61
aripiprazole,decitabine,46.24
aripiprazole,floxuridine,56.24
aripiprazole,ranolazine,25.68
aripiprazole,cimetidine,67.4
aripiprazole,oxybuprocaine,36.91
aripiprazole,afatinib,74.55
aripiprazole,droperidol,27.68
aripiprazole,imatinib,86.28
aripiprazole,tiabendazole,49.92
aripiprazole,dextromethorphan,43.09
aripiprazole,flecainide,69.5
aripiprazole,rilmenidine,28.639999999999997
aripiprazole,lapatinib,35.15
aripiprazole,primaquine,16.51
aripiprazole,rizatriptan,21.06
aripiprazole,ketanserin,9.11
aripiprazole,tolazamide,29.25
aripiprazole,idebenone,78.75
aripiprazole,fexofenadine,56.39
aripiprazole,sertraline,92.75
aripiprazole,norgestrel,14.48
aripiprazole,dantrolene,35.32
aripiprazole,danazol,34.9
aripiprazole,pravastatin,22.89
aripiprazole,pregnenolone,11.66
aripiprazole,chlorphenamine,26.93
aripiprazole,spironolactone,26.53
aripiprazole,indapamide,17.53
aripiprazole,nicotine,56.01
aripiprazole,ozagrel,69.15
aripiprazole,atracurium,72.47
aripiprazole,erlotinib,27.83
aripiprazole,fenoldopam,39.91
aripiprazole,betahistine,9.11
aripiprazole,rosuvastatin,90.2
aripiprazole,dexamethasone,43.89
aripiprazole,nevirapine,69.56
aripiprazole,sertaconazole,63.61
aripiprazole,fosinopril,17.62
aripiprazole,capsaicin,11.8
aripiprazole,penciclovir,62.54
aripiprazole,meclofenamic-acid,15.42
aripiprazole,gestrinone,28.39
aripiprazole,felodipine,84.6
aripiprazole,urapidil,90.12
aripiprazole,fluphenazine,66.26
aripiprazole,pimozide,96.05
aripiprazole,buflomedil,32.64
aripiprazole,tibolone,29.01
aripiprazole,pyrimethamine,63.57
aripiprazole,amiloride,38.16
aripiprazole,topiramate,3.4
aripiprazole,finasteride,30.31
aripiprazole,trifluoperazine,47.5
aripiprazole,phenytoin,23.26
aripiprazole,glimepiride,31.15
aripiprazole,propafenone,52.6
aripiprazole,enalapril,14.05
aripiprazole,valsartan,49.83
aripiprazole,everolimus,45.16
aripiprazole,simvastatin,96.35
aripiprazole,benzbromarone,56.99
aripiprazole,losartan,18.23
aripiprazole,sotalol,85.29
aripiprazole,granisetron,-41.77
aripiprazole,melperone,46.04
aripiprazole,tizanidine,67.95
aripiprazole,amoxapine,58.16
aripiprazole,loratadine,79.05
aripiprazole,diflunisal,42.64
aripiprazole,ibuprofen,33.905
aripiprazole,papaverine,94.29
aripiprazole,gefitinib,73.77
aripiprazole,metoclopramide,9.54
aripiprazole,piroxicam,43.05
aripiprazole,phentolamine,31.32
aripiprazole,gemfibrozil,-30.41
aripiprazole,varenicline,-7.46
aripiprazole,levofloxacin,16.04
aripiprazole,rifaximin,98.73
aripiprazole,levonorgestrel,12.3
aripiprazole,esmolol,46.33
aripiprazole,doxycycline,53.36
aripiprazole,chloroquine,37.21
aripiprazole,paclitaxel,8.68
aripiprazole,penfluridol,93.56
aripiprazole,mepivacaine,9.95
aripiprazole,cyproheptadine,25.3
aripiprazole,quinine,11.34
aripiprazole,ofloxacin,15.07
aripiprazole,dolasetron,5.13
aripiprazole,ropinirole,25.65
aripiprazole,niclosamide,81.5
aripiprazole,cladribine,48.48
aripiprazole,daunorubicin,36.22
aripiprazole,tofacitinib,47.72
aripiprazole,nicardipine,51.14
aripiprazole,orphenadrine,5.11
aripiprazole,lidoflazine,74.47
aripiprazole,pyrazinamide,49.79
aripiprazole,doxorubicin,46.86
aripiprazole,chloramphenicol,24.94
aripiprazole,estrone,3.98
aripiprazole,mephentermine,3.24
aripiprazole,chloroxine,90.67
aripiprazole,milrinone,88.56
aripiprazole,metergoline,81.45
aripiprazole,telmisartan,59.41
aripiprazole,midostaurin,52.91
aripiprazole,etoposide,39.8
aripiprazole,verapamil,39.33
aripiprazole,vinpocetine,45.89
aripiprazole,ondansetron,43.41
aripiprazole,diltiazem,25.9
aripiprazole,gliquidone,-7.35
aripiprazole,palbociclib,68.12
aripiprazole,cefdinir,10.71
aripiprazole,artesunate,53.67
aripiprazole,propranolol,-2.85
aripiprazole,norethindrone,22.84
aripiprazole,doxapram,50.73
aripiprazole,lamotrigine,16.24
aripiprazole,niacin,11.14
aripiprazole,menadione,44.4
aripiprazole,clofazimine,76.42
aripiprazole,perhexiline,60.43
aripiprazole,ethinyl-estradiol,-52.96
aripiprazole,sunitinib,44.745000000000005
aripiprazole,dopamine,20.65
aripiprazole,carbamazepine,21.97
aripiprazole,nortriptyline,81.44
aripiprazole,olanzapine,43.11
aripiprazole,bosutinib,78.9
aripiprazole,podophyllotoxin,9.95
aripiprazole,oxybutynin,68.97
aripiprazole,fasudil,28.42
aripiprazole,sumatriptan,47.0
aripiprazole,famotidine,-7.67
aripiprazole,pioglitazone,26.96
aripiprazole,tadalafil,74.45
aripiprazole,benzylpenicillin,3.84
aripiprazole,quinapril,31.59
aripiprazole,yohimbine,10.53
aripiprazole,levetiracetam,7.02
aripiprazole,epinephrine,41.82
aripiprazole,mitoxantrone,20.32
aripiprazole,pilocarpine,26.89
aripiprazole,azithromycin,31.13
aripiprazole,dasatinib,39.23
aripiprazole,anagrelide,8.16
aripiprazole,perindopril,6.81
aripiprazole,hydrocortisone,32.996
aripiprazole,leflunomide,11.99
aripiprazole,maraviroc,13.23
aripiprazole,etacrynic-acid,3.59
aripiprazole,naftifine,11.75
aripiprazole,lacidipine,93.02
aripiprazole,econazole,48.37
aripiprazole,dicloxacillin,17.76
aripiprazole,nicergoline,48.57
aripiprazole,etodolac,10.29
aripiprazole,pinacidil,63.75
aripiprazole,praziquantel,2.85
aripiprazole,propylthiouracil,40.81
aripiprazole,bromocriptine,32.33
aripiprazole,butoconazole,77.3
aripiprazole,trimipramine,80.21
aripiprazole,acarbose,5.92
aripiprazole,homochlorcyclizine,44.99
aripiprazole,bisoprolol,41.96
aripiprazole,milnacipran,48.95
aripiprazole,sirolimus,92.53
aripiprazole,zidovudine,18.95
aripiprazole,eplerenone,-21.29
aripiprazole,selegiline,65.12
aripiprazole,doxazosin,39.15
aripiprazole,candesartan,29.41
aripiprazole,exemestane,66.53
aripiprazole,picotamide,10.94
aripiprazole,warfarin,35.01
aripiprazole,toremifene,17.02
aripiprazole,gemcitabine,30.5
aripiprazole,sildenafil,23.73
aripiprazole,nilotinib,30.94
aripiprazole,zileuton,69.77
aripiprazole,ritodrine,10.93
aripiprazole,nimesulide,20.74
aripiprazole,cytarabine,96.2
aripiprazole,pantoprazole,22.86
aripiprazole,tivozanib,25.64
aripiprazole,felbamate,13.85
aripiprazole,triclabendazole,93.99
aripiprazole,irinotecan,35.96
aripiprazole,lopinavir,15.06
aripiprazole,sorafenib,89.7
aripiprazole,vemurafenib,57.32
aripiprazole,elvitegravir,22.76
aripiprazole,pitavastatin,10.26
aripiprazole,calcitriol,14.24
aripiprazole,reboxetine,5.54
aripiprazole,bifonazole,95.03
aripiprazole,vorinostat,37.19
aripiprazole,clofarabine,12.65
aripiprazole,belinostat,53.84
aripiprazole,rimexolone,18.45
aripiprazole,nicotinamide,12.42
aripiprazole,vidarabine,29.36
aripiprazole,isradipine,49.28
aripiprazole,ruxolitinib,13.74
aripiprazole,dilazep,40.44
aripiprazole,metixene,4.87
aripiprazole,olaparib,41.01
aripiprazole,mepacrine,14.93
aripiprazole,temsirolimus,95.14
aripiprazole,ipriflavone,81.08
aripiprazole,atovaquone,84.82
aripiprazole,mebendazole,26.26
aripiprazole,ranitidine,13.66
aripiprazole,tranilast,7.44
aripiprazole,acyclovir,-3.12
aripiprazole,dapsone,13.34
aripiprazole,ritonavir,-44.44
aripiprazole,carprofen,9.53
aripiprazole,eugenol,-6.8
aripiprazole,mercaptopurine,20.48
aripiprazole,methimazole,24.07
aripiprazole,maprotiline,66.44
aripiprazole,ivermectin,94.07
aripiprazole,tranylcypromine,29.36
aripiprazole,crizotinib,59.86
aripiprazole,pazopanib,17.79
aripiprazole,fludroxycortide,4.05
aripiprazole,actarit,29.32
aripiprazole,fulvestrant,26.83
aripiprazole,lasalocid,80.52
aripiprazole,lenalidomide,6.91
aripiprazole,reserpine,80.76
aripiprazole,masitinib,31.16
aripiprazole,quercetin,47.64
aripiprazole,scopolamine,4.965
aripiprazole,rivaroxaban,11.56
aripiprazole,docetaxel,-3.24
aripiprazole,entecavir,6.66
aripiprazole,neratinib,72.71
aripiprazole,valproic-acid,16.96
aripiprazole,azacitidine,24.45
aripiprazole,formoterol,-6.69
aripiprazole,amsacrine,18.92
aripiprazole,naftopidil,14.22
aripiprazole,raltegravir,17.11
aripiprazole,aspirin,6.44
aripiprazole,raloxifene,30.61
aripiprazole,ketoconazole,20.93
aripiprazole,griseofulvin,13.55
aripiprazole,vinburnine,27.74
aripiprazole,temozolomide,27.2
aripiprazole,SN-38,29.51
aripiprazole,digoxin,8.34
aripiprazole,mepyramine,4.98
aripiprazole,physostigmine,4.62
aripiprazole,medrysone,13.78
aripiprazole,cholic-acid,0.25
aripiprazole,deferiprone,10.27
aripiprazole,tamoxifen,95.65
aripiprazole,noscapine,12.51
aripiprazole,homoharringtonine,17.48
aripiprazole,ziprasidone,-16.95
aripiprazole,methazolamide,8.45
aripiprazole,phensuximide,12.62
aripiprazole,sitagliptin,13.47
amitriptyline,cabergoline,92.54
amitriptyline,trimebutine,43.25
amitriptyline,secnidazole,24.31
amitriptyline,ipratropium,68.24
amitriptyline,mestinon,72.39
amitriptyline,clarithromycin,62.45
amitriptyline,rifabutin,82.62
amitriptyline,zafirlukast,84.17
amitriptyline,oxaprozin,91.54
amitriptyline,tolbutamide,60.53
amitriptyline,prochlorperazine,99.72
amitriptyline,celecoxib,77.26
amitriptyline,methylprednisolone,63.41
amitriptyline,bicalutamide,84.52
amitriptyline,moclobemide,43.41
amitriptyline,tacrine,41.82
amitriptyline,rutin,55.85
amitriptyline,lamivudine,82.03
amitriptyline,famciclovir,72.19
amitriptyline,capecitabine,55.0
amitriptyline,meloxicam,75.18
amitriptyline,ganciclovir,55.47
amitriptyline,molindone,1.49
amitriptyline,clonidine,63.13
amitriptyline,latanoprost,12.89
amitriptyline,etomidate,82.01
amitriptyline,diclofenac,76.87
amitriptyline,moxonidine,71.74
amitriptyline,ketotifen,97.34
amitriptyline,flavoxate,94.45
amitriptyline,benzthiazide,82.24
amitriptyline,fluoxetine,95.38
amitriptyline,disopyramide,74.88
amitriptyline,medetomidine,33.27
amitriptyline,flutamide,27.32
amitriptyline,bifemelane,96.42
amitriptyline,bucladesine,28.57
amitriptyline,riluzole,64.36
amitriptyline,aripiprazole,70.46
amitriptyline,sulpiride,47.345
amitriptyline,busulfan,95.01
amitriptyline,clozapine,94.95
amitriptyline,paroxetine,99.37
amitriptyline,atomoxetine,29.01
amitriptyline,amitriptyline,99.98
amitriptyline,prazosin,97.67
amitriptyline,dihydroergocristine,87.29
amitriptyline,progesterone,33.93
amitriptyline,saquinavir,75.7
amitriptyline,clomipramine,99.01
amitriptyline,proguanil,97.99
amitriptyline,irbesartan,30.09
amitriptyline,aminoglutethimide,66.62
amitriptyline,altrenogest,44.45
amitriptyline,piperidolate,34.05
