#1.3
2429	22	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K99107520-summary	BRD-K70401845-summary	BRD-A73368467-summary	BRD-K08206212-summary	BRD-K32977963-summary	BRD-A07395371-summary	BRD-K51677086-summary	BRD-A02367930-summary	BRD-K70301876-summary	BRD-A30815329-summary	BRD-K13514097-summary	BRD-A54880345-summary	BRD-K63630713-summary	BRD-K76617868-summary	BRD-K54472332-summary	BRD-A50684349-summary	BRD-K37798499-summary	BRD-A74667430-summary	BRD-A18917088-summary	BRD-K45033733-summary	BRD-A73741725-summary	BRD-K00673382-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00		153941.00	-666.00	-666.00	-666.00	-666.00	-666.00		6442180.00		-666.00	3547.00	5277140.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	6 h		6 h	24 h	6 h	6 h	24 h	6 h		6 h		24 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00	9.00		9.00	7.00	7.00	9.00	7.00	9.00		9.00		7.00	9.00	9.00	9.00	7.00	9.00	9.00	9.00	9.00	7.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00		1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00		1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.17	0.24		0.12	0.20	0.12	0.22	0.19	0.18		0.58		0.34	0.29	0.26	0.18	0.32	0.16	0.21	0.17	0.18	0.29
icc	na	na	na	na	na	na	na	na	0.35	0.53		0.44	0.38	0.34	0.36	0.41	0.38		0.76		0.51	0.50	0.44	0.36	0.70	0.43	0.33	0.31	0.46	0.42
url	na	na	na	na	na	na	na	na	BRD-K99107520	BRD-K70401845		BRD-K08206212	BRD-K32977963	BRD-A07395371	BRD-K51677086	BRD-A02367930	BRD-K70301876		BRD-K13514097		BRD-K63630713	BRD-K76617868	BRD-K54472332	BRD-A50684349	BRD-K37798499	BRD-A74667430	BRD-A18917088	BRD-K45033733	BRD-A73741725	BRD-K00673382
query	na	na	na	na	na	na	na	na																						
description	na	na	na	na	na	na	na	na	carbonic anhydrase inhibitor|GABA receptor modulator|glutamate receptor blocker	EGFR inhibitor|epidermal growth factor receptor (EGFR) inhibitor|tyrosine kinase inhibitor	histamine receptor antagonist	DNA directed DNA polymerase inhibitor|DNA polymerase inhibitor|DNA replication inhibitor|reverse transcription inhibitor|transcription inhibitor	androgen receptor (AR) inhibitor|free radical scavenger|monoamine oxidase inhibitor|quorum sensing signaling modulator	adrenergic receptor antagonist	NFkB pathway inhibitor|50S ribosomal subunit inhibitor|motilin receptor agonist|RPLV inhibitor	DNA directed DNA polymerase stimunlant|estrogen receptor agonist|estrogenic component in oral contraceptives	selective serotonin reuptake inhibitor (SSRI)|serotonin reuptake inhibitor	calcium channel blocker|L-type calcium channel blocker	mTOR inhibitor|angiogenesis inhibitor|cell cycle inhibitor|immunosuppressant|protein kinase inhibitor|rotamase inhibitor	membrane integrity inhibitor|membrane permeability inhibitor	not applicable|sodium/potassium/chloride transporter inhibitor	ROCK inhibitor|calcium sensitizer|PKA inhibitor|protein kinase inhibitor|rho associated kinase inhibitor	HIV integrase inhibitor|HIV inhibitor	dopamine receptor agonist	topoisomerase inhibitor|cell cycle inhibitor|DNA inhibitor|DNA intercalating drug|DNA repair enzyme inhibitor	cyclooxygenase inhibitor|TRPV agonist	estrogen receptor agonist	DNA polymerase inhibitor|DNA directed DNA polymerase inhibitor	aromatase inhibitor	histamine receptor antagonist
target	na	na	na	na	na	na	na	na	GRIN2A|GRIN2B|GRIN3A	EGFR|NR1I2	HRH1		AR|MAOA	ADRB1	CYP3A4|MLNR	CYP2C8|ESR1|ESR2|NR1I2	SLC6A4|ADRA1A|CHRM1|CYP2C19|HRH1|SLC6A2|SLC6A3	CACNA1C|CACNA1D|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2|CALM1|CFTR|NR3C2|PDE1A|PDE1B|TNNC1|TNNC2	MTOR|CYP3A5|FKBP1A	GABRA1|ADRA2B|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	SLC12A1|ATP1A1|SLC12A2	ROCK1|ROCK2|PKIA|PRKACA		DRD1|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD4|DRD5	TOP2A|CYP2E1|CYP3A5|TOP2B	PTGS2|PTGS1|RXRA|TRPV1	ESR1|ESR2|NR1I2|CYP2B6|CYP2C19|CYP2C8|CYP2E1|CYP3A5|CYP3A7|GPER1|KCNMA1		CYP19A1	HRH2
pc	na	na	na	na	na	na	na	na	4.73, 2.66	8.17, 4.43	5.30, 2.78	4.91, 1.90	8.80, 4.72	7.03, 3.66	5.92, 2.96	3.52, 1.62	5.11, 3.33	1.93, 0.93	2.16, 0.96	4.02, 2.57	6.39, 3.41	5.27, 2.63	3.32, 1.37	3.39, 1.78	2.40, 0.91	3.25, 1.59	2.29, 1.26	1.24, 0.53	1.33, 0.55	2.38, 0.88
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		8.17, 5.77	92.95	0.36, 0.09	84.19	78.42	93.34	98.81	98.45	95.65	96.41	92.57	98.54	98.84	59.83	98.94	93.71	51.95	60.72	93.60	61.86	96.83	47.45	23.50	90.49	53.44
BRD-K54759182	CP	dosulepin	adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1		8.17, 3.85	90.81	1.30, 0.30	98.98	95.88	91.21	96.55	57.11	95.79	97.60	89.98	91.55	90.42	64.71	43.72	94.87	95.80	57.57	94.89	69.42	99.86	83.82	73.01	39.26	85.65
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		7.95, 4.55	89.03	1.59, 0.52	57.81	80.09	93.64	67.18	89.47	99.72	96.42	49.29	94.03	29.06	89.89	99.66	25.77	98.10	96.51	14.93	88.59	3.52	92.92	85.41	85.92	99.33
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		7.95, 2.84	87.55	1.00, 0.30	88.95	90.57	86.62	94.40	83.80	99.89	96.70	40.20	88.47	78.30	43.05	16.17	63.91	94.15	72.82	96.77	82.24	40.61	97.46	78.25	91.38	93.08
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		6.82, 3.98	86.87	1.17, 0.58	91.63	94.22	88.97	93.04	87.20	99.79	59.25	86.42	64.78	84.75	51.13	95.20	91.93	38.74	93.06	25.46	86.54	59.12	91.56	71.02	72.19	97.92
BRD-K06147391	CP	telenzepine	acetylcholine receptor antagonist	CHRM1		8.17, 5.29	85.96	0.53, 0.17	92.04	90.30	71.58	88.10	90.01	-42.44	94.59	90.18	98.12	70.43	80.73	48.25	24.62	98.80	82.74	92.54	34.97	98.20	83.82	98.11	24.83	81.66
BRD-A64125466	CP	dehydrocholic-acid	gastrointestinal agent that stimulates bile production or the flow of bile into the duodenum			6.73, 3.37	85.85	0.50, 0.16	85.73	75.28	86.48	81.90	87.22	91.06	98.91	84.93	92.80	92.70	39.78	62.94	60.03	85.96	35.11	9.52	18.61	88.22	88.86	32.79	90.12	88.72
BRD-K62929068	CP	6-benzylaminopurine	purinergic receptor activator			12.50, 5.73	84.52	0.53, 0.08	96.71	90.59	64.73	96.89	99.58	87.61	98.57	99.40	85.85	32.13	47.06	61.17	95.00	84.37	52.50	85.93	39.39	17.73	14.14	84.67	46.68	50.62
BRD-A39390670	CP	rabeprazole	ATPase inhibitor, gastrin inhibitor	ATP4A, CYP2C19		9.66, 5.11	84.45	0.77, 0.14	86.34	96.09	67.25	84.20	94.59	99.93	0.14	25.25	96.14	71.74	24.42	85.72	68.43	86.50	95.95	86.29	75.42	29.92	34.64	94.06	84.71	66.18
BRD-K05737787	CP	isoeugenol	nitric oxide production inhibitor			12.50, 10.58	83.74	1.83, 0.56	26.77	99.19	70.44	98.91	-1.83	77.46	98.87	97.60	48.14	32.48	63.33	99.93	95.47	99.89	98.09	-15.79	90.01	99.86	76.47	31.17	68.89	95.07
BRD-K46435977	CP	valaciclovir	DNA directed DNA polymerase inhibitor, DNA polymerase inhibitor		DNA polymerase inhibitor	8.52, 5.11	82.64	1.90, 0.66	75.97	64.83	47.36	93.11	87.21	98.24	21.22	55.24	99.93	99.82	49.12	65.32	74.83	83.07	60.89	87.67	32.03	82.21	89.07	98.91	91.09	95.85
BRD-K33308633	CP	INCA-6	calcineurin inhibitor, Inhibitor of interaction between calcineurin and its substrate nuclear factor of activated T cells (NFAT)	NFATC1		9.13, 3.85	82.56	0.63, 0.18	61.70	90.68	92.12	62.07	97.43	96.23	84.52	89.81	85.77	88.48	40.98	38.77	99.65	77.24	51.00	13.85	48.66	57.30	93.97	80.60	90.89	50.49
BRD-K60060639	CP	methyllidocaine	antiarrhythmic, phosphatidyl-inositol activator			7.69, 2.88	82.56	0.88, 0.19	98.24	98.13	45.57	97.32	90.09	96.62	98.21	70.76	98.69	54.49	39.02	75.41	24.70	96.82	27.54	57.30	61.82	96.85	97.03	89.70	72.07	31.97
BRD-A24381660	CP	zeranol	estrogen receptor agonist			7.39, 3.41	82.33	1.49, 0.59	79.92	4.09	63.21	96.68	95.78	55.09	42.00	16.59	99.93	94.01	54.09	32.76	91.02	96.97	25.54	98.44	47.91	86.51	84.75	87.24	79.10	97.46
BRD-A91452556	CP	estradiol-cypionate	estrogen receptor agonist	ESR1	Estrogen receptor agonist	11.54, 9.13	81.92	1.38, 0.34	93.73	86.97	97.64	39.66	68.36	-38.97	99.79	98.73	93.62	31.28	43.70	38.06	83.45	88.37	44.10	80.40	91.20	18.66	99.68	34.89	39.53	86.10
BRD-K92015269	CP	GBR-12783	dopamine uptake inhibitor			8.17, 3.85	81.87	0.94, 0.19	96.60	53.23	23.83	96.35	99.00	91.70	75.76	43.81	98.18	98.81	58.11	25.57	96.52	66.60	75.91	91.38	51.25	87.84	92.09	36.79	87.82	31.04
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			5.68, 3.98	81.56	1.58, 0.58	63.01	79.70	83.42	75.24	93.00	97.53	85.57	29.25	99.91	87.85	65.97	74.82	31.80	88.11	92.64	6.58	88.33	65.69	-1.23	65.27	90.22	99.51
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		8.52, 4.55	81.11	1.76, 0.69	97.78	95.77	74.09	99.30	90.53	98.27	95.73	59.64	93.99	66.70	72.77	90.78	30.03	98.24	55.43	43.97	64.97	10.42	88.13	43.89	71.71	90.81
BRD-K32526544	CP	DCEBIO	intermediate conductance potassium channel activator	KCNN2, KCNN3, KCNN4	Potassium channel activator	9.62, 4.33	80.98	0.80, 0.24	95.34	90.82	94.26	98.34	98.94	31.38	84.63	97.92	57.94	83.76	25.39	68.65	29.93	45.66	19.36	99.47	13.21	95.85	97.55	28.46	78.20	25.04
BRD-K20482099	CP	rutin	aldose reductase inhibitor, antioxidant, capillary stabilizing agent, nitric oxide scavenger, prolyl 4-hydroxylase inhibitor	AKR1C3, AKR1B1, F10		6.73, 3.85	80.94	0.81, 0.10	78.97	92.25	80.53	95.19	85.68	93.81	98.17	46.72	77.13	91.82	10.01	56.00	81.53	75.16	81.35	7.47	16.88	98.27	94.65	28.14	34.72	87.74
BRD-K91699951	CP	benzonatate	non-narcotic cough suppressant thought to act as a local anesthetic	SCN5A		4.81, 1.92	80.49	0.69, 0.10	34.51	81.25	90.68	69.97	77.53	95.65	99.03	87.96	59.64	71.44	24.57	54.10	81.80	82.27	83.93	54.68	51.56	83.63	83.79	91.28	52.13	79.73
BRD-K57222227	CP	indometacin	cyclooxygenase inhibitor	PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2A, PPARA, PTGR2, SLC46A1		6.25, 2.60	80.47	1.18, 0.33	86.75	71.21	92.99	98.17	86.33	59.28	70.98	15.75	98.34	87.36	34.33	40.21	87.53	79.79	81.15	13.79	82.80	32.86	70.98	90.39	53.47	88.55
BRD-A66563878	CP	medetomidine	adrenergic receptor agonist, MAP kinase inhibitor	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D		7.81, 3.13	80.40	1.22, 0.45	91.72	92.36	92.14	91.02	85.63	67.60	93.13	98.94	57.25	72.06	32.48	96.29	90.26	94.09	-47.50	75.16	45.46	6.03	51.19	8.09	9.11	94.80
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		5.11, 3.98	80.35	1.74, 0.72	95.86	70.84	27.94	88.41	79.83	93.74	98.31	60.34	13.78	91.49	41.71	35.23	71.83	80.87	1.09	90.84	90.47	66.95	97.67	8.03	87.37	88.71
BRD-K53220666	CP	trimetozine	compound with mild tranquilizing effects			9.13, 3.37	80.14	1.00, 0.33	42.72	86.94	99.54	88.93	74.97	28.72	95.13	19.47	99.93	82.90	35.37	66.89	76.84	88.42	95.06	39.18	49.90	97.27	86.43	94.93	77.38	33.58
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			8.60, 5.38	79.70	1.27, 0.26	50.65	76.43	32.09	78.01	98.38	66.35	88.15	96.12	99.86	97.33	24.29	71.18	78.13	94.96	92.10	83.63	67.74	38.20	83.13	67.60	81.28	99.05
BRD-K15834839	CP	lobendazole	anthelmintic agent			8.17, 6.25	79.68	1.11, 0.27	37.79	85.29	99.44	77.51	92.71	96.59	99.86	81.85	87.58	67.95	70.84	85.22	37.74	69.63	86.70	99.72	64.22	74.02	75.66	99.26	70.29	35.35
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		3.85, 0.00	79.65	0.66, 0.20	66.48	73.56	34.21	96.67	96.33	72.58	80.61	81.52	29.97	87.91	56.35	81.08	90.97	61.08	90.72	78.70	59.92	57.49	82.24	21.77	91.33	90.31
BRD-K15601958	CP	SEW-2871	lysophospholipid receptor agonist	S1PR1		7.21, 3.85	79.65	1.19, 0.39	87.23	47.99	85.09	87.82	92.89	86.73	99.30	97.99	86.70	69.50	38.77	94.61	55.13	85.56	32.66	83.57	39.41	75.72	72.33	56.99	56.89	73.10
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		10.10, 5.29	79.48	0.97, 0.15	20.32	99.37	96.53	98.37	68.12	96.03	97.79	98.19	77.35	10.20	97.39	75.81	28.16	83.71	86.74	34.53	30.40	44.90	81.61	37.99	33.74	91.22
BRD-A01643550	CP	prednisolone	glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist	5.77, 1.92	79.45	0.86, 0.39	51.42	95.75	69.20	90.73	78.93	8.54	97.18	91.92	85.74	26.29	61.97	99.93	66.23	84.99	74.46	48.14	63.62	36.31	79.97	80.75	90.58	87.23
BRD-K96319534	CP	phentermine	adrenergic transmitter uptake inhibitor, dopamine transmitter uptake inhibitor, serotonin uptake inhibitor	MAOA, MAOB, SLC6A2, SLC6A3, SLC6A4		8.17, 5.29	79.44	0.49, 0.08	80.98	78.24	99.40	81.75	61.82	84.36	99.15	92.64	36.89	19.39	39.73	83.78	29.40	68.85	69.66	30.21	30.62	44.86	93.83	80.64	89.39	98.62
BRD-K39965020	CP	doconexent	PPAR receptor agonist, unidentified pharmacological activity	FFAR1, PPARA, PTGS1, PTGS2	PPAR receptor agonist	6.73, 2.88	79.03	0.77, 0.27	98.47	85.25	80.89	86.78	97.70	90.22	77.17	11.90	90.66	60.43	15.08	72.19	89.33	91.01	10.80	49.61	49.60	86.97	98.45	9.93	71.99	74.79
BRD-K45033733	CP	famciclovir	DNA polymerase inhibitor, DNA directed DNA polymerase inhibitor		DNA polymerase inhibitor	13.94, 7.21	78.81	0.38, 0.10	66.52	70.21	99.19	78.52	93.99	97.14	86.35	80.51	85.91	40.44	25.88	86.53	74.68	56.39	88.53	25.28	70.04	67.21	64.41	99.99	79.11	95.92
BRD-K47278471	CP	diphenhydramine	histamine receptor antagonist	HRH1		6.25, 1.70	78.69	1.67, 0.52	67.46	43.61	67.87	96.46	95.75	92.41	78.34	16.91	99.93	86.06	0.14	76.31	52.88	91.59	90.04	83.08	15.43	54.43	0.11	79.05	86.06	82.51
BRD-A58048407	CP	nimodipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, NR3C2, AHR, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CFTR		11.06, 4.81	78.33	0.64, 0.13	60.97	79.32	91.50	88.77	95.32	98.24	99.20	60.01	77.34	85.14	29.69	82.38	83.76	88.39	90.66	36.59	37.94	15.88	35.76	28.29	36.93	59.39
BRD-K04710043	CP	hexamethylenebisacetamide	differentiation inducer, NFKB inhibitor, AKT inhibitor			9.09, 6.82	78.30	2.07, 0.75	90.81	0.92	94.25	99.30	93.98	99.75	93.13	48.82	92.41	85.50	22.84	8.71	28.51	43.42	15.24	97.99	13.40	88.10	33.48	20.46	71.10	99.79
BRD-K89125793	CP	tinidazole	anti-protozoal			6.73, 2.40	78.09	0.77, 0.15	51.07	94.64	91.18	64.29	91.65	98.36	90.12	98.80	38.18	67.11	44.18	79.10	50.82	77.08	46.81	97.19	87.14	43.63	62.67	93.55	39.10	94.92
BRD-K18574842	CP	nafcillin	antibiotic	CYP3A4	Bacterial cell wall synthesis inhibitor	8.17, 4.33	78.08	0.88, 0.30	99.44	91.34	95.80	95.22	92.00	82.61	98.47	78.75	61.33	24.68	45.48	77.40	10.67	89.99	48.46	90.84	26.43	48.48	34.95	55.92	47.68	80.45
