#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K71799949-summary	BRD-K93034159-summary	BRD-K17075857-summary	BRD-K02637541-summary	BRD-K43164539-summary	BRD-K37289225-summary	BRD-K33106058-summary	BRD-A91699651-summary	BRD-K19111024-summary	BRD-A17411484-summary	BRD-A10977446-summary	BRD-K78431006-summary	BRD-K28143534-summary	BRD-K29950728-summary	BRD-K98530306-summary	BRD-K29458283-summary	BRD-K56614220-summary	BRD-K15916496-summary	BRD-K52989797-summary	BRD-A04553218-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00		-666.00	-666.00	-666.00	-666.00	6253.00	2719.00	-666.00	-666.00	-666.00	-666.00		-666.00	2803.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h		6 h	6 h	6 h	6 h	6 h	24 h	6 h	6 h	6 h	6 h		6 h	24 h	6 h	6 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00		9.00	9.00	9.00	9.00	7.00	8.00	8.00	9.00	9.00	9.00		9.00	8.00	9.00	7.00	7.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.24		0.48	0.31	0.15	0.19	0.29	0.19	0.34	0.18	0.25	0.49		0.18	0.21	0.22	0.18	0.39	0.18	0.25
icc	na	na	na	na	na	na	na	na	0.46		0.54	0.35	0.39	0.38	0.65	0.39	0.37	0.38	0.44	0.66		0.44	0.44	0.44	0.38	0.49	0.39	0.37
url	na	na	na	na	na	na	na	na	BRD-K71799949		BRD-K17075857	BRD-K02637541	BRD-K43164539	BRD-K37289225	BRD-K33106058	BRD-A91699651	BRD-K19111024	BRD-A17411484	BRD-A10977446	BRD-K78431006		BRD-K29950728	BRD-K98530306	BRD-K29458283	BRD-K56614220	BRD-K15916496	BRD-K52989797	BRD-A04553218
query	na	na	na	na	na	na	na	na																				
description	na	na	na	na	na	na	na	na	potassium channel modulator|Sodium Channel  Blockers|sodium channel blocker|voltage-gated sodium channel blocker	adenosine deaminase inhibitor|antimetabolite|DNA synthesis inhibitor|immunosuppressant|ribonucleotide reductase inhibitor	opioid receptor inhibitor	cyclooxygenase inhibitor|caspase activator	ferrochelatase inhibitor|unidentified pharmacological activity	serotonin receptor antagonist|dopamine receptor antagonist|adrenergic receptor antagonist	antimetabolite|DNA polymerase inhibitor|DNA synthesis inhibitor|ribonucleotide reductase inhibitor	antimalarial agent	PPAR receptor agonist	cyclooxygenase inhibitor|prostanoid receptor inhibitor	adrenergic receptor antagonist|reducing agent|ryanodine receptor channel modulator	ALK tyrosine kinase receptor inhibitor|c-Met inhibitor|hepatocyte growth factor receptor inhibitor|tyrosine kinase inhibitor	histamine receptor antagonist|serotonin receptor antagonist	estrogen receptor antagonist|estrogen receptor modulator|selective estrogen receptor modulator (SERM)|testosterone receptor agonist	adrenergic receptor agonist	DNA damaging|DNA inhibitor	GK0582 inhibitor	cell wall synthesis inhibitor|cytochrome P450 inhibitor|imidazole inhibitor|intermediate conductance potassium channel activator|intermediate conductance potassium channel blocker|lanosterol demethylase inhibitor|sterol demethylase inhibitor	serotonin transporter (SERT) inhibitor|dopamine transporter (DAT) inhibitor|norepinephrine transporter (NET) inhibitor	histamine receptor antagonist
target	na	na	na	na	na	na	na	na	ABCB1|CYP1A2|CYP3A4|SCN1A|SCN3A|SCN5A	ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B	OPRK1	PTGS2|CA12|CASP3|CYP2C19|PDPK1	CES1|FECH|PLA2G1B|ADH1C|COX4I1|COX5A|COX5B|COX6A2|COX6B1|COX6C|COX7A1|COX7B|COX7C|COX8A|ESRRG|FABP6|GPBAR1|MT-CO1|MT-CO2|MT-CO3	DRD2|DRD4|ADRA1A|ADRA1B|CHRM1|DRD1|DRD3|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR6|HTR7|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM2|CHRM3|CHRM4|CHRM5|CYP2C19|DRD5|HTR1F|HTR2B|HTR3A|HTR5A	POLB|POLA1	CYP2C8|GSTA2|MRGPRX1|TLR9|TNF	PPARA	PTGS2|PTGS1	ADRB1|ADRB2|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB3|CYP2C19|CYP2E1|GJA1|HIF1A|KCNH2|NDUFC2|NPPB|RYR2|SELE|VCAM1|VEGFA	ALK|MET|CYP2B6|CYP3A5|MST1R|ROS1	HRH1|ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HTR2A|HTR2B|HTR2C|HTR6|HTR7	ESR1|AR	ADRA2A|ADRA2B|ADRA2C|ADRA1A|ADRA1B|ADRA1D			KCNN4|CYP3A4|CYP51A1|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8	SLC6A4|SLC6A2|CYP2C19|GSTP1|HTR2A|HTR2B|HTR2C|SLC6A3	HRH1|SLC6A2|SLC6A3|SLC6A4
pc	na	na	na	na	na	na	na	na	5.61, 3.62	1.40, 0.65	0.98, 0.41	4.46, 2.13	5.07, 2.47	4.53, 2.62	1.09, 0.42	11.34, 8.53	4.67, 1.80	5.43, 1.99	2.25, 1.19	3.43, 1.86	2.79, 1.16	1.07, 0.36	6.45, 4.00	2.77, 1.64	6.96, 3.58	2.76, 1.07	3.62, 1.97	6.16, 3.21
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			7.55, 6.29	88.93	1.58, 0.58	80.59	85.92	3.81	69.13	93.75	91.82	97.50	94.58	92.78	92.84	7.86	38.81	92.21	8.24	98.24	90.55	87.30	99.93	33.83	68.14
BRD-K17705806	CP	JTC-801	opioid receptor antagonist	OPRL1		9.17, 4.17	88.32	2.92, 0.63	22.35	90.53	92.25	98.64	-88.44	96.01	79.22	0.00	24.50	8.98	40.10	99.19	98.77	97.45	8.27	88.44	90.12	88.19	89.00	85.26
BRD-K01292756	CP	pimozide	dopamine receptor antagonist, dopamine receptor, opioid receptor antagonist, serotonin receptor antagonist	DRD2, DRD3, CACNA1I, CALM1, HRH1, HTR1A, HTR2A, KCNA10, KCNH2	Dopamine receptor antagonist	8.38, 4.19	87.08	1.60, 0.57	25.76	90.47	84.26	28.98	63.00	94.37	58.54	98.67	82.18	92.11	98.46	93.63	13.09	93.61	46.97	8.75	97.17	89.90	98.66	27.33
BRD-K32311154	CP	nifekalant	potassium channel antagonist, potassium channel blocker			8.81, 4.40	86.63	0.98, 0.32	98.52	26.38	9.78	99.05	84.72	51.79	36.70	99.56	88.53	96.69	94.54	12.16	0.56	80.65	97.46	22.36	98.66	95.10	19.42	94.09
BRD-A93206962	CP	L-755507	adrenergic receptor agonist, adrenergic receptor partial agonist	ADRB3, ADRB1, ADRB2		9.95, 5.24	85.89	0.58, 0.15	78.64	93.75	65.89	91.89	35.64	52.94	46.85	96.59	97.14	85.83	97.81	53.24	1.44	88.18	94.42	68.73	87.96	56.62	85.95	96.04
BRD-A17448384	CP	beclometasone	glucocorticoid receptor agonist, corticosteroid hormone receptor agonist, immunosuppressant	NR3C1, CYP3A5, GPR97, SERPINA6	Glucocorticoid receptor agonist	7.85, 4.71	85.83	1.57, 0.56	99.93	73.38	0.28	92.09	93.75	79.85	86.95	84.71	89.31	89.89	94.37	-0.46	84.32	5.07	5.58	87.55	89.26	41.57	97.72	15.88
BRD-K13169950	CP	NSC-3852	HDAC inhibitor	HDAC1	HDAC inhibitor	8.38, 4.71	82.78	2.16, 0.67	7.82	99.15	97.50	5.95	-49.13	81.74	83.83	16.14	88.63	52.72	6.61	87.29	95.86	49.44	-28.09	97.71	99.30	85.55	66.86	86.93
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		5.66, 3.77	82.68	0.99, 0.30	74.61	28.15	31.92	96.62	86.65	23.09	39.66	80.31	87.17	85.06	20.90	53.96	91.90	14.08	95.14	95.72	94.25	94.30	25.67	99.80
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		9.43, 4.40	81.70	1.00, 0.30	89.53	86.66	18.06	76.73	63.27	97.48	95.23	45.70	72.46	97.63	98.27	13.97	61.36	29.79	99.96	36.94	98.70	94.76	63.03	87.02
BRD-K15409150	CP	penfluridol	dopamine receptor antagonist, T-type calcium channel blocker	CACNA1G, DRD1, DRD2	T-type calcium channel blocker	6.28, 3.14	81.37	1.57, 0.35	1.97	92.75	95.80	7.66	-23.19	98.92	35.81	-21.76	-12.38	93.71	77.06	99.22	77.90	84.76	-4.76	83.98	99.61	79.67	83.07	83.59
BRD-A41519720	CP	ezetimibe	cholesterol absorption inhibitor, Niemann-Pick C1-like 1 protein antagonist, liver bile acid transporter inhibitor, Niemann-Pick C1-like 1 protein inhibitior	NPC1L1, ANPEP, SOAT1		5.24, 2.62	81.22	0.97, 0.18	19.22	82.71	90.31	-7.29	-35.95	85.87	82.63	53.76	0.00	82.97	90.50	79.82	28.39	94.89	48.36	11.67	83.11	74.23	98.08	93.55
BRD-K02265150	CP	amoxapine	adrenergic transmitter uptake inhibitor, dopamine receptor, norepinephrine reputake inhibitor, serotonin receptor antagonist, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, HTR2A, HTR6, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR7, SLC6A3	Norepinephrine reuptake inhibitor	7.85, 3.66	80.95	1.20, 0.32	18.19	14.49	31.12	5.96	87.71	84.05	23.34	81.96	79.95	89.38	96.75	82.12	17.97	95.98	36.31	20.85	97.99	84.60	96.96	18.61
BRD-A49160188	CP	donepezil	acetylcholinesterase inhibitor	ACHE, HTR2A		8.38, 4.19	80.59	1.13, 0.32	99.86	43.69	83.38	87.60	16.10	42.90	36.88	20.36	87.58	94.37	55.95	34.04	88.44	89.19	76.07	55.92	77.80	90.94	97.30	90.96
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		5.76, 4.71	80.14	0.36, 0.09	29.96	76.65	71.14	56.13	86.42	93.32	62.98	99.82	33.09	86.43	89.33	82.52	27.55	92.97	77.77	54.80	71.76	95.30	86.28	97.50
BRD-K37991163	CP	paroxetine	cyclophilin inhibitor, norepinephrine reputake inhibitor, selective serotonin reuptake inhibitor (SSRI), serotonin reuptake inhibitor, serotonin uptake inhibitor	SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2		8.38, 4.19	79.36	1.65, 0.47	81.63	23.89	80.33	-7.86	25.41	82.87	78.39	41.49	34.29	71.69	97.22	99.12	27.27	96.55	23.39	15.13	93.35	85.23	99.93	87.80
BRD-A34817987	CP	itraconazole	cell wall synthesis inhibitor, cytochrome P450 inhibitor, sterol demethylase inhibitor, VEGFR inhibitor	CYP3A5, CYP3A7, CYP51A1, KDR		7.33, 2.62	79.26	0.97, 0.13	71.04	66.69	79.30	50.25	86.79	95.00	85.10	84.01	59.88	79.22	88.98	88.53	11.35	94.60	95.16	45.99	31.80	82.57	69.72	64.31
BRD-A01643550	CP	prednisolone	glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist	8.90, 2.62	79.14	0.86, 0.39	99.89	3.61	36.38	94.42	-11.64	87.37	80.15	-27.32	74.77	85.52	89.85	57.99	88.09	86.57	30.59	78.13	40.32	41.23	97.99	92.13
BRD-A97701745	CP	pindolol	adrenergic receptor antagonist	ADRB1, ADRB2, HTR1A, HTR1B, HTR2A, HTR2B		8.90, 3.66	78.63	1.35, 0.31	95.75	67.15	-14.99	93.03	96.41	-41.94	6.69	99.89	72.92	95.70	84.33	0.70	39.75	2.89	49.73	94.05	88.40	94.22	7.00	89.13
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		5.24, 2.62	78.18	0.91, 0.16	81.83	12.36	61.41	88.76	82.44	59.29	88.17	84.12	47.91	89.40	45.31	7.50	52.23	19.77	95.85	59.25	78.89	89.16	77.47	93.43
BRD-K38323065	CP	phenacetin	cyclooxygenase inhibitor	PTGS1	Cyclooxygenase inhibitor	6.81, 3.66	77.72	0.81, 0.15	80.36	42.60	15.13	95.41	91.81	84.52	25.10	97.80	92.42	96.93	95.97	10.08	11.57	19.81	71.27	86.17	75.07	28.52	73.47	91.90
BRD-K30240666	CP	clemastine	histamine receptor antagonist	HRH1	HRH1 antagonist	7.85, 3.14	77.23	1.03, 0.26	72.49	2.96	79.35	49.77	19.11	76.35	21.26	89.27	19.82	57.55	91.28	93.79	25.86	96.18	96.07	90.42	32.16	78.11	95.44	96.28
BRD-K39987650	CP	bisacodyl	stimulant laxative			7.85, 3.14	77.23	0.64, 0.26	19.55	5.86	60.12	97.96	-14.80	94.42	75.36	59.70	96.46	88.22	18.32	74.30	91.86	97.32	90.81	68.65	79.10	85.78	38.83	95.02
BRD-A35033682	CP	eriodictyol	cytochrome P450 inhibitor, TRPM3 antagonist, xanthine oxidase inhibitor	CYP1B1, NFE2L2, XDH		6.81, 3.14	77.11	1.48, 0.51	45.08	36.16	91.27	77.49	76.73	25.27	14.41	97.97	38.73	92.11	73.93	8.11	8.21	89.49	81.07	82.66	96.48	81.93	88.09	26.40
BRD-K33106058	CP	cytarabine	antimetabolite, DNA polymerase inhibitor, DNA synthesis inhibitor, ribonucleotide reductase inhibitor	POLB, POLA1	Ribonucleotide reductase inhibitor	17.61, 13.21	76.58	1.28, 0.45	68.71	99.58	85.45	65.94	85.29	47.17	99.99	80.57	39.09	99.37	30.55	-0.46	63.22	60.49	95.59	99.38	72.60	99.51	2.36	81.78
BRD-A49172652	CP	lansoprazole	ATPase inhibitor	ATP4A, CYP2C19, CYP3A4, CYP3A5		7.55, 3.77	76.33	1.35, 0.30	97.21	74.82	12.96	91.62	87.24	0.03	82.13	90.92	97.21	96.70	89.22	0.26	60.58	12.49	20.25	53.23	96.72	77.84	54.99	71.62
BRD-K04430056	CP	7-nitroindazole	nitric oxide synthase inhibitor	NOS1, NOS2, NOS3		7.33, 2.09	76.23	0.81, 0.19	80.21	79.54	69.24	75.55	90.35	7.29	28.48	96.83	77.42	93.76	13.65	4.30	92.68	67.63	99.68	84.73	46.76	76.91	20.81	71.41
BRD-A26845397	CP	isamoltan	adrenergic receptor antagonist	ADRB1, ADRB2		7.85, 3.66	76.23	0.98, 0.34	77.37	56.22	56.10	60.62	99.72	81.21	21.63	96.17	99.86	94.93	91.83	29.14	-1.52	75.09	68.57	28.75	82.23	39.01	90.53	95.56
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		14.47, 7.55	76.06	1.76, 0.69	44.74	86.14	47.28	68.85	49.52	37.29	99.24	53.23	82.15	84.55	3.45	64.72	94.54	47.31	98.77	83.56	96.45	99.93	69.97	95.15
BRD-A29426959	CP	carbinoxamine	histamine receptor antagonist, L-type calcium channel blocker	HRH1		13.61, 9.95	75.99	1.30, 0.38	90.55	51.79	23.25	84.87	94.28	60.99	2.92	99.89	99.68	97.57	90.63	1.83	10.88	13.62	96.78	52.28	97.63	61.73	67.10	99.79
BRD-K10995081	CP	perphenazine	dopamine receptor, dopamine receptor antagonist	DRD2, CALM1, DRD1, HRH1, HTR2A, HTR2C, HTR6, HTR7	Dopamine receptor antagonist	9.42, 6.28	75.98	1.30, 0.53	93.59	71.48	80.82	48.50	70.31	87.27	35.14	70.90	86.38	88.57	99.51	96.38	10.39	98.70	20.07	39.21	67.75	38.35	99.76	80.48
BRD-K81209512	CP	AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		9.95, 5.24	75.63	0.85, 0.26	68.80	75.50	95.27	10.74	80.53	5.71	49.70	98.75	81.70	77.54	87.86	0.85	19.22	90.10	96.02	75.75	96.92	62.35	30.84	37.11
BRD-K69600043	CP	thiethylperazine	dopamine receptor antagonist	DRD1, DRD2, DRD4	Dopamine receptor antagonist	7.85, 2.62	75.60	0.92, 0.26	49.93	58.05	85.16	83.45	55.86	95.70	75.07	76.14	81.07	96.37	99.79	60.95	39.44	60.18	58.91	93.96	31.46	92.84	87.08	19.44
BRD-K89839824	CP	raltitrexed	thymidylate synthase inhibitor, pyrimidine antagonist	TYMS, FPGS	Thymidylate synthase inhibitor	11.52, 7.33	75.51	0.86, 0.26	75.80	99.47	73.91	75.21	89.91	20.70	99.37	94.98	71.95	85.58	85.75	-2.36	93.71	26.20	29.01	96.15	85.36	72.56	29.51	40.16
BRD-K93034159	CP	cladribine	adenosine deaminase inhibitor, antimetabolite, DNA synthesis inhibitor, immunosuppressant, ribonucleotide reductase inhibitor	ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B	Ribonucleotide reductase inhibitor	17.80, 11.52	75.42	1.42, 0.52	97.99	99.97	89.96	42.64	59.44	40.77	99.89	13.19	76.82	97.29	22.33	17.35	94.78	74.02	12.95	99.89	87.61	81.74	11.90	17.05
BRD-K70487031	CP	flupentixol	dopamine receptor antagonist	DRD2, DRD1, ADRA1A, CHRM1, DRD3, DRD5, HTR2A		12.57, 5.76	75.38	1.06, 0.28	74.98	83.24	79.85	15.12	75.78	87.40	15.28	5.18	86.88	75.88	99.51	96.69	13.00	98.45	12.51	65.73	24.64	61.16	97.96	36.23
BRD-K55034111	CP	pefloxacin	topoisomerase inhibitor	TOP2A		8.81, 4.40	75.33	1.27, 0.40	24.48	19.32	0.18	74.45	91.87	33.88	90.22	99.89	87.77	49.04	78.40	60.04	50.42	64.13	99.48	76.21	93.90	95.96	0.07	94.93
BRD-K16233984	CP	eriochrome-black-t	azo dye used in titrations to detect metal ions			8.38, 2.62	75.24	1.23, 0.38	93.38	79.54	84.53	9.24	98.35	52.72	3.12	84.14	38.82	81.78	79.58	69.31	37.97	91.00	70.93	46.61	87.52	80.13	63.39	12.32
BRD-A70083328	CP	secnidazole	acetylcholinesterase inhibitor, microtubule inhibitor			10.69, 6.92	75.19	1.44, 0.48	99.12	46.37	11.00	98.02	88.71	83.92	95.24	99.43	75.76	72.45	6.73	35.63	49.00	15.75	99.72	31.01	95.20	95.91	4.05	74.62
BRD-K57179821	CP	crotamiton	scabicidal, antipruritic			6.81, 4.71	75.17	1.06, 0.17	99.44	62.08	14.70	99.72	79.32	14.27	83.79	80.93	93.23	87.70	91.90	16.84	35.68	31.26	87.78	12.89	71.01	86.38	36.24	17.73
BRD-K18816859	CP	L-694247	serotonin receptor agonist	HTR1D, HTR1A, HTR1B		7.85, 5.24	75.08	0.72, 0.08	55.34	84.30	52.73	87.29	87.62	66.80	37.30	97.82	86.88	83.54	62.21	64.81	79.70	73.14	80.49	34.16	88.37	77.02	3.87	60.25
