#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A92630576-summary	BRD-K32107296-summary	BRD-K89732114-summary	BRD-K77695569-summary	BRD-K29653726-summary	BRD-K63675182-summary	BRD-K92049597-summary	BRD-K06335600-summary	BRD-K32164935-summary	BRD-K73999723-summary	BRD-K85119730-summary	BRD-A19195498-summary	BRD-K00603606-summary	BRD-K68132782-summary	BRD-K97309399-summary	BRD-A62025033-summary	BRD-K59574735-summary	BRD-K81916719-summary	BRD-K53414658-summary	BRD-K31283835-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00	5566.00		-666.00		-666.00		-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	6440030.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	24 h	24 h		6 h		6 h		24 h	6 h	6 h	6 h		6 h	6 h	24 h	6 h	6 h	24 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM	10 µM		10 µM		10 µM		10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	7.00	8.00	8.00		7.00		9.00		8.00	9.00	9.00	9.00		8.00	9.00	8.00	9.00	7.00	8.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00	1.00		1.00		1.00		1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00	1.00		1.00		1.00		1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.15	0.20	0.49		0.21		0.30		0.31	0.36	0.34	0.24		0.18	0.26	0.41	0.32	0.12	0.54	0.12
icc	na	na	na	na	na	na	na	na	0.43	0.44	0.61		0.36		0.40		0.36	0.45	0.40	0.54		0.32	0.55	0.62	0.35	0.29	0.55	0.41
url	na	na	na	na	na	na	na	na	BRD-A92630576	BRD-K32107296	BRD-K89732114		BRD-K29653726		BRD-K92049597		BRD-K32164935	BRD-K73999723	BRD-K85119730	BRD-A19195498		BRD-K68132782	BRD-K97309399	BRD-A62025033	BRD-K59574735	BRD-K81916719	BRD-K53414658	BRD-K31283835
query	na	na	na	na	na	na	na	na																				
description	na	na	na	na	na	na	na	na	opioid receptor agonist|acetylcholine receptor antagonist|Sodium Channel  Blockers	DNA alkylating drug|DNA damage inducer|DNA inhibitor|topoisomerase inhibitor	breast cancer resistance protein inhibitor|calcium/calmodulin dependent protein kinase inhibitor|dopamine receptor|dopamine receptor antagonist|sodium channel blocker	quinol-fumarate reductase inhibitor	carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist|GABA receptor agonist|Sodium Channel  Blockers|voltage-gated sodium channel blocker	acetylcholine receptor ligand|dopamine receptor	sodium channel blocker	adrenergic receptor agonist	ATP channel blocker	angiotensin receptor antagonist|PPAR receptor agonist|PPAR receptor modulator|PPAR receptor partial agonist	ATP channel blocker	adrenergic transmitter uptake inhibitor|dopamine receptor|norepinephrine transporter inhibitor|serotonin transporter (SERT) inhibitor|serotonin uptake inhibitor|tricyclic antidepressant|tricyclic antidepressant (TCA)	purinergic receptor antagonist|platelet aggregation inhibitor	fungal squalene monooxygenase inhibitor|squalene epoxidase inhibitor|steroid sulfatase inhibitor	dopamine receptor|dopamine receptor antagonist	mTOR inhibitor|cell cycle inhibitor|immunosuppressant|protein kinase inhibitor	leukotriene hydrolase inhibitor|alanine aminopeptidase inhibitor|aminopeptidase B inhibitor|immunostimulant|peptidase inhibitor	acetylcholinesterase inhibitor|DNA methyltransferase inhibitor|microtubule inhibitor	VEGFR inhibitor|KIT inhibitor|tyrosine kinase inhibitor	JAK inhibitor|disease modifying antirheumatic drug|immunosuppressant|MAP kinase inhibitor|tyrosine kinase inhibitor
target	na	na	na	na	na	na	na	na	CHRM1|CHRM2|CHRM3|CHRM4	TOP2A	DRD2|ABCG2|ADRA1A|CALM1|CALY|CAMK2A|DRD4|HRH1|HTR2A|HTR2C|S100A4|SCN4A|SCN9A|TNNC1		CA2|CA4|GRIK1|CA1|CA12|CA7|CYP2C19|CYP3A4|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|SCN1A|SCN5A	HTR2B|CHRM1|CHRM2|CHRNA7|DRD1|DRD2	SCNN1A|SCNN1B|SCNN1G|SCNN1D	ADRA2A|ADRA2B|ADRA2C|CYP1A2|NISCH	KCNJ1|KCNJ10	AGTR1|PPARG|CYP2C19|CYP2J2|PPARA	ABCC8|CYP2B6|CYP2C19|CYP2C8|KCNJ1|KCNJ11|KCNJ8	SLC6A2|SLC6A4|SLC6A3|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR1D|HTR2A|HTR2C|HTR3A	P2RY12|CYP2B6|CYP2C19	CYP2C19|CYP2C8|SQLE	HTR2A|DRD1|DRD2|HRH1	MTOR|PTEN	LTA4H|ANPEP|RNPEP	DNMT1	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB	JAK3|JAK1|JAK2|CYP2C19|TYK2
pc	na	na	na	na	na	na	na	na	0.60, 0.30	12.82, 8.09	4.97, 1.76	5.82, 3.83	7.61, 4.07	2.11, 1.22	5.07, 3.13	3.89, 1.40	6.29, 2.18	4.98, 2.73	2.17, 1.16	1.58, 0.84	4.22, 2.09	2.21, 0.60	1.18, 0.49	2.15, 0.62	9.51, 6.41	3.32, 1.25	6.05, 1.76	8.04, 4.47
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		10.00, 6.25	92.51	1.59, 0.52	92.57	34.57	82.00	91.93	90.96	68.47	93.17	91.87	96.68	99.54	66.56	82.85	97.03	97.85	67.38	95.86	99.23	98.73	92.44	99.26
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		15.00, 10.63	91.78	1.00, 0.30	99.98	83.52	41.03	70.86	98.76	69.34	95.28	98.45	97.65	58.10	83.83	17.08	99.40	96.95	77.56	88.64	82.48	97.99	94.92	98.52
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		8.02, 4.28	90.83	0.66, 0.20	90.97	93.88	91.17	98.27	96.95	54.12	75.76	98.80	98.91	62.72	77.27	79.72	82.02	92.05	74.27	89.97	90.70	95.36	95.01	59.89
BRD-K96134740	CP	kitasamycin	protein synthesis inhibitor			8.75, 6.88	90.52	1.08, 0.34	88.45	95.83	64.79	98.70	99.13	38.70	99.08	94.50	49.97	8.60	44.32	93.37	18.82	92.60	54.79	36.48	99.57	95.31	35.02	97.76
BRD-A07440155	CP	labetalol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRA1A, ADRA1D, ADRA1B		12.30, 8.02	90.13	0.61, 0.19	47.24	95.76	79.24	93.44	91.32	17.99	97.92	98.20	98.63	99.37	95.48	31.34	31.01	98.31	61.43	49.40	88.94	73.93	81.30	94.43
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			10.00, 6.88	89.77	1.58, 0.58	99.79	45.80	58.12	95.41	84.06	6.55	98.66	93.38	95.08	78.87	25.88	71.61	99.51	98.31	14.58	79.37	95.98	91.48	88.05	96.16
BRD-K97752965	CP	nicorandil	ATP channel activator, nitric oxide donor, potassium channel agonist	ABCC9, KCNJ11, KCNJ8		8.13, 5.00	89.53	2.11, 0.73	84.84	91.54	69.74	93.67	83.39	44.75	92.91	93.93	97.53	99.72	90.23	-0.32	99.30	96.26	30.74	41.52	99.57	88.47	88.84	73.19
BRD-A31575449	CP	CGP-20712	adrenergic receptor antagonist	ADRB1, ADRB3		12.30, 6.95	89.48	0.88, 0.32	58.05	99.72	89.86	98.66	54.85	89.10	66.75	35.53	95.67	95.57	99.37	96.63	44.78	23.46	92.50	12.95	20.01	75.32	94.65	91.28
BRD-A96107863	CP	nisoldipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNB2, CYP3A5	Calcium channel blocker	8.13, 5.63	88.99	1.45, 0.64	98.66	80.89	93.29	75.61	92.54	57.75	89.04	97.74	29.77	83.77	33.89	5.09	92.91	88.95	42.10	89.90	92.31	98.16	89.92	53.46
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		9.38, 2.50	87.60	0.99, 0.30	96.05	59.04	95.27	80.55	88.32	4.40	82.98	20.70	95.27	99.44	34.95	77.26	91.39	97.15	45.87	65.44	99.12	86.89	89.89	97.92
BRD-A65076780	CP	dihydroergocristine	adrenergic receptor antagonist, prolactin inhibitor, adrenergic receptor partial agonist, dopamine receptor agonist, dopamine receptor partial agonist, dopamine receptor partial antagonist, serotonin receptor antagonist	HTR2A, ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR3A, HTR4, HTR5A, HTR6, HTR7		9.60, 5.08	86.75	1.34, 0.35	86.16	-72.69	99.65	79.77	96.25	95.29	30.34	88.21	30.20	88.93	48.62	96.24	75.12	3.47	87.34	90.81	89.91	46.15	97.15	17.41
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		9.38, 6.25	86.73	1.74, 0.72	82.55	63.39	14.37	98.66	99.12	14.61	99.86	98.41	85.50	63.61	43.93	8.09	81.95	93.76	55.67	87.96	99.89	96.57	89.29	95.98
BRD-K18523449	CP	mestanolone	androgenic steroid		Androgen receptor modulator	6.88, 3.75	86.51	1.38, 0.44	99.44	93.68	7.38	64.78	93.05	18.27	94.65	80.15	92.42	25.45	4.44	23.85	92.56	97.71	39.04	68.60	95.65	96.30	92.21	80.80
BRD-K60160658	CP	tiagabine	GABA uptake inhibitor, GAT inhibitor	SLC6A1, CYP2C19		8.75, 5.00	86.32	1.98, 0.76	96.41	84.95	39.63	67.99	91.46	70.95	50.69	94.82	34.50	79.13	6.84	87.70	96.29	95.88	15.37	29.54	99.68	99.15	88.63	88.81
BRD-K85030058	CP	benactyzine	acetylcholine receptor antagonist			6.25, 3.75	86.03	1.19, 0.39	86.48	85.95	94.35	29.77	94.80	46.66	28.69	60.07	96.80	99.93	69.78	86.12	89.53	49.67	5.75	50.03	99.68	-46.94	89.10	99.51
BRD-K73196317	CP	urapidil	adrenergic receptor antagonist, serotonin receptor agonist	HTR1A		8.75, 5.00	85.73	1.93, 0.51	91.14	70.02	7.27	78.45	89.29	4.62	92.41	93.58	98.27	98.24	51.86	-8.40	96.99	82.17	22.16	59.86	91.65	92.82	28.84	94.22
BRD-K66296774	CP	fluvastatin	HMGCR inhibitor	HMGCR, CYP2C8	HMGCR inhibitor	11.23, 6.42	85.68	0.69, 0.13	83.02	-38.35	82.90	99.58	38.29	98.84	16.94	46.28	79.15	92.60	79.99	94.75	94.56	23.55	88.35	90.84	97.41	75.83	91.50	99.40
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		8.75, 5.63	85.65	1.17, 0.58	99.12	87.21	69.76	85.95	82.82	57.48	26.30	85.36	97.57	99.89	16.73	81.66	98.24	93.14	8.90	87.87	99.72	70.16	77.17	89.64
BRD-K01649396	CP	indatraline	norepinephrine transporter inhibitor, dopamine transporter inhibitor, dopamine uptake inhibitor, serotonin transporter (SERT) inhibitor, serotonin uptake inhibitor	SLC6A2, SLC6A3, SLC6A4		13.75, 8.13	85.32	1.58, 0.47	93.56	34.70	93.09	53.27	95.60	99.47	21.62	-0.67	20.89	76.49	34.79	97.69	24.94	80.12	92.60	92.28	8.68	90.52	93.90	98.72
BRD-A24381660	CP	zeranol	estrogen receptor agonist			11.88, 7.50	84.85	1.49, 0.59	89.36	55.02	51.33	98.26	97.36	1.59	99.71	99.79	90.29	50.79	44.29	59.06	88.94	98.70	60.96	91.41	80.77	99.82	18.00	65.49
BRD-K19352500	CP	prochlorperazine	dopamine receptor antagonist, dopamine receptor	DRD2, DRD1, DRD3, DRD4	Dopamine receptor antagonist	12.83, 7.49	84.84	0.93, 0.16	42.78	98.03	96.91	94.75	72.35	96.28	81.29	66.54	49.98	56.08	86.76	91.51	76.40	23.95	90.12	74.80	82.91	96.24	93.89	98.47
BRD-K82357231	CP	desloratadine	histamine receptor antagonist	HRH1		9.38, 6.25	84.74	0.78, 0.17	68.08	71.85	95.88	42.35	93.19	92.64	96.86	53.60	27.31	94.04	43.01	99.47	74.41	22.23	88.75	84.65	59.46	85.12	96.23	84.82
BRD-A34817987	CP	itraconazole	cell wall synthesis inhibitor, cytochrome P450 inhibitor, sterol demethylase inhibitor, VEGFR inhibitor	CYP3A5, CYP3A7, CYP51A1, KDR		13.37, 6.95	84.61	0.97, 0.13	64.00	84.87	92.41	77.72	99.72	91.51	87.26	86.37	75.31	36.91	51.63	84.35	39.63	82.30	85.59	94.66	27.28	96.21	98.42	77.69
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		5.35, 1.07	84.34	0.88, 0.15	90.91	47.25	54.71	97.64	99.15	73.79	49.52	42.80	96.79	84.85	40.34	85.18	96.15	48.17	88.44	83.83	63.74	86.48	90.97	76.86
BRD-K33106058	CP	cytarabine	antimetabolite, DNA polymerase inhibitor, DNA synthesis inhibitor, ribonucleotide reductase inhibitor	POLB, POLA1	Ribonucleotide reductase inhibitor	11.25, 5.63	84.26	1.28, 0.45	98.80	70.71	2.29	47.69	97.31	70.78	98.98	94.29	23.87	94.22	49.47	8.25	65.06	87.88	80.65	96.02	98.74	97.84	94.09	71.69
BRD-A41450521	CP	tosufloxacin	topoisomerase inhibitor			6.88, 3.75	84.22	1.20, 0.28	94.32	65.59	1.37	43.56	93.17	19.67	84.48	84.93	25.96	84.33	15.64	10.68	99.82	84.11	55.85	54.84	96.05	98.17	89.24	94.59
BRD-K62929068	CP	6-benzylaminopurine	purinergic receptor activator			7.34, 3.95	84.15	0.53, 0.08	83.26	99.86	46.03	79.70	97.11	43.50	46.52	92.77	97.65	91.23	6.37	14.60	88.08	53.79	33.43	58.34	89.94	85.04	88.69	86.18
BRD-A86044036	CP	flurbiprofen	cyclooxygenase inhibitor	PTGS1, PTGS2		7.34, 2.26	84.14	1.57, 0.39	91.31	26.62	70.65	90.41	74.31	36.46	93.24	80.45	39.00	98.40	75.15	1.13	95.39	90.85	38.43	58.75	97.08	93.57	87.83	88.13
BRD-K49668410	CP	clarithromycin	50S ribosomal subunit inhibitor	CYP2C19, CYP3A4, CYP3A5, CYP3A7		8.75, 6.88	83.95	1.41, 0.39	98.13	97.93	83.46	84.13	99.69	58.39	98.56	90.24	70.11	83.77	16.12	79.04	78.39	86.54	26.78	88.82	97.67	94.68	77.89	82.07
BRD-K54771420	CP	glycocholic-acid	cholesterol inhibitor	FABP6		6.95, 3.74	83.81	0.50, 0.11	82.92	97.04	4.42	98.17	32.13	67.35	90.23	38.37	92.87	99.47	86.42	-1.10	98.94	84.70	61.34	29.79	76.56	61.76	84.94	94.53
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		13.37, 6.95	83.77	0.91, 0.16	97.02	95.19	2.36	96.51	98.72	42.42	65.38	83.05	78.76	98.91	91.51	1.20	97.50	85.51	17.93	34.44	84.49	88.25	70.08	29.15
BRD-A29485665	CP	bicalutamide	androgen receptor antagonist	AR, CYP2C19		12.30, 5.35	83.75	0.67, 0.17	83.33	94.61	49.73	85.64	84.17	63.65	99.36	74.84	95.67	98.24	58.48	22.00	95.87	45.50	66.07	68.99	88.34	92.14	65.15	96.46
BRD-K57179821	CP	crotamiton	scabicidal, antipruritic			13.37, 5.35	83.56	1.06, 0.17	84.11	99.37	2.85	99.54	95.64	1.90	99.25	93.53	97.49	8.39	99.86	69.20	82.54	87.84	78.38	18.27	83.00	97.53	41.85	73.15
BRD-K70358946	CP	aripiprazole	serotonin receptor agonist, serotonin receptor antagonist, dopamine receptor agonist, dopamine receptor partial agonist, serotonin receptor partial agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7		6.25, 3.13	82.71	0.97, 0.19	92.81	-34.34	94.93	28.45	77.08	88.94	20.23	74.23	73.05	69.87	20.81	88.33	90.40	89.31	91.48	94.34	61.54	98.41	91.73	70.80
BRD-K10961822	CP	latanoprost	prostanoid receptor agonist	PTGFR		12.50, 6.88	82.62	1.78, 0.70	97.37	65.54	14.78	78.64	97.11	26.05	96.49	97.69	-8.53	98.87	77.25	19.76	93.28	53.23	65.89	79.40	96.24	99.86	88.82	85.83
BRD-A01320529	CP	salmeterol	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	11.76, 6.95	82.29	0.56, 0.09	51.29	28.74	96.23	44.35	83.34	94.24	90.46	46.99	7.24	87.01	81.56	97.53	45.53	46.68	94.65	83.03	42.25	91.89	94.68	74.13
BRD-K46556543	CP	canrenoic-acid	aldosterone antagonist			10.16, 7.49	82.28	1.34, 0.40	59.84	26.44	88.82	79.75	99.89	13.48	88.35	76.77	87.60	98.58	58.11	-1.76	98.84	68.16	27.43	84.80	93.62	88.27	69.90	90.45
BRD-K51671335	CP	sulpiride	carbonic anhydrase inhibitor, dopamine receptor, dopamine receptor antagonist	DRD2, CA7, DRD3, CA1, CA12	Dopamine receptor antagonist	8.13, 4.38	81.95	2.11, 0.84	84.12	55.79	0.18	89.19	82.45	21.09	99.35	97.78	95.67	89.14	66.50	1.09	97.63	71.16	2.99	81.46	86.95	80.49	81.23	86.36
BRD-K47323024	CP	methapyrilene	histamine receptor antagonist		HRH1 antagonist	6.78, 4.52	81.61	1.35, 0.44	55.88	69.58	38.20	93.48	83.92	20.26	93.25	98.06	21.33	79.30	88.35	0.18	56.63	89.20	74.20	90.62	92.83	84.22	78.34	96.37
BRD-K09132007	CP	D-4476	casein kinase inhibitor, TGF beta receptor inhibitor	CSNK1A1, CSNK1D, TGFB1	TGF beta receptor inhibitor	10.16, 6.42	81.49	1.18, 0.35	17.33	85.92	77.20	60.26	91.89	80.75	90.64	69.29	38.37	99.65	95.51	33.43	54.58	83.95	87.82	61.79	55.71	82.23	85.75	92.68
BRD-K16485616	CP	mocetinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC11	HDAC inhibitor	4.28, 1.07	81.39	1.90, 0.51	89.83	-92.56	93.98	98.04	94.31	62.44	59.10	84.02	42.74	78.76	23.27	33.58	94.83	68.32	77.41	91.63	86.59	74.42	97.61	86.67
BRD-K00532621	CP	midazolam	benzodiazepine receptor agonist, GABA benzodiazepine site receptor agonist	CYP3A5, CYP3A7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3	Benzodiazepine receptor agonist	6.25, 3.13	81.28	1.90, 0.82	90.74	83.04	88.41	57.66	88.67	3.31	42.25	92.62	92.17	91.05	27.42	87.03	44.43	56.01	20.82	81.23	27.82	95.21	81.32	78.16
