#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K28936863-summary	BRD-K78659596-summary	BRD-K37516142-summary	BRD-K93618743-summary	BRD-K49404994-summary	BRD-K49671696-summary	BRD-K08547377-summary	BRD-K92723993-summary	BRD-K38436528-summary	BRD-K93460210-summary	BRD-K78692225-summary	BRD-A72711497-summary	BRD-K02992638-summary	BRD-K60038276-summary	BRD-K10961822-summary	BRD-K09471561-summary	BRD-A48570745-summary	BRD-A95869247-summary	BRD-K88789588-summary	BRD-A90799790-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00			-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00		-666.00		-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP			A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	6 h			6 h	6 h	6 h	6 h	24 h	6 h	6 h		6 h	6 h	6 h	6 h		24 h		24 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM			10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM		10 µM		10 µM
num_cell	na	na	na	na	na	na	na	na	9.00	9.00			7.00	9.00	9.00	9.00	7.00	9.00	9.00		9.00	9.00	7.00	7.00		7.00		7.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00			1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00		1.00		1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00			1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00		1.00		1.00
tas_q75	na	na	na	na	na	na	na	na	0.28	0.55			0.28	0.22	0.48	0.26	0.20	0.19	0.25		0.30	0.30	0.41	0.31		0.13		0.17
icc	na	na	na	na	na	na	na	na	0.37	0.78			0.37	0.39	0.63	0.43	0.34	0.37	0.35		0.33	0.36	0.53	0.40		0.38		0.41
url	na	na	na	na	na	na	na	na	BRD-K28936863	BRD-K78659596			BRD-K49404994	BRD-K49671696	BRD-K08547377	BRD-K92723993	BRD-K38436528	BRD-K93460210	BRD-K78692225		BRD-K02992638	BRD-K60038276	BRD-K10961822	BRD-K09471561		BRD-A95869247		BRD-A90799790
query	na	na	na	na	na	na	na	na																				
description	na	na	na	na	na	na	na	na	histamine receptor ligand|leukotriene antagonist|phosphodiesterase inhibitor	proteasome inhibitor	calcium channel modulator|reducing agent	bone resorption inhibitor	acetylcholine receptor agonist|N-type calcium channel blocker|synaptic vesicle glycoprotein ligand	serotonin receptor antagonist|collagen stimulant	topoisomerase inhibitor	PDGFR tyrosine kinase receptor inhibitor|Bcr-Abl kinase inhibitor|KIT inhibitor|Abl kinase inhibitor|apoptosis stimulant|breast cancer resistance protein inhibitor|colony stimulating factor receptor inhibitor	norepinephrine reputake inhibitor|serotonin reuptake inhibitor|Sodium Channel  Blockers	glutamate release inhibitor|serotonin receptor inhibitor|Sodium Channel  Blockers|sodium channel blocker|voltage-gated sodium channel blocker	dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor|disease modifying antirheumatic drug|immunosuppressant|JAK inhibitor|STAT inhibitor	ionophore antibiotic	nucleoside reverse transcriptase inhibitor|reverse transcriptase inhibitor	angiotensin receptor antagonist|liver bile acid transporter inhibitor	prostanoid receptor agonist	topoisomerase inhibitor|DNA gyrase inhibitor	GABA receptor agonist|acetylcholine receptor allosteric modulator|GABA release stimulant|purinergic receptor allosteric modulator	carbonic anhydrase inhibitor|thiazide diuretic	aromatase inhibitor|estrogen receptor antagonist	calcium channel blocker|L-type calcium channel blocker
target	na	na	na	na	na	na	na	na	HRH1|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B|PDE8A|PDE8B|PGD	PSMB1			SV2A|CACNA1B|SCN1A	HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2B|HTR5A|HTR7|SLC18A1|SLC18A2	TOP1|CYP3A5|TOP1MT	ABL1|KIT|PDGFRA|BCR|CSF1R|PDGFRB|ABCG2|CYP2C19|CYP2C8|CYP3A5|DDR1|NTRK1|RET	SLC6A2|SLC6A4|CHRM2|ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM3|CHRM4|CHRM5|CYP2C19|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A3	SCN1A|SCN2A|SCN3A	DHODH|AHR|CYP2C19|JAK3|PTK2B|STAT6			AGTR1|JUN|SLC10A1	PTGFR	TOP2A	CHRNA7|GABRB3|GLRA3|P2RX7	KCNQ1|CA7|KCNE1|SLC12A3	CYP19A1	CACNA1C|CACNA1D|CACNA2D1|CACNA1F|CACNA1H|CACNA1S|CACNA2D2|CACNB2
pc	na	na	na	na	na	na	na	na	3.05, 1.58	2.16, 1.04	5.15, 2.85	3.20, 1.30	12.77, 6.87	3.73, 1.54	2.38, 0.71	5.77, 2.98	6.80, 4.04	2.93, 1.65	4.88, 2.57	1.86, 1.13	2.45, 1.03	7.34, 4.43	1.81, 0.68	3.24, 0.86	1.48, 0.84	5.07, 2.62	4.94, 3.00	5.91, 2.78
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-K39621635	CP	artemether	antimalarial, interacts with heme and with COX3	ATP1A1, CYP2B6, CYP2C19, CYP3A5		15.00, 9.38	94.38	1.15, 0.26	98.91	0.66	92.19	98.66	96.56	64.41	81.59	99.93	81.92	19.41	98.52	44.35	99.27	98.77	90.48	97.89	78.97	87.86	99.68	97.13
BRD-K33106058	CP	cytarabine	antimetabolite, DNA polymerase inhibitor, DNA synthesis inhibitor, ribonucleotide reductase inhibitor	POLB, POLA1	Ribonucleotide reductase inhibitor	16.88, 10.63	93.77	1.28, 0.45	21.42	91.11	99.93	98.83	96.94	58.25	99.58	32.82	51.02	99.82	90.12	80.72	96.95	93.85	98.56	96.92	73.16	93.69	89.65	95.03
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		17.50, 13.75	93.18	1.17, 0.58	99.93	8.08	98.81	98.16	97.57	76.31	80.26	87.00	67.27	99.93	94.55	13.62	97.64	78.88	98.41	31.60	77.56	91.81	99.51	98.27
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		15.00, 8.13	91.44	0.99, 0.30	96.77	0.56	99.40	95.68	86.26	99.75	79.80	99.93	83.60	78.84	95.82	0.00	92.67	97.89	92.52	67.21	62.85	74.22	95.95	90.37
BRD-K91699951	CP	benzonatate	non-narcotic cough suppressant thought to act as a local anesthetic	SCN5A		10.00, 6.11	90.81	0.69, 0.10	98.76	3.45	98.20	92.71	99.75	62.18	62.06	57.56	99.57	89.72	94.61	4.90	34.68	99.20	56.95	92.95	71.95	97.06	62.05	91.90
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		11.25, 6.88	90.81	1.59, 0.52	75.60	36.50	99.79	99.75	94.39	86.36	89.79	95.38	34.94	99.93	84.08	0.95	91.82	95.18	98.56	97.40	86.24	87.95	87.94	94.87
BRD-K55034111	CP	pefloxacin	topoisomerase inhibitor	TOP2A		13.75, 8.13	89.85	1.27, 0.40	17.30	0.74	92.49	98.07	99.86	74.87	94.63	89.15	99.79	96.16	82.77	-24.24	88.82	58.25	97.39	94.11	1.09	90.56	91.86	86.40
BRD-A70083328	CP	secnidazole	acetylcholinesterase inhibitor, microtubule inhibitor			11.88, 6.88	89.08	1.44, 0.48	97.64	49.02	99.08	91.78	99.86	95.92	86.37	94.68	34.27	55.78	98.34	0.93	97.92	40.36	91.85	96.76	70.99	81.71	63.49	65.99
BRD-K44353683	CP	nateglinide	insulin secretagogue, ATP-sensitive potassium channel antagonist, meglitinide, sulphonylurea receptor activator	ABCC8, KCNJ11, CYP3A4, INS, KCNJ10, PPARG		13.13, 7.50	88.12	1.57, 0.31	74.12	17.05	94.41	99.68	96.83	32.64	74.85	74.42	57.27	89.55	92.51	-55.26	95.45	99.61	97.99	98.66	70.55	86.69	95.79	41.92
BRD-K59456551	CP	methotrexate	dihydrofolate reductase inhibitor, disease modifying antirheumatic drug, folate receptor antagonist, immunosuppressant, thymidylate synthase inhibitor	DHFR, AOX1, FOLR1, TYMS	Dihydrofolate reductase inhibitor	11.88, 7.50	87.18	0.97, 0.23	93.38	-0.50	82.88	99.89	95.54	31.55	97.20	1.83	63.40	93.37	89.44	73.90	86.37	79.52	93.53	94.90	88.75	87.99	77.55	-0.28
BRD-K47278471	CP	diphenhydramine	histamine receptor antagonist	HRH1		11.25, 6.25	85.08	1.67, 0.52	66.93	18.53	87.40	90.12	96.48	55.70	79.16	56.12	82.77	99.37	90.14	41.12	98.16	30.94	97.25	61.76	36.19	97.37	93.54	92.67
BRD-K49668410	CP	clarithromycin	50S ribosomal subunit inhibitor	CYP2C19, CYP3A4, CYP3A5, CYP3A7		15.63, 11.25	85.01	1.41, 0.39	50.66	35.07	99.93	95.63	91.88	73.37	65.75	67.07	92.51	99.41	64.05	4.09	97.36	59.93	97.80	81.37	37.09	97.89	98.34	88.64
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		4.44, 1.67	84.28	0.36, 0.09	81.17	69.89	85.11	89.81	94.00	41.05	92.34	74.20	83.46	95.83	93.64	36.23	72.39	86.17	91.63	82.63	64.57	95.84	78.93	97.25
BRD-K94649603	CP	taxifolin	apolipoprotein secretion inhibitor, beta amyloid aggregation inhibitor, cholesterol biosynthesis inhibitor, HMGCR inhibitor, NFkB pathway modulator, opioid receptor antagonist, reverse transcriptase inhibitor	APOB, APP, HMGCR		10.63, 10.00	84.17	2.00, 0.70	99.86	0.53	93.50	85.43	57.09	0.87	75.06	95.32	91.13	82.50	62.94	12.65	99.86	84.99	99.06	67.04	23.58	90.27	83.35	98.91
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		7.78, 3.33	84.15	0.66, 0.20	55.73	35.54	93.31	91.35	96.88	93.79	53.66	89.89	80.74	92.20	64.62	2.54	89.74	87.32	51.42	80.99	67.01	98.59	45.69	98.52
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		14.38, 11.25	83.81	1.00, 0.30	75.82	11.23	98.38	99.93	98.27	81.73	86.28	99.24	72.66	99.58	64.88	1.13	84.04	61.00	97.18	99.40	40.15	83.58	57.98	97.68
BRD-K06147391	CP	telenzepine	acetylcholine receptor antagonist	CHRM1		6.11, 3.89	83.19	0.53, 0.17	88.43	69.54	98.91	89.84	92.63	87.27	80.92	24.03	30.75	42.16	36.68	1.55	72.18	99.00	91.34	94.31	20.71	66.54	85.47	87.62
BRD-K62374253	CP	rufloxacin	topoisomerase inhibitor		Bacterial DNA gyrase inhibitor	6.88, 2.50	83.18	1.00, 0.24	65.98	-0.74	91.35	97.47	82.33	85.78	44.99	94.40	54.30	49.53	98.45	1.52	82.95	85.58	91.39	96.24	66.40	85.82	22.91	83.42
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			8.89, 2.78	83.12	0.77, 0.24	68.75	29.21	97.37	72.23	97.19	90.48	85.14	97.15	-4.09	50.09	81.10	18.63	33.13	96.19	88.79	96.62	48.53	18.44	99.54	85.35
BRD-A11135865	CP	nor-binaltorphimine	opioid receptor antagonist			8.82, 4.12	82.97	0.80, 0.19	96.18	69.81	99.08	95.24	81.48	58.70	0.35	97.96	96.12	99.06	94.73	51.73	28.58	38.43	84.19	67.08	29.53	97.68	81.74	84.63
BRD-A24381660	CP	zeranol	estrogen receptor agonist			12.50, 7.50	82.76	1.49, 0.59	4.92	12.66	98.88	98.82	96.48	94.93	87.88	49.90	95.54	99.02	57.79	0.83	20.35	30.72	99.58	77.64	44.98	96.46	99.22	70.58
BRD-A96107863	CP	nisoldipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNB2, CYP3A5	Calcium channel blocker	11.25, 5.63	82.66	1.45, 0.64	92.33	52.24	97.38	99.44	98.34	8.54	90.59	69.77	10.77	65.97	19.21	83.12	9.09	91.94	97.16	70.04	82.19	41.35	91.78	98.11
BRD-K50464341	CP	berbamine	calmodulin antagonist	CALM1	Calmodulin antagonist	7.65, 3.53	82.44	1.76, 0.69	43.37	48.75	93.80	81.36	83.53	86.28	26.88	89.38	99.93	30.12	64.07	98.73	51.27	13.26	92.82	96.29	84.43	91.99	31.57	74.06
BRD-K04710043	CP	hexamethylenebisacetamide	differentiation inducer, NFKB inhibitor, AKT inhibitor			10.63, 7.50	82.25	2.07, 0.75	84.67	44.23	94.27	99.86	95.90	36.62	16.59	6.57	77.00	99.46	66.52	1.27	78.84	87.81	98.44	84.63	24.39	87.73	79.87	92.60
BRD-K34533029	CP	tyrphostin-AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		8.89, 3.89	82.15	0.81, 0.25	46.83	89.68	92.92	87.05	70.83	80.06	93.15	97.18	5.60	33.19	84.25	94.49	66.79	46.56	84.49	95.49	63.83	94.28	38.83	72.08
BRD-K51018020	CP	VAMA-37	DNA dependent protein kinase, DNA dependent protein kinase inhibitor, PI3K inhibitor	PRKDC	DNA dependent protein kinase inhibitor	7.06, 2.35	81.49	1.39, 0.48	34.43	1.85	89.35	94.81	73.67	13.90	16.06	62.88	97.33	97.09	78.03	84.96	53.85	72.47	89.93	69.32	89.88	96.42	93.70	99.33
BRD-K17743125	CP	belinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor	2.78, 1.11	81.36	1.84, 0.53	32.70	89.05	79.76	88.50	99.33	91.14	85.32	18.41	85.70	73.80	82.96	91.49	7.63	50.46	88.74	90.31	49.40	36.68	17.52	12.65
BRD-A66563878	CP	medetomidine	adrenergic receptor agonist, MAP kinase inhibitor	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D		8.82, 5.88	81.22	1.22, 0.45	79.83	2.85	99.01	74.71	71.77	81.18	13.35	96.28	93.25	99.30	95.86	0.92	76.65	98.91	85.94	76.49	61.65	99.10	81.26	99.75
BRD-K26241953	CP	piceatannol	syk inhibitor, cyclooxygenase inhibitor, nitric oxide synthase inhibitor, SIRT activator, tyrosinase inhibitor, tyrosine kinase inhibitor	ATP5A1, ATP5B, ATP5C1, IRF3, PTGS2, SIRT1, SYK, TYR		8.33, 4.44	81.18	1.05, 0.30	75.47	82.14	98.80	78.23	74.45	94.14	93.70	66.08	80.22	27.30	88.62	85.15	9.49	53.11	94.19	55.41	84.00	98.57	32.64	90.14
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		6.11, 1.67	81.17	0.88, 0.15	96.58	90.59	80.68	96.79	81.31	58.24	93.29	52.55	99.93	81.03	92.14	71.26	73.12	66.55	97.83	95.57	73.80	94.48	27.60	74.81
BRD-K76907295	CP	VU-0418947-2	hypoxia inducible factor activator		HIF activator	12.50, 7.50	81.08	1.82, 0.63	7.99	98.27	99.05	64.84	91.72	-13.40	92.78	88.34	91.76	39.81	80.71	99.22	7.93	35.18	87.37	77.12	98.40	7.95	3.17	81.45
BRD-K93034159	CP	cladribine	adenosine deaminase inhibitor, antimetabolite, DNA synthesis inhibitor, immunosuppressant, ribonucleotide reductase inhibitor	ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B	Ribonucleotide reductase inhibitor	11.11, 5.00	81.04	1.42, 0.52	3.70	92.90	86.19	65.33	95.71	68.20	99.61	72.27	59.38	64.25	36.94	84.43	77.65	88.82	96.27	85.82	89.04	88.73	3.00	75.94
BRD-K97752965	CP	nicorandil	ATP channel activator, nitric oxide donor, potassium channel agonist	ABCC9, KCNJ11, KCNJ8		13.75, 9.38	80.91	2.11, 0.73	73.24	22.61	99.00	98.08	99.75	68.50	70.25	28.26	55.24	97.78	99.15	0.47	76.93	74.77	98.66	96.06	23.07	92.51	89.37	84.89
BRD-K60160658	CP	tiagabine	GABA uptake inhibitor, GAT inhibitor	SLC6A1, CYP2C19		13.75, 8.75	80.58	1.98, 0.76	94.54	-11.03	89.28	99.51	48.51	59.63	93.39	97.97	55.17	99.93	81.38	-0.92	44.94	28.31	99.61	79.78	57.87	92.40	45.62	98.91
BRD-K20482099	CP	rutin	aldose reductase inhibitor, antioxidant, capillary stabilizing agent, nitric oxide scavenger, prolyl 4-hydroxylase inhibitor	AKR1C3, AKR1B1, F10		7.22, 4.44	80.55	0.81, 0.10	96.08	2.00	47.87	96.35	96.20	77.02	-39.96	81.57	98.69	87.00	69.07	11.55	81.90	67.65	79.53	86.23	51.61	92.42	92.93	61.69
BRD-K00532621	CP	midazolam	benzodiazepine receptor agonist, GABA benzodiazepine site receptor agonist	CYP3A5, CYP3A7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3	Benzodiazepine receptor agonist	11.88, 9.38	80.48	1.90, 0.82	54.42	58.86	84.70	95.73	75.44	64.54	92.37	87.24	86.80	91.29	55.09	0.92	79.98	62.70	99.51	86.41	62.37	80.97	19.02	99.12
BRD-A59303141	CP	quinethazone	diuretic	CA1, CA2, SLC12A1, SLC12A2, SLC12A3	Na-K-Cl transporter inhibitor	9.41, 4.71	80.47	1.09, 0.31	79.86	4.49	93.19	92.57	97.01	33.45	3.28	66.10	97.84	89.57	90.37	2.36	59.84	81.09	42.30	30.01	31.35	99.30	96.67	84.65
BRD-K16485616	CP	mocetinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC11	HDAC inhibitor	4.44, 2.78	80.27	1.90, 0.51	38.14	55.21	32.82	87.61	97.17	92.51	94.55	32.76	58.69	79.91	99.33	46.61	37.20	97.13	90.12	83.75	80.63	62.15	91.74	63.21
BRD-A17535965	CP	gelsemine	acetylcholine receptor antagonist, glycine receptor antagonist	GLRA3		5.29, 1.76	79.90	0.97, 0.31	55.68	55.26	91.95	85.74	99.75	64.43	57.62	37.76	88.69	80.85	93.81	15.34	94.23	87.20	72.12	78.95	16.09	94.88	51.96	92.13
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			8.75, 4.38	79.59	1.27, 0.26	81.96	59.57	70.80	96.55	53.92	79.51	3.46	82.40	99.89	82.37	79.66	13.23	98.36	16.22	75.95	78.11	69.31	96.98	95.86	93.47
BRD-A86044036	CP	flurbiprofen	cyclooxygenase inhibitor	PTGS1, PTGS2		8.82, 5.29	79.56	1.57, 0.39	81.83	61.24	84.52	77.28	95.57	29.35	15.61	65.03	28.41	99.19	82.47	-0.28	41.80	91.68	93.90	83.18	65.50	96.44	98.88	50.48
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		7.22, 2.22	79.51	0.91, 0.16	59.57	6.09	94.12	93.25	98.55	79.10	46.83	95.02	79.92	85.58	48.16	-1.91	37.97	96.27	85.99	90.00	53.06	77.42	47.32	86.33
BRD-K60623809	CP	SU-11652	FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, tyrosine kinase receptor & angiogenic inhibitor, VEGFR inhibitor	KDR, PDGFRB, CAMK1G, FGF2, FGFR1, FLT1, KIT, PDGFRA		7.06, 2.94	79.41	3.73, 0.84	64.67	85.95	7.90	25.07	96.86	79.22	96.09	99.43	92.64	48.23	96.08	81.68	26.69	43.30	62.47	84.69	89.11	79.60	78.98	45.91
BRD-K70358946	CP	aripiprazole	serotonin receptor agonist, serotonin receptor antagonist, dopamine receptor agonist, dopamine receptor partial agonist, serotonin receptor partial agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7		8.13, 5.00	79.28	0.97, 0.19	28.75	48.60	78.78	87.90	80.16	61.68	79.83	76.56	96.73	92.56	45.80	91.16	18.47	23.50	98.34	79.79	88.89	71.47	65.87	88.70
