#1.3
2429	32	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K31627533-summary	BRD-A08187463-summary	BRD-K28183345-summary	BRD-A55913614-summary	BRD-K95921201-summary	BRD-A39390670-summary	BRD-K49111258-summary	BRD-K51485625-summary	BRD-K21283037-summary	BRD-A10070317-summary	BRD-A62525898-summary	BRD-A26334849-summary	BRD-K48168960-summary	BRD-K72222507-summary	BRD-K19352500-summary	BRD-K28667793-summary	BRD-K70505054-summary	BRD-K30563334-summary	BRD-K88429204-summary	BRD-K05658747-summary	BRD-A21858158-summary	BRD-K75699339-summary	BRD-A59174698-summary	BRD-K68867920-summary	BRD-K97399794-summary	BRD-K59273480-summary	BRD-A97674275-summary	BRD-K53857191-summary	BRD-K42098891-summary	BRD-K01638814-summary	BRD-K32247306-summary	BRD-K63828191-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00	-666.00			-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP			A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	6 h	6 h			6 h	6 h	6 h	6 h	6 h		6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	24 h	6 h	6 h	6 h	24 h	6 h	24 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM	10 µM			10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00	9.00	9.00			7.00	9.00	7.00	9.00	9.00		9.00	8.00	9.00	9.00	8.00	9.00	7.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	7.00	9.00	9.00	9.00	8.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00	1.00			1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00	1.00			1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.27	0.20	0.19			0.19	0.31	0.16	0.22	0.19		0.30	0.24	0.20	0.21	0.27	0.24	0.21	0.23	0.12	0.16	0.21	0.19	0.33	0.38	0.20	0.22	0.24	0.32	0.19	0.24	0.41
icc	na	na	na	na	na	na	na	na	0.34	0.44	0.37			0.41	0.41	0.38	0.33	0.41		0.41	0.47	0.40	0.41	0.47	0.43	0.59	0.39	0.36	0.39	0.40	0.38	0.52	0.56	0.41	0.35	0.37	0.40	0.49	0.37	0.56
url	na	na	na	na	na	na	na	na	BRD-K31627533	BRD-A08187463	BRD-K28183345			BRD-A39390670	BRD-K49111258	BRD-K51485625	BRD-K21283037	BRD-A10070317		BRD-A26334849	BRD-K48168960	BRD-K72222507	BRD-K19352500	BRD-K28667793	BRD-K70505054	BRD-K30563334	BRD-K88429204	BRD-K05658747	BRD-A21858158	BRD-K75699339	BRD-A59174698	BRD-K68867920	BRD-K97399794	BRD-K59273480	BRD-A97674275	BRD-K53857191	BRD-K42098891	BRD-K01638814	BRD-K32247306	BRD-K63828191
query	na	na	na	na	na	na	na	na																																
description	na	na	na	na	na	na	na	na	glucocorticoid receptor agonist|immunosuppressant|mineralocorticoid receptor agonist	enkephalinase inhibitor|membrane metalloendopeptidase inhibitor|neprilysin inhibitor	dihydrofolate reductase inhibitor	antimalarial agent|DNA inhibitor	vesicular monoamine transporter inhibitor	ATPase inhibitor|gastrin inhibitor	adrenergic receptor antagonist|adrenergic receptor blocker|CDK inhibitor	HIV protease inhibitor|cytochrome P450 inhibitor	glutamate release inhibitor|dopamine receptor agonist|glutamate receptor antagonist|potassium channel blocker|Sodium Channel  Blockers|sodium channel blocker	adrenergic receptor antagonist	glucocorticoid receptor agonist	antiarrhythmic medication|potassium channel blocker|voltage-gated sodium channel blocker	thyroperoxidase inhibitor	angiotensin converting enzyme inhibitor	dopamine receptor antagonist|dopamine receptor	fatty acid synthase inhibitor	histamine receptor antagonist	DNA directed DNA polymerase inhibitor|DNA directed RNA polymerase inhibitor|protein synthesis inhibitor	dihydrofolate reductase inhibitor|hexosaminidase stimulant|pharmacological chaperone|STAT inhibitor	HIV integrase inhibitor	membrane permeability enhancer|schistosomicide	serotonin receptor agonist	adrenergic receptor agonist	dopamine receptor antagonist|serotonin receptor antagonist|adrenergic receptor antagonist|histamine receptor antagonist	aldose reductase inhibitor|cytokine production inhibitor|EGFR inhibitor|glucosidase inhibitor|monoamine oxidase inhibitor|polar auxin transport inhibitor|quorum sensing signaling modulator|SIRT activator|sodium channel blocker|tyrosine phosphatase inhibitor|xanthine oxidase inhibitor	acetylcholinesterase inhibitor|adenosine reuptake inhibitor|adenosine uptake inhibitor|phosphodiesterase inhibitor	fatty acid oxidation partial inhibitor|Sodium Channel  Blockers|sodium channel blocker	dopamine receptor antagonist|serotonin receptor antagonist|adrenergic receptor antagonist	tricyclic antidepressant (TCA)	adrenergic receptor agonist|imidazoline receptor agonist	GABA receptor antagonist|unidentified pharmacological activity	estrogen receptor antagonist|selective estrogen receptor modulator (SERM)|ALK expression enhancer|cholesterol inhibitor|endoglin expression enhancer|estrogen receptor agonist
target	na	na	na	na	na	na	na	na	NR3C1|SERPINA6	MME	CYP2C19|DHFR	KRT7|NQO2	SLC18A2|SLC18A1	ATP4A|CYP2C19	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CDK1|KCNH2|KCNH6|KCNH7	CYP3A4|CYP1A2|CYP2B6|CYP2C19|CYP3A5|CYP3A7	KCND3|KCNK10|KCNK2|KCNK4|KCNN4|SCN5A|SLC7A11	ADRB2|ADRB3|ADRB1|CYP2C19|HTR1A|HTR1B	NR3C1|HSD11B1	KCNH2|SCN5A|ADRB1|ADRB2|KCNA5|KCNK2|KCNK3	TPO|DIO1	ACE	DRD2|DRD1|DRD3|DRD4	FASN	HRH2|SLC22A2	CYP3A4|HSP90AA1|HSP90B1	DHFR|DHFRP1|HEXA|SLC47A1|STAT3			HTR1D|HTR1B|HTR1F|HTR1A|HTR1E	ADRB2	DRD2|HTR1A|HTR2A|DRD1|HRH1|HTR1D|HTR1E|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD3|DRD4|DRD5|HTR1B|HTR1F|HTR2C|HTR3A|HTR6|HTR7|SLC6A2	PIK3CG|AKR1B1|ATP5A1|ATP5B|ATP5C1|CYP2C8|EGFR|GAA|HCK|HIBCH|MAOA|PIM1|PTPN1|SCN5A|SIRT1|STK17B|UGT3A1|XDH	ACHE	SCN9A|SCN10A|SCN5A|SLC22A2	DRD2|HTR2A|ADRA1A|ADRA1B|DRD3|HRH1|HTR1A|HTR1D|HTR2C|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CYP3A5|DRD1|DRD4|HTR1B|HTR1E|HTR1F|HTR6|HTR7	SLC6A2|SLC6A4	NISCH	GABRA1|CHRNA4|CHRNA7|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2	ESR1|ESR2|ACVRL1|ENG
pc	na	na	na	na	na	na	na	na	2.35, 0.46	3.95, 1.85	2.86, 1.17	3.43, 1.71	1.62, 0.79	1.61, 0.60	3.06, 1.69	3.69, 1.58	2.31, 1.33	7.97, 3.98	5.95, 3.13	5.92, 3.54	5.34, 3.07	5.99, 3.27	2.49, 1.27	5.49, 2.59	8.65, 3.51	1.46, 0.64	4.91, 2.42	7.79, 3.83	4.18, 1.73	2.98, 1.68	6.16, 2.47	3.41, 1.74	3.86, 2.03	4.17, 2.14	5.92, 3.93	5.67, 3.32	5.00, 2.31	5.46, 2.25	3.90, 2.27	19.73, 15.29
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		12.55, 7.84	91.24	1.17, 0.58	59.33	95.93	87.39	99.86	73.85	95.93	79.90	94.26	0.46	78.67	88.59	95.70	97.74	88.80	52.32	97.07	82.67	99.08	93.22	99.93	91.68	85.17	73.75	23.75	90.80	47.93	99.93	99.37	99.54	75.65	96.99	94.99
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		10.20, 4.31	89.42	1.59, 0.52	64.44	82.92	59.06	55.50	63.10	92.28	96.68	86.57	29.24	98.48	95.67	97.89	92.70	71.32	79.74	92.89	64.01	98.77	52.75	99.75	96.32	97.36	58.30	93.27	72.56	94.20	74.06	35.95	94.43	39.47	99.19	96.88
BRD-K53220666	CP	trimetozine	compound with mild tranquilizing effects			9.42, 4.87	88.81	1.00, 0.33	94.73	98.56	86.67	90.21	52.13	55.22	25.00	94.20	8.35	28.84	26.88	89.97	90.25	99.65	54.54	90.80	78.82	92.38	97.20	96.53	29.41	18.93	61.90	87.64	59.64	61.15	95.80	84.21	94.12	96.55	99.93	93.92
BRD-K45033733	CP	famciclovir	DNA polymerase inhibitor, DNA directed DNA polymerase inhibitor		DNA polymerase inhibitor	12.66, 6.82	86.12	0.38, 0.10	85.83	89.97	67.02	80.26	31.90	89.97	97.94	79.79	4.08	53.97	72.27	88.70	94.40	99.65	94.92	86.41	86.72	91.47	97.71	88.01	60.37	81.04	81.25	94.83	56.79	71.13	83.41	83.03	96.41	92.04	99.54	76.36
BRD-K54759182	CP	dosulepin	adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1		6.82, 3.90	86.11	1.30, 0.30	1.61	91.91	76.45	40.83	65.35	90.23	97.50	87.97	3.24	86.13	36.88	99.15	96.59	92.71	15.21	63.40	24.89	86.62	61.34	97.49	70.53	33.95	92.11	63.52	66.57	70.24	86.10	97.43	98.02	91.63	88.37	96.28
BRD-A31575449	CP	CGP-20712	adrenergic receptor antagonist	ADRB1, ADRB3		12.66, 6.82	86.01	0.88, 0.32	92.54	99.51	63.61	68.19	84.79	7.39	97.76	83.68	16.77	89.67	27.79	42.04	93.64	95.95	93.53	85.59	98.70	56.01	53.16	97.89	29.85	63.40	99.86	97.88	86.74	6.27	69.72	61.46	99.16	87.85	99.06	86.43
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		5.84, 2.92	85.39	0.97, 0.15	50.19	97.79	86.68	35.22	67.09	75.47	55.78	92.75	47.34	84.10	79.45	65.31	95.83	97.05	65.62	94.61	92.21	91.33	22.24	91.11	89.30	91.92	82.08	98.74	79.34	94.51	81.36	62.86	98.91	75.86	97.97	94.34
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		5.19, 2.27	84.63	0.66, 0.20	92.93	86.19	91.48	49.12	58.08	53.60	68.90	89.80	21.51	94.70	81.03	82.99	61.36	16.93	88.86	89.75	93.82	77.00	98.91	66.81	90.47	37.48	80.60	85.28	83.84	96.68	84.56	87.43	92.65	84.70	47.80	98.45
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		4.22, 0.97	84.56	0.36, 0.09	90.16	96.41	51.24	57.56	75.94	94.13	83.82	29.40	31.33	74.54	94.57	95.73	85.90	90.21	15.58	96.01	65.47	79.72	85.78	96.94	83.21	62.94	70.98	73.55	85.38	98.34	82.50	96.03	85.31	97.18	89.20	62.13
BRD-A11135865	CP	nor-binaltorphimine	opioid receptor antagonist			6.71, 3.53	84.15	0.80, 0.19	61.88	36.78	70.28	86.18	55.62	95.23	72.09	89.96	78.79	79.35	85.92	33.28	80.03	28.31	14.18	95.77	92.43	91.62	20.45	86.31	89.97	92.43	83.68	96.26	94.61	99.65	84.61	97.17	62.43	64.68	98.94	22.49
BRD-A93206962	CP	L-755507	adrenergic receptor agonist, adrenergic receptor partial agonist	ADRB3, ADRB1, ADRB2		11.04, 5.19	83.84	0.58, 0.15	80.66	52.89	96.42	97.08	93.52	26.54	96.15	99.01	12.33	71.09	88.78	89.94	84.58	97.96	90.00	50.70	83.41	74.62	90.87	82.08	39.23	82.24	92.70	55.11	71.80	15.63	60.65	5.16	96.19	85.34	84.27	98.80
BRD-A70649075	CP	sulconazole	sterol demethylase inhibitor, cell wall synthesis inhibitor			7.14, 4.22	83.66	0.64, 0.11	92.13	98.98	68.69	83.66	87.99	67.52	98.50	87.00	1.41	88.62	84.76	98.01	80.97	36.56	57.75	71.88	97.50	16.49	78.07	28.61	92.63	48.35	97.23	69.68	90.75	85.68	49.41	56.93	96.54	26.22	83.65	87.31
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		8.77, 4.55	83.51	0.88, 0.15	70.56	95.20	18.72	68.09	84.35	78.71	96.83	93.73	11.74	81.51	97.02	86.68	96.51	99.68	70.78	98.73	88.79	96.31	92.47	80.20	82.68	55.35	68.47	97.65	93.57	73.60	67.25	70.19	92.64	66.28	17.53	97.92
BRD-A78942461	CP	ICI-118551	adrenergic receptor antagonist			7.42, 3.89	83.49	1.08, 0.27	64.49	93.48	89.78	96.44	38.29	98.24	7.36	44.53	98.06	91.04	99.54	13.43	79.40	40.23	13.00	65.81	48.85	92.36	24.04	85.19	91.91	13.81	81.78	68.28	94.61	99.52	30.85	98.72	95.46	70.43	99.51	98.03
BRD-K38323065	CP	phenacetin	cyclooxygenase inhibitor	PTGS1	Cyclooxygenase inhibitor	10.71, 5.19	83.17	0.81, 0.15	75.83	80.84	91.45	90.99	25.35	95.28	98.80	50.83	29.03	17.68	43.23	99.68	92.39	88.94	33.09	71.21	87.28	52.89	88.12	97.08	85.47	99.41	75.25	78.83	2.57	95.41	82.40	13.77	89.17	83.94	87.96	-3.32
BRD-K04170657	CP	psoromic-acid	Rab-Prenylation Inhibitor			10.90, 7.05	82.69	1.73, 0.28	96.60	83.98	71.55	-3.73	81.40	99.40	87.26	53.31	11.73	24.99	-9.88	91.80	61.35	65.32	-3.76	87.28	99.37	27.50	97.34	98.31	89.51	57.96	65.87	97.89	33.51	99.54	99.86	97.03	68.42	95.42	99.93	4.02
