#1.3
2429	29	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A58048407-summary	BRD-K21680192-summary	BRD-A26711594-summary	BRD-K13646352-summary	BRD-K78485176-summary	BRD-A65280694-summary	BRD-K67080878-summary	BRD-A24228527-summary	BRD-A64977602-summary	BRD-A19736161-summary	BRD-K77771411-summary	BRD-K52020312-summary	BRD-K35960502-summary	BRD-K85606544-summary	BRD-A01787639-summary	BRD-K81528515-summary	BRD-K18895904-summary	BRD-K91263825-summary	BRD-K05395900-summary	BRD-K76775527-summary	BRD-K28912512-summary	BRD-A03623303-summary	BRD-K07237224-summary	BRD-K02113016-summary	BRD-K76810206-summary	BRD-K15502390-summary	BRD-K44353683-summary	BRD-K74141488-summary	BRD-A53576514-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	4212.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	MCF7	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	24 h	24 h	24 h	6 h	6 h	24 h		6 h	6 h	6 h	6 h	6 h	24 h	6 h	6 h	24 h	6 h		24 h	6 h	6 h	6 h	6 h	24 h	6 h	6 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	8.00	6.00	8.00	9.00	9.00	7.00		8.00	9.00	9.00	9.00	7.00	8.00	9.00	7.00	9.00	7.00		7.00	9.00	9.00	9.00	7.00	1.00	9.00	8.00	7.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.21	0.79	0.42	0.37	0.42	0.29		0.28	0.27	0.29	0.18	0.33	0.71	0.37	0.19	0.59	0.15		0.21	0.26	0.34	0.16	0.18	0.21	0.25	0.18	0.21	0.17	0.28
icc	na	na	na	na	na	na	na	na	0.40	0.73	0.41	0.63	0.49	0.50		0.52	0.42	0.36	0.36	0.45	0.73	0.67	0.39	0.60	0.30		0.44	0.43	0.50	0.41	0.38	1.00	0.42	0.40	0.40	0.34	0.46
url	na	na	na	na	na	na	na	na	BRD-A58048407	BRD-K21680192	BRD-A26711594	BRD-K13646352	BRD-K78485176	BRD-A65280694		BRD-A24228527	BRD-A64977602	BRD-A19736161	BRD-K77771411	BRD-K52020312	BRD-K35960502	BRD-K85606544	BRD-A01787639	BRD-K81528515	BRD-K18895904		BRD-K05395900	BRD-K76775527	BRD-K28912512	BRD-A03623303	BRD-K07237224	BRD-K02113016	BRD-K76810206	BRD-K15502390	BRD-K44353683	BRD-K74141488	BRD-A53576514
query	na	na	na	na	na	na	na	na																													
description	na	na	na	na	na	na	na	na	calcium channel blocker|L-type calcium channel blocker	topoisomerase inhibitor|DNA intercalating drug|HCV inhibitor|immunosuppressant|Pim kinase inhibitor	calcium channel blocker|L-type calcium channel blocker	FLT3 inhibitor|KIT inhibitor|PKC inhibitor|angiogenesis inhibitor|cell cycle inhibitor|cyclin inhibitor|histamine release inhibitor|multi targeted kinase inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR antagonist|VEGFR inhibitor	angiotensin receptor antagonist|angiotensin antagonist	dopamine receptor antagonist	phosphodiesterase inhibitor	antibiotic that inhibits DNA gyrase|topoisomerase inhibitor	adrenergic receptor antagonist|serotonin receptor antagonist	serotonin receptor antagonist	imidazoline receptor agonist|adrenergic receptor agonist	DNA inhibitor	DNA replication inhibitor|STAT inhibitor	EGFR inhibitor|receptor tyrosine protein kinase inhibitor|tyrosine kinase inhibitor	adrenergic receptor antagonist|calcium channel antagonist	Bcr-Abl kinase inhibitor|Abl kinase inhibitor|discoidin domain containing receptor inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	dopamine receptor antagonist|serotonin receptor antagonist	PI3K inhibitor|potassium channel blocker|tricyclic antidepressant (TCA)	acetylcholine receptor agonist	cyclooxygenase inhibitor|matrix metalloprotease inhibitor|prostanoid receptor inhibitor	oxidoreductase stimulant|protein synthesis stimulant	adrenergic receptor antagonist	monoamine oxidase inhibitor	PARP inhibitor|DNA repair enzyme inhibitor	adrenergic receptor antagonist	non-nucleoside reverse transcriptase inhibitor|reverse transcriptase inhibitor	insulin secretagogue|ATP-sensitive potassium channel antagonist|meglitinide|sulphonylurea receptor activator	squalene epoxidase inhibitor|steroid sulfatase inhibitor	acetylcholine receptor antagonist
target	na	na	na	na	na	na	na	na	CACNA1C|NR3C2|AHR|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CFTR	TOP2A|PIM1	CACNA1C|ADORA3|ADRA1A|ADRA1B|ADRA1D|CACNA1D|CACNA2D1|CACNB2|CALM1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|PDE1A|PDE1B	FLT3|KIT|CCNB1|FLT1|KDR|PDGFRB|PRKCA|PRKCG|VEGFA	AGTR1	DRD2|HTR2A|CHRM1|DRD5|HRH1|HTR1A	PDE3A|PDE2A|PDE3B|PDE5A	TOP2A	ADRA2A|HTR2A|HTR2C|ADRA2C|HTR3A|ADRA1A|ADRA1B|ADRA1D|ADRA2B|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD5|HRH1|HRH3|HTR2B|HTR7|OPRK1|SLC6A2|SLC6A3|SLC6A4	HTR3A|CYP2D6|CYP3A5|HTR1A|HTR1B|HTR3B|HTR4|OPRM1	NISCH|ADRA2A|ADRA2B|ADRA2C	CYP2C8|CYP2E1|CYP3A5|CYP3A7	STAT3	EGFR|ERBB2|ERBB4|KDR	ADRA1A|ADRA1D	ABL1|KIT|BCR|CYP2B6|CYP2C8|DDR1|DDR2|PDGFRA	DRD2|HTR2A|HTR2C|DRD1|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR6|HTR7|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CYP2C8|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH2|HRH4|HTR1F|HTR2B|HTR3A|HTR5A	KCNJ10|SLC6A2|SLC6A4|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CYP2C19|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|PGRMC1|PIK3CD|SIGMAR1	CHRNA10|CHRNA9|AOX1|CHAT|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNB2|CHRNB3|CHRNB4|CYP19A1|CYP2B6|TBXAS1|TRPA1	PTGS2|LTF|PLA2G2E|PTGS1	PARP1|AOX1|BST1|CYP2E1|LDHA|SIRT5	ADRB1|ADRB2	MAOA|CYP2C19|MAOB	PARP1|PARP2|PARP3	ADRA1A	CYP2B6|CYP2C19|CYP3A4	ABCC8|KCNJ11|CYP3A4|INS|KCNJ10|PPARG	SQLE	CYP2B6|GRIN1|GRIN2D|GRIN3A|GRIN3B|HRH1|SCN10A|SLC6A2
pc	na	na	na	na	na	na	na	na	7.31, 4.60	9.17, 4.00	6.46, 3.14	1.92, 0.89	5.55, 2.94	4.08, 2.84	2.62, 1.20	4.01, 1.53	1.86, 1.10	6.30, 3.77	4.18, 2.54	7.38, 2.51	1.64, 1.00	1.72, 1.00	12.34, 7.45	19.49, 14.55	8.42, 3.35	1.74, 0.88	6.45, 4.07	6.13, 3.24	4.10, 1.45	2.63, 1.19	1.51, 0.67	11.87, 9.09	3.77, 1.64	6.43, 3.68	1.83, 0.64	5.74, 3.17	4.77, 2.25
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-K07212038	CP	selinidin	cumarin derivative with antiallergic properties			9.92, 2.29	88.34	2.61, 0.97	91.92	86.38	96.94	92.36	95.63	87.48	-5.48	18.71	96.62	-11.23	49.33	96.56	2.82	0.25	92.90	98.33	89.19	28.25	-42.99	90.86	94.48	98.41	78.87	NaN	-88.81	-29.07	95.32	71.80	89.64
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		11.56, 7.56	87.14	1.17, 0.58	99.66	93.54	86.14	69.08	77.83	56.00	78.46	87.14	89.31	99.93	99.12	99.61	24.23	48.33	68.21	94.28	98.73	51.03	97.97	94.38	96.76	83.54	98.16	-19.06	47.59	83.08	99.58	92.89	50.34
BRD-K60623809	CP	SU-11652	FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, tyrosine kinase receptor & angiogenic inhibitor, VEGFR inhibitor	KDR, PDGFRB, CAMK1G, FGF2, FGFR1, FLT1, KIT, PDGFRA		10.20, 6.94	85.06	3.73, 0.84	28.78	98.17	96.88	97.16	96.16	0.04	62.53	-73.60	97.81	15.99	60.65	86.54	93.38	88.01	97.44	99.93	85.06	91.84	90.87	71.90	97.73	86.68	65.51	-99.01	-5.50	-13.07	72.84	16.37	13.57
BRD-A49172652	CP	lansoprazole	ATPase inhibitor	ATP4A, CYP2C19, CYP3A4, CYP3A5		10.22, 5.33	84.18	1.35, 0.30	86.08	-38.97	0.28	27.02	21.73	85.45	98.90	96.11	-61.92	96.50	18.65	61.29	3.31	0.70	92.76	92.94	99.68	55.89	99.51	60.28	85.33	4.84	96.78	95.42	95.46	69.62	51.80	84.18	94.75
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			8.08, 4.23	83.61	0.77, 0.24	99.26	71.57	20.25	67.80	83.61	98.94	98.66	34.00	94.63	88.12	40.16	96.46	33.17	57.99	66.58	78.28	20.49	71.32	85.31	95.84	89.47	26.97	87.65	-80.16	96.00	95.87	61.67	99.14	99.22
BRD-A51182606	CP	chloramphenicol	30S ribosomal protein inhibitor, 50S ribosomal subunit inhibitor, antibacterial agent	CD55, CYP2C19		6.94, 3.67	83.54	1.82, 0.47	17.33	98.03	93.67	24.65	95.05	96.45	65.46	84.31	23.25	91.03	99.51	95.75	6.51	2.63	84.51	93.79	83.54	14.54	75.59	22.30	90.75	39.27	83.63	0.85	15.07	97.71	87.17	72.63	2.68
BRD-A39052811	CP	mosapride	serotonin receptor agonist, serotonin receptor antagonist	HTR4, HTR3A		10.38, 7.31	83.15	2.30, 0.74	15.28	87.26	88.77	21.43	86.66	99.05	25.10	37.73	16.37	98.13	49.33	98.17	2.04	36.57	95.53	73.67	97.32	31.44	91.58	64.59	88.86	30.89	95.59	2.42	0.46	89.11	97.72	83.15	96.99
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		8.44, 6.22	82.85	1.59, 0.52	72.45	98.20	99.61	78.71	82.85	92.24	34.53	62.46	71.12	99.89	91.06	99.65	33.37	66.30	47.27	65.89	91.63	79.83	87.54	77.13	91.26	97.76	99.65	-2.11	29.07	85.52	99.93	92.11	10.32
BRD-K85030058	CP	benactyzine	acetylcholine receptor antagonist			10.22, 5.33	81.95	1.19, 0.39	18.77	95.06	94.57	39.37	99.01	99.58	11.60	71.70	81.95	99.82	86.46	97.75	6.87	52.10	29.93	98.20	98.27	59.91	49.80	86.88	96.17	32.06	93.28	1.02	53.62	89.46	96.56	66.43	11.46
BRD-K15025317	CP	BAY-11-7821	NFkB pathway inhibitor	RELA	NFkB pathway inhibitor	4.62, 2.31	81.37	1.55, 0.50	48.62	84.43	96.86	17.09	90.57	21.47	92.49	63.20	81.37	39.35	28.77	88.68	86.43	87.56	18.64	98.91	89.59	71.18	82.76	81.98	91.22	75.83	21.64	15.02	73.77	80.79	82.34	86.98	71.71
BRD-A64297288	CP	amlodipine	breast cancer resistance protein inhibitor, calcium channel blocker, calcium channel inhibitor, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA2D1, ABCG2, CA1, CACNA1B, CACNA1S, CACNA2D3, CACNB1, CACNB2, SMPD1	Calcium channel blocker	11.11, 7.11	81.30	1.36, 0.33	5.90	93.59	99.05	82.95	91.45	6.40	47.15	64.87	12.86	91.24	82.44	97.76	7.54	95.51	82.33	98.39	81.30	97.18	33.94	65.53	98.10	80.25	93.43	1.87	95.42	60.64	65.25	66.10	59.49
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		8.00, 4.44	81.20	1.74, 0.72	77.04	91.30	77.73	48.38	58.09	89.39	62.68	84.46	8.39	88.54	98.31	99.40	2.96	79.61	75.84	93.02	34.31	25.46	99.40	52.90	34.41	92.96	99.15	2.98	81.20	98.04	98.56	82.64	90.77
BRD-K32311154	CP	nifekalant	potassium channel antagonist, potassium channel blocker			6.67, 4.89	81.18	0.98, 0.32	83.97	30.99	67.43	8.34	50.71	97.64	99.89	89.91	12.84	79.45	99.49	81.18	-46.66	24.91	34.72	-7.59	96.97	-10.54	99.61	82.31	88.18	0.70	77.44	0.00	88.68	90.69	94.40	82.00	84.80
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			8.89, 6.67	80.98	1.58, 0.58	57.15	96.79	86.17	60.95	94.10	70.21	51.28	93.01	89.85	99.33	99.68	99.30	66.47	48.43	-3.31	92.60	-7.16	64.91	87.70	15.28	93.51	80.98	99.40	-0.85	54.40	96.29	98.66	55.59	49.06
BRD-A24381660	CP	zeranol	estrogen receptor agonist			9.78, 5.78	80.57	1.49, 0.59	83.56	92.37	24.32	38.12	39.64	14.16	99.93	97.02	59.43	97.05	70.59	98.45	0.63	3.95	96.30	28.01	93.09	35.62	99.72	80.57	55.41	9.97	99.08	43.94	98.32	88.09	98.13	15.31	95.40
BRD-A95696066	CP	nisoxetine	dopamine transporter inhibitor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor	SLC6A2, SLC6A3, SLC6A4		10.77, 5.38	79.90	0.66, 0.16	86.09	97.99	98.94	11.26	80.37	11.13	79.90	85.94	85.74	99.72	38.54	79.81	1.48	31.92	45.51	0.56	40.62	21.79	97.97	25.64	93.69	70.90	57.60	99.61	99.07	85.90	27.57	80.74	95.54
BRD-A44133049	CP	azasetron	serotonin receptor antagonist	HTR3A, HTR3B		4.62, 2.69	79.70	0.66, 0.13	68.23	21.91	59.05	31.55	51.92	70.79	94.36	94.61	38.64	92.47	80.40	88.64	-9.44	10.54	93.20	0.74	79.70	7.21	94.44	77.56	65.17	89.65	82.86	94.22	89.79	64.25	90.77	92.23	94.16
BRD-K39621635	CP	artemether	antimalarial, interacts with heme and with COX3	ATP1A1, CYP2B6, CYP2C19, CYP3A5		10.22, 6.22	79.68	1.15, 0.26	99.47	96.65	87.09	15.78	80.90	97.07	86.22	97.95	82.48	95.16	59.16	75.91	75.07	77.62	-38.96	79.68	95.59	54.51	42.69	46.67	3.00	47.79	99.61	-96.67	59.45	54.59	99.47	96.93	98.94
BRD-K05737787	CP	isoeugenol	nitric oxide production inhibitor			10.69, 6.87	79.41	1.83, 0.56	81.61	77.21	97.55	25.93	85.67	83.32	43.07	-59.37	99.93	3.59	6.13	98.58	8.91	4.33	69.59	97.05	96.98	63.22	4.37	94.26	97.93	98.59	82.74	NaN	65.26	24.40	98.13	99.86	66.76
