#1.3
2429	14	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K73196317-summary	BRD-K45158365-summary	BRD-K81418486-summary	BRD-K56343971-summary	BRD-K72093121-summary	BRD-A09533288-summary	BRD-K40227168-summary	BRD-K29582115-summary	BRD-A24514565-summary	BRD-A56359832-summary	BRD-K41260949-summary	BRD-K71289571-summary	BRD-K53318339-summary	BRD-K13926615-summary
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		4.76, 3.17	90.32	0.66, 0.20	98.10	76.74	69.52	55.90	48.55	89.41	94.22	66.51	91.30	95.23	93.24	91.78	81.75	91.22
BRD-K06147391	CP	telenzepine	acetylcholine receptor antagonist	CHRM1		7.94, 3.17	90.06	0.53, 0.17	94.08	98.66	41.86	90.41	61.37	95.98	68.61	-42.65	89.70	98.81	90.84	55.17	98.12	81.44
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		10.81, 4.50	89.99	1.76, 0.69	99.72	90.29	89.69	31.83	74.89	75.61	97.46	70.75	93.23	99.93	75.22	83.80	93.86	95.85
BRD-A39390670	CP	rabeprazole	ATPase inhibitor, gastrin inhibitor	ATP4A, CYP2C19		11.71, 7.21	89.79	0.77, 0.14	91.89	30.36	8.74	59.56	78.54	99.79	90.09	89.49	99.18	98.84	97.14	61.78	51.76	96.05
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		12.61, 6.31	89.65	1.00, 0.30	99.22	77.42	74.22	84.10	97.06	67.08	98.80	72.03	98.70	99.75	16.47	83.86	95.21	99.75
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			9.91, 6.31	89.61	1.58, 0.58	99.86	35.58	88.82	45.22	94.93	99.86	94.87	71.46	58.19	99.93	99.27	47.72	77.84	90.40
BRD-K55034111	CP	pefloxacin	topoisomerase inhibitor	TOP2A		14.41, 7.21	89.06	1.27, 0.40	99.68	87.68	11.64	30.08	94.35	98.17	89.60	12.67	99.82	99.93	91.69	80.00	88.51	82.77
BRD-K96402602	CP	farnesylthiotriazole	prenylated protein methyltransferase (PPMTase) inhibitor			6.35, 3.97	89.05	1.00, 0.34	91.22	92.81	16.82	59.61	90.52	88.07	94.49	96.97	66.28	-37.00	22.79	90.03	56.56	98.11
BRD-K95202259	CP	ML-3163	p38 MAPK inhibitor	CYP2D6, CYP3A4, MAPK11, MAPK12, MAPK14	P38 MAPK inhibitor	7.94, 3.97	88.07	0.93, 0.22	21.24	78.51	9.10	86.43	28.09	95.07	94.00	89.71	70.62	78.05	90.88	93.28	90.74	97.67
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			7.08, 1.77	88.02	1.27, 0.26	95.99	1.66	1.69	69.93	10.20	44.45	98.58	95.27	94.21	98.10	93.85	83.41	66.88	92.63
BRD-K47639036	CP	flavoxate	acetylcholine receptor antagonist	CHRM1, CHRM2		5.56, 3.97	87.70	1.10, 0.34	84.95	93.13	-3.14	73.27	96.20	98.59	90.45	71.08	50.50	76.95	97.97	91.62	92.41	70.93
BRD-K89125793	CP	tinidazole	anti-protozoal			10.32, 3.97	87.64	0.77, 0.15	96.78	65.99	53.17	31.17	97.01	97.22	90.77	66.27	84.51	97.36	58.74	95.59	78.68	99.30
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		7.94, 5.56	87.62	0.88, 0.15	97.57	17.62	98.18	55.25	97.84	97.01	97.53	56.59	99.72	84.16	18.02	91.08	55.55	80.22
BRD-A29485665	CP	bicalutamide	androgen receptor antagonist	AR, CYP2C19		11.11, 3.97	87.42	0.67, 0.17	91.59	93.78	41.19	73.19	97.74	99.93	95.22	62.57	45.39	83.52	91.33	68.66	66.48	96.12
BRD-K46435977	CP	valaciclovir	DNA directed DNA polymerase inhibitor, DNA polymerase inhibitor		DNA polymerase inhibitor	10.81, 6.31	87.11	1.90, 0.66	99.86	13.09	86.06	84.61	88.17	77.86	94.43	20.67	91.87	99.93	99.82	32.08	82.64	98.24
BRD-K60060639	CP	methyllidocaine	antiarrhythmic, phosphatidyl-inositol activator			8.73, 4.76	86.83	0.88, 0.19	75.95	93.25	12.83	80.40	99.65	96.47	74.55	59.55	93.96	56.35	99.08	95.33	98.24	76.30
BRD-K60160658	CP	tiagabine	GABA uptake inhibitor, GAT inhibitor	SLC6A1, CYP2C19		12.61, 8.11	86.71	1.98, 0.76	99.86	82.79	4.02	72.55	20.11	99.83	94.69	28.07	90.63	99.93	98.94	31.22	72.81	96.48
BRD-A71203467	CP	l-stepholidine	dopamine receptor antagonist, dopamine receptor agonist	DRD2, DRD1		11.57, 3.31	86.65	1.03, 0.30	96.74	90.40	12.84	21.14	87.63	97.49	98.63	13.77	96.13	39.21	71.03	94.05	85.66	36.09
BRD-K51671335	CP	sulpiride	carbonic anhydrase inhibitor, dopamine receptor, dopamine receptor antagonist	DRD2, CA7, DRD3, CA1, CA12	Dopamine receptor antagonist	8.11, 5.41	86.56	2.11, 0.84	99.93	80.79	92.61	86.92	86.21	99.40	87.81	30.85	88.72	89.94	32.64	77.28	22.11	57.47
BRD-K57222227	CP	indometacin	cyclooxygenase inhibitor	PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2A, PPARA, PTGR2, SLC46A1		14.88, 7.44	86.43	1.18, 0.33	95.07	47.92	1.69	57.36	59.86	97.22	81.55	89.95	99.89	99.93	95.86	82.92	76.67	92.95
BRD-K50938786	CP	ropivacaine	membrane integrity inhibitor, potassium channel antagonist, sodium channel blocker	SCN10A, SCN9A		11.11, 7.14	86.34	1.15, 0.35	99.22	56.47	29.95	63.52	72.42	83.07	94.56	97.49	96.11	97.19	89.61	61.67	72.14	99.93
BRD-K28075147	CP	biochanin-a	estrogen receptor agonist			7.94, 4.76	86.28	1.30, 0.38	21.15	98.98	-3.79	41.47	91.04	80.98	87.63	92.69	86.02	40.19	93.26	24.60	99.79	86.54
BRD-K39621635	CP	artemether	antimalarial, interacts with heme and with COX3	ATP1A1, CYP2B6, CYP2C19, CYP3A5		10.81, 7.21	86.18	1.15, 0.26	75.09	7.76	32.13	86.92	47.86	78.18	94.43	62.74	95.61	99.93	95.21	85.45	91.99	99.93
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		11.11, 7.14	85.59	0.91, 0.16	98.06	85.07	20.82	17.95	97.47	86.11	71.02	63.08	96.55	98.63	41.93	96.97	60.56	89.99
BRD-K55930204	CP	phenytoin	sodium channel blocker	ABCB1, CYP2B6, CYP2C19, CYP3A4, SCN1A, SCN2A, SCN5A		10.74, 5.79	85.56	1.84, 0.61	8.03	98.11	0.00	0.00	96.65	58.93	94.19	-64.68	16.55	85.32	91.34	97.43	85.80	89.07
BRD-K49481516	CP	galantamine	acetylcholinesterase inhibitor, acetylcholine receptor agonist, butyrylcholinesterase inhibitors	ACHE, BCHE, CHRNA1, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB1, CHRNB2, CHRNB3, CHRNB4, CHRND, CHRNE, CHRNG		12.61, 9.01	85.47	1.66, 0.57	99.72	22.39	79.69	87.11	98.64	75.13	96.16	45.91	88.36	99.84	56.54	8.53	83.84	99.79
BRD-K92778217	CP	mefenamic-acid	cyclooxygenase inhibitor	PTGS2, PTGS1, KCNQ1, TRPM3		6.35, 1.59	85.38	1.11, 0.33	90.93	95.95	22.57	14.44	71.08	96.44	88.56	93.64	96.31	77.94	86.69	45.53	84.07	3.24
BRD-K44353683	CP	nateglinide	insulin secretagogue, ATP-sensitive potassium channel antagonist, meglitinide, sulphonylurea receptor activator	ABCC8, KCNJ11, CYP3A4, INS, KCNJ10, PPARG		9.91, 6.31	85.34	1.57, 0.31	93.32	96.62	56.85	-8.23	94.21	87.69	97.43	79.52	47.27	99.93	37.25	99.82	82.98	71.92
BRD-K15025317	CP	BAY-11-7821	NFkB pathway inhibitor	RELA	NFkB pathway inhibitor	2.38, 0.79	85.22	1.55, 0.50	35.95	31.98	89.39	61.04	85.07	85.36	93.95	54.46	93.45	92.83	-11.31	87.07	55.72	93.60
BRD-A50764878	CP	MDL-73005EF	serotonin receptor antagonist, serotonin receptor partial agonist	HTR1A		7.44, 4.13	85.06	0.63, 0.07	79.21	45.29	1.55	6.84	72.20	85.33	87.90	89.63	99.79	86.02	69.48	86.67	84.78	90.59
BRD-K02992638	CP	lamivudine	nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor			11.90, 6.35	85.01	0.59, 0.19	87.77	53.87	0.08	12.09	18.05	97.62	94.81	47.34	94.37	97.12	95.63	82.26	74.70	97.62
BRD-K33459542	CP	ditolylguanidine	sigma receptor agonist	GRIN1, GRIN2A, GRIN2B, SIGMAR1		7.94, 3.97	84.68	1.27, 0.42	60.90	85.10	2.09	91.95	84.27	97.33	92.91	97.04	91.70	53.56	59.55	70.71	78.17	85.90
BRD-K85119730	CP	tolbutamide	ATP channel blocker	ABCC8, CYP2B6, CYP2C19, CYP2C8, KCNJ1, KCNJ11, KCNJ8		7.14, 2.38	84.54	1.03, 0.28	73.07	97.43	5.77	36.11	83.74	99.22	92.36	54.38	87.71	60.54	86.49	93.26	70.93	85.34
BRD-K53220666	CP	trimetozine	compound with mild tranquilizing effects			4.76, 3.17	84.50	1.00, 0.33	43.88	93.13	12.73	85.73	83.55	89.11	69.17	64.10	74.29	99.05	89.14	85.45	68.15	88.39
BRD-K71534238	CP	GW-9508	Free Fatty Acid Receptor 1 (FFAR1;  GPR40) Agonists, G protein coupled receptor agonist, G-protein coupled receptor agonist	FFAR4, FFAR1		7.14, 2.38	84.42	0.51, 0.08	76.30	30.90	1.02	72.80	93.97	88.14	88.28	95.07	87.08	20.57	83.76	95.68	69.45	85.07
BRD-K59456551	CP	methotrexate	dihydrofolate reductase inhibitor, disease modifying antirheumatic drug, folate receptor antagonist, immunosuppressant, thymidylate synthase inhibitor	DHFR, AOX1, FOLR1, TYMS	Dihydrofolate reductase inhibitor	6.31, 4.50	84.15	0.97, 0.23	61.77	62.63	86.84	86.71	99.72	83.57	92.52	38.55	13.25	84.74	37.27	47.15	97.58	89.69
BRD-K45117373	CP	Y-26763	potassium channel activator, potassium channel agonist	ABCC9, KCNJ8	Potassium channel activator	7.14, 2.38	84.15	0.83, 0.22	96.59	90.24	30.91	37.81	89.48	95.79	96.29	78.81	22.80	51.83	75.92	97.57	78.53	91.85
BRD-K57179821	CP	crotamiton	scabicidal, antipruritic			10.32, 4.76	84.01	1.06, 0.17	98.73	94.67	22.80	69.61	26.18	84.29	84.10	58.22	75.21	83.92	97.40	69.67	94.69	89.99
BRD-K04430056	CP	7-nitroindazole	nitric oxide synthase inhibitor	NOS1, NOS2, NOS3		9.52, 2.38	83.91	0.81, 0.19	86.55	47.57	2.62	31.95	90.66	96.90	97.99	81.09	98.04	68.60	95.02	81.27	78.71	93.29
BRD-K39915878	CP	loxapine	dopamine receptor antagonist, serotonin receptor antagonist, dopamine receptor ligand	DRD2, DRD3, DRD4, DRD1, HRH1, HTR2A, HTR2C, HTR6, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD5, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR3A, HTR5A, HTR7, SLC6A2, SLC6A3, SLC6A4		7.14, 2.38	83.89	0.76, 0.16	85.49	88.24	21.06	59.54	54.57	89.25	75.62	43.74	50.49	82.89	99.54	84.89	93.14	94.50
BRD-K69195780	CP	NAN-190	serotonin receptor agonist	HTR1A, ADRA1A, ADRA1B, ADRA1D, HTR1F		7.14, 3.97	83.77	1.16, 0.38	73.76	97.43	7.16	53.26	53.40	88.79	93.00	97.93	79.81	28.26	88.72	88.45	87.73	10.97
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		7.21, 4.50	83.24	1.17, 0.58	99.72	50.89	32.51	20.33	96.08	81.12	98.45	90.88	82.34	99.93	24.45	74.08	85.84	84.15
BRD-A44133049	CP	azasetron	serotonin receptor antagonist	HTR3A, HTR3B		7.94, 3.17	83.13	0.66, 0.13	99.15	66.80	43.20	24.05	82.95	82.11	84.34	83.30	84.63	99.15	96.37	27.62	76.72	88.94
BRD-K95609758	CP	BMS-191011	large conductance calcium activated potassium channel opener, large conductance potassium channel activator	KCNMA1	Potassium channel activator	11.11, 7.14	83.12	1.52, 0.33	47.04	53.68	0.46	56.66	85.01	99.58	95.31	84.51	86.62	87.12	99.68	59.53	81.72	61.96
BRD-A24381660	CP	zeranol	estrogen receptor agonist			10.81, 6.31	82.99	1.49, 0.59	99.75	40.69	85.17	16.36	96.65	98.94	81.77	-13.73	75.54	82.36	60.97	83.61	97.65	98.91
BRD-A91866971	CP	SQ-29548	thromboxane receptor antagonist			6.61, 4.13	82.98	0.80, 0.14	98.51	45.51	1.87	20.76	83.54	82.41	97.74	90.68	93.10	98.73	79.30	21.16	76.78	98.62
BRD-K34533029	CP	tyrphostin-AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		8.73, 3.97	82.62	0.81, 0.25	70.90	80.25	87.78	84.98	90.50	41.52	96.18	66.65	49.84	96.83	54.88	99.15	93.56	63.04
BRD-K16277217	CP	piperacetazine	antipsychotic			8.73, 4.76	82.46	1.14, 0.31	51.55	38.86	0.00	35.87	92.31	99.86	98.17	91.99	76.86	85.00	96.05	79.91	99.30	65.21
BRD-A30435184	CP	metergoline	dopamine receptor agonist, serotonin receptor antagonist, prolactin inhibitor	DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	Serotonin receptor antagonist	3.31, 1.65	82.35	1.90, 0.58	91.83	6.29	90.42	77.09	87.77	55.05	98.66	21.92	87.62	99.43	90.46	35.66	18.83	26.24
BRD-A11135865	CP	nor-binaltorphimine	opioid receptor antagonist			5.79, 3.31	82.24	0.80, 0.19	89.52	77.93	35.54	87.85	98.08	90.25	98.80	19.89	99.82	86.55	70.44	57.36	39.06	50.48
BRD-K94649603	CP	taxifolin	apolipoprotein secretion inhibitor, beta amyloid aggregation inhibitor, cholesterol biosynthesis inhibitor, HMGCR inhibitor, NFkB pathway modulator, opioid receptor antagonist, reverse transcriptase inhibitor	APOB, APP, HMGCR		15.32, 9.01	82.19	2.00, 0.70	98.40	4.68	63.54	73.58	6.57	60.04	90.91	-2.68	97.85	99.93	99.08	56.36	90.79	99.93
BRD-K14920963	CP	erythrosine	food coloring agent			10.32, 4.76	81.76	0.68, 0.19	99.19	98.25	82.18	85.86	61.65	99.13	96.55	77.27	3.45	-44.17	-80.84	81.33	77.38	83.31
BRD-K05737787	CP	isoeugenol	nitric oxide production inhibitor			9.23, 3.08	81.74	1.83, 0.56	80.06	31.63	22.29	13.07	44.86	10.99	83.43	99.54	89.38	95.27	97.01	86.42	-74.72	92.76
BRD-K31553034	CP	zibotentan	endothelin receptor antagonist	EDNRA		3.17, 1.59	81.56	1.49, 0.32	95.24	23.74	7.16	4.20	85.72	93.07	90.79	90.73	90.95	80.09	79.37	69.31	20.34	83.03
