#1.3
2429	19	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K18779551-summary	BRD-K17743125-summary	BRD-K19462402-summary	BRD-K99964838-summary	BRD-K91315211-summary	BRD-K11717138-summary	BRD-K74763371-summary	BRD-A16665823-summary	BRD-K55191674-summary	BRD-A05186015-summary	BRD-K46018455-summary	BRD-K32821942-summary	BRD-K21450440-summary	BRD-A89175223-summary	BRD-A29485665-summary	BRD-K03406345-summary	BRD-K23204545-summary	BRD-K41410256-summary	BRD-A94543220-summary
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		10.56, 4.44	85.35	0.66, 0.20	88.39	55.38	95.88	84.07	69.81	99.82	96.26	84.46	85.35	76.98	91.95	81.18	87.78	99.12	79.56	35.07	84.67	98.48	96.84
BRD-A86044036	CP	flurbiprofen	cyclooxygenase inhibitor	PTGS1, PTGS2		11.98, 7.19	85.33	1.57, 0.39	95.72	51.79	96.96	54.82	50.44	93.43	97.92	2.76	21.83	98.86	36.37	8.18	92.78	43.29	99.61	50.21	85.33	93.30	95.53
BRD-K44353683	CP	nateglinide	insulin secretagogue, ATP-sensitive potassium channel antagonist, meglitinide, sulphonylurea receptor activator	ABCC8, KCNJ11, CYP3A4, INS, KCNJ10, PPARG		8.61, 3.97	84.97	1.57, 0.31	65.48	30.30	94.77	7.16	66.04	96.23	89.80	92.86	44.77	96.87	91.58	53.90	97.18	99.65	57.01	40.88	84.97	46.23	99.22
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			7.22, 1.67	84.95	0.77, 0.24	89.17	68.01	98.31	87.56	11.59	52.82	93.88	74.20	96.08	73.98	98.97	96.86	84.11	91.22	74.81	71.16	84.95	96.76	77.41
BRD-K82357231	CP	desloratadine	histamine receptor antagonist	HRH1		5.30, 2.65	84.64	0.78, 0.17	88.90	56.01	86.14	90.42	67.08	70.73	92.03	74.09	81.47	86.14	96.41	96.90	36.46	97.39	70.44	79.73	55.70	84.64	92.90
BRD-A52660433	CP	tetrindole	monoamine oxidase inhibitor	MAOA		5.39, 2.99	84.11	1.74, 0.63	84.73	94.91	30.03	99.19	40.50	84.67	36.76	93.83	50.79	95.87	77.35	99.93	23.32	79.16	14.92	84.11	75.79	89.65	95.90
BRD-A70649075	CP	sulconazole	sterol demethylase inhibitor, cell wall synthesis inhibitor			7.78, 3.89	84.06	0.64, 0.11	82.67	46.96	48.04	51.32	90.33	50.34	53.98	85.81	70.30	96.31	92.84	92.92	91.87	95.40	81.65	91.07	48.61	84.06	99.30
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		11.26, 7.28	83.96	1.17, 0.58	96.27	42.46	99.40	80.66	51.68	99.93	68.83	37.67	33.22	87.47	77.96	2.11	89.19	99.61	96.19	81.13	83.96	99.01	99.54
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		5.56, 3.33	83.91	0.36, 0.09	65.35	62.48	96.44	49.00	83.02	99.51	90.13	81.11	91.87	83.91	74.11	41.46	99.75	96.40	40.27	78.36	86.26	86.91	98.63
BRD-A70083328	CP	secnidazole	acetylcholinesterase inhibitor, microtubule inhibitor			13.91, 10.60	83.84	1.44, 0.48	51.20	25.09	99.26	34.93	99.72	95.20	99.33	85.12	59.13	95.81	58.97	54.14	96.15	97.08	93.07	76.74	68.88	75.31	83.84
BRD-K18779551	CP	bifemelane	acetylcholine release stimulant, adrenergic transmitter uptake inhibitor, reducing agent	SLC6A2		10.00, 9.44	83.71	0.88, 0.18	99.97	48.20	83.78	90.46	39.39	98.31	57.54	90.90	86.21	88.28	11.88	3.16	67.30	46.48	59.23	60.75	83.71	89.26	98.94
BRD-K76534306	CP	enrofloxacin	topoisomerase inhibitor		Bacterial DNA gyrase inhibitor	7.22, 2.22	83.49	1.13, 0.36	69.62	23.31	96.25	47.46	47.93	96.07	92.94	44.80	94.59	59.42	91.87	11.37	87.34	94.76	83.49	50.61	95.81	96.18	66.67
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		11.26, 7.28	83.44	1.76, 0.69	83.97	79.17	29.18	67.51	79.87	99.93	69.38	90.64	0.28	98.08	92.92	21.65	93.89	99.93	83.44	82.50	96.47	46.39	99.89
BRD-K85030058	CP	benactyzine	acetylcholine receptor antagonist			13.25, 6.62	83.25	1.19, 0.39	96.41	18.04	87.45	66.13	83.25	99.51	59.60	38.34	97.05	99.89	73.93	3.06	19.74	82.19	86.14	21.05	99.33	97.18	99.54
BRD-A29485665	CP	bicalutamide	androgen receptor antagonist	AR, CYP2C19		9.44, 7.22	83.10	0.67, 0.17	83.10	31.04	93.29	16.01	94.40	13.69	75.93	82.59	32.71	98.55	90.10	61.08	99.27	96.02	99.99	73.48	90.37	81.73	90.89
BRD-K60060639	CP	methyllidocaine	antiarrhythmic, phosphatidyl-inositol activator			7.78, 4.44	82.95	0.88, 0.19	75.71	35.65	42.04	53.02	66.73	98.41	90.83	72.80	50.51	99.93	95.97	92.93	97.46	84.65	94.31	82.95	79.86	75.88	98.06
BRD-K00673382	CP	famotidine	histamine receptor antagonist	HRH2		12.58, 9.27	82.45	1.61, 0.40	91.46	59.18	98.55	87.90	10.97	92.76	17.33	25.95	39.94	98.78	-1.87	49.30	81.54	98.35	82.45	6.34	89.79	97.99	99.89
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		16.11, 10.00	82.41	0.91, 0.16	93.59	69.31	98.80	48.42	98.14	62.27	71.96	97.74	56.00	99.68	98.24	59.18	41.08	87.14	95.07	59.09	68.35	82.41	91.97
BRD-K39987650	CP	bisacodyl	stimulant laxative			6.67, 2.78	82.23	0.64, 0.26	36.67	65.44	82.23	80.78	97.32	94.93	59.54	84.82	76.27	61.58	90.54	60.38	94.09	96.02	89.33	90.10	42.79	85.53	44.08
BRD-K51018020	CP	VAMA-37	DNA dependent protein kinase, DNA dependent protein kinase inhibitor, PI3K inhibitor	PRKDC	DNA dependent protein kinase inhibitor	7.19, 2.40	81.63	1.39, 0.48	81.16	53.35	91.65	69.59	7.55	99.93	43.60	83.26	21.73	88.01	43.29	99.93	63.35	90.68	81.63	76.96	85.04	93.03	95.36
BRD-K98530306	CP	clonidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D		7.22, 2.22	81.47	0.95, 0.27	87.07	17.86	82.41	20.41	93.77	81.47	72.71	79.93	55.96	98.26	67.42	5.36	88.71	94.07	83.11	46.16	85.63	59.03	95.73
BRD-A34817987	CP	itraconazole	cell wall synthesis inhibitor, cytochrome P450 inhibitor, sterol demethylase inhibitor, VEGFR inhibitor	CYP3A5, CYP3A7, CYP51A1, KDR		5.56, 2.78	81.24	0.97, 0.13	92.59	52.38	93.74	68.98	75.80	73.19	86.81	65.39	81.24	99.79	83.03	76.07	43.79	50.18	90.92	81.69	93.90	77.31	87.53
BRD-A17535965	CP	gelsemine	acetylcholine receptor antagonist, glycine receptor antagonist	GLRA3		7.78, 3.59	81.23	0.97, 0.31	69.78	14.92	81.08	26.63	11.96	99.68	85.73	5.16	95.59	99.58	89.24	80.27	81.23	87.40	97.34	22.00	35.57	85.37	82.91
BRD-K16485616	CP	mocetinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC11	HDAC inhibitor	7.22, 4.44	81.12	1.90, 0.51	64.46	98.56	86.99	90.38	23.17	40.31	85.29	33.16	8.10	98.33	73.50	99.93	46.96	33.79	94.03	91.76	87.57	64.76	81.12
BRD-K51671335	CP	sulpiride	carbonic anhydrase inhibitor, dopamine receptor, dopamine receptor antagonist	DRD2, CA7, DRD3, CA1, CA12	Dopamine receptor antagonist	13.25, 7.95	81.09	2.11, 0.84	95.81	47.87	98.70	17.76	46.10	99.54	79.37	41.79	71.65	99.93	70.88	4.02	74.31	81.09	95.60	84.22	90.76	94.08	99.72
BRD-K63550407	CP	erythromycin	NFkB pathway inhibitor, 50S ribosomal subunit inhibitor, motilin receptor agonist, RPLV inhibitor	CYP3A4, MLNR		7.78, 5.56	81.03	1.20, 0.44	35.08	30.49	92.13	19.35	92.92	81.03	86.98	87.93	16.28	76.19	91.68	4.37	89.81	69.02	99.93	47.47	83.57	55.75	94.26
BRD-K13664374	CP	dichloroacetic-acid	pyruvate dehydrogenase kinase inhibitor, pyruvate dehydrogenase stimulant	PDK1		2.65, 1.99	81.00	1.33, 0.38	93.37	14.59	51.57	13.32	-60.61	92.69	40.81	-81.06	84.95	99.19	93.64	91.79	-1.48	88.50	60.81	19.95	81.00	97.00	83.14
BRD-K57222227	CP	indometacin	cyclooxygenase inhibitor	PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2A, PPARA, PTGR2, SLC46A1		4.19, 1.20	80.92	1.18, 0.33	65.15	16.02	82.76	60.69	82.18	67.81	51.69	81.14	19.79	57.93	82.48	94.97	87.48	84.98	74.56	84.62	80.92	73.77	98.66
BRD-A63043573	CP	cabergoline	dopamine receptor agonist, prolactin inhibitor, prolactin secretion inhibitor	DRD2, ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1B, ADRA1D, ADRB1, ADRB2, HTR7, PRL		11.67, 7.78	80.83	1.43, 0.36	98.20	44.97	15.74	61.79	65.02	83.64	80.83	65.77	73.70	98.27	96.86	69.10	98.06	57.42	98.62	85.62	54.28	96.40	95.33
BRD-A62021152	CP	WAY-161503	serotonin receptor agonist	HTR2C		5.99, 1.80	80.82	1.43, 0.45	67.84	38.25	43.20	80.85	19.34	97.42	67.95	72.83	85.18	99.89	98.85	95.89	60.96	91.41	95.96	25.47	80.82	66.87	82.97
BRD-A45140972	CP	meclocycline	tetracycline antibiotic		Bacterial 30S ribosomal subunit inhibitor	3.89, 1.11	79.89	0.55, 0.11	81.90	9.86	88.00	45.87	79.89	15.25	96.53	89.47	56.43	96.40	83.38	88.91	57.44	12.01	38.62	91.97	94.86	74.20	21.78
BRD-K50135270	CP	GBR-12935	dopamine uptake inhibitor	AGTR1, SLC6A3		3.89, 1.67	79.81	1.25, 0.36	73.81	61.92	98.38	92.46	79.02	92.68	26.67	82.55	79.71	40.52	88.99	10.39	90.81	60.46	79.81	56.20	81.91	90.55	83.48
BRD-K93034159	CP	cladribine	adenosine deaminase inhibitor, antimetabolite, DNA synthesis inhibitor, immunosuppressant, ribonucleotide reductase inhibitor	ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B	Ribonucleotide reductase inhibitor	7.22, 2.78	79.79	1.42, 0.52	27.31	93.33	66.20	5.00	96.56	96.69	86.36	61.59	60.61	78.49	54.76	99.93	92.62	97.20	79.79	96.58	75.63	89.60	65.74
BRD-A26334849	CP	propafenone	antiarrhythmic medication, potassium channel blocker, voltage-gated sodium channel blocker	KCNH2, SCN5A, ADRB1, ADRB2, KCNA5, KCNK2, KCNK3		5.00, 2.22	79.75	0.89, 0.17	21.18	20.41	88.23	38.10	94.77	94.79	86.12	98.93	36.69	64.29	90.70	16.20	93.93	90.23	44.48	64.13	79.75	44.46	92.11
