#1.3
2429	21	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A51382177-summary	BRD-K76674262-summary	BRD-A15297126-summary	BRD-K77947974-summary	BRD-K05977355-summary	BRD-A09472452-summary	BRD-A17655518-summary	BRD-K34776109-summary	BRD-K28307902-summary	BRD-K64052750-summary	BRD-K80396088-summary	BRD-K22662435-summary	BRD-K55127134-summary	BRD-A22769835-summary	BRD-K15108141-summary	BRD-K12219985-summary	BRD-K47639036-summary	BRD-K11129031-summary	BRD-A49765801-summary	BRD-K36862742-summary	BRD-A31159102-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A549|MCF7|PC3	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	6 h		6 h	6 h	6 h	24 h	6 h		6 h	6 h	6 h	6 h	24 h	24 h	6 h	6 h	24 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	8.00	8.00		9.00	9.00	9.00	7.00	9.00		9.00	9.00	8.00	9.00	7.00	3.00	9.00	9.00	7.00	9.00	8.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00		1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00		1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.14	0.69		0.27	0.22	0.26	0.19	0.23		0.21	0.22	0.32	0.26	0.17	0.38	0.26	0.19	0.22	0.23	0.30	0.33
icc	na	na	na	na	na	na	na	na	0.42	0.83		0.41	0.39	0.40	0.45	0.40		0.45	0.38	0.44	0.49	0.37	0.84	0.44	0.43	0.38	0.41	0.46	0.48
url	na	na	na	na	na	na	na	na	BRD-A51382177	BRD-K76674262		BRD-K77947974	BRD-K05977355	BRD-A09472452	BRD-A17655518	BRD-K34776109		BRD-K64052750	BRD-K80396088	BRD-K22662435	BRD-K55127134	BRD-A22769835	BRD-K15108141	BRD-K12219985	BRD-K47639036	BRD-K11129031	BRD-A49765801	BRD-K36862742	BRD-A31159102
query	na	na	na	na	na	na	na	na																					
description	na	na	na	na	na	na	na	na	angiotensin converting enzyme inhibitor|breast cancer resistance protein inhibitor	apoptosis stimulant|protein synthesis inhibitor	corticosteroid agonist|corticosteroid hormone receptor agonist	dopamine receptor|dopamine receptor antagonist	cell wall synthesis inhibitor|sterol demethylase inhibitor	sodium channel blocker|sodium channel inhibitor|voltage-gated sodium channel blocker	cyclooxygenase inhibitor|NFkB pathway inhibitor	insulin secretagogue|ATP channel blocker|ATP-sensitive potassium channel antagonist|insulinotropin agonist|sulfonylurea	androgen receptor antagonist	EGFR inhibitor	sulfonylurea|ATP channel blocker|ATP-sensitive potassium channel antagonist|insulin secretagogue	DNA directed DNA polymerase inhibitor|DNA polymerase inhibitor|DNA synthesis inhibitor	dopamine receptor antagonist|acetylcholine receptor ligand|dopamine receptor|histamine receptor antagonist|serotonin receptor antagonist	antihistamine	cell cycle inhibitor|DNA repair enzyme inhibitor|DNA synthesis inhibitor|pyrimidine antagonist|ribonucleoside reductase inhibitor|ribonucleotide reductase inhibitor	sulfonylurea|ATP channel blocker|ATP-sensitive potassium channel antagonist|insulin secretagogue	acetylcholine receptor antagonist	lipase clearing factor inhibitor|lipoprotein lipase activator|PPAR receptor agonist	corticosteroid|glucocorticoid receptor agonist	sodium/potassium/chloride transporter inhibitor	selective serotonin reuptake inhibitor (SSRI)|serotonin transporter (SERT) inhibitor|serotonin uptake inhibitor|Sodium Channel  Blockers
target	na	na	na	na	na	na	na	na	ACE|ABCG2	RPL3	NR3C1|SERPINA6|SMO	DRD2|HTR2A|CACNG1|HRH1|HTR1A|HTR1D|HTR1E	CYP3A5|CYP3A7	SCN5A|KCNA5|KCNA7|SCN4A	PTGS2|PTGS1|ASIC1|BCL2|CFTR|CYP2C8|FABP2|PLAT|PPARG|SLC5A8|THBD	ABCC8|KCNJ11|KCNJ1	AR|AHR|CYP2C19	EGFR|CYP2C19	ABCC8|KCNJ10|KCNJ11|KCNJ8		DRD2|DRD1|CALM1|CHRNA7|DRD5|HRH1|HTR2A|HTR6|HTR7	HRH1	RRM1|CMPK1|RRM2|TYMS	ABCC8|KCNJ10|KCNJ11|PPARG	CHRM1|CHRM2	PPARA|CYP2C8|LPL|SLCO1B1|SLCO1B3|SLCO2B1	NR3C1|SERPINA6	SLC12A1|ATP1A1|CA1|CA12|CA2|CA4|CA9|KCNMA1	SLC6A4|ANO1|CYP2C19|HTR2B
pc	na	na	na	na	na	na	na	na	4.03, 1.53	3.22, 1.03	1.68, 0.64	2.57, 0.91	5.44, 3.49	6.04, 3.88	8.12, 5.00	5.41, 2.64	3.00, 1.60	4.92, 1.71	4.42, 1.83	3.89, 1.88	2.78, 1.11	6.19, 3.29	5.00, 2.55	6.39, 3.47	2.70, 1.36	5.80, 3.42	4.15, 0.71	4.12, 1.78	4.15, 1.43
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		9.90, 5.73	90.21	0.88, 0.15	99.44	94.01	90.21	43.11	9.99	98.24	99.61	96.33	88.20	98.80	85.42	25.16	96.62	68.95	69.56	97.69	90.56	22.36	87.78	93.30	84.57
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		8.33, 4.69	86.95	0.36, 0.09	96.91	15.93	85.46	96.44	69.62	99.28	84.26	54.74	88.27	86.95	61.31	90.26	33.68	92.83	1.62	95.47	93.08	99.19	94.58	80.65	68.56
BRD-K32526544	CP	DCEBIO	intermediate conductance potassium channel activator	KCNN2, KCNN3, KCNN4	Potassium channel activator	6.77, 3.13	85.32	0.80, 0.24	87.14	31.16	91.59	80.04	81.86	99.03	97.69	83.31	97.23	94.26	94.38	84.46	0.04	55.48	-0.49	97.87	97.32	83.65	90.64	85.32	77.54
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			9.38, 3.65	84.98	0.77, 0.24	99.05	89.81	17.66	83.98	46.84	14.79	99.07	92.35	19.49	96.95	57.51	72.19	84.98	97.26	31.80	66.95	95.90	96.89	96.58	47.21	90.00
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		11.46, 7.29	83.58	0.97, 0.15	99.71	86.58	95.88	7.48	45.52	83.58	82.56	86.64	89.95	95.25	23.90	62.19	25.48	49.01	61.54	91.10	99.68	98.51	92.65	81.91	69.31
BRD-K47150025	CP	KI-8751	PDGFR alpha and c-Kit inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	KDR	PDGFR/KIT inhibitor	7.82, 3.35	83.49	2.49, 0.72	86.05	83.49	95.91	90.56	13.24	94.48	44.58	78.25	41.14	94.46	62.55	47.71	92.86	98.17	98.63	86.71	15.11	59.15	48.89	89.42	75.50
BRD-K47207162	CP	zimelidine	serotonin uptake inhibitor	SLC6A4, MAOA, MAOB		10.61, 6.70	83.44	0.98, 0.25	85.30	31.54	96.69	72.82	14.80	44.31	95.06	85.53	25.38	63.69	96.79	98.70	84.36	87.63	8.62	83.44	83.60	99.93	44.89	51.44	46.91
BRD-A66563878	CP	medetomidine	adrenergic receptor agonist, MAP kinase inhibitor	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D		6.70, 3.35	83.34	1.22, 0.45	98.53	35.16	86.47	37.95	93.79	79.89	82.97	57.37	11.62	71.81	20.84	83.34	13.64	96.11	21.10	93.22	96.75	88.09	85.36	97.29	94.55
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		6.13, 4.91	83.03	1.59, 0.52	97.71	83.03	71.15	37.94	92.81	46.76	48.23	50.10	98.40	98.13	20.98	99.47	2.89	83.10	58.78	87.60	69.95	16.49	86.59	94.48	98.06
BRD-K50135270	CP	GBR-12935	dopamine uptake inhibitor	AGTR1, SLC6A3		11.98, 4.69	82.93	1.25, 0.36	99.33	63.38	96.55	98.24	77.80	13.91	90.88	96.55	86.40	62.25	16.38	40.42	82.93	53.60	49.82	99.30	98.98	98.03	61.12	46.15	84.46
BRD-K68402494	CP	ML-9	myosin light chain kinase inhibitor	MLCK, TRPC6, PKA, PKC		12.29, 8.94	82.91	1.17, 0.38	82.91	-86.18	95.45	91.18	53.88	99.05	98.41	19.06	54.93	31.59	88.12	86.61	95.21	98.40	0.67	60.01	68.34	99.40	38.55	72.69	98.10
BRD-A54880345	CP	etomidate	membrane integrity inhibitor, membrane permeability inhibitor	GABRA1, ADRA2B, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ		10.94, 8.33	82.67	0.56, 0.16	82.67	42.40	68.28	53.15	98.46	83.90	91.82	94.98	95.27	66.84	91.04	98.66	84.18	80.30	0.46	87.84	65.32	84.58	76.77	14.34	24.93
BRD-K50464341	CP	berbamine	calmodulin antagonist	CALM1	Calmodulin antagonist	10.61, 7.82	82.51	1.76, 0.69	85.46	20.50	89.60	99.82	14.61	66.10	79.71	47.08	82.51	95.65	13.94	36.83	99.89	99.50	65.64	93.00	92.38	19.96	38.45	86.79	99.93
BRD-K54759182	CP	dosulepin	adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1		9.38, 5.73	81.81	1.30, 0.30	81.81	16.88	42.33	92.64	10.11	17.36	96.85	96.94	76.77	79.78	34.65	92.65	23.37	91.51	0.95	99.69	99.33	81.59	93.30	93.02	96.48
BRD-A78942461	CP	ICI-118551	adrenergic receptor antagonist			6.15, 2.79	81.76	1.08, 0.27	93.97	42.15	89.64	27.45	17.74	80.05	99.68	94.27	80.49	55.94	22.10	96.10	83.30	98.48	36.74	76.37	81.76	99.65	89.17	32.98	91.11
BRD-K15567136	CP	papaverine	phosphodiesterase inhibitor	PDE10A, PDE4B, PDE5A		7.81, 3.65	81.61	0.84, 0.20	87.33	89.29	50.74	62.45	98.27	48.56	32.86	99.19	94.58	81.61	25.53	95.16	13.24	85.57	94.81	99.86	80.68	11.00	95.63	32.48	80.91
BRD-K37691127	CP	hinokitiol	tyrosinase inhibitor	TYR		5.21, 3.13	81.59	1.36, 0.45	60.98	92.76	33.09	95.45	81.59	82.67	30.09	69.85	6.28	86.43	20.64	85.21	35.32	98.17	99.37	84.17	19.54	85.18	37.51	91.51	67.70
BRD-A62021152	CP	WAY-161503	serotonin receptor agonist	HTR2C		3.91, 2.23	81.37	1.43, 0.45	80.23	35.37	87.57	31.27	82.46	87.57	99.79	81.37	93.54	40.32	10.43	82.96	56.21	88.32	31.39	69.82	85.70	47.33	92.74	91.59	72.47
BRD-K54665485	CP	R-59022	diacylglycerol kinase inhibitor, protein kinase inhibitor	DGKA		13.41, 8.38	81.19	1.57, 0.51	98.25	9.21	98.24	81.19	23.78	23.08	82.87	85.88	34.49	21.34	12.73	46.11	96.02	96.86	24.84	49.10	90.60	99.33	11.07	96.15	93.18
BRD-K44353683	CP	nateglinide	insulin secretagogue, ATP-sensitive potassium channel antagonist, meglitinide, sulphonylurea receptor activator	ABCC8, KCNJ11, CYP3A4, INS, KCNJ10, PPARG		6.13, 0.61	81.05	1.57, 0.31	98.24	59.68	68.01	94.76	73.40	83.19	81.05	95.60	92.39	96.51	86.10	95.20	21.56	52.18	-3.08	73.24	94.67	70.69	95.10	57.90	9.73
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		7.36, 3.07	80.98	1.00, 0.30	99.07	85.75	12.21	40.40	60.92	72.34	99.51	98.63	90.87	91.10	14.71	95.69	72.24	98.98	-57.83	52.44	37.04	89.16	80.98	43.55	94.67
BRD-A11135865	CP	nor-binaltorphimine	opioid receptor antagonist			6.15, 3.35	80.69	0.80, 0.19	80.69	30.48	94.88	34.83	11.94	30.81	72.68	99.82	54.18	91.00	66.75	37.54	96.14	82.78	80.83	66.30	96.23	97.88	94.88	73.54	88.24
BRD-K51018020	CP	VAMA-37	DNA dependent protein kinase, DNA dependent protein kinase inhibitor, PI3K inhibitor	PRKDC	DNA dependent protein kinase inhibitor	5.59, 3.35	80.60	1.39, 0.48	92.92	-4.12	73.57	29.75	88.87	36.33	69.06	96.32	77.91	95.80	49.28	92.80	89.82	86.98	80.60	57.98	36.64	7.61	87.08	90.67	94.99
BRD-K06147391	CP	telenzepine	acetylcholine receptor antagonist	CHRM1		5.21, 1.56	80.27	0.53, 0.17	90.45	84.29	64.48	58.01	65.98	27.11	80.27	94.05	64.43	6.01	80.08	93.50	10.42	88.18	0.56	82.34	93.90	81.24	92.01	75.11	88.40
BRD-K29178788	CP	dictamnine	furoquinoline alkaloid that causes smooth muscle contraction			9.28, 6.19	80.18	1.32, 0.44	80.18	0.00	91.54	6.42	96.11	99.84	-14.57	99.04	57.60	59.93	94.50	95.36	-90.01	-62.11	-67.40	99.54	93.92	72.92	87.05	97.09	9.05
BRD-K83302049	CP	protopine	acetylcholinesterase inhibitor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor	ACHE, SLC6A2, SLC6A4		5.59, 1.12	79.88	0.68, 0.18	80.74	12.35	89.35	10.37	81.41	20.56	95.78	91.68	51.98	88.29	56.89	27.25	87.40	89.37	78.92	20.89	79.88	95.86	66.99	45.58	93.87
BRD-A09828896	CP	SKF-81297	dopamine receptor agonist	DRD1, DRD5		3.13, 2.08	79.82	0.83, 0.23	73.52	9.36	84.78	70.05	94.58	92.69	68.53	79.82	84.53	84.56	98.13	51.90	76.79	95.38	82.96	90.72	92.41	13.25	79.23	26.59	73.46
BRD-K40645748	CP	mefloquine	acidifying agent non gastric, adenosine receptor antagonist, calmodulin antagonist, hemoglobin antagonist, pannexin inhibitor	ADORA2A, HBA1, PANX1		12.29, 6.70	79.39	1.34, 0.28	98.77	52.32	72.16	97.03	66.81	99.93	6.26	79.39	47.76	82.61	52.32	79.78	96.97	84.88	83.82	71.49	2.22	43.69	63.19	97.46	96.54
BRD-A11678676	CP	wortmannin	PI3K inhibitor, ATM kinase inhibitor, ATR kinase inhibitor, DNA dependent protein kinase inhibitor, mTOR inhibitor, Phosphatidylinositol 3-kinase (PI3K) inhibitor, PLK inhibitor	PIK3CA, PIK3CG, PLK1, ATM, ATR, MTOR, PI4KA, PI4KB, PIK3CD, PIK3R1, PLK3, PRKDC	PI3K inhibitor	4.69, 0.00	79.36	1.52, 0.50	94.73	96.19	39.77	90.56	75.53	92.76	68.34	85.55	24.63	92.47	51.17	53.13	93.54	87.47	97.04	26.73	61.45	37.24	54.37	79.36	97.39
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			3.49, 0.58	79.07	1.27, 0.26	79.07	66.77	91.54	26.64	87.07	8.78	80.06	19.78	52.91	71.88	77.95	79.57	82.85	90.61	0.81	99.25	43.50	1.00	80.09	85.38	96.31
BRD-K99029477	CP	prometon	photosynthesis inhibitor			14.43, 9.28	79.07	2.05, 0.64	90.74	-5.47	24.22	80.01	91.19	57.21	60.64	99.75	97.49	4.47	99.06	53.97	1.66	96.21	79.07	99.86	66.29	99.75	87.82	27.55	16.17
BRD-A91452556	CP	estradiol-cypionate	estrogen receptor agonist	ESR1	Estrogen receptor agonist	4.69, 3.65	78.74	1.38, 0.34	93.95	64.07	64.54	78.74	80.34	10.24	94.97	30.87	83.41	54.54	80.77	83.59	-0.21	93.04	0.95	36.87	33.33	97.33	79.31	46.55	88.27
BRD-A34817987	CP	itraconazole	cell wall synthesis inhibitor, cytochrome P450 inhibitor, sterol demethylase inhibitor, VEGFR inhibitor	CYP3A5, CYP3A7, CYP51A1, KDR		5.21, 1.56	78.68	0.97, 0.13	87.84	88.26	76.95	97.83	41.50	83.01	92.02	96.14	44.03	75.45	40.30	29.86	96.28	84.67	78.68	79.86	63.90	15.49	75.62	58.53	87.08
BRD-K13032584	CP	procarbazine	DNA alkylating drug, transmethylation inhibitor			8.33, 5.73	78.36	0.78, 0.17	19.06	21.09	44.26	66.91	23.20	78.50	91.97	98.56	78.36	57.31	80.21	96.25	26.70	80.12	1.90	92.82	79.58	41.09	86.13	30.36	79.07
BRD-K49668410	CP	clarithromycin	50S ribosomal subunit inhibitor	CYP2C19, CYP3A4, CYP3A5, CYP3A7		3.07, 0.61	78.35	1.41, 0.39	90.60	78.35	49.03	7.00	87.78	31.02	85.56	79.61	73.46	92.85	87.61	54.10	33.99	86.10	0.05	96.02	20.76	7.95	82.88	63.86	95.49
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		1.84, 1.23	78.32	1.76, 0.69	96.63	71.35	78.32	90.72	68.53	20.49	89.26	93.02	88.52	53.65	41.94	88.60	80.88	59.79	25.57	91.58	67.67	81.76	61.21	58.12	85.70
BRD-K47639036	CP	flavoxate	acetylcholine receptor antagonist	CHRM1, CHRM2		10.42, 7.29	78.07	1.10, 0.34	96.29	16.87	84.37	89.34	6.25	93.83	91.93	81.47	78.07	30.36	86.37	44.43	4.36	51.67	4.07	56.42	99.97	99.15	94.51	31.68	69.55
BRD-K13646352	CP	midostaurin	FLT3 inhibitor, KIT inhibitor, PKC inhibitor, angiogenesis inhibitor, cell cycle inhibitor, cyclin inhibitor, histamine release inhibitor, multi targeted kinase inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR antagonist, VEGFR inhibitor	FLT3, KIT, CCNB1, FLT1, KDR, PDGFRB, PRKCA, PRKCG, VEGFA	FLT3 inhibitor, PDGFR/KIT inhibitor, PKC inhibitor, VEGFR inhibitor	6.25, 2.60	77.62	1.35, 0.26	78.60	96.61	90.89	92.57	91.42	5.07	3.28	65.54	77.62	97.11	45.93	86.08	67.08	60.16	98.31	88.37	73.77	10.03	91.30	53.64	55.72
BRD-K43068349	CP	AMG-9810	TRPV antagonist	TRPV1		4.69, 3.13	77.38	0.85, 0.15	91.25	80.17	21.85	14.73	99.22	23.69	41.59	88.93	86.12	83.35	90.20	54.08	4.76	81.16	63.15	81.27	17.94	77.38	91.63	11.14	45.78
BRD-K95202259	CP	ML-3163	p38 MAPK inhibitor	CYP2D6, CYP3A4, MAPK11, MAPK12, MAPK14	P38 MAPK inhibitor	12.50, 5.73	77.32	0.93, 0.22	87.43	35.15	32.89	93.62	30.49	45.66	96.57	77.32	79.32	84.66	97.63	98.70	17.92	75.20	1.23	95.42	64.79	96.86	84.06	22.99	-4.22
BRD-K13926615	CP	vardenafil	phosphodiesterase inhibitor	PDE5A, CYP2C19, CYP2C8, CYP3A5, PDE6G, PDE6H		7.29, 3.13	77.30	0.99, 0.28	79.51	-4.04	54.32	69.00	92.41	17.02	99.26	96.81	64.55	10.24	79.22	90.92	80.99	77.30	-0.46	89.63	98.26	29.98	85.86	36.13	54.74
