#1.3
2429	13	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K82941592-summary	BRD-K81473089-summary	BRD-K50859149-summary	BRD-K15933101-summary	BRD-K19416115-summary	BRD-K50938287-summary	BRD-A70083328-summary	BRD-A33168282-summary	BRD-K93645900-summary	BRD-K53972329-summary	BRD-A95939040-summary	BRD-K36627727-summary	BRD-A62035778-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	1935.00		-666.00	-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	6 h		6 h	6 h	6 h	6 h	24 h	6 h		6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00	8.00		9.00	9.00	7.00	7.00	7.00	9.00		9.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.21	0.21		0.27	0.32	0.19	0.15	0.22	0.33		0.19	0.31	0.16
icc	na	na	na	na	na	na	na	na	0.36	0.38		0.40	0.59	0.36	0.39	0.39	0.33		0.38	0.42	0.35
url	na	na	na	na	na	na	na	na	BRD-K82941592	BRD-K81473089		BRD-K15933101	BRD-K19416115	BRD-K50938287	BRD-A70083328	BRD-A33168282	BRD-K93645900		BRD-A95939040	BRD-K36627727	BRD-A62035778
query	na	na	na	na	na	na	na	na													
description	na	na	na	na	na	na	na	na	HMGCR inhibitor	acetylcholinesterase inhibitor|acetylcholine release stimulant|butyrylcholinesterase inhibitors|potassium channel antagonist	endothelin receptor antagonist|FOLP inhibitor	dopamine receptor agonist|dopamine receptor modulator	dipeptidyl peptidase inhibitor|HMGCR inhibitor|insulin secretagogue|tumor necrosis factor expression inhibitor	serotonin receptor agonist	acetylcholinesterase inhibitor|microtubule inhibitor	adrenergic receptor antagonist|polarization inhibitor|potassium channel antagonist	phosphodiesterase inhibitor	JAK inhibitor|tyrosine kinase inhibitor	sterol demethylase inhibitor|cell wall synthesis inhibitor	retinoid receptor agonist|RAR agonist	acetylcholine receptor antagonist
target	na	na	na	na	na	na	na	na	HMGCR	ACHE|BCHE		DRD2|DRD3|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C	DPP4|CYP2C8|FASLG|HMGCR|SLC22A8	HTR1D|HTR1B|HTR1A|HTR1F|HTR1E|HTR5A|HTR6|HTR7		ADRB1|ADRB2|KCNH2	PDE5A|PDE11A	JAK1|JAK2|TYK2|JAK3		RARA|RARB	CHRM2|CHRM1|CHRM3|CHRM4|CHRM5|SI
pc	na	na	na	na	na	na	na	na	2.82, 1.16	7.48, 4.14	4.05, 1.99	3.43, 1.90	10.08, 4.71	6.96, 3.06	1.55, 0.84	5.40, 3.27	8.67, 4.91	8.24, 5.01	1.29, 0.56	4.31, 2.23	5.92, 2.47
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			17.31, 8.65	95.28	1.58, 0.58	75.35	95.71	0.22	65.37	97.78	95.75	99.82	96.67	99.96	95.28	88.78	86.53	81.12
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		9.76, 7.32	95.28	0.36, 0.09	88.22	95.28	42.98	67.55	84.20	97.32	97.52	98.59	95.70	98.59	99.19	86.52	88.63
BRD-K04196797	CP	oxcarbazepine	voltage-gated sodium channel blocker, Sodium Channel  Blockers	CYP2C19, CYP3A4, CYP3A5, SCN1A, SCN3A, SCN5A		12.50, 4.81	94.08	1.35, 0.35	85.76	96.30	25.70	86.14	97.26	95.85	98.41	96.21	53.70	10.42	94.08	99.54	80.85
BRD-K46435977	CP	valaciclovir	DNA directed DNA polymerase inhibitor, DNA polymerase inhibitor		DNA polymerase inhibitor	18.27, 10.58	93.83	1.90, 0.66	99.40	98.34	91.76	88.02	98.63	54.90	99.44	83.25	99.65	72.78	96.00	6.59	93.83
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		17.31, 11.54	93.75	1.59, 0.52	93.75	83.50	98.84	98.05	82.82	95.67	99.93	66.01	99.96	50.95	92.94	76.76	97.71
BRD-K96134740	CP	kitasamycin	protein synthesis inhibitor			14.42, 9.62	93.70	1.08, 0.34	94.09	98.25	93.10	-5.28	98.41	93.22	93.70	99.33	99.18	17.60	98.27	34.07	67.95
BRD-K32311154	CP	nifekalant	potassium channel antagonist, potassium channel blocker			11.54, 7.69	93.48	0.98, 0.32	96.63	95.93	77.26	45.12	99.42	80.93	99.71	99.44	96.80	0.42	93.48	0.60	74.76
BRD-K47278471	CP	diphenhydramine	histamine receptor antagonist	HRH1		11.54, 9.62	92.70	1.67, 0.52	99.86	93.10	99.80	26.35	57.75	93.42	94.40	65.92	99.93	76.47	92.70	2.61	50.78
BRD-K04710043	CP	hexamethylenebisacetamide	differentiation inducer, NFKB inhibitor, AKT inhibitor			13.46, 8.65	91.88	2.07, 0.75	65.43	98.36	91.97	81.86	91.88	98.52	99.58	95.32	99.96	72.34	60.01	29.35	67.07
BRD-K57930253	CP	nitrazepam	GABA benzodiazepine site receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, SCN1A	Benzodiazepine receptor agonist	12.50, 8.65	91.88	1.19, 0.33	94.12	92.93	97.97	27.38	96.30	58.48	99.40	67.14	98.20	32.95	89.34	-44.78	91.88
BRD-K20482099	CP	rutin	aldose reductase inhibitor, antioxidant, capillary stabilizing agent, nitric oxide scavenger, prolyl 4-hydroxylase inhibitor	AKR1C3, AKR1B1, F10		17.07, 9.76	91.75	0.81, 0.10	96.60	98.06	67.09	59.17	-75.13	91.75	74.01	97.96	99.51	98.23	78.06	97.93	87.09
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		11.54, 8.65	91.60	1.17, 0.58	96.51	98.82	85.13	94.18	96.69	90.62	98.56	82.40	99.93	74.01	91.60	81.53	70.59
BRD-K44442813	CP	pidotimod	interferon receptor agonist, interleukin receptor agonist, T cell stimulant			18.27, 10.58	91.26	1.86, 0.65	88.61	98.31	68.10	65.70	96.37	88.71	95.71	55.09	99.93	97.29	31.87	91.26	99.26
BRD-K99029477	CP	prometon	photosynthesis inhibitor			14.52, 9.68	90.79	2.05, 0.64	95.79	99.40	9.84	94.62	29.06	87.24	35.15	92.78	99.79	90.79	54.89	94.43	77.00
BRD-K92015269	CP	GBR-12783	dopamine uptake inhibitor			5.69, 3.25	90.48	0.94, 0.19	90.48	92.93	74.46	59.74	94.43	65.34	91.12	26.96	94.09	55.47	95.67	46.44	92.94
BRD-K38323065	CP	phenacetin	cyclooxygenase inhibitor	PTGS1	Cyclooxygenase inhibitor	15.45, 8.13	90.35	0.81, 0.15	39.60	95.02	95.27	96.47	90.29	98.91	90.35	96.39	53.92	73.40	98.38	8.62	30.11
BRD-A24381660	CP	zeranol	estrogen receptor agonist			9.62, 3.85	90.10	1.49, 0.59	15.18	93.93	86.62	29.98	96.54	92.84	93.96	59.26	99.93	51.73	95.21	2.96	90.10
BRD-A44133049	CP	azasetron	serotonin receptor antagonist	HTR3A, HTR3B		9.76, 6.50	89.47	0.66, 0.13	85.32	87.95	93.84	64.51	97.03	98.52	99.46	75.65	99.51	89.78	89.47	31.72	84.68
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		8.94, 2.44	89.40	0.97, 0.15	26.47	91.92	67.84	76.61	-34.89	93.40	67.58	96.62	89.40	99.61	79.64	98.80	96.28
BRD-K91336023	CP	mesulergine	dopamine receptor agonist	HTR2A, HTR2C, HTR7, HTR2B, HTR3A, HTR3B, HTR6		7.02, 2.63	88.65	0.94, 0.19	8.21	78.74	90.77	83.65	91.51	94.14	86.08	99.82	98.22	88.65	67.70	4.47	93.70
BRD-A02710418	CP	meptazinol	opioid receptor agonist	BCHE		12.20, 4.88	88.21	1.05, 0.41	83.60	98.48	72.25	80.43	89.58	99.75	88.48	52.87	41.22	97.23	88.21	47.70	97.61
BRD-K68246049	CP	TTNPB	RAR agonist, retinoid receptor agonist	RARB, RARA, RARG	Retinoid receptor agonist	12.20, 5.69	87.93	1.40, 0.33	87.93	98.77	47.73	10.01	94.67	35.10	66.47	99.54	96.12	68.41	90.99	77.19	94.24
BRD-A70083328	CP	secnidazole	acetylcholinesterase inhibitor, microtubule inhibitor			14.42, 10.58	87.85	1.44, 0.48	83.75	92.34	87.77	76.84	96.37	98.79	99.98	71.29	99.47	92.11	48.63	3.00	87.85
BRD-K98769987	CP	flumazenil	benzodiazepine receptor antagonist, GABA benzodiazepine site receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ		10.57, 7.32	87.76	1.15, 0.22	69.97	98.41	97.96	47.92	98.48	65.70	98.28	91.71	62.90	90.15	87.76	2.82	69.32
BRD-K93645900	CP	tadalafil	phosphodiesterase inhibitor	PDE5A, PDE11A		15.45, 13.01	87.58	0.43, 0.08	93.76	47.04	53.00	90.30	95.76	87.58	70.32	90.76	100.00	87.09	16.45	30.17	98.93
BRD-K70358946	CP	aripiprazole	serotonin receptor agonist, serotonin receptor antagonist, dopamine receptor agonist, dopamine receptor partial agonist, serotonin receptor partial agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7		15.38, 8.65	87.46	0.97, 0.19	98.94	66.91	33.17	87.46	90.19	38.48	99.26	30.35	99.86	34.15	90.87	92.19	58.21
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			6.50, 5.69	87.42	0.77, 0.24	97.88	94.47	85.53	69.80	91.51	22.04	91.09	36.71	98.66	34.24	87.42	94.21	82.31
BRD-A64977602	CP	mirtazapine	adrenergic receptor antagonist, serotonin receptor antagonist	ADRA2A, HTR2A, HTR2C, ADRA2C, HTR3A, ADRA1A, ADRA1B, ADRA1D, ADRA2B, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD5, HRH1, HRH3, HTR2B, HTR7, OPRK1, SLC6A2, SLC6A3, SLC6A4		8.94, 6.50	87.31	0.50, 0.14	94.57	87.31	62.50	86.34	89.85	77.69	93.94	98.01	98.84	33.24	84.98	72.50	93.35
BRD-K10961822	CP	latanoprost	prostanoid receptor agonist	PTGFR		12.50, 8.65	86.92	1.78, 0.70	98.66	86.87	18.96	93.96	61.32	95.87	90.31	71.26	99.96	77.10	86.92	63.16	94.57
BRD-K60060639	CP	methyllidocaine	antiarrhythmic, phosphatidyl-inositol activator			6.50, 2.44	86.72	0.88, 0.19	84.15	93.91	70.60	46.90	96.96	87.73	34.34	66.42	89.52	99.47	86.72	63.12	88.83
BRD-K53220666	CP	trimetozine	compound with mild tranquilizing effects			11.38, 3.25	86.59	1.00, 0.33	96.51	99.79	40.55	46.28	93.83	86.59	81.39	86.87	97.99	72.39	68.70	74.68	97.44
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			9.09, 2.73	86.40	1.27, 0.26	77.13	84.18	62.96	91.51	90.70	52.34	97.14	92.64	99.65	25.02	59.24	86.40	88.00
BRD-K45033733	CP	famciclovir	DNA polymerase inhibitor, DNA directed DNA polymerase inhibitor		DNA polymerase inhibitor	10.57, 5.69	86.33	0.38, 0.10	96.95	79.59	76.95	94.30	95.93	74.98	88.29	86.33	94.78	82.81	69.48	79.33	94.58
BRD-K25224017	CP	pirenperone	serotonin receptor antagonist	HTR2A, HTR7		8.13, 6.50	86.29	0.50, 0.07	94.51	95.34	56.59	11.51	94.82	86.29	91.16	69.49	99.75	33.26	76.49	22.53	88.52
BRD-K44779798	CP	miglitol	glucosidase inhibitor, sodium/glucose cotransporter activator	GAA, MGAM, GANAB, GANC, SLC5A4		7.69, 2.88	86.18	1.74, 0.57	69.95	72.67	12.54	93.63	86.18	48.14	95.73	36.46	99.01	94.20	44.09	89.54	88.07
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		9.62, 7.69	85.49	1.00, 0.30	21.27	91.44	18.09	20.05	85.49	99.58	99.05	91.34	99.93	78.46	61.47	87.82	84.11
BRD-A41450521	CP	tosufloxacin	topoisomerase inhibitor			10.58, 5.77	85.34	1.20, 0.28	58.30	85.34	9.45	52.15	-17.26	92.73	98.82	59.67	88.07	99.47	89.27	18.93	98.20
BRD-K77925998	CP	quipazine	serotonin receptor agonist	HTR2A, HTR3A, HTR3B, HTR1A, HTR1D, HTR2B, HTR2C, HTR6, SLC6A4		15.45, 8.13	85.25	0.84, 0.26	93.15	45.19	17.31	15.97	97.99	93.01	63.99	98.91	97.08	5.00	85.54	71.55	85.25
BRD-K94920105	CP	DR-2313	PARP inhibitor	PARP1, PARP3		6.50, 2.44	85.06	0.99, 0.15	61.06	94.70	49.98	96.32	85.06	82.73	87.13	96.87	97.27	82.51	91.26	58.04	59.93
BRD-K92778217	CP	mefenamic-acid	cyclooxygenase inhibitor	PTGS2, PTGS1, KCNQ1, TRPM3		11.38, 6.50	84.82	1.11, 0.33	49.74	86.93	63.14	84.82	98.20	73.33	61.05	97.96	96.18	69.12	87.61	7.88	91.91
BRD-K06147391	CP	telenzepine	acetylcholine receptor antagonist	CHRM1		7.32, 0.81	84.69	0.53, 0.17	97.46	74.96	95.91	84.69	69.41	90.36	86.37	91.59	80.16	74.22	77.34	44.45	85.42
BRD-A04327189	CP	synephrine	adrenergic receptor agonist, L-type calcium channel activator	ADRA1A		9.76, 1.63	84.39	1.10, 0.23	96.75	39.34	10.39	9.21	89.50	89.38	83.31	85.07	99.37	71.73	86.00	11.44	84.39
BRD-A42759514	CP	ornidazole	antiprotozoal agent			9.76, 4.07	84.25	0.88, 0.17	92.41	89.45	31.52	90.45	92.10	95.31	57.93	79.01	91.09	84.25	78.68	35.61	64.88
BRD-K09963420	CP	saquinavir	HIV protease inhibitor, peptidase inhibitor	CYP3A4, CYP3A5		8.13, 5.69	84.11	1.15, 0.35	89.03	71.68	20.10	47.95	84.11	91.02	96.72	61.96	99.51	97.63	89.39	79.70	75.93
BRD-K47639036	CP	flavoxate	acetylcholine receptor antagonist	CHRM1, CHRM2		12.20, 4.07	84.08	1.10, 0.34	88.71	95.73	96.20	75.49	84.08	97.35	87.47	75.28	48.95	83.52	96.84	12.63	31.51
BRD-K16621777	CP	enobosarm	androgen receptor modulator, androgen receptor agonist	AR	Androgen receptor modulator, Progesterone receptor antagonist	8.13, 5.69	84.05	0.81, 0.18	45.45	97.00	18.05	89.84	90.22	69.11	87.47	39.16	87.03	84.05	16.92	73.46	98.91
BRD-K73397362	CP	purmorphamine	smoothened receptor agonist	SMO, DHH, IHH, PTCH1		4.88, 1.63	83.96	0.73, 0.19	71.07	88.86	53.52	10.73	40.70	83.96	37.51	54.79	94.48	95.24	85.51	88.87	97.00
BRD-K67017579	CP	cilostazol	phosphodiesterase inhibitor, platelet aggregation inhibitor	PDE3A, CYP2C19, CYP3A5, PDE3B		12.20, 5.69	83.95	1.17, 0.38	97.40	95.79	55.88	78.32	86.96	66.33	83.95	44.10	99.40	89.54	55.64	75.93	89.10
BRD-K29582677	CP	flunarizine	calcium channel blocker, T-type calcium channel blocker	CACNA1G, CACNA1H, CACNA1I, CALM1, CYP2J2, HRH1		4.88, 0.81	83.93	0.92, 0.23	96.03	89.28	93.93	26.07	83.93	85.89	50.36	86.11	38.76	43.24	33.37	2.11	90.21
BRD-K47328134	CP	lysylphenylalanyl-tyrosine	heparin activation inhibitor			16.13, 11.29	83.92	1.41, 0.44	77.32	2.79	97.80	93.88	78.20	98.75	93.75	84.46	-65.73	21.67	83.92	12.85	97.55
BRD-K45446451	CP	JZL-184	monoacylglucerol lipase inhibitor	MGLL		5.69, 2.44	83.91	1.31, 0.39	93.45	67.65	86.46	97.67	83.91	96.36	71.85	18.68	89.20	3.00	92.49	11.13	59.38
BRD-K83637872	CP	SANT-1	smoothened receptor antagonist	DHH, IHH, PTCH1, SMO		6.50, 2.44	83.74	0.78, 0.17	95.57	95.34	83.74	33.59	61.70	54.71	90.63	7.97	95.70	51.85	87.78	42.24	87.46
BRD-K04170657	CP	psoromic-acid	Rab-Prenylation Inhibitor			9.68, 8.06	83.67	1.73, 0.28	83.67	80.35	84.33	57.04	98.27	99.58	48.89	99.93	71.53	69.53	91.37	60.59	99.22
BRD-K27351809	CP	nomegestrol	progesterone receptor agonist	PGR	Progesterone receptor agonist	11.38, 5.69	83.50	1.19, 0.25	93.45	75.06	94.32	89.32	95.38	74.86	88.76	96.83	83.50	64.72	43.82	4.44	80.13
BRD-K98530306	CP	clonidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D		5.69, 1.63	83.49	0.95, 0.27	61.06	84.13	80.97	83.49	69.72	89.58	83.66	85.00	83.14	96.41	15.88	68.04	89.66
BRD-K76133116	CP	benzydamine	membrane integrity inhibitor, prostanoid receptor inhibitor	PRSS1, PRSS2		11.38, 7.32	83.47	0.93, 0.26	37.93	83.69	83.47	43.28	93.58	71.87	17.97	10.14	94.96	81.94	99.30	97.53	95.49
BRD-K23369905	CP	oxiconazole	cell wall synthesis inhibitor, sterol demethylase inhibitor			9.62, 6.73	83.46	1.25, 0.40	90.52	92.00	23.09	32.08	96.99	48.20	98.29	35.32	94.80	0.21	93.99	83.46	74.17
BRD-K84955386	CP	hyperoside	glucosidase inhibitor, free radical scavenger	ACE, AKR1B1, GAA		8.65, 4.81	83.46	2.08, 0.76	93.52	83.46	86.69	68.37	2.68	78.03	98.56	90.43	99.96	39.61	55.68	55.45	87.03
BRD-K82865713	CP	prostaglandin-b2	cAMP inhibitor			5.69, 1.63	83.41	0.77, 0.26	93.19	83.41	11.06	12.91	97.16	82.73	44.29	86.31	95.02	93.13	81.43	49.16	84.22
BRD-K55301415	CP	abiraterone	17,20 lyase inhibitor, androgen biosynthesis inhibitor, cytochrome P450 inhibitor, steroid sulfatase inhibitor	CYP17A1, CYP11B1		11.40, 6.14	83.40	1.34, 0.45	40.87	99.93	21.27	0.00	96.34	81.89	30.24	96.68	42.94	92.70	83.40	98.52	96.07
BRD-A29485665	CP	bicalutamide	androgen receptor antagonist	AR, CYP2C19		5.69, 1.63	83.10	0.67, 0.17	92.35	83.10	83.86	56.78	6.43	90.65	77.29	37.84	94.63	91.70	18.44	54.23	94.79
BRD-K29555132	CP	arachidonamide	cannabinoid receptor agonist	CNR1, CNR2		6.50, 3.25	83.02	1.13, 0.35	24.31	99.75	57.83	95.57	85.27	83.02	7.04	6.86	94.91	85.49	43.84	97.89	73.84
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		4.88, 2.44	82.67	0.88, 0.15	66.93	97.08	97.46	68.08	46.46	87.08	54.03	82.67	96.68	98.31	30.06	92.67	70.77
BRD-K11540476	CP	EMF-BCA1-64	caspase inhibitor	CASP3		8.94, 4.07	82.33	0.66, 0.09	86.11	95.87	87.36	35.04	82.81	89.21	54.24	75.55	96.82	26.70	46.08	61.40	82.33
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		9.62, 6.73	82.29	1.74, 0.72	82.29	62.73	12.09	85.19	27.70	92.23	98.91	55.76	99.93	92.10	78.61	24.12	95.77
BRD-K56558538	CP	ambroxol	glucosylceramidase inhibitor, mucolytic agent, sodium channel blocker	GBA		10.57, 5.69	82.08	0.84, 0.24	94.94	52.52	82.08	48.06	93.75	96.59	27.79	84.42	32.80	8.25	29.73	84.69	97.73
BRD-K26160755	CP	RS-45041-190	imidazoline receptor agonist			4.07, 0.81	81.85	0.84, 0.15	72.35	91.46	10.36	82.84	87.83	86.69	67.10	59.58	72.30	58.46	81.85	86.24	98.20
BRD-K02265150	CP	amoxapine	adrenergic transmitter uptake inhibitor, dopamine receptor, norepinephrine reputake inhibitor, serotonin receptor antagonist, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, HTR2A, HTR6, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR7, SLC6A3	Norepinephrine reuptake inhibitor	8.13, 3.25	81.81	1.20, 0.32	96.57	33.28	81.81	91.63	96.45	79.17	53.99	83.07	86.59	2.47	86.58	64.85	60.74
BRD-K79437791	CP	acetyl-farnesyl-cysteine	inhibitor of methylation of endogenous isoprenylated proteins	PPARG		7.32, 4.07	81.74	1.23, 0.43	20.30	93.80	81.74	89.27	91.95	86.17	35.90	96.26	4.96	22.69	43.44	20.28	92.74
BRD-K81729199	CP	AQ-RA741	acetylcholine receptor antagonist			7.32, 3.25	81.69	0.85, 0.20	52.62	99.72	81.69	79.56	96.47	93.00	83.03	57.40	86.93	91.98	58.30	4.79	68.73
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		8.65, 7.69	81.67	1.76, 0.69	87.53	57.72	53.96	80.06	56.02	92.97	99.68	70.08	99.93	99.15	81.67	76.23	82.16
