#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K32318651-summary	BRD-K70358946-summary	BRD-K53737926-summary	BRD-K20141153-summary	BRD-K94830329-summary	BRD-K52172416-summary	BRD-K97181089-summary	BRD-K62200014-summary	BRD-A25234499-summary	BRD-A20239487-summary	BRD-K33483813-summary	BRD-K57631554-summary	BRD-K70330367-summary	BRD-K02265150-summary	BRD-K66175015-summary	BRD-K29530284-summary	BRD-K11433652-summary	BRD-K91290917-summary	BRD-K67043667-summary	BRD-K56558538-summary
BRD-A31575449	CP	CGP-20712	adrenergic receptor antagonist	ADRB1, ADRB3		6.38, 2.66	85.41	0.88, 0.32	74.52	50.93	91.51	77.48	79.72	89.49	95.47	87.48	87.45	83.64	46.52	41.83	93.54	43.16	47.32	87.18	72.83	98.21	94.27	90.93
BRD-K76133116	CP	benzydamine	membrane integrity inhibitor, prostanoid receptor inhibitor	PRSS1, PRSS2		7.98, 4.26	85.38	0.93, 0.26	92.31	-3.33	16.85	85.82	91.83	54.74	78.84	4.69	96.82	94.17	98.77	83.77	89.11	87.81	33.66	84.95	95.09	27.44	46.31	99.65
BRD-A05352148	CP	ipratropium	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		7.45, 3.72	85.35	0.75, 0.27	85.87	-13.86	68.24	86.94	91.35	68.36	98.06	79.55	78.66	84.82	76.02	89.88	91.00	57.45	52.51	88.65	97.22	86.77	77.05	94.69
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		8.81, 4.40	85.34	1.59, 0.52	97.51	96.26	40.77	97.08	84.26	97.33	72.16	98.80	91.07	90.44	86.42	14.74	71.91	60.96	82.02	97.01	61.25	99.54	83.09	55.48
BRD-A44133049	CP	azasetron	serotonin receptor antagonist	HTR3A, HTR3B		10.11, 4.79	85.15	0.66, 0.13	68.77	93.94	27.94	92.76	92.67	92.27	85.00	21.33	94.06	56.43	95.91	79.19	85.29	58.92	71.13	88.37	96.07	76.12	79.61	96.36
BRD-K69688083	CP	mestinon	cholinesterase inhibitor	ACHE, BCHE		17.31, 11.54	85.09	2.26, 0.53	96.12	84.85	72.39	99.89	99.51	94.83	99.41	94.14	39.64	98.45	17.36	64.83	14.01	-4.06	21.05	93.03	85.33	22.46	99.89	55.73
BRD-K49668410	CP	clarithromycin	50S ribosomal subunit inhibitor	CYP2C19, CYP3A4, CYP3A5, CYP3A7		9.43, 5.66	84.52	1.41, 0.39	98.03	97.22	62.45	89.60	91.00	91.89	46.52	39.75	81.12	89.82	87.61	78.34	66.18	53.15	33.90	93.25	81.43	75.06	99.68	96.14
BRD-K96402602	CP	farnesylthiotriazole	prenylated protein methyltransferase (PPMTase) inhibitor			5.32, 1.06	83.92	1.00, 0.34	96.49	43.48	85.14	93.15	73.63	82.58	55.26	91.70	4.83	91.22	47.56	85.19	85.36	82.86	40.21	70.33	84.98	74.29	96.61	91.27
BRD-K62858456	CP	lomerizine	calcium channel antagonist, calcium channel blocker, P glycoprotein inhibitor	ABCB1, CACNA1B, SCN5A	Calcium channel blocker	8.18, 5.03	83.84	1.78, 0.67	84.93	95.98	87.14	99.75	93.63	87.84	18.19	7.11	6.64	97.09	55.77	75.34	14.34	82.72	82.76	88.53	-20.17	99.75	84.91	17.21
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		8.81, 6.92	83.79	1.17, 0.58	82.52	92.77	55.53	98.27	95.51	97.98	90.97	39.40	83.81	93.75	73.29	83.77	75.66	72.51	78.58	99.30	97.96	99.89	80.67	66.40
BRD-K66782112	CP	BRD-K66782112	histamine receptor antagonist	HRH2		7.45, 2.66	83.64	1.41, 0.41	98.17	10.12	4.33	31.31	-57.26	87.14	99.61	17.40	99.47	29.82	80.14	18.31	98.38	92.42	24.07	88.77	94.61	88.14	90.34	69.30
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			9.43, 3.77	83.61	1.58, 0.58	38.86	99.72	81.88	90.72	90.38	92.14	92.62	0.11	80.92	90.18	77.81	69.09	64.09	87.68	76.20	99.89	67.54	99.23	85.34	68.69
BRD-K92015269	CP	GBR-12783	dopamine uptake inhibitor			5.85, 3.72	83.49	0.94, 0.19	46.55	76.92	89.03	91.83	80.48	84.09	99.44	34.08	34.52	83.14	98.34	96.69	53.57	83.83	75.84	90.23	76.27	92.11	99.40	58.58
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		9.43, 6.92	83.02	1.76, 0.69	72.01	98.91	82.62	99.19	96.24	72.92	24.84	43.92	3.81	90.95	93.01	90.14	48.46	78.52	83.87	98.47	60.13	98.16	83.41	55.46
BRD-K50135270	CP	GBR-12935	dopamine uptake inhibitor	AGTR1, SLC6A3		3.72, 2.13	82.96	1.25, 0.36	44.47	25.29	77.52	77.34	94.21	88.49	91.24	82.48	92.54	96.42	18.76	2.96	83.44	89.50	74.43	36.51	89.48	67.79	90.81	90.01
BRD-A31312900	CP	montelukast	leukotriene receptor antagonist	CYSLTR1, ALOX5, CYP2C8		9.66, 5.68	82.63	1.17, 0.31	44.93	29.78	36.29	93.16	66.32	85.34	99.93	27.99	98.19	53.19	85.69	96.97	95.04	78.34	79.93	91.16	96.76	63.52	96.38	69.98
BRD-K60770992	CP	pergolide	dopamine receptor agonist, calcium-activated potassium channel blocker, potassium channel blocker, prolactin inhibitor	DRD1, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1A, ADRA1B, ADRA1D, KCNA5		5.85, 1.60	82.57	0.58, 0.14	82.65	57.26	46.56	57.00	87.42	85.89	97.06	19.10	88.13	55.92	94.08	91.36	78.50	23.79	67.86	82.49	94.99	91.95	27.29	97.49
BRD-K71289571	CP	zafirlukast	leukotriene receptor antagonist	CYSLTR1, CYSLTR2		9.09, 5.11	82.52	0.97, 0.27	93.35	73.47	84.17	75.04	96.94	22.39	98.40	-4.19	26.85	93.88	92.54	89.75	51.58	22.12	23.77	81.99	18.47	83.06	83.81	84.26
BRD-K54529596	CP	captopril	angiotensin converting enzyme inhibitor	ACE, LTA4H, MMP2, MMP9		12.50, 8.52	82.51	1.42, 0.42	94.90	79.22	4.09	97.14	98.94	90.11	99.86	80.58	99.93	88.87	50.48	96.62	92.53	84.44	29.78	26.45	77.27	5.20	77.03	77.11
BRD-K26429091	CP	J-104129	acetylcholine receptor antagonist	CHRM3		11.70, 5.85	82.43	1.17, 0.33	97.99	32.99	96.10	84.60	97.14	81.02	99.44	11.34	97.96	66.90	41.85	36.98	92.92	42.54	68.19	73.30	83.85	24.38	99.54	94.49
BRD-K48029790	CP	OBAA	phospholipase inhibitor	PLA2G1B		9.04, 5.32	82.26	1.43, 0.38	94.90	-27.01	28.54	79.40	90.53	64.88	99.62	61.18	89.24	78.63	15.40	85.82	84.04	87.24	55.36	80.48	98.70	91.14	96.25	61.61
BRD-K94353609	CP	fluocinolone	corticosteroid agonist, glucocorticoid receptor agonist	NR3C1, SERPINA6	Glucocorticoid receptor agonist	10.23, 5.11	82.08	1.72, 0.78	93.73	31.89	-3.45	89.19	92.69	13.88	85.78	52.31	10.99	48.66	87.77	99.79	87.83	72.47	65.88	95.82	89.11	78.39	0.00	87.86
BRD-A78942461	CP	ICI-118551	adrenergic receptor antagonist			5.11, 3.41	82.04	1.08, 0.27	81.19	48.74	82.92	86.65	89.53	76.08	62.84	99.68	82.89	90.47	92.43	73.92	6.98	64.25	51.02	65.97	89.12	98.66	94.94	33.17
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		6.38, 2.66	82.04	0.91, 0.16	87.42	82.21	91.54	86.54	91.17	35.31	73.14	71.81	74.42	88.38	90.41	81.83	50.23	39.89	26.25	96.03	69.60	93.65	97.76	81.87
BRD-K88679075	CP	methandriol	androgenic horomone		Androgen receptor modulator	5.66, 3.77	81.88	2.10, 0.76	92.49	94.67	67.32	92.70	86.79	79.08	27.19	89.47	0.25	86.44	-57.29	92.46	53.37	82.25	44.47	99.19	81.51	95.25	63.15	40.74
BRD-A01643550	CP	prednisolone	glucocorticoid receptor agonist	NR3C1, NR3C2, SERPINA6	Glucocorticoid receptor agonist	9.57, 6.38	81.88	0.86, 0.39	84.09	32.83	75.27	64.59	78.98	94.21	90.22	99.68	75.49	85.93	79.67	98.87	90.73	-9.44	36.64	89.81	62.77	90.63	70.22	95.71
BRD-K21520694	CP	sulfacetamide	antibiotic			9.09, 3.98	81.52	1.20, 0.33	78.94	38.53	12.86	84.27	98.62	11.94	94.22	89.01	5.37	85.62	68.44	92.79	89.39	95.60	57.47	58.55	83.80	95.04	42.55	79.24
