#1.3
2429	28	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K04185004-summary	BRD-K25394294-summary	BRD-K55930204-summary	BRD-K87990216-summary	BRD-A43882281-summary	BRD-A33447119-summary	BRD-K47780086-summary	BRD-K74514084-summary	BRD-A22380646-summary	BRD-A28746609-summary	BRD-A65013509-summary	BRD-A18043272-summary	BRD-K01292756-summary	BRD-A19633847-summary	BRD-K85090592-summary	BRD-A97479839-summary	BRD-K90333595-summary	BRD-K15567136-summary	BRD-A48430263-summary	BRD-K67277431-summary	BRD-K51313569-summary	BRD-K47869605-summary	BRD-A97701745-summary	BRD-K37991163-summary	BRD-K67102207-summary	BRD-K15409150-summary	BRD-K92731339-summary	BRD-A57382968-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00					-666.00	-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00			-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP					A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP			A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h					6 h	6 h	6 h	6 h	6 h	6 h		24 h	24 h	6 h			6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM					10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM			10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00					9.00	7.00	9.00	9.00	9.00	8.00		8.00	8.00	7.00			9.00	9.00	9.00	9.00	9.00	9.00	9.00	8.00	9.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00					1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00			1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00					1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00			1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.16					0.22	0.18	0.21	0.16	0.19	0.18		0.40	0.66	0.24			0.24	0.24	0.13	0.38	0.24	0.45	0.39	0.15	0.31	0.17	0.20
icc	na	na	na	na	na	na	na	na	0.37					0.33	0.39	0.49	0.38	0.47	0.37		0.64	0.77	0.45			0.48	0.35	0.37	0.61	0.47	0.48	0.61	0.36	0.57	0.40	0.35
url	na	na	na	na	na	na	na	na	BRD-K04185004					BRD-A33447119	BRD-K47780086	BRD-K74514084	BRD-A22380646	BRD-A28746609	BRD-A65013509		BRD-K01292756	BRD-A19633847	BRD-K85090592			BRD-K15567136	BRD-A48430263	BRD-K67277431	BRD-K51313569	BRD-K47869605	BRD-A97701745	BRD-K37991163	BRD-K67102207	BRD-K15409150	BRD-K92731339	BRD-A57382968
query	na	na	na	na	na	na	na	na																												
description	na	na	na	na	na	na	na	na	anesthetic	cyclooxygenase inhibitor	sodium channel blocker	diuretic|glucocorticoid receptor agonist	ATP channel activator|potassium channel agonist	anthelmintic agent	DNA directed DNA polymerase inhibitor	VEGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|angiogenesis inhibitor|RAF inhibitor|tyrosine kinase inhibitor|VEGFR antagonist	ATPase inhibitor	tubulin inhibitor|microtubule stabilizing agent|microtubule stimulant|P glycoprotein inhibitor|taxane	acetylcholine receptor antagonist	anticonvulsant	dopamine receptor antagonist|dopamine receptor|opioid receptor antagonist|serotonin receptor antagonist	carnitine palmitoyltransferase binder|carnitine palmitoyltransferase inhibitor	acetylcholine receptor agonist	acetylcholine receptor antagonist	adrenergic receptor antagonist	phosphodiesterase inhibitor	PPAR receptor agonist|insulin sensitizer|adiponectin expression enhancer|thiazolidinedione	prostanoid receptor antagonist|thromboxane receptor antagonist|thromboxane synthase inhibitor	CDK inhibitor	caspase activator|insulin growth factor receptor inhibitor|microtubule inhibitor|tubulin inhibitor	adrenergic receptor antagonist	cyclophilin inhibitor|norepinephrine reputake inhibitor|selective serotonin reuptake inhibitor (SSRI)|serotonin reuptake inhibitor|serotonin uptake inhibitor	HDAC inhibitor|cell cycle inhibitor|pharmacological chaperone|pyruvate dehydrogenase kinase inhibitor	dopamine receptor antagonist|T-type calcium channel blocker	angiotensin converting enzyme inhibitor	cyclooxygenase inhibitor
target	na	na	na	na	na	na	na	na	SCN10A	PTGS1|PTGS2	ABCB1|CYP2B6|CYP2C19|CYP3A4|SCN1A|SCN2A|SCN5A	SLC12A1|SLC12A2	ABCC9|KCNJ8			KDR|KIT|FLT1|FLT4|PDGFRB|PDGFRA|BRAF|CSF1R|CYP2B6|CYP2C8|CYP2E1|DDR2|FGF1|FGFR1|FGFR3|ITK|SH2B3	ATP4A|CYP2C19|CYP3A4	TUBB|NR1I2|ABCB1|BCL2|CYP2C8|MAP2|MAP4|MAPT|TLR4|TUBB1	CHRM3|CHRM1|CHRM2|CHRM4		DRD2|DRD3|CACNA1I|CALM1|HRH1|HTR1A|HTR2A|KCNA10|KCNH2	CPT1A|CPT2	CHRM3|CHRM1|CHRM2|CHRM4|CHRM5	CHRM1	ADRA1A|ADRA2A|ADRA1B|ADRA1D|ADRA2B|ADRA2C	PDE10A|PDE4B|PDE5A	PPARG|INS|TRPM3	TBXA2R|TBXAS1	CDK4|CDK6|CCND3	IGF1R|CASP3|TOP2A|TUBA4A|TUBB	ADRB1|ADRB2|HTR1A|HTR1B|HTR2A|HTR2B	SLC6A4|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2	CYP3A5|HDAC1	CACNA1G|DRD1|DRD2	ACE	PTGS2|PTGS1
pc	na	na	na	na	na	na	na	na	4.79, 2.10	3.03, 1.67	5.28, 2.43	2.22, 1.18	6.41, 3.65	4.54, 2.27	5.42, 2.38	9.52, 4.59	5.99, 3.66	4.39, 1.74	4.83, 1.54	12.69, 7.06	1.55, 1.02	2.63, 1.58	7.70, 3.40	3.63, 1.81	4.72, 2.35	1.87, 0.79	8.97, 5.47	4.31, 2.00	4.54, 1.72	4.23, 1.50	4.78, 2.16	1.74, 1.17	3.05, 1.26	1.31, 0.68	3.45, 1.71	2.96, 1.50
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		8.52, 4.04	94.03	1.59, 0.52	95.63	99.46	73.07	83.05	98.18	99.37	96.43	21.24	93.27	95.32	77.11	99.43	28.93	80.80	99.89	91.72	56.03	79.48	85.55	97.77	96.48	94.79	69.46	50.49	96.40	58.71	95.58	97.11
BRD-K33106058	CP	cytarabine	antimetabolite, DNA polymerase inhibitor, DNA synthesis inhibitor, ribonucleotide reductase inhibitor	POLB, POLA1	Ribonucleotide reductase inhibitor	8.52, 4.04	88.28	1.28, 0.45	8.63	99.93	92.74	52.57	98.44	89.93	98.87	89.96	86.63	6.49	74.31	93.62	70.10	91.16	96.08	99.23	12.05	92.83	95.95	93.83	60.62	91.20	17.98	24.85	67.55	63.88	25.29	-4.33
BRD-K46435977	CP	valaciclovir	DNA directed DNA polymerase inhibitor, DNA polymerase inhibitor		DNA polymerase inhibitor	11.21, 7.62	87.61	1.90, 0.66	89.39	99.64	85.83	51.57	97.75	99.47	93.45	96.30	99.93	92.61	98.31	90.32	21.55	2.36	96.27	96.48	70.28	71.75	85.80	92.07	53.61	81.96	91.64	-35.10	73.62	52.37	78.82	39.31
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		9.42, 5.38	87.47	1.17, 0.58	93.91	99.86	94.86	89.57	97.64	99.39	96.62	32.71	99.65	92.71	72.56	73.16	9.70	47.97	96.07	99.75	84.40	85.36	95.53	51.38	79.74	85.13	28.71	12.21	97.33	54.81	82.83	97.36
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		6.73, 4.04	86.82	1.00, 0.30	91.11	99.93	94.90	19.84	90.13	99.47	95.51	81.18	99.86	94.63	48.21	81.02	37.43	68.12	92.16	93.92	18.25	92.93	98.63	35.74	80.52	97.23	47.85	6.03	83.52	53.46	76.19	92.41
BRD-K04196797	CP	oxcarbazepine	voltage-gated sodium channel blocker, Sodium Channel  Blockers	CYP2C19, CYP3A4, CYP3A5, SCN1A, SCN3A, SCN5A		8.07, 4.04	86.69	1.35, 0.35	72.04	88.06	98.10	86.04	96.63	92.46	94.65	60.71	33.57	98.34	81.27	91.04	37.42	30.62	95.87	87.35	73.99	35.85	96.55	65.10	94.73	59.08	92.21	24.79	-61.67	52.08	97.44	99.19
BRD-K84955386	CP	hyperoside	glucosidase inhibitor, free radical scavenger	ACE, AKR1B1, GAA		9.87, 5.38	86.63	2.08, 0.76	88.99	99.93	98.28	17.25	90.81	98.41	99.75	91.91	88.88	93.69	90.26	80.45	39.10	82.35	99.61	54.54	77.59	84.37	91.61	95.32	59.34	45.18	60.70	11.07	53.63	69.93	94.75	33.71
BRD-K67537649	CP	PQ-401	insulin growth factor receptor inhibitor	IGF1R		8.96, 3.73	86.53	0.66, 0.06	99.35	22.46	43.44	93.83	88.12	92.55	90.90	94.99	60.36	40.04	89.76	15.50	94.26	95.78	47.04	92.26	74.56	77.20	36.30	91.59	86.84	63.45	58.53	92.54	91.53	86.22	-1.34	53.37
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		10.82, 7.09	86.39	0.97, 0.15	95.57	34.52	89.33	48.94	97.46	25.40	99.72	91.52	90.99	73.28	77.62	91.12	32.07	72.37	99.79	99.22	99.15	77.83	99.68	98.17	98.28	67.38	-42.20	32.59	83.44	69.38	92.44	33.64
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			5.97, 2.61	85.97	0.77, 0.24	94.77	95.07	21.72	35.06	84.11	95.70	85.50	93.17	99.01	86.27	77.91	99.25	27.44	84.44	94.29	93.65	73.64	88.50	87.01	85.74	96.85	68.97	78.17	64.96	91.97	64.69	1.30	86.19
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		7.46, 4.48	85.88	0.36, 0.09	99.15	45.60	88.58	85.50	99.37	99.44	83.15	92.56	73.08	56.87	95.23	99.22	80.18	32.04	84.03	87.70	76.22	87.36	95.56	96.81	62.99	79.94	86.70	3.10	90.03	55.88	86.25	14.61
BRD-A24381660	CP	zeranol	estrogen receptor agonist			10.76, 7.62	85.39	1.49, 0.59	91.29	97.81	98.06	-0.58	99.72	96.81	99.82	96.38	99.22	73.61	85.65	73.84	80.53	55.94	91.44	99.40	87.16	77.27	94.55	85.12	64.78	27.73	99.00	-2.35	40.08	36.47	38.46	12.63
BRD-K82357231	CP	desloratadine	histamine receptor antagonist	HRH1		9.87, 3.59	85.10	0.78, 0.17	42.33	18.86	90.87	17.40	99.74	75.37	84.13	60.58	99.68	93.68	86.12	95.37	91.81	91.55	86.95	74.86	73.52	88.53	95.97	62.42	54.44	69.18	94.66	90.66	81.34	86.08	25.05	7.55
BRD-K44353683	CP	nateglinide	insulin secretagogue, ATP-sensitive potassium channel antagonist, meglitinide, sulphonylurea receptor activator	ABCC8, KCNJ11, CYP3A4, INS, KCNJ10, PPARG		9.42, 4.93	84.36	1.57, 0.31	90.46	90.70	97.74	77.66	98.69	74.08	88.93	89.46	98.62	98.98	70.00	6.66	11.78	6.76	99.19	83.55	92.35	44.13	98.07	52.52	38.85	52.99	85.17	13.51	97.36	26.17	98.80	59.13
BRD-K55034111	CP	pefloxacin	topoisomerase inhibitor	TOP2A		10.31, 7.17	83.81	1.27, 0.40	47.48	85.15	80.08	91.21	99.44	99.08	99.75	95.81	99.40	89.39	68.05	59.90	69.93	2.91	88.90	99.37	81.73	90.83	86.38	15.34	38.11	67.75	94.43	-1.73	82.46	24.02	50.92	94.31
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			7.62, 6.73	83.80	1.58, 0.58	81.93	92.65	85.66	8.54	98.56	99.58	99.30	89.25	99.47	67.44	71.50	89.60	16.34	79.70	99.23	99.25	39.75	89.39	93.10	4.32	96.58	98.33	81.15	19.80	73.71	48.97	50.57	6.73
BRD-K95202259	CP	ML-3163	p38 MAPK inhibitor	CYP2D6, CYP3A4, MAPK11, MAPK12, MAPK14	P38 MAPK inhibitor	11.19, 5.22	83.71	0.93, 0.22	99.79	60.01	95.90	98.48	98.91	79.74	82.23	85.18	75.15	69.10	81.81	99.06	85.73	10.35	77.61	96.48	77.62	70.65	94.79	95.85	56.90	92.56	97.72	3.30	77.91	48.20	93.43	86.50
BRD-K53220666	CP	trimetozine	compound with mild tranquilizing effects			8.58, 5.97	83.49	1.00, 0.33	78.87	86.13	88.51	53.64	91.10	73.99	96.65	44.81	98.91	99.22	95.77	91.60	7.79	17.57	92.84	98.58	94.36	49.45	99.51	78.36	77.20	59.80	92.22	34.83	80.86	41.73	98.26	33.50
BRD-K22662435	CP	ganciclovir	DNA directed DNA polymerase inhibitor, DNA polymerase inhibitor, DNA synthesis inhibitor		DNA polymerase inhibitor	13.71, 8.06	83.49	1.63, 0.35	94.29	89.77	93.59	67.69	99.44	78.05	97.11	51.49	99.65	83.54	98.64	62.99	7.59	32.74	60.61	54.73	31.03	99.22	98.98	76.17	72.52	90.21	95.56	10.50	97.33	35.07	87.64	83.43
BRD-K32311154	CP	nifekalant	potassium channel antagonist, potassium channel blocker			8.52, 4.04	83.41	0.98, 0.32	62.47	56.24	99.26	5.18	97.43	32.08	94.94	58.36	99.82	96.24	96.71	90.92	84.77	23.73	82.05	95.72	97.60	24.60	92.47	93.34	44.30	87.03	96.91	-8.97	14.02	21.45	7.20	48.56
BRD-A31195449	CP	TCB2	serotonin receptor agonist	HTR2A		7.84, 4.85	83.22	1.26, 0.40	92.99	57.63	66.60	57.93	99.89	21.29	91.86	46.60	89.28	97.58	46.30	83.67	15.89	61.64	97.36	85.33	88.28	96.01	96.15	70.75	87.41	85.58	42.66	5.41	91.61	25.12	82.77	73.99
BRD-K10961822	CP	latanoprost	prostanoid receptor agonist	PTGFR		9.42, 6.28	83.13	1.78, 0.70	83.68	99.86	91.05	34.02	63.71	92.66	99.82	96.51	97.09	47.93	96.73	65.14	46.58	81.66	95.23	92.85	26.36	92.68	97.66	56.54	94.13	84.51	82.57	54.38	67.51	76.56	43.72	25.43
BRD-K81209512	CP	AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		5.60, 2.24	82.71	0.85, 0.26	84.99	15.39	75.50	80.66	69.89	83.42	50.30	73.08	94.65	94.77	85.70	84.19	66.61	87.16	91.44	95.91	86.29	44.30	87.99	99.44	29.69	89.96	90.64	46.56	78.19	82.00	58.01	13.86
BRD-K70358946	CP	aripiprazole	serotonin receptor agonist, serotonin receptor antagonist, dopamine receptor agonist, dopamine receptor partial agonist, serotonin receptor partial agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7		10.76, 6.73	82.05	0.97, 0.19	53.74	95.69	57.11	-5.65	99.40	99.26	98.77	98.25	98.87	80.33	82.12	23.07	86.19	93.97	92.47	97.01	8.33	87.09	0.67	73.25	90.53	81.97	43.19	58.15	58.71	86.22	18.18	30.40
BRD-K54759182	CP	dosulepin	adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1		5.97, 4.10	81.88	1.30, 0.30	82.11	35.72	85.17	76.06	94.05	92.46	52.94	79.51	89.16	59.03	85.26	88.78	29.20	80.15	93.60	81.44	97.27	99.22	98.63	98.94	81.65	89.24	30.61	59.18	98.64	62.96	3.52	27.50
BRD-K82865713	CP	prostaglandin-b2	cAMP inhibitor			7.46, 3.36	81.63	0.77, 0.26	86.50	46.58	36.45	82.67	82.20	24.53	90.95	88.89	28.97	94.63	87.03	60.68	1.62	35.30	94.00	99.01	90.70	64.60	39.92	95.17	8.99	88.75	82.07	8.49	86.58	28.90	81.20	8.59
BRD-A44133049	CP	azasetron	serotonin receptor antagonist	HTR3A, HTR3B		7.46, 3.36	81.59	0.66, 0.13	95.64	72.79	97.04	22.94	84.41	90.48	96.69	54.29	86.56	62.14	80.98	87.77	29.76	43.09	93.50	92.28	87.38	31.37	99.19	92.17	33.38	82.19	96.65	2.86	43.00	31.45	60.75	68.33
BRD-K92015269	CP	GBR-12783	dopamine uptake inhibitor			6.34, 3.36	80.82	0.94, 0.19	71.63	71.15	80.99	63.01	81.34	94.80	23.86	98.24	97.97	93.62	95.28	71.13	83.00	67.78	80.65	97.27	89.30	63.24	84.13	73.50	94.09	78.43	78.10	50.53	82.98	59.23	89.76	56.52
BRD-K81128206	CP	edrophonium	acetylcholinesterase inhibitor	ACHE, BCHE		11.29, 7.26	80.71	0.90, 0.33	96.97	13.12	97.64	39.53	95.24	82.19	80.69	96.08	80.02	91.68	99.12	41.39	35.00	72.90	87.05	37.88	41.30	48.69	98.34	91.01	44.95	96.90	88.18	4.59	91.44	59.68	80.73	31.71
BRD-K81729199	CP	AQ-RA741	acetylcholine receptor antagonist			5.97, 3.36	80.60	0.85, 0.20	92.68	69.35	73.21	87.27	88.09	98.17	91.22	67.70	99.82	92.74	96.84	99.56	48.86	15.60	73.93	93.22	97.62	59.21	51.31	96.93	38.50	32.03	96.60	17.49	87.53	65.98	62.00	26.36
BRD-A29485665	CP	bicalutamide	androgen receptor antagonist	AR, CYP2C19		8.58, 4.85	80.44	0.67, 0.17	75.29	97.32	92.06	67.81	92.28	85.35	65.75	82.52	61.51	92.72	55.16	91.24	57.05	62.33	97.34	81.17	98.87	79.69	98.55	84.50	89.76	79.71	25.19	13.86	65.94	49.10	95.65	57.59
