#1.3
2429	24	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K79254416-summary	BRD-K48722258-summary	BRD-A93424738-summary	BRD-A13188892-summary	BRD-A69636825-summary	BRD-K22031190-summary	BRD-K62363391-summary	BRD-A51820102-summary	BRD-K43887077-summary	BRD-K71103788-summary	BRD-K33211335-summary	BRD-A46179541-summary	BRD-A94756469-summary	BRD-K81272440-summary	BRD-A35108200-summary	BRD-K92093830-summary	BRD-K73109821-summary	BRD-K97158071-summary	BRD-A92537424-summary	BRD-K06878038-summary	BRD-K49328571-summary	BRD-A29734509-summary	BRD-K05673000-summary	BRD-K08252256-summary
pubchem_cid	na	na	na	na	na	na	na	na	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00		-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00	-666.00
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	6 h	24 h	6 h	6 h		6 h	6 h	6 h	6 h	6 h		6 h	6 h	6 h	24 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	9.00	7.00	9.00	8.00		9.00	8.00	9.00	9.00	9.00		9.00	9.00	9.00	8.00	9.00	9.00	9.00	9.00	7.00	8.00	9.00	9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.23	0.28	0.39	0.21		0.25	0.21	0.15	0.25	0.27		0.16	0.56	0.18	0.30	0.60	0.23	0.31	0.25	0.10	0.42	0.34	0.25	0.39
icc	na	na	na	na	na	na	na	na	0.43	0.56	0.43	0.41		0.37	0.43	0.35	0.37	0.43		0.39	0.81	0.36	0.51	0.68	0.54	0.42	0.43	0.35	0.60	0.51	0.42	0.39
url	na	na	na	na	na	na	na	na	BRD-K79254416	BRD-K48722258	BRD-A93424738	BRD-A13188892		BRD-K22031190	BRD-K62363391	BRD-A51820102	BRD-K43887077	BRD-K71103788		BRD-A46179541	BRD-A94756469	BRD-K81272440	BRD-A35108200	BRD-K92093830	BRD-K73109821	BRD-K97158071	BRD-A92537424	BRD-K06878038	BRD-K49328571	BRD-A29734509	BRD-K05673000	BRD-K08252256
query	na	na	na	na	na	na	na	na																								
description	na	na	na	na	na	na	na	na	DNA methyltransferase inhibitor|antimetabolite|DNA methylase inhibitor	adenosine reuptake inhibitor|calcium channel antagonist|platelet aggregation inhibitor	glucocorticoid receptor agonist|corticosteroid agonist|immunosuppressant	adrenergic receptor antagonist	L-type calcium channel blocker|calcium channel antagonist|calcium channel blocker	cyclooxygenase inhibitor|prostanoid receptor inhibitor	dihydrofolate reductase inhibitor|dihydropteroate synthase inhibitor|FOLP inhibitor	cell wall synthesis inhibitor|lanosterol demethylase inhibitor|sterol demethylase inhibitor	dopamine receptor agonist	norepinephrine reuptake inhibitor|serotonin reuptake inhibitor|adrenergic transmitter uptake inhibitor|norepinephrine transporter inhibitor|serotonin transporter (SERT) inhibitor|serotonin uptake inhibitor	glutamate receptor antagonist|sigma receptor agonist	potassium channel blocker	ATPase inhibitor|ROR antagonist	calcium channel antagonist	glucocorticoid receptor agonist|corticosteroid agonist|immunosuppressant	topoisomerase inhibitor|DNA intercalating drug	ATP channel activator|potassium channel activator	dopamine receptor antagonist|dopamine receptor	estrogen receptor antagonist|luteinizing hormone releasing hormone antagonist|progesterone receptor agonist|steroid derivative with antigonadotropic and anti-estrogenic activities|tumor necrosis factor modulator	chelating agent|cytochrome P450 inhibitor|iron absorption inhibitor|reducing agent	KIT inhibitor|src inhibitor|Bcr-Abl kinase inhibitor|ephrin receptor inhibitor|PDGFR tyrosine kinase receptor inhibitor|yes kinase inhibitor|Abl kinase inhibitor|Bruton's tyrosine kinase (BTK) inhibitor|discoidin domain containing receptor Inhibitor|lymphocyte specific tyrosine kinase inhibitor|tyrosine kinase inhibitor	voltage-gated sodium channel blocker	bacterial cell wall synthesis inhibitor	cyclooxygenase inhibitor
target	na	na	na	na	na	na	na	na	DNMT1	SLC29A1|CACNA1C	ANXA1|CYP3A4|CYP3A5|NOS2|NR0B1|NR3C1|NR3C2	ADRA1D|ADRA1A|ADRA1B|CYP2C19|KCNH2|KCNH6|KCNH7	CACNA1C|CACNA1S|CACNA2D1|CACNG1|CYP3A5|CYP3A7|HTR3A|KCNA5	PTGS2|PTGS1	DHFR	CYP51A1|NPY1R|NPY2R|TRPM2|TRPV5	DRD2|DRD1|DRD3|DRD4|DRD5|DBH|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4	SLC6A2|SLC6A4|SLC6A3|HTR2A|HTR2C|HTR6	SIGMAR1|CHRNA2|CHRNA3|CHRNA4|CHRNA7|CHRNB2|CHRNB4|CYBA|CYBB|CYP3A5|GRIN1|GRIN3A|NCF1|NCF2|NCF4|OPRD1|OPRK1|OPRM1|PGRMC1|RAC1|RAC2|SLC6A2|SLC6A4	KCNK3|KCNK9	ATP1A1|ABCB1|RORC|SLCO1B3	RYR1|RYR3	ANXA1|CYP3A4|CYP3A5|NOS2|NR0B1|NR3C1|NR3C2	TOP2A	ATP1A1|CA1|CA2|KCNJ11|KCNMA1|SLC12A3	DRD2|ADRA1A	ESR1|GNRHR|AR|CCL2|CYP2C8|GNRHR2|PGR|TNF	CYP4F2	ABL1|FYN|LCK|SRC|KIT|YES1|BCR|EPHA2|LYN|PDGFRB|ABL2|BTK|DDR1|DDR2|PDGFRA|STAT5B	SCN5A|CHRM1|CHRM2|CHRM3|KCND2|KCND3|KCNH2		PTGS1|PTGS2|AKR1C3|ALOX5|ASIC1|ASIC3|CYP2C8|KCNQ2|KCNQ3|PLA2G2A|PPARG|SCN4A
pc	na	na	na	na	na	na	na	na	6.25, 3.55	4.01, 1.55	1.78, 0.41	6.41, 3.07	5.05, 2.61	5.36, 3.07	6.37, 2.49	3.81, 2.01	4.21, 1.99	3.05, 1.53	5.80, 3.60	4.26, 2.07	1.92, 0.99	4.40, 2.47	5.30, 0.95	3.04, 0.85	3.15, 1.68	7.13, 3.74	3.17, 1.67	13.47, 8.31	1.71, 0.84	4.93, 2.77	5.91, 2.71	8.62, 5.56
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		9.95, 5.76	93.28	1.59, 0.52	99.82	93.94	59.45	97.75	66.46	67.38	95.24	34.14	96.21	55.70	30.51	99.12	17.07	98.59	93.60	87.92	99.01	13.97	17.00	92.96	47.06	97.53	97.82	97.99
BRD-A24381660	CP	zeranol	estrogen receptor agonist			10.47, 5.76	91.73	1.49, 0.59	99.58	88.62	93.40	45.05	92.66	95.56	66.47	18.48	91.49	98.17	42.00	99.03	41.56	88.19	92.23	72.89	97.48	99.51	80.70	91.97	46.77	97.87	38.17	99.93
BRD-K05737787	CP	isoeugenol	nitric oxide production inhibitor			7.63, 6.78	90.40	1.83, 0.56	84.01	92.93	93.08	52.97	46.93	37.86	-28.23	0.42	58.62	93.66	12.98	98.85	94.79	98.48	25.66	87.87	94.64	98.45	99.01	64.24	80.88	97.89	98.80	99.14
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			9.95, 4.71	89.89	1.58, 0.58	98.73	92.46	96.19	89.66	34.52	84.19	86.64	8.47	80.28	66.23	99.36	99.86	4.39	94.63	95.00	87.00	44.33	90.11	51.38	92.25	-5.00	99.72	94.79	99.75
BRD-K45117373	CP	Y-26763	potassium channel activator, potassium channel agonist	ABCC9, KCNJ8	Potassium channel activator	6.03, 2.59	89.75	0.83, 0.22	92.94	64.94	92.28	94.40	91.49	95.78	78.93	65.68	10.07	20.82	68.98	94.92	45.88	48.03	60.81	72.84	93.82	88.01	16.95	92.52	92.04	91.48	95.54	95.84
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		7.85, 5.24	87.92	0.99, 0.30	90.41	86.65	91.97	78.74	97.56	80.79	97.13	14.71	66.13	92.18	12.23	86.45	0.00	59.73	93.80	89.18	99.65	71.62	24.03	96.07	11.49	95.16	91.63	99.67
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		9.48, 5.60	87.67	0.36, 0.09	99.79	86.70	96.26	85.99	95.06	96.57	98.52	58.49	98.31	76.06	63.21	92.05	56.67	95.07	94.57	71.46	75.32	99.79	81.61	99.61	83.66	30.97	43.02	88.64
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		9.48, 4.74	86.84	0.66, 0.20	96.33	86.08	96.26	87.60	87.73	57.08	63.75	76.01	15.15	95.72	58.03	99.15	46.41	91.36	97.74	70.57	70.17	94.64	80.36	97.90	81.51	75.34	87.92	90.50
BRD-K81729199	CP	AQ-RA741	acetylcholine receptor antagonist			5.60, 3.02	85.95	0.85, 0.20	98.91	90.17	32.65	97.12	56.73	54.09	96.49	67.71	12.18	90.29	85.24	94.44	71.81	91.43	92.11	36.85	41.59	66.01	73.74	87.48	64.19	94.34	86.67	97.85
BRD-K95202259	CP	ML-3163	p38 MAPK inhibitor	CYP2D6, CYP3A4, MAPK11, MAPK12, MAPK14	P38 MAPK inhibitor	5.60, 1.29	85.92	0.93, 0.22	79.21	86.16	71.26	95.94	44.70	45.01	55.40	37.15	90.46	84.33	92.69	57.58	5.15	98.98	89.18	89.09	93.83	90.37	86.89	89.15	92.62	72.64	85.67	46.13
BRD-K04710043	CP	hexamethylenebisacetamide	differentiation inducer, NFKB inhibitor, AKT inhibitor			7.85, 4.19	85.71	2.07, 0.75	99.89	82.68	46.69	83.79	67.61	9.79	92.20	6.67	93.00	87.62	96.11	99.89	4.62	63.38	93.54	96.16	13.55	90.56	10.19	88.28	53.32	98.77	76.38	90.32
BRD-K32526544	CP	DCEBIO	intermediate conductance potassium channel activator	KCNN2, KCNN3, KCNN4	Potassium channel activator	6.90, 1.72	85.23	0.80, 0.24	83.69	80.10	43.79	75.72	2.20	64.64	90.01	91.63	89.54	84.80	99.47	95.58	81.94	58.03	73.59	80.77	99.89	97.09	88.93	85.77	85.65	91.63	86.45	72.54
BRD-K04412738	CP	tramadol	opioid receptor agonist, norepinephrine reputake inhibitor, serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, OP3 receptor agonist, serotonin uptake inhibitor	OPRM1, SLC6A2, SLC6A4, CHRFAM7A, CHRM3, CYP2B6, GRIN3A, HTR2C, OPRD1, OPRK1		8.62, 4.74	84.91	1.77, 0.44	97.66	84.09	27.12	96.55	81.55	94.42	54.12	60.64	16.45	50.47	27.68	94.64	16.40	86.03	12.95	53.20	96.46	99.75	96.23	87.41	87.93	24.04	97.96	85.74
BRD-A70083328	CP	secnidazole	acetylcholinesterase inhibitor, microtubule inhibitor			8.95, 5.79	84.87	1.44, 0.48	94.37	70.14	89.98	57.69	39.65	84.90	89.36	68.52	85.22	NaN	95.64	99.89	3.28	75.60	79.32	76.93	84.87	50.50	31.21	99.33	29.83	91.98	97.77	98.32
BRD-K89274813	CP	DMP-543	acetylcholine release enhancer			7.33, 2.59	84.09	0.77, 0.24	98.85	91.92	95.74	87.55	82.46	83.77	72.93	11.16	22.61	13.38	84.23	93.00	85.35	19.01	60.95	29.29	90.86	83.95	96.71	57.72	59.86	99.93	89.12	99.93
BRD-K92760278	CP	riboflavin	vitamin B2, required for flavoprotein enzyme reactions			7.76, 4.31	83.41	0.76, 0.19	91.16	48.66	73.12	76.21	88.73	86.62	36.65	85.26	16.25	-4.44	97.08	67.62	63.31	14.48	92.48	84.68	82.14	20.06	84.69	98.68	59.70	99.58	97.75	99.93
BRD-K96134740	CP	kitasamycin	protein synthesis inhibitor			9.42, 6.28	83.40	1.08, 0.34	91.38	74.70	83.21	36.71	94.01	70.43	86.53	31.70	98.31	77.86	98.81	96.58	2.96	94.09	83.59	6.79	80.97	13.30	65.86	97.40	8.09	94.08	99.04	99.60
BRD-A51829654	CP	BRL-15572	serotonin receptor antagonist	HTR1D, HTR1A, HTR1B, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6		9.91, 5.60	83.24	1.05, 0.30	44.08	63.88	92.15	79.42	97.90	78.05	87.95	79.30	21.90	65.31	99.54	89.20	4.11	88.18	45.11	29.94	94.49	94.22	96.86	80.52	71.50	96.75	85.96	99.33
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		3.88, 1.29	83.19	0.88, 0.15	93.60	94.13	90.28	96.37	88.32	98.91	95.86	40.41	71.10	28.86	1.70	99.86	78.07	32.66	90.45	89.59	63.64	61.59	9.05	18.54	65.75	43.47	96.77	88.52
BRD-K39621635	CP	artemether	antimalarial, interacts with heme and with COX3	ATP1A1, CYP2B6, CYP2C19, CYP3A5		6.81, 3.66	83.19	1.15, 0.26	98.45	75.54	79.38	48.47	91.04	87.00	91.20	0.42	78.44	89.23	25.89	90.42	0.00	66.93	18.75	93.20	99.93	93.33	26.20	98.94	22.72	89.30	96.91	74.50
BRD-K50464341	CP	berbamine	calmodulin antagonist	CALM1	Calmodulin antagonist	4.23, 2.35	83.15	1.76, 0.69	65.65	99.75	90.11	93.68	74.64	74.58	41.75	91.42	65.18	84.72	2.26	91.46	91.33	43.85	93.79	93.19	93.67	95.46	22.41	75.46	81.59	58.22	69.75	98.35
BRD-K30563334	CP	rifabutin	DNA directed DNA polymerase inhibitor, DNA directed RNA polymerase inhibitor, protein synthesis inhibitor	CYP3A4, HSP90AA1, HSP90B1		11.52, 6.81	82.92	1.76, 0.69	99.89	93.35	92.15	97.12	10.20	78.98	95.45	13.67	96.41	35.04	70.07	99.86	61.88	74.83	95.47	80.03	23.86	40.85	70.76	92.25	52.91	97.92	85.81	98.89
BRD-K86958018	CP	olvanil	TRPV agonist	TRPV1, CNR1, GPR119	Cannabinoid receptor agonist	3.88, 2.16	82.83	0.86, 0.20	92.29	33.19	88.06	94.40	63.33	92.76	85.87	64.20	33.45	7.88	10.18	98.10	5.48	92.11	63.97	43.48	49.33	98.45	79.78	99.12	18.47	87.74	88.27	99.75
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		7.85, 3.66	82.44	1.17, 0.58	97.67	68.07	79.19	92.80	67.98	0.14	63.87	5.35	97.74	6.86	55.58	96.90	6.28	98.34	87.33	93.84	85.68	93.73	39.23	79.13	16.81	99.54	94.87	98.20
BRD-A64977602	CP	mirtazapine	adrenergic receptor antagonist, serotonin receptor antagonist	ADRA2A, HTR2A, HTR2C, ADRA2C, HTR3A, ADRA1A, ADRA1B, ADRA1D, ADRA2B, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD5, HRH1, HRH3, HTR2B, HTR7, OPRK1, SLC6A2, SLC6A3, SLC6A4		8.19, 3.88	82.33	0.50, 0.14	80.88	72.47	90.92	87.68	94.60	83.01	81.14	49.19	89.42	78.84	57.12	83.41	2.53	88.53	76.40	47.92	62.99	83.74	81.65	96.62	55.34	93.48	90.61	99.26
BRD-K54759182	CP	dosulepin	adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1		9.48, 5.17	82.30	1.30, 0.30	64.71	83.62	96.94	79.02	51.23	81.05	52.14	65.56	85.19	40.63	95.22	98.38	71.41	80.01	83.55	86.54	99.44	99.07	23.14	50.72	71.12	89.23	97.22	97.67
BRD-A41519720	CP	ezetimibe	cholesterol absorption inhibitor, Niemann-Pick C1-like 1 protein antagonist, liver bile acid transporter inhibitor, Niemann-Pick C1-like 1 protein inhibitior	NPC1L1, ANPEP, SOAT1		5.60, 3.02	81.64	0.97, 0.18	61.37	94.61	77.43	97.54	85.47	90.06	49.09	96.30	87.72	48.14	33.49	12.39	65.80	87.41	92.55	90.50	52.23	44.53	81.08	68.43	91.81	82.20	61.25	99.30
BRD-A92630576	CP	trimebutine	opioid receptor agonist, acetylcholine receptor antagonist, Sodium Channel  Blockers	CHRM1, CHRM2, CHRM3, CHRM4		5.76, 1.05	81.53	1.00, 0.30	66.41	80.59	90.23	88.91	-18.29	54.96	94.91	33.51	86.79	33.06	96.14	98.14	19.72	89.89	95.84	61.05	40.58	22.20	19.80	82.47	35.59	94.88	96.95	99.93
BRD-K47323024	CP	methapyrilene	histamine receptor antagonist		HRH1 antagonist	7.04, 2.35	81.37	1.35, 0.44	98.19	78.72	87.70	72.30	26.05	76.30	88.11	58.74	70.54	75.25	92.68	95.41	33.07	92.93	82.36	70.93	96.49	97.13	73.42	96.83	88.37	80.38	79.04	93.85
BRD-A52660433	CP	tetrindole	monoamine oxidase inhibitor	MAOA		5.63, 2.82	80.74	1.74, 0.63	86.28	99.65	15.96	89.67	93.54	90.88	80.97	99.26	70.06	93.62	10.94	37.87	89.18	17.06	50.89	79.38	39.58	20.34	80.51	-30.01	94.83	66.14	88.59	92.14
