#1.3
2429	26	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A45889380-summary	BRD-A84174393-summary	BRD-K50398167-summary	BRD-K79602928-summary	BRD-K61250553-summary	BRD-K92984783-summary	BRD-A20126139-summary	BRD-K71035033-summary	BRD-K99451608-summary	BRD-A33711280-summary	BRD-K69688083-summary	BRD-A04352665-summary	BRD-K18194590-summary	BRD-K97564742-summary	BRD-K82795137-summary	BRD-K13356952-summary	BRD-K78126613-summary	BRD-K77987382-summary	BRD-A03216249-summary	BRD-A61793559-summary	BRD-K75641298-summary	BRD-K91601245-summary	BRD-K54416256-summary	BRD-A50311610-summary	BRD-K62996583-summary	BRD-K76205745-summary
cell_ids	na	na	na	na	na	na	na	na	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HT29|MCF7|PC3|VCAP		A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP	A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP
pert_itimes	na	na	na	na	na	na	na	na	24 h	6 h	6 h	6 h	24 h	6 h	6 h	6 h		24 h	6 h		6 h	6 h	6 h	6 h		6 h	6 h	6 h	6 h	6 h	6 h		6 h	6 h
pert_idoses	na	na	na	na	na	na	na	na	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM		10 µM	10 µM	10 µM	10 µM		10 µM	10 µM	10 µM	10 µM	10 µM	10 µM		10 µM	10 µM
num_cell	na	na	na	na	na	na	na	na	8.00	9.00	9.00	8.00	8.00	9.00	9.00	9.00		7.00	7.00		9.00	9.00	7.00	7.00		9.00	9.00	9.00	9.00	7.00	8.00		9.00	9.00
num_time	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00		1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00
num_dose	na	na	na	na	na	na	na	na	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00		1.00	1.00	1.00	1.00		1.00	1.00	1.00	1.00	1.00	1.00		1.00	1.00
tas_q75	na	na	na	na	na	na	na	na	0.75	0.39	0.22	0.30	0.29	0.18	0.20	0.22		0.27	0.23		0.24	0.13	0.16	0.21		0.30	0.21	0.19	0.14	0.21	0.16		0.13	0.18
icc	na	na	na	na	na	na	na	na	0.68	0.50	0.35	0.36	0.56	0.37	0.38	0.45		0.46	0.48		0.42	0.34	0.42	0.39		0.55	0.37	0.38	0.39	0.42	0.40		0.42	0.30
url	na	na	na	na	na	na	na	na	BRD-A45889380	BRD-A84174393	BRD-K50398167	BRD-K79602928	BRD-K61250553	BRD-K92984783	BRD-A20126139	BRD-K71035033		BRD-A33711280	BRD-K69688083		BRD-K18194590	BRD-K97564742	BRD-K82795137	BRD-K13356952		BRD-K77987382	BRD-A03216249	BRD-A61793559	BRD-K75641298	BRD-K91601245	BRD-K54416256		BRD-K62996583	BRD-K76205745
query	na	na	na	na	na	na	na	na																										
description	na	na	na	na	na	na	na	na	NFkB pathway inhibitor|cytokine production inhibitor|TP53 expression enhancer|acetylcholinesterase inhibitor|AKT inhibitor|apoptosis stimulant|DNA inhibitor|mTOR inhibitor|phospholipase inhibitor|PI3K inhibitor|secretory phospholipase inhibitor|TP53 activator	cyclooxygenase inhibitor|prostanoid receptor inhibitor	cyclooxygenase inhibitor|prostanoid receptor antagonist	insulin sensitizer|AMPK activator|biguanide|gluconeogenesis inhibitor	opioid receptor agonist|atrial natriuretic peptide receptor antagonist	dopamine receptor antagonist|serotonin receptor antagonist	corticosteroid hormone receptor agonist|glucocorticoid receptor agonist	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|c-kit inhibitor|FGFR antagonist|FGFR inhibitor|tyrosine kinase inhibitor	HIV protease inhibitor	acetylcholine receptor antagonist	cholinesterase inhibitor	CC chemokine receptor antagonist|CC chemokine receptor 5 (CCR5) antagonist|reverse transcriptase inhibitor	adrenergic receptor agonist	histamine receptor antagonist	histamine receptor antagonist	carbonic anhydrase inhibitor|insulin sensitizer	CDC inhibitor|mitochondrial DNA polymerase inhibitor|phosphatase inhibitor|pyruvate kinase isozyme inhibitor	acetylcholinesterase inhibitor|microtubule inhibitor|tubulin inhibitor	potassium channel antagonist|voltage-gated sodium channel blocker	carbonic anhydrase inhibitor|quinazoline diuretic, inhibitor of sodium chloride symporters	dopamine receptor antagonist|serotonin receptor antagonist|serotonin receptor agonist	immunosuppressant|protein synthesis inhibitor|purine antagonist	antithyroid Drugs	constitutive androstane receptor (CAR) agonist	calcium channel antagonist	angiotensin receptor antagonist
target	na	na	na	na	na	na	na	na	TP53|AKT1|MTOR|NFKB1|PLA2G1B|PLA2G2A|PLA2G2D|PLA2G4A|PLA2G6|PLCL1	PTGS2|PTGS1	PTGS1|PTGS2|ALOX5|CNR1|KCNQ2|KCNQ3	ACACB|INS|PRKAB1	OPRM1|OPRD1|CACNA1A|CALM1|CYP2B6|CYP2C8|NPR2|OPRK1|POMC	DRD2|HTR1A|HTR2A	NR3C1	KIT|FGFR3|LYN|PDGFRA|PDGFRB		CHRM5|CHRM1|CHRM2|CHRM3|CHRM4	ACHE|BCHE	CCR5|CYP3A5	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3	HRH1	HRH1|CYP2C19|CYP3A5	CA1|CA2|CA4|CA7|CA12|CA14|INS	AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PKM|PROC|PROS1|PROZ|VKORC1|VKORC1L1	TUBA1A|TUBB|TUBB4B	SCN10A|SCN9A	SLC12A3|CA2|CA7	DRD2|HTR3A|HTR4|CHRM1|HTR3B	HPRT1|IMPDH1|IMPDH2|PPAT	TPO	NR1I3|HRH1	SCN1A|SCN3A|SLC29A1	AGTR1
pc	na	na	na	na	na	na	na	na	12.20, 5.78	3.56, 1.69	8.26, 4.58	5.43, 2.97	2.50, 1.26	4.65, 2.56	1.57, 0.67	6.66, 3.72	4.54, 2.38	5.04, 2.78	4.12, 1.67	6.26, 2.94	5.64, 3.01	11.45, 7.06	4.62, 2.27	8.58, 4.29	4.62, 1.97	4.19, 1.94	6.32, 2.73	7.43, 4.22	3.21, 1.41	4.98, 2.16	4.88, 2.25	6.01, 3.22	1.13, 0.34	3.88, 2.57
pc_selection	na	na	na	na	na	na	na	na	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN	NaN, NaN
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		9.18, 5.80	91.68	1.59, 0.52	93.91	97.84	99.72	86.50	91.49	84.72	61.10	98.31	98.19	0.32	92.09	97.87	97.61	84.33	91.88	54.08	80.74	71.36	98.87	72.07	93.71	95.43	99.33	88.70	59.43	71.54
BRD-K28849549	CP	mesalazine	cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1		4.83, 2.42	89.76	1.17, 0.58	96.33	93.24	97.53	92.11	91.54	84.91	73.01	86.20	82.16	55.58	86.45	98.48	88.75	99.08	97.66	82.35	80.56	90.78	97.39	42.91	91.71	85.23	93.99	80.86	96.55	42.39
BRD-M72442222	CP	vicriviroc	CC chemokine receptor antagonist, CC chemokine receptor 5 (CCR5) antagonist	CCR5		10.25, 4.51	86.90	0.97, 0.15	97.30	97.14	97.46	84.54	67.13	37.51	89.88	99.05	33.43	78.43	96.54	95.90	81.24	88.20	87.52	69.75	86.28	70.70	79.68	99.75	41.79	94.75	97.96	24.72	97.74	42.72
BRD-A11135865	CP	nor-binaltorphimine	opioid receptor antagonist			6.55, 4.37	86.55	0.80, 0.19	9.47	96.72	98.83	85.39	15.71	82.60	94.22	46.04	83.38	76.23	99.01	92.82	94.53	36.35	90.38	89.65	12.34	15.90	93.74	87.39	77.39	99.45	97.25	80.76	85.71	92.63
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			8.26, 3.67	86.39	1.27, 0.26	91.14	96.61	94.39	94.93	46.19	99.30	96.09	80.18	98.27	29.03	25.88	90.51	82.27	93.81	-6.91	47.65	75.23	67.87	99.75	90.79	91.04	48.15	98.70	58.23	55.42	27.02
BRD-A16694057	CP	bisphenol-a	synthetic compound with hormone-like properties	AR, ESR2, ESRRG, PPARG		4.92, 2.05	84.83	0.36, 0.09	90.75	62.96	99.86	90.53	44.20	85.23	90.40	81.76	84.20	84.42	96.76	79.88	69.55	98.38	97.08	90.35	61.02	79.46	98.41	71.43	60.20	88.94	90.41	40.95	93.06	45.92
BRD-K05737787	CP	isoeugenol	nitric oxide production inhibitor			5.56, 3.17	84.74	1.83, 0.56	58.63	91.45	53.76	82.78	89.64	-25.29	4.62	91.28	1.90	93.33	58.30	78.11	97.18	-0.49	14.49	11.70	89.95	94.44	97.18	99.68	98.08	96.74	49.13	97.63	86.71	11.99
BRD-K95202259	CP	ML-3163	p38 MAPK inhibitor	CYP2D6, CYP3A4, MAPK11, MAPK12, MAPK14	P38 MAPK inhibitor	7.79, 3.28	84.71	0.93, 0.22	38.07	37.88	97.47	88.08	18.01	88.56	91.23	98.37	88.69	16.44	94.77	98.62	79.75	80.26	13.70	94.54	5.59	96.09	37.24	74.83	71.28	97.57	81.34	98.80	92.00	31.53
BRD-K54759182	CP	dosulepin	adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1		8.61, 5.33	84.13	1.30, 0.30	91.90	89.77	94.99	91.05	58.54	60.31	83.16	72.34	66.06	44.43	98.91	91.58	41.93	64.70	85.10	55.27	16.11	28.36	99.79	94.70	98.83	20.90	93.38	77.79	85.60	91.88
BRD-K62996583	CP	lidoflazine	calcium channel antagonist	SCN1A, SCN3A, SLC29A1		10.25, 9.02	83.90	0.60, 0.09	78.08	75.70	94.00	89.54	63.51	65.70	24.98	99.22	94.34	72.89	57.74	83.68	93.02	90.58	17.31	86.95	25.54	13.25	98.91	84.47	99.47	36.44	84.12	88.18	99.99	19.80
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		7.25, 3.86	83.48	1.74, 0.72	77.80	-7.51	99.11	97.22	63.05	90.41	87.09	98.27	85.48	46.03	98.80	96.26	68.97	-0.67	92.94	76.05	82.51	44.42	99.75	80.77	84.44	34.97	90.29	67.39	95.68	59.26
BRD-A80638690	CP	floxuridine	DNA synthesis inhibitor, MDCK inhibitor, PEPT1 inhibitor, pyrimidine antagonist	TYMS	DNA synthesis inhibitor	9.61, 2.18	83.46	1.23, 0.32	89.02	17.60	27.33	94.05	29.06	62.04	55.16	96.89	83.68	90.20	95.27	35.79	54.73	90.44	83.24	97.46	91.58	74.09	85.05	78.82	63.49	98.13	95.27	99.47	43.93	3.14
BRD-K50135270	CP	GBR-12935	dopamine uptake inhibitor	AGTR1, SLC6A3		8.61, 4.92	83.39	1.25, 0.36	81.95	69.43	72.37	76.96	63.54	91.01	92.06	84.01	56.59	98.94	53.25	96.62	93.87	76.51	82.77	51.21	52.64	38.33	96.88	97.92	96.23	85.60	98.11	94.78	84.13	22.59
BRD-K26429091	CP	J-104129	acetylcholine receptor antagonist	CHRM3		11.07, 5.74	83.37	1.17, 0.33	95.41	29.55	81.61	98.41	29.91	90.73	85.82	95.76	54.45	58.71	89.12	85.12	36.74	51.77	91.43	40.91	13.00	18.96	96.95	99.72	99.89	41.15	96.31	99.72	46.96	19.69
BRD-A65076780	CP	dihydroergocristine	adrenergic receptor antagonist, prolactin inhibitor, adrenergic receptor partial agonist, dopamine receptor agonist, dopamine receptor partial agonist, dopamine receptor partial antagonist, serotonin receptor antagonist	HTR2A, ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR3A, HTR4, HTR5A, HTR6, HTR7		6.99, 3.06	83.30	1.34, 0.35	86.69	99.89	76.30	95.32	94.96	5.83	93.17	86.14	63.94	99.68	97.96	69.35	89.22	45.98	81.20	-21.66	22.18	47.66	96.53	90.23	72.57	85.40	92.05	15.51	65.59	-7.43
BRD-K92015269	CP	GBR-12783	dopamine uptake inhibitor			7.79, 4.92	82.91	0.94, 0.19	81.16	31.05	82.89	11.24	14.15	96.86	97.38	75.99	94.75	75.23	73.76	95.11	-0.81	99.48	91.18	87.40	11.72	44.37	82.93	99.61	78.32	83.96	92.92	64.27	98.17	98.17
BRD-A31195449	CP	TCB2	serotonin receptor agonist	HTR2A		7.79, 4.10	82.81	1.26, 0.40	92.24	95.92	94.88	96.87	39.15	88.18	56.94	36.31	36.54	22.03	98.37	83.52	83.47	98.64	58.58	82.15	4.16	75.10	79.65	95.89	96.31	26.88	91.46	56.87	87.57	80.31
BRD-K93480852	CP	KN-93	calcium/calmodulin dependent protein kinase inhibitor	CAMK2A		6.56, 3.28	82.81	0.61, 0.08	90.49	54.00	47.63	82.33	99.47	86.76	12.08	93.80	82.53	99.68	84.71	64.09	90.81	12.53	97.50	83.09	83.99	76.22	59.41	84.28	91.00	97.48	77.90	57.21	67.55	-5.95
BRD-K59332007	CP	linopirdine	acetylcholine release enhancer, acetylcholine release stimulant, neurotransmitter agonist, voltage-gated potassium channel blocker	KCNQ2, KCNQ3, KCNQ4, KCNQ5		5.33, 2.87	82.74	0.66, 0.20	88.86	88.30	60.12	59.37	12.59	87.27	95.12	47.16	87.29	90.84	68.70	91.39	87.93	69.27	54.57	71.72	2.76	60.13	91.89	78.21	89.05	46.54	89.59	92.38	91.74	3.10
BRD-K89125793	CP	tinidazole	anti-protozoal			6.97, 3.69	82.14	0.77, 0.15	38.14	98.13	24.78	85.72	9.93	85.70	81.12	76.64	88.25	96.79	63.54	83.16	95.93	77.89	30.59	92.91	40.61	64.94	91.22	57.07	83.83	85.14	97.04	23.98	61.69	98.34
BRD-A65013509	CP	oxybutynin	acetylcholine receptor antagonist	CHRM3, CHRM1, CHRM2, CHRM4		14.85, 6.99	82.12	1.14, 0.34	13.17	10.90	98.77	97.08	75.01	94.47	91.25	5.71	54.91	95.16	98.80	40.36	12.82	50.43	91.42	60.54	2.26	89.22	69.97	90.66	11.56	95.51	99.72	91.58	41.79	94.56
BRD-A00520476	CP	otenzepad	acetylcholine receptor antagonist			2.42, 0.48	82.05	1.58, 0.58	54.17	0.00	90.81	75.80	65.73	64.24	23.72	99.22	89.15	90.27	90.03	91.44	82.83	90.77	87.48	68.34	82.39	43.10	81.71	76.12	58.55	84.11	84.79	68.87	92.94	27.03
BRD-K25224017	CP	pirenperone	serotonin receptor antagonist	HTR2A, HTR7		5.74, 2.46	81.99	0.50, 0.07	96.33	17.33	92.47	75.90	45.93	91.62	81.86	80.00	82.12	23.13	93.21	84.71	87.43	96.85	89.09	81.09	47.58	19.22	95.40	94.75	75.83	66.10	96.41	44.98	69.91	86.41
BRD-A29485665	CP	bicalutamide	androgen receptor antagonist	AR, CYP2C19		5.74, 2.46	81.81	0.67, 0.17	22.62	0.49	91.06	90.54	56.04	78.17	79.10	85.95	84.17	42.62	78.22	81.51	93.87	99.65	90.32	93.47	60.30	74.58	68.18	96.42	97.64	63.01	82.10	86.81	85.24	69.66
BRD-K32645441	CP	dipropyl-5ct	serotonin receptor agonist	HTR1B, HTR1D, HTR1F, HTR7		3.69, 1.64	81.46	0.89, 0.16	91.34	15.72	83.33	38.93	9.85	67.91	65.52	96.84	81.37	7.02	86.28	86.10	84.42	93.21	29.59	81.13	75.17	14.00	58.30	81.54	86.17	90.30	81.85	11.25	93.91	98.13
BRD-K83597974	CP	pargyline	monoamine oxidase inhibitor	MAOB, MAOA		7.38, 3.69	81.11	0.91, 0.28	34.67	10.20	99.93	97.08	25.03	84.11	87.84	27.24	82.53	5.32	47.30	63.99	13.77	93.95	84.88	92.97	4.35	89.80	86.31	87.18	79.69	41.29	86.20	33.94	52.01	98.87
BRD-K15025317	CP	BAY-11-7821	NFkB pathway inhibitor	RELA	NFkB pathway inhibitor	6.97, 4.10	80.78	1.55, 0.50	97.92	17.73	95.24	92.97	17.02	60.53	84.58	75.67	83.39	37.98	78.16	97.53	34.54	95.14	69.52	40.27	96.72	94.79	92.43	57.29	92.78	41.11	94.40	99.44	72.83	53.20
BRD-K98530306	CP	clonidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D		6.97, 2.87	80.75	0.95, 0.27	17.77	39.25	96.19	80.06	39.38	72.21	84.89	91.16	72.65	2.40	93.80	98.89	63.11	89.74	63.09	90.07	81.45	51.41	87.57	88.29	93.94	96.30	75.45	83.98	57.89	28.64
BRD-K06234293	CP	LY-364947	TGF beta receptor inhibitor, p38 MAPK inhibitor	TGFBR1	P38 MAPK inhibitor, TGF beta receptor inhibitor	9.84, 4.51	80.65	1.06, 0.28	96.16	3.00	99.93	97.36	1.55	56.28	89.44	74.63	81.59	50.02	45.52	58.01	52.09	89.09	97.15	-51.26	-4.12	85.41	87.44	85.47	96.14	79.71	91.29	97.89	27.85	45.25
BRD-K33106058	CP	cytarabine	antimetabolite, DNA polymerase inhibitor, DNA synthesis inhibitor, ribonucleotide reductase inhibitor	POLB, POLA1	Ribonucleotide reductase inhibitor	4.83, 1.45	80.63	1.28, 0.45	94.59	-0.32	51.23	53.92	93.77	66.18	43.63	94.56	89.45	77.81	95.13	84.00	67.68	79.41	96.86	65.59	94.30	81.84	98.27	0.35	61.02	84.85	96.42	87.66	79.42	34.75
BRD-K03642198	CP	AY-9944	hedgehog pathway inhibitor			11.07, 6.97	80.57	1.05, 0.19	99.37	8.39	85.55	57.75	98.62	9.72	81.93	94.71	93.59	99.61	34.43	56.66	54.25	80.26	97.73	44.29	17.90	71.37	96.52	83.74	91.44	58.80	38.46	80.88	99.61	41.53
BRD-K60160658	CP	tiagabine	GABA uptake inhibitor, GAT inhibitor	SLC6A1, CYP2C19		4.35, 1.45	80.57	1.98, 0.76	92.57	13.48	55.26	88.05	13.10	95.17	67.50	83.39	92.84	18.46	90.61	91.39	73.36	91.50	94.28	77.75	34.20	18.04	96.24	86.69	35.66	61.41	84.94	95.37	77.03	67.61
BRD-A05352148	CP	ipratropium	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		6.97, 2.87	80.51	0.75, 0.27	47.27	94.35	98.84	81.39	12.16	80.14	89.83	50.41	58.06	69.55	60.18	65.00	89.27	80.96	19.22	88.07	35.09	85.46	60.39	91.17	95.00	80.89	88.32	98.94	48.54	46.60
