indication,pert_iname
Breast Neoplasms,diethylstilbestrol
Carcinoma,diethylstilbestrol
"Arthritis, Rheumatoid",diflunisal
Osteoarthritis,diflunisal
Pain,diflunisal
Postpartum Hemorrhage,dihydroergocristine
Cluster Headache,dihydroergotamine
Postpartum Hemorrhage,dihydroergotamine
"Hypotension, Orthostatic",dihydroergotamine
Xerostomia,dihydroergotamine
Motion Sickness,diphenidol
Nausea,diphenidol
Vertigo,diphenidol
Vomiting,diphenidol
Coronary Thrombosis,dipyridamole
"Graft Occlusion, Vascular",dipyridamole
Atrial Fibrillation,disopyramide
Atrial Flutter,disopyramide
"Tachycardia, Ventricular",disopyramide
Ventricular Premature Complexes,disopyramide
Atrial Premature Complexes,disopyramide
Bradycardia,dopamine
"Cardiac Output, Low",dopamine
Heart Block,dopamine
Kidney Diseases,dopamine
Depressive Disorder,dosulepin
Hypercapnia,doxapram
Respiratory Hypersensitivity,doxapram
Substance-Related Disorders,doxapram
Urinary Retention,doxazosin
Depressive Disorder,doxepin
"Dermatitis, Atopic",doxepin
Pain,doxepin
Pruritus,doxepin
Testicular Neoplasms,doxorubicin
Pain,droperidol
"Candidiasis, Cutaneous",econazole
Tinea Versicolor,econazole
Hypertrichosis,eflornithine
"Conjunctivitis, Allergic",emedastine
Cardiovascular Diseases,empagliflozin
Bartter Syndrome,enalapril
Edema,enalapril
"Hypertension, Malignant",enalapril
"Hypertrophy, Left Ventricular",enalapril
Escherichia coli Infections,enoxacin
Gonorrhea,enoxacin
Haemophilus Infections,enoxacin
Klebsiella Infections,enoxacin
Proteus Infections,enoxacin
Pseudomonas Infections,enoxacin
Staphylococcal Infections,enoxacin
Urinary Tract Infections,enoxacin
Prostatic Neoplasms,enzalutamide
Airway Obstruction,epinephrine
Bradycardia,epinephrine
"Glaucoma, Open-Angle",epinephrine
Heart Block,epinephrine
"Heart Failure, Systolic",eplerenone
Acne Vulgaris,erythromycin
Campylobacter Infections,erythromycin
Chancroid,erythromycin
Erythrasma,erythromycin
Gastroenteritis,erythromycin
Gonorrhea,erythromycin
Legionnaires' Disease,erythromycin
Mycoplasma Infections,erythromycin
Staphylococcal Infections,erythromycin
Streptococcal Infections,erythromycin
Syphilis,erythromycin
Urethritis,erythromycin
Whooping Cough,erythromycin
"Eye Infections, Bacterial",erythromycin
"Depressive Disorder, Major",escitalopram
Angina Pectoris,esmolol
Heart Failure,esmolol
"Tachycardia, Supraventricular",esmolol
Ventricular Fibrillation,esmolol
"Tachycardia, Ventricular",esmolol
Zollinger-Ellison Syndrome,omeprazole
Prostatic Neoplasms,estramustine-phosphate
Ascites,etacrynic-acid
Edema,etacrynic-acid
Heart Failure,etacrynic-acid
Hypertension,etacrynic-acid
"Kidney Failure, Chronic",etacrynic-acid
Liver Cirrhosis,etacrynic-acid
Nephrotic Syndrome,etacrynic-acid
Pulmonary Edema,etacrynic-acid
Acute Kidney Injury,etacrynic-acid
Hypercalcemia,ethylenediaminetetraacetic-acid
Lead Poisoning,ethylenediaminetetraacetic-acid
"Tachycardia, Ventricular",ethylenediaminetetraacetic-acid
Manganese Poisoning,ethylenediaminetetraacetic-acid
Drug-Related Side Effects and Adverse Reactions,ethylenediaminetetraacetic-acid
Ventricular Fibrillation,ethylenediaminetetraacetic-acid
"Arthritis, Rheumatoid",etodolac
Osteoarthritis,etodolac
Pain,etodolac
Uterine Neoplasms,etoposide
Histiocytosis,etoposide
Toothache,eugenol
AIDS-Related Opportunistic Infections,famciclovir
Duodenal Ulcer,famotidine
Dyspepsia,famotidine
Stomach Ulcer,famotidine
Urticaria,famotidine
Zollinger-Ellison Syndrome,famotidine
Helicobacter Infections,famotidine
Seizures,felbamate
"Epilepsy, Complex Partial",felbamate
Lennox Gastaut Syndrome,felbamate
"Angina Pectoris, Variant",felodipine
Hypertension,felodipine
Heart Failure,fenoldopam
"Hypertension, Malignant",fenoldopam
"Hypertension, Renovascular",fenoldopam
Urinary Incontinence,flavoxate
Nocturia,flavoxate
Dysuria,flavoxate
"Tachycardia, Ventricular",flecainide
"Candidiasis, Chronic Mucocutaneous",fluconazole
Pneumonia,fluconazole
Urinary Tract Infections,fluconazole
Drug Overdose,flumazenil
Drug-Related Side Effects and Adverse Reactions,flumazenil
Bulimia,fluoxetine
Panic Disorder,fluoxetine
Psychotic Disorders,fluphenazine
Hirsutism,flutamide
Asthma,fluticasone-propionate
Nasal Polyps,fluticasone-propionate
"Rhinitis, Allergic, Perennial",fluticasone-propionate
Dermatomycoses,flutrimazole
Panic Disorder,fluvoxamine
"Anemia, Megaloblastic",folic-acid
Acidosis,fomepizole
Vision Disorders,fomepizole
Renal Insufficiency,fomepizole
Drug-Related Side Effects and Adverse Reactions,fomepizole
Pulmonary Edema,furosemide
Phobic Disorders,gabapentin
"Arrhythmias, Cardiac",gallopamil
AIDS-Related Opportunistic Infections,ganciclovir
Bronchitis,gatifloxacin
Cystitis,gatifloxacin
Escherichia coli Infections,gatifloxacin
Gonorrhea,gatifloxacin
Haemophilus Infections,gatifloxacin
Klebsiella Infections,gatifloxacin
Proteus Infections,gatifloxacin
Pyelonephritis,gatifloxacin
Salmonella Infections,gatifloxacin
Sinusitis,gatifloxacin
Staphylococcal Infections,gatifloxacin
Streptococcal Infections,gatifloxacin
Urinary Tract Infections,gatifloxacin
"Pneumonia, Bacterial",gatifloxacin
Hypercholesterolemia,gemfibrozil
Hyperlipoproteinemias,gemfibrozil
Hypertriglyceridemia,gemfibrozil
Bronchitis,gemifloxacin
"Pneumonia, Pneumococcal",gemifloxacin
Urinary Tract Infections,gemifloxacin
Gram-Negative Bacterial Infections,gemifloxacin
Community-Acquired Infections,gemifloxacin
"Leukemia, Myeloid, Acute",glasdegib
"Abnormalities, Drug-Induced",glycopyrrolate
Peptic Ulcer,glycopyrrolate
Respiratory Tract Diseases,glycopyrrolate
Hypertension,guanadrel
Hypertension,guanethidine
"Malaria, Falciparum",halofantrine
"Malaria, Vivax",halofantrine
Child Behavior Disorders,haloperidol
Tourette Syndrome,haloperidol
Substance Withdrawal Syndrome,haloperidol
Acne Vulgaris,hexachlorophene
Staphylococcal Skin Infections,hexachlorophene
Urticaria,histamine
Edema,hydroflumethiazide
Glomerulonephritis,hydroflumethiazide
Heart Failure,hydroflumethiazide
Hypertension,hydroflumethiazide
Liver Cirrhosis,hydroflumethiazide
Nephrotic Syndrome,hydroflumethiazide
Renal Insufficiency,hydroflumethiazide
"Carcinoma, Renal Cell",hydroxyurea
Leukocytosis,hydroxyurea
Melanoma,hydroxyurea
Ovarian Neoplasms,hydroxyurea
Prostatic Neoplasms,hydroxyurea
Psoriasis,hydroxyurea
Uterine Neoplasms,hydroxyurea
Hypereosinophilic Syndrome,hydroxyurea
Waldenstrom Macroglobulinemia,ibrutinib
"Leukemia, Lymphocytic, Chronic, B-Cell",ibrutinib
"Lymphoma, B-Cell",ibrutinib
"Lymphoma, Mantle-Cell",ibrutinib
"Arthritis, Juvenile",ibuprofen
"Arthritis, Rheumatoid",ibuprofen
Bursitis,ibuprofen
Gout,ibuprofen
Menorrhagia,ibuprofen
Pain,ibuprofen
Premenstrual Syndrome,ibuprofen
"Spondylitis, Ankylosing",ibuprofen
Atrial Fibrillation,ibutilide
Atrial Flutter,ibutilide
Stomach Neoplasms,ifosfamide
Gastrointestinal Neoplasms,imatinib
Attention Deficit Disorder with Hyperactivity,imipramine
Pain,imipramine
Panic Disorder,imipramine
Pulmonary Emphysema,indacaterol
"Bronchitis, Chronic",indacaterol
Edema,indapamide
Heart Failure,indapamide
Nephrotic Syndrome,indapamide
"Arthritis, Rheumatoid",indometacin
Bursitis,indometacin
Osteoarthritis,indometacin
Pain,indometacin
Tendinopathy,indometacin
"Keratosis, Actinic",ingenol-mebutate
"Leukemia, Lymphocytic, Chronic, B-Cell",IPI-145
"Ventricular Dysfunction, Left",irbesartan
Foot Dermatoses,isoconazole
Mycoses,isoconazole
Vaginitis,isoconazole
Cyanosis,isosorbide-mononitrate
Gastroesophageal Reflux,isosorbide-mononitrate
Poisoning,isosorbide-mononitrate
"Esophageal Spasm, Diffuse",isosorbide-mononitrate
"Angina Pectoris, Variant",isradipine
"Candidiasis, Chronic Mucocutaneous",itraconazole
"Candidiasis, Oral",itraconazole
"Candidiasis, Vulvovaginal",itraconazole
Cryptococcosis,itraconazole
Leishmaniasis,itraconazole
Paracoccidioidomycosis,itraconazole
AIDS-Related Opportunistic Infections,itraconazole
Zygomycosis,itraconazole
Breast Neoplasms,ixabepilone
"Arthritis, Rheumatoid",ketoprofen
Dysmenorrhea,ketoprofen
Photophobia,ketorolac
Angina Pectoris,labetalol
Heart Failure,labetalol
"Hypertension, Malignant",labetalol
Myocardial Infarction,labetalol
"Epilepsy, Tonic-Clonic",lacosamide
Lennox Gastaut Syndrome,lacosamide
Lennox Gastaut Syndrome,lamotrigine
Bronchial Spasm,levalbuterol
"Myoclonic Epilepsy, Juvenile",levetiracetam
"Glaucoma, Open-Angle",levobunolol
Chlamydia Infections,levofloxacin
Haemophilus Infections,levofloxacin
Klebsiella Infections,levofloxacin
Legionnaires' Disease,levofloxacin
Mycoplasma Infections,levofloxacin
Proteus Infections,levofloxacin
Pseudomonas Infections,levofloxacin
Salmonella Infections,levofloxacin
Staphylococcal Infections,levofloxacin
Streptococcal Infections,levofloxacin
"Eye Infections, Bacterial",levofloxacin
Soft Tissue Infections,levofloxacin
"Rhinitis, Allergic, Seasonal",levomequitazine
Urticaria,levomequitazine
"Rhinitis, Allergic",levomequitazine
Pregnancy,levonorgestrel
Goiter,levothyroxine
Hypothyroidism,levothyroxine
Myxedema,levothyroxine
Thyroid Neoplasms,levothyroxine
"Thyroiditis, Autoimmune",levothyroxine
Thyrotoxicosis,levothyroxine
Esophageal Diseases,lidocaine
"Tachycardia, Paroxysmal",lidocaine
"Tachycardia, Ventricular",lidocaine
Ventricular Premature Complexes,lidocaine
Drug-Related Side Effects and Adverse Reactions,lidocaine
Myocardial Infarction,lidocaine
Ventricular Dysfunction,lidocaine
Myocardial Infarction,lisinopril
"Ventricular Dysfunction, Left",lisinopril
Keratoconjunctivitis,lodoxamide
Hypercholesterolemia,lomitapide
"Colonic Diseases, Functional",loperamide
"Dysentery, Bacillary",loperamide
"Epilepsies, Partial",lorazepam
Sleep Initiation and Maintenance Disorders,lorazepam
Obesity,lorcaserin
"Ventricular Dysfunction, Left",losartan
Cystic Fibrosis,lumacaftor
Poisoning,mannitol-D
Bipolar Disorder,maprotiline
Bulimia,maprotiline
Duodenal Ulcer,maprotiline
Enuresis,maprotiline
Pain,maprotiline
Panic Disorder,maprotiline
Dysthymic Disorder,maprotiline
Cocaine-Related Disorders,maprotiline
Obesity,mazindol
"Muscular Dystrophy, Duchenne",mazindol
Ascariasis,mebendazole
Trichuriasis,mebendazole
Enterobiasis,mebendazole
Tourette Syndrome,mecamylamine
"Hypertension, Malignant",mecamylamine
Motion Sickness,meclizine
"Malaria, Vivax",mefloquine
Seasonal Affective Disorder,melatonin
Hypoprothrombinemias,menadione
Giardiasis,mepacrine
Pneumothorax,mepacrine
"Malaria, Falciparum",mepacrine
Pain,mepivacaine
"Conjunctivitis, Allergic",mepyramine
"Rhinitis, Allergic, Seasonal",mepyramine
Pruritus,mepyramine
"Rhinitis, Allergic, Perennial",mepyramine
"Leukemia, Lymphocytic, Chronic, B-Cell",mercaptopurine
"Abnormalities, Drug-Induced",mestinon
Myasthenia Gravis,mestinon
"Glaucoma, Open-Angle",methazolamide
"Glaucoma, Angle-Closure",methazolamide
Goiter,methimazole
Thyroid Crisis,methimazole
Muscle Rigidity,methocarbamol
Myositis,methocarbamol
Pain,methocarbamol
Tetanus,methocarbamol
Vitiligo,methoxsalen
Edema,metolazone
Hypertension,metolazone
Nephrotic Syndrome,metolazone
"Tachycardia, Supraventricular",metoprolol
Amebiasis,metronidazole
Bacteroides Infections,metronidazole
"Endocarditis, Bacterial",metronidazole
"Meningitis, Bacterial",metronidazole
Depression,mianserin
Angina Pectoris,mibefradil
Hypertension,mibefradil
"Candidiasis, Cutaneous",miconazole
Tinea Versicolor,miconazole
Urinary Incontinence,midodrine
Hematologic Neoplasms,midostaurin
Drug-Related Side Effects and Adverse Reactions,milrinone
Pain,mitoxantrone
Psychotic Disorders,molindone
Schizophrenia,molindone
Ventricular Fibrillation,moracizine
"Tachycardia, Ventricular",moracizine
Bacteroides Infections,moxifloxacin
Cystitis,moxifloxacin
Escherichia coli Infections,moxifloxacin
Haemophilus Infections,moxifloxacin
Klebsiella Infections,moxifloxacin
Proteus Infections,moxifloxacin
Pseudomonas Infections,moxifloxacin
Pyelonephritis,moxifloxacin
Salmonella Infections,moxifloxacin
Staphylococcal Infections,moxifloxacin
Streptococcal Infections,moxifloxacin
Urinary Tract Infections,moxifloxacin
Graft vs Host Disease,mycophenolate-mofetil
Psoriasis,mycophenolate-mofetil
Anemia,nandrolone
Breast Neoplasms,nandrolone
Rhinitis,naphazoline
Sinusitis,naphazoline
Bursitis,naproxen
Common Cold,naproxen
Fever,naproxen
Pain,naproxen
Depressive Disorder,nefazodone
"Stress Disorders, Post-Traumatic",nefazodone
Cholecystitis,nefopam
"Leukemia, T-Cell",nelarabine
"Abnormalities, Drug-Induced",neostigmine
Urinary Bladder Diseases,neostigmine
Myasthenia Gravis,neostigmine
Urinary Retention,neostigmine
Eye Pain,nepafenac
Breast Neoplasms,neratinib
Nausea,netupitant
Vomiting,netupitant
Pellagra,niacin
Hypertriglyceridemia,niacin
"Angina Pectoris, Variant",nicardipine
"Angina, Stable",nicardipine
Helminthiasis,niclosamide
Pellagra,nicotinamide
Hypertriglyceridemia,nicotinamide
Peripheral Vascular Diseases,nicotinamide
"Colitis, Ulcerative",nicotine
Substance Withdrawal Syndrome,nicotine
"Leukemia, Myeloid, Accelerated Phase",nilotinib
"Leukemia, Myeloid, Chronic-Phase",nilotinib
"Conjunctivitis, Bacterial",norfloxacin
Escherichia coli Infections,norfloxacin
Gonorrhea,norfloxacin
Haemophilus Infections,norfloxacin
Prostatitis,norfloxacin
Pseudomonas Infections,norfloxacin
Staphylococcal Infections,norfloxacin
Urinary Tract Infections,norfloxacin
Attention Deficit Disorder with Hyperactivity,nortriptyline
Enuresis,nortriptyline
Pain,nortriptyline
Chlamydia Infections,ofloxacin
Corneal Ulcer,ofloxacin
Cystitis,ofloxacin
Epididymitis,ofloxacin
Gonorrhea,ofloxacin
Haemophilus Infections,ofloxacin
Klebsiella Infections,ofloxacin
Otitis Externa,ofloxacin
"Otitis Media, Suppurative",ofloxacin
Proteus Infections,ofloxacin
Salmonella Infections,ofloxacin
Staphylococcal Infections,ofloxacin
Soft Tissue Infections,ofloxacin
Amebiasis,ornidazole
Protozoan Infections,ornidazole
Trichomonas Infections,ornidazole
Muscle Rigidity,orphenadrine
Myositis,orphenadrine
Pain,orphenadrine
Tetanus,orphenadrine
Emaciation,oxandrolone
Growth Disorders,oxandrolone
"Arthritis, Juvenile",oxaprozin
"Arthritis, Rheumatoid",oxaprozin
Osteoarthritis,oxaprozin
"Candidiasis, Cutaneous",oxiconazole
Tinea Versicolor,oxiconazole
Photosensitivity Disorders,oxybenzone
Sunburn,oxybenzone
Pain,oxybuprocaine
Dysuria,oxybutynin
Sinusitis,oxymetazoline
Extensively Drug-Resistant Tuberculosis,PA-824
Heartburn,pantoprazole
Zollinger-Ellison Syndrome,pantoprazole
Angina Pectoris,papaverine
"Arrhythmias, Cardiac",papaverine
Arterial Occlusive Diseases,papaverine
Brain Ischemia,papaverine
Colic,papaverine
Pulmonary Embolism,papaverine
Raynaud Disease,papaverine
Thromboembolism,papaverine
Pain,paracetamol
Hyperparathyroidism,paricalcitol
Feeding and Eating Disorders,paroxetine
"Carcinoma, Renal Cell",pazopanib
Soft Tissue Neoplasms,pazopanib
"Conjunctivitis, Allergic",pemirolast
Epstein-Barr Virus Infections,penciclovir
Psychotic Disorders,penfluridol
