pert_iname,indication
amiloride,"Ascites|Edema|Heart Failure|Hypokalemia|Polyuria|Polycystic Kidney Diseases|Polycystic Kidney, Autosomal Dominant|Diabetes Insipidus|Diabetes Insipidus, Nephrogenic|Bipolar Disorder|Coronary Vasospasm"
aminocaproic-acid,Arthritis|Osteoarthritis|Scoliosis|Oral Hemorrhage
aminoglutethimide,"Cushing Syndrome|Neoplasms, Hormone-Dependent"
aminosalicylic-acid,Infections|Communicable Diseases|Acquired Immunodeficiency Syndrome|Sexually Transmitted Diseases|Lentivirus Infections|Immunologic Deficiency Syndromes|Immune System Diseases
amiodarone,"Myocardial Infarction|Infarction|Cardiac Complexes, Premature|Shock, Septic|Shock|Respiratory Insufficiency|Toxemia|Sepsis|Cardiomyopathy, Dilated"
amitriptyline,"Pain|Chronic Pain|Back Pain|Syndrome|Amputation, Traumatic|Spinal Cord Injuries|Neck Pain|Gastrointestinal Diseases|Digestive System Diseases|Abdominal Pain|Irritable Bowel Syndrome|Diarrhea|Myalgia|Facial Pain|Cerebral Palsy"
amlexanox,"Dermatitis, Atopic|Rhinitis|Ulcer"
amlodipine,"Coronary Artery Disease|Atrial Fibrillation|Hypertension, Pregnancy-Induced|COVID-19|Coronavirus Infections|Aortic Valve Stenosis|Kidney Failure, Chronic|Hypertension, Renal|Heart Diseases|Myocardial Ischemia|Albuminuria|Metabolic Diseases|Lipid Metabolism Disorders|Angina, Stable|Ischemia|Inflammation|Systolic Murmurs|Diabetic Nephropathies|Hypoxia|Anxiety Disorders|Fatty Liver|Ischemic Stroke|Cerebral Infarction|Carotid Stenosis|Constriction, Pathologic|Liver Diseases|Non-alcoholic Fatty Liver Disease"
amodiaquine,"Anemia, Sickle Cell|Malnutrition|Severe Acute Malnutrition"
amoxapine,Depressive Disorder|Psychophysiologic Disorders
amrinone,"Cardiac Output, Low|Cardiomyopathy, Dilated|Heart Failure|Shock, Cardiogenic"
anastrozole,"Breast Carcinoma In Situ|Obesity, Morbid|Weight Loss"
apixaban,"Antiphospholipid Syndrome|Short Bowel Syndrome|Ankle Fractures|Ankle Injuries|Cognitive Dysfunction|Calcinosis|Pulmonary Infarction|Ventricular Dysfunction|Ventricular Dysfunction, Right|Pulmonary Heart Disease"
apremilast,Alopecia|Alopecia Areata|Erythema|Erythema Nodosum|Parapsoriasis|Cardiovascular Diseases|Inflammation
aripiprazole,"Weight Gain|Agnosia|Hyperprolactinemia|Drug-Related Side Effects and Adverse Reactions|Mood Disorders|Parkinson Disease|Cardiovascular Diseases|Hyperlipidemias|Insulin Resistance|Weight Loss|Aggression|Attention Deficit and Disruptive Behavior Disorders|Phobia, Social|Conduct Disorder|Feeding and Eating Disorders|Dyskinesias|Tardive Dyskinesia|Dysthymic Disorder|Cognition Disorders|Dyskinesia, Drug-Induced"
armodafinil,Sleep Wake Disorders
aspirin,"Arthritis, Rheumatoid|Fever|Gout|Pain|Rheumatic Fever|Pericarditis|Carotid Artery Diseases|Intracranial Hemorrhages|Brain Ischemia|Renal Artery Obstruction|Essential Hypertension|Gastroesophageal Reflux|Esophagitis, Peptic|Ovarian Hyperstimulation Syndrome|Tachycardia|Tachycardia, Ventricular|Ventricular Premature Complexes|Mood Disorders|Multiple Sclerosis, Relapsing-Remitting|Scleroderma, Systemic|Scleroderma, Diffuse|Glucosephosphate Dehydrogenase Deficiency|Coronary Restenosis|Kidney Failure, Chronic|Respiratory Tract Infections|Dementia|Aortic Valve Disease|Aortic Valve Insufficiency|Insulin Resistance|Diabetes Mellitus, Type 1|Brain Injuries|Brain Injuries, Traumatic|Hematoma, Subdural|Hematoma, Subdural, Chronic|Craniocerebral Trauma|Hematoma|Gastrointestinal Hemorrhage|Dental Caries|Microvascular Angina|Diabetic Nephropathies|Intracranial Embolism|Chagas Disease|Drug-Related Side Effects and Adverse Reactions|Respiration Disorders|Respiratory Tract Diseases|Asthma, Aspirin-Induced|Stroke, Lacunar|Cerebral Small Vessel Diseases|Hypertension, Portal|Fibrosis|Musculoskeletal Pain|Endometriosis|Pelvic Pain|Arthritis|Placenta Diseases|Proteinuria|Thyroiditis|Thyroiditis, Autoimmune|Opioid-Related Disorders|Myocardial Stunning|Urinary Bladder Neoplasms|Hematuria|Sarcoma|Coronary Vessel Anomalies|Hypersplenism"
atenolol-(+/-),"Atrial Fibrillation|Atrial Flutter|Heart Failure|Myocardial Infarction|Tachycardia, Supraventricular|Ventricular Fibrillation|Tachycardia, Ventricular|Sick Sinus Syndrome|Angina, Stable|Coronary Artery Disease|Myocardial Ischemia|Coronary Disease|Overweight|Insulin Resistance|Metabolic Syndrome|Intracranial Arteriosclerosis|Arteriosclerosis|Stroke|Diabetes Mellitus|Infarction|Kidney Diseases|Diabetic Nephropathies|Diabetes Mellitus, Type 2|Aneurysm|Aortic Aneurysm|Aortic Aneurysm, Abdominal|Rupture|Hypotension|Postoperative Cognitive Complications|Cognitive Dysfunction|Renal Insufficiency, Chronic|Heart Failure, Diastolic|Ischemic Stroke|Cerebral Infarction|Ischemia|Spinal Cord Neoplasms|Spinal Neoplasms"
atomoxetine,"Stress Disorders, Traumatic|Stress Disorders, Post-Traumatic|Depression|Depressive Disorder|Psychotic Disorders|Dyslexia|Sleep Initiation and Maintenance Disorders|Autism Spectrum Disorder|Asperger Syndrome|Child Development Disorders, Pervasive|Problem Behavior|Impulsive Behavior"
atorvastatin,"Plaque, Atherosclerotic|Arrhythmias, Cardiac|Osteoporosis|Intracranial Hemorrhages|Angina Pectoris, Variant|Pulmonary Disease, Chronic Obstructive|Prediabetic State|Glucose Intolerance|Metabolic Diseases|Glucose Metabolism Disorders|Lipid Metabolism Disorders|Disease|Alagille Syndrome|Xanthomatosis|Aortic Aneurysm, Abdominal|Mood Disorders|Dementia|Neurodegenerative Diseases|Hyperparathyroidism|Hyperparathyroidism, Secondary|Bronchiectasis|Pseudomonas Infections|Muscular Diseases|Retroperitoneal Fibrosis|Cerebral Small Vessel Diseases|Myotoxicity|Ventricular Remodeling|Infections|Liver Diseases|Intracranial Arteriosclerosis|Acute Kidney Injury|Aortic Coarctation|Anterior Wall Myocardial Infarction|AIDS Dementia Complex|Systolic Murmurs|Myocardial Stunning|Mitochondrial Diseases"
atracurium,"Respiratory Insufficiency|Paralysis|Postoperative Complications|Syndrome|Delayed Emergence from Anesthesia|Lung Injury|Myoclonus|Agnosia|Intracranial Hypertension|Brain Injuries|Brain Injuries, Traumatic|Hypertension|Postoperative Cognitive Complications|Cognitive Dysfunction"
avanafil,Erectile Dysfunction
azathioprine,"Graft vs Host Disease|Multiple Sclerosis|Purpura, Thrombocytopenic, Idiopathic|Pancreatitis|Skin Neoplasms|Cholangitis|Liver Cirrhosis, Biliary"
azelaic-acid,Skin Manifestations|Hyperpigmentation
azelastine,"Conjunctivitis, Allergic|Rhinitis, Vasomotor|Asthma|Inflammation"
bambuterol,Asthma|Bronchial Spasm|Bronchitis|Emphysema|Cough|Acute Disease
baricitinib,"Arthritis, Rheumatoid"
bazedoxifene,"Menopause|Disease|Schizophrenia|Mood Disorders|Psychotic Disorders|Depression|Depressive Disorder|Endometriosis|Arthritis, Rheumatoid"
benazepril,"Diabetic Nephropathies|Heart Failure|Hypertrophy, Left Ventricular|Ventricular Dysfunction, Left|COVID-19|Coronavirus Infections|Albuminuria|Hypertrophy|Proteinuria|Cardiomyopathies|Cardiomyopathy, Dilated|Hypotension"
bendroflumethiazide,Edema|Heart Failure|Hypertension|Nephrotic Syndrome|COVID-19|Coronavirus Infections
benzbromarone,"Ventricular Dysfunction, Left|Metabolic Syndrome|Syndrome"
benzthiazide,Edema|Heart Failure|Hypertension|Nephrotic Syndrome
benzydamine,"Tooth, Impacted|Postoperative Complications|Pericoronitis|Nausea|Vomiting|Postoperative Nausea and Vomiting"
benzylpenicillin,"Actinomycosis|Anthrax|Botulism|Diphtheria|Empyema|Erysipelothrix Infections|Escherichia coli Infections|Gonorrhea|Listeriosis|Meningococcal Infections|Pasteurella Infections|Pericarditis|Pneumococcal Infections|Rat-Bite Fever|Respiratory Tract Infections|Salmonella Infections|Staphylococcal Infections|Tetanus|Urinary Tract Infections|Skin Diseases, Bacterial|Rheumatic Fever|Endocarditis, Subacute Bacterial|Bacteremia|Lung Diseases, Obstructive|Pulmonary Disease, Chronic Obstructive"
betahistine,Meniere Disease
bezafibrate,"Myocardial Infarction|Infarction|Acute Coronary Syndrome|Coronary Artery Disease|Myocardial Ischemia|Hypercholesterolemia|Plaque, Atherosclerotic"
bifonazole,Mycoses|Skin Diseases|Foot Dermatoses
binimetinib,Melanoma
biperiden,Parkinson Disease|Drug-Related Side Effects and Adverse Reactions
bisoprolol,"Angina Pectoris|Myocardial Infarction|Tachycardia, Supraventricular|ST Elevation Myocardial Infarction|Non-ST Elevated Myocardial Infarction|Infarction|Kidney Failure, Chronic|Hypertension, Renal|Angina, Stable|Vascular Remodeling|Heart Diseases|Atherosclerosis|Coronary Disease|Myocardial Ischemia|Insulin Resistance|Metabolic Syndrome|Arrhythmias, Cardiac|Tachycardia|Tachycardia, Ventricular|Cardiomyopathy, Hypertrophic|Hypertrophy, Left Ventricular|Hypertrophy|Pathological Conditions, Anatomical|Aortic Valve Stenosis|Constriction, Pathologic|Ventricular Dysfunction|Ventricular Dysfunction, Left|Microvascular Angina|Angina Pectoris, Variant|Coronary Vasospasm|Diabetes Mellitus|Diabetes Mellitus, Type 2|Heart Failure, Systolic|Systolic Murmurs|Heart Failure, Diastolic|Postural Orthostatic Tachycardia Syndrome"
bopindolol,"Atrial Fibrillation|Edema|Hypertension|Tachycardia, Ventricular"
bosentan,Pneumonia
bosutinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
brexpiprazole,"Substance-Related Disorders|Psychotic Disorders|Depressive Disorder, Treatment-Resistant"
budipine,Parkinson Disease
buflomedil,Peripheral Arterial Disease
bumetanide,"Ascites|Edema|Hypertension|Kidney Failure, Chronic|Liver Cirrhosis|Nephrotic Syndrome|Pulmonary Edema|Acute Kidney Injury|Drug-Related Side Effects and Adverse Reactions|Diabetes Mellitus"
bupivacaine,"Pain|Arthritis|Hernia, Abdominal|Internal Hernia|Facies|Retinal Detachment|Vitreoretinopathy, Proliferative|Retinoschisis|Rupture|Diverticulitis|Nausea|Drug Overdose|Pituitary Diseases|Stress Disorders, Traumatic|Depression|Depressive Disorder|Depressive Disorder, Major|Depressive Disorder, Treatment-Resistant|Arteriovenous Fistula|Urinary Incontinence|Enuresis|Urinary Incontinence, Stress|Uterine Cervical Incompetence|Tennis Elbow|Inflammation|Rectal Diseases|Colic|Renal Colic|Tonsillitis|Rectocele|Hypertension|Meningioma|Paralysis|Fibromyalgia|Somatoform Disorders|Arm Injuries|Adenocarcinoma|Intervertebral Disc Degeneration|Intervertebral Disc Displacement|Spondylolisthesis|Spondylosis|Hematoma|Tibial Fractures|Tooth, Impacted|Kidney Neoplasms|Carcinoma, Renal Cell|Arrhythmias, Cardiac|Musculoskeletal Pain|Rheumatic Diseases|Spondylolysis|Joint Diseases|Femoracetabular Impingement|Infertility|Infertility, Male|Gastrointestinal Neoplasms|Crohn Disease|Intestinal Diseases|Inflammatory Bowel Diseases|Gastrointestinal Diseases|Digestive System Diseases|Radius Fractures|Heart Diseases|Intestinal Obstruction|Neck Pain|Obesity|Ventricular Dysfunction|Ventricular Dysfunction, Right|Hand Injuries|Forearm Injuries|Colonic Neoplasms|Rectal Neoplasms|Ileus|Diverticulum|Diverticulitis, Colonic|Constipation|Knee Injuries|Ehlers-Danlos Syndrome|Urinary Retention|Dwarfism|Breakthrough Pain|Pain, Intractable|Trigger Finger Disorder|Uterine Diseases|Prostatic Hyperplasia|Hyperplasia|Arthralgia|Rectal Fistula|Pruritus|Dyspareunia|Wrist Injuries|Finger Injuries|Cystitis|Cystitis, Interstitial|Urologic Diseases|Cryptorchidism|Uterine Prolapse|Bradycardia|Fractures, Multiple|Lymphedema|Scoliosis|Bursitis|Blood Loss, Surgical|Failed Back Surgery Syndrome|Fractures, Compression|Leg Injuries|Delirium|Hip Injuries|Fractures, Closed|Apnea|Sleep Apnea Syndromes|Neuroma|Hyperalgesia|Cervical Intraepithelial Neoplasia|Gallstones|Cholelithiasis|Cholecystolithiasis|Shoulder Impingement Syndrome|Hernia, Hiatal"
bupropion,"Food Addiction|Dyssomnias|Intestinal Diseases|Inflammatory Bowel Diseases|Parasomnias|Kidney Failure, Chronic|Cognitive Dysfunction|Obesity, Morbid|Mental Disorders|Seizures|Cardiovascular Diseases|Disease Susceptibility|Genetic Predisposition to Disease|Cerebrovascular Disorders|Sleep Wake Disorders|Angina, Unstable|Psychotic Disorders|Behavior, Addictive|Sleep Initiation and Maintenance Disorders|Problem Behavior|Lung Diseases, Obstructive|Pulmonary Disease, Chronic Obstructive|Acquired Immunodeficiency Syndrome|Immunologic Deficiency Syndromes|Suicidal Ideation|Body Weight|Ataxia|Cerebellar Ataxia|Friedreich Ataxia"
buspirone,Intellectual Disability|Williams Syndrome|Syndrome|Hypothermia
cabergoline,"Infertility, Female|Acromegaly|Prostatic Neoplasms|Melanoma|Neuroendocrine Tumors|Dumping Syndrome"
cabozantinib,"Carcinoma, Renal Cell"
caffeine,"Fatigue|Hernia|Hernia, Inguinal|Kidney Diseases|Renal Insufficiency, Chronic|Scoliosis|Bronchopulmonary Dysplasia|Post-Dural Puncture Headache|Carcinoma, Renal Cell|Gastrointestinal Stromal Tumors|Reperfusion Injury|Cardiovascular Diseases|Brain Injuries|Hemorrhage|Atherosclerosis|Vertigo|Vestibular Diseases|Anxiety Disorders"
canagliflozin,"Hypertension|Albuminuria|Weight Loss|COVID-19|Insulin Resistance|Hypersensitivity|Hyperuricemia|Heart Failure, Systolic|Systolic Murmurs|Glomerulonephritis|Glomerulonephritis, IGA"
candesartan,"Diabetic Nephropathies|Heart Failure|Hypertension|Ventricular Dysfunction, Left"
capsaicin,"Motor Disorders|Syndrome|Diabetes Complications|Alopecia|Alopecia Areata|Renal Insufficiency|Kidney Failure, Chronic|Rhinitis, Allergic|Psoriasis|Labor Pain"
carbamazepine,"Epilepsy, Tonic-Clonic|Psychotic Disorders|Restless Legs Syndrome|Stress Disorders, Post-Traumatic|Substance Withdrawal Syndrome|Epilepsy, Complex Partial|Erythromelalgia|Epilepsy, Rolandic|Mood Disorders|Asthma"
carfilzomib,Multiple Myeloma
carglumic-acid,Hyperammonemia
carisoprodol,Muscle Cramp|Muscle Rigidity|Muscle Spasticity|Myositis|Pain|Spasm
carprofen,"Osteoarthritis|Pain, Postoperative"
carvedilol,"Angina Pectoris|Myocardial Infarction|Lung Diseases|Pulmonary Disease, Chronic Obstructive|Cardiomyopathy, Dilated|Ascites|Peritonitis|Hepatic Encephalopathy|Brain Diseases|Infarction|Sprains and Strains|Univentricular Heart|Varicose Veins|Heart Diseases|Coronary Artery Disease|Myocardial Ischemia|Ischemia|Chagas Cardiomyopathy|Lung Diseases, Obstructive|Alzheimer Disease|Muscular Dystrophies|Muscular Dystrophy, Duchenne|Premature Birth|Tachycardia|Tachycardia, Ventricular|Ventricular Premature Complexes|ST Elevation Myocardial Infarction|Non-ST Elevated Myocardial Infarction|Hypoxia|Renal Insufficiency, Chronic|Heart Failure, Diastolic|Acute Coronary Syndrome|Syndrome"
cefdinir,"Bronchitis|Escherichia coli Infections|Haemophilus Infections|Klebsiella Infections|Proteus Infections|Sinusitis|Staphylococcal Infections|Streptococcal Infections|Tonsillitis|Skin Diseases, Bacterial|Pneumonia, Bacterial|Moraxellaceae Infections|Pneumonia|Bronchitis, Chronic|Adenoma|Pituitary Neoplasms|Pituitary Diseases|Infections|Communicable Diseases"
cefoperazone,"Bone Diseases, Infectious|Escherichia coli Infections|Genital Diseases, Female|Haemophilus Infections|Klebsiella Infections|Proteus Infections|Pseudomonas Infections|Salmonella Infections|Staphylococcal Infections|Streptococcal Infections|Serratia Infections|Skin Diseases, Bacterial|Pneumonia, Bacterial|Soft Tissue Infections|Pancreatitis|Pancreatitis, Acute Necrotizing"
celecoxib,"Dysmenorrhea|Spondylarthropathies|Bile Duct Neoplasms|Cholangiocarcinoma|Wounds and Injuries|Necrosis|Leiomyoma|Sprains and Strains|Crohn Disease|Urethral Stricture|Arteriosclerosis|Coronary Artery Disease|Myocardial Ischemia|Ankle Injuries|Ureteral Calculi|Ureterolithiasis|Calculi|Renal Colic|Radius Fractures|Coronary Disease|Nausea|Constipation|Coronary Restenosis|Heart Diseases|Spinal Stenosis|Constriction, Pathologic|Kidney Calculi|Nephrolithiasis|Intestinal Diseases|Inflammatory Bowel Diseases|Nasal Polyps"
chlorambucil,Breast Neoplasms|Choriocarcinoma|Ovarian Neoplasms|Testicular Neoplasms|Thrombocytosis|Uveitis
chlormezanone,Anxiety Disorders|Muscle Spasticity
chloroquine,"Amebiasis|Lupus Erythematosus, Discoid|Malaria, Avian|Pemphigus|Scleroderma, Systemic|Asymptomatic Diseases|Hepatitis A|Hepatitis, Autoimmune|Hepatitis|Rabies|Recurrence|Hepatitis C|Fetal Growth Retardation|Osteoarthritis|Osteoarthritis, Knee"
chloroxine,"Scalp Dermatoses|Dermatitis, Seborrheic"
chlorphenamine,"Rhinitis, Allergic, Perennial|Urticaria|Bronchitis|Hypotension"
chlorpromazine,Anxiety Disorders|Child Behavior Disorders|Hiccup|Nausea|Tetanus|Attention Deficit and Disruptive Behavior Disorders|Mania|Disease|Bipolar Disorder|Emergencies|Aggression
chlorthalidone,"Edema|Glomerulonephritis|Heart Failure|Liver Cirrhosis|Nephrotic Syndrome|COVID-19|Coronavirus Infections|Aortic Valve Stenosis|Hypertrophy, Left Ventricular|Aortic Valve Insufficiency|Hypertrophy|Drug-Related Side Effects and Adverse Reactions|Obesity|Metabolic Syndrome|Overweight"
cholic-acid,Zellweger Syndrome
cilostazol,"Graft Occlusion, Vascular|Carotid Artery Diseases|Diabetes Mellitus|Diabetes Mellitus, Type 2|Myocardial Infarction|Ischemic Stroke|Intracranial Hemorrhages|Cerebral Hemorrhage|Brain Ischemia|Ischemia|Hemorrhage|Polyneuropathies|Acute Coronary Syndrome|Intracranial Aneurysm|Aneurysm|Raynaud Disease|Myocardial Ischemia|Coronary Disease|Dementia|Dementia, Vascular|Constriction, Pathologic|Kidney Diseases|Diabetic Nephropathies|Heart Diseases|Hyperlipidemias|Hyperlipoproteinemias|Renal Insufficiency, Chronic|Angina, Stable|Diabetes Complications|Syndrome|Hypercholesterolemia|Metabolic Syndrome|Subarachnoid Hemorrhage|Alzheimer Disease|Arteriosclerosis|Arteriosclerosis Obliterans|Intracranial Arteriosclerosis"
cimetidine,"Duodenal Ulcer|Dyspepsia|Esophagitis, Peptic|Gastroesophageal Reflux|Heartburn|Stomach Ulcer|Urticaria|Zollinger-Ellison Syndrome|Helicobacter Infections|Osteoarthritis|Respiratory Aspiration of Gastric Contents"
cinoxacin,Escherichia coli Infections|Klebsiella Infections|Proteus Infections|Urinary Tract Infections
ciprofloxacin,"Bacteroides Infections|Campylobacter Infections|Haemophilus Infections|Klebsiella Infections|Proteus Infections|Staphylococcal Infections|Typhoid Fever|Skin Diseases, Bacterial|Meningitis, Meningococcal|Meningitis|Suppuration|Otitis Media, Suppurative|Endocarditis, Bacterial|Endocarditis|Respiratory Tract Infections|Hypoglycemia|Hyperglycemia|Appendicitis|Pouchitis|Liver Cirrhosis|Kidney Calculi|Nephrolithiasis|Calculi|Bacteriuria|Asthma|Angioedemas, Hereditary|Prostatic Hyperplasia|Hyperplasia|Liver Abscess, Pyogenic|Colitis, Ulcerative|Cholelithiasis|Cholecystolithiasis|Gallstones|Dysentery, Bacillary|Periapical Abscess|Surgical Wound Infection|Ascites|Chronic Periodontitis|Urinary Bladder, Overactive|Wound Infection|Surgical Wound|Ureteral Calculi|Ureterolithiasis"
citalopram,"Diabetic Neuropathies|Tobacco Use Disorder|Frailty|Amyloidosis|Compulsive Behavior|Psychotic Disorders|Hearing Loss|Deafness|Epilepsy|HIV Seropositivity|Facies|Sinusitis|Facial Pain|Disruptive, Impulse Control, and Conduct Disorders|Pain, Postoperative|Dementia, Vascular|Vascular Diseases|Coronary Artery Disease|Sleep Wake Disorders|Panic Disorder|Brain Injuries, Traumatic|Brain Injuries|Polyneuropathies|Diabetes Mellitus|Gastroesophageal Reflux|Premenstrual Syndrome|Head and Neck Neoplasms|Ischemia|Myocardial Ischemia|Frontotemporal Dementia|Aphasia, Primary Progressive|Pick Disease of the Brain|Asthma|Coronary Disease|Depression, Postpartum|Polycystic Ovary Syndrome|Agoraphobia|Multiple Sclerosis, Relapsing-Remitting|Internet Addiction Disorder|Inflammation|Epilepsy, Temporal Lobe|Heartburn|Myocardial Infarction|Infarction|Chest Pain|Ataxia|Cerebellar Ataxia|Friedreich Ataxia"
clioquinol,Dermatitis|Folliculitis|Tinea Pedis|Acneiform Eruptions|Lichenoid Eruptions
clofibrate,Coronary Artery Disease|Hypercholesterolemia|Hyperlipoproteinemias|Hypertriglyceridemia
clomethiazole,Sleep Initiation and Maintenance Disorders|Parkinson Disease|Psychomotor Agitation|Substance Withdrawal Syndrome
clomipramine,Depressive Disorder|Pain|Panic Disorder
clonazepam,"Bipolar Disorder|Dysarthria|Epilepsies, Myoclonic|Epilepsy, Absence|Restless Legs Syndrome|Tic Disorders|Lennox Gastaut Syndrome|Post-Cardiac Arrest Syndrome|Heart Arrest|Hypothermia|Stress Disorders, Traumatic|Stress Disorders, Post-Traumatic|Psychotic Disorders|Phobic Disorders|Phobia, Social|Agoraphobia|Depression|Depressive Disorder|Depressive Disorder, Major|Cerebral Palsy"
clonidine,"Diarrhea|Dysmenorrhea|Tourette Syndrome|Glaucoma|Pain, Intractable|Sialorrhea|Alcohol-Induced Disorders, Nervous System|Labor Pain|Breakthrough Pain|Hip Dislocation|Developmental Dysplasia of the Hip|Hip Dislocation, Congenital|Femoracetabular Impingement|Frailty|Cognitive Dysfunction|Ataxia|Cerebellar Ataxia|Ataxia Telangiectasia|Telangiectasis|Failure to Thrive|Pulpitis|Catatonia|Depressive Disorder|Depressive Disorder, Major|Bipolar Disorder|Emergencies|Fractures, Closed|Osteomyelitis|Tarsal Coalition|Bursitis|Clubfoot|Talipes|Equinus Deformity|Flatfoot|Foot Deformities|Foot Deformities, Congenital|Exostoses|Leg Length Inequality|Syndactyly|Hand Deformities|Polydactyly|Hand Deformities, Congenital|Congenital Abnormalities|Synovial Cyst|Spinal Stenosis|Intervertebral Disc Degeneration|Intervertebral Disc Displacement|Spondylolisthesis|Spondylosis|Osteoarthritis, Knee|Anterior Cruciate Ligament Injuries|Endometriosis|Vomiting|Tic Disorders|Heart Diseases|Kidney Diseases|Diabetic Nephropathies|Diabetes Mellitus, Type 2|Ankle Fractures|Osteoarthritis|Joint Diseases|Arterial Occlusive Diseases|Heart Failure|Agnosia|Retinal Diseases|Retinopathy of Prematurity|Premature Birth|Infant, Premature, Diseases|Pain, Procedural"
clotrimazole,"Candidiasis, Cutaneous|Dermatitis, Atopic|Eczema|Skin Diseases|Skin Diseases, Eczematous|Recurrence|Diaper Rash|Renal Insufficiency|Kidney Failure, Chronic"
clozapine,"Depression|Depressive Disorder|Depressive Disorder, Major|Schizophrenia, Childhood|Substance-Related Disorders|Panic Disorder|Alcoholism|Marijuana Abuse|Congenital Abnormalities|Metabolic Syndrome"
cobicistat,"HIV-Associated Lipodystrophy Syndrome|Cardiovascular Diseases|Vascular Diseases|Cardiovascular Abnormalities|Congenital Abnormalities|Lipodystrophy|Body Weight|Body Weight Changes|Drug-Related Side Effects and Adverse Reactions|Cognitive Dysfunction|Hepatitis C, Chronic|Coinfection|Bone Diseases|Bone Diseases, Metabolic|Metabolic Diseases|Opioid-Related Disorders|Neurotoxicity Syndromes|AIDS Dementia Complex|HIV Seropositivity"
cobimetinib,Melanoma
cromoglicic-acid,"Asthma|Asthma, Exercise-Induced|Bronchial Spasm|Conjunctivitis|Food Hypersensitivity|Rhinitis, Allergic, Perennial|Inflammatory Bowel Diseases|Dyspepsia|Esophagitis|Eosinophilic Esophagitis"
curcumin,"Prediabetic State|Glucose Intolerance|Cardiovascular Abnormalities|Metrorrhagia|Hemorrhage|Hypersensitivity|Depressive Disorder|Irritable Bowel Syndrome|Polycystic Kidney Diseases|Polycystic Kidney, Autosomal Dominant|Migraine Disorders|Alveolar Bone Loss"
cyclizine,Dizziness|Motion Sickness|Nausea|Vertigo|Vomiting
