pert_iname,indication
clenbuterol,"Asthma|Pulmonary Disease, Chronic Obstructive"
climbazole,Dandruff|Eczema
clindamycin,Respiratory Tract Infections|Pneumonia|Intraabdominal Infections
clinofibrate,Hypertriglyceridemia
clofarabine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
clofazimine,Leprosy
clofibrate,Hyperlipidemias|Cholesterol
clofibric-acid,Hyperlipidemias
clofoctol,Gram-Positive Bacterial Infections
clomethiazole,Parkinson Disease|Hypnotics and Sedatives
clomifene,Infertility
clomipramine,Obsessive-Compulsive Disorder
clonidine,Hypertension|Attention Deficit Disorder with Hyperactivity
closantel,Fasciola hepatica
clotrimazole,"Candidiasis, Vulvovaginal"
clozapine,Schizophrenia
cobicistat,HIV
cobimetinib,Melanoma
colchicine,Gout|Fever
conivaptan,Hyponatremia
crizotinib,"Carcinoma, Non-Small-Cell Lung"
cromoglicic-acid,"Asthma|Urticaria|Colitis, Ulcerative|Conjunctivitis"
cyanocobalamin,Anemia|Celiac Disease
cyclizine,Vertigo|Nausea|Vomiting|Motion Sickness
cyclobenzaprine,Spasm
cyproheptadine,"Rhinitis, Allergic|Urticaria|Conjunctivitis|Rhinitis, Vasomotor"
cyproterone-acetate,Prostatic Neoplasms
cytarabine,"Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoma, Non-Hodgkin"
dabigatran-etexilate,Venous Thrombosis|Stroke|Pulmonary Embolism
dabrafenib,Melanoma
dacarbazine,Melanoma|Hodgkin Disease
dalfampridine,Multiple Sclerosis
danazol,Endometriosis|Angioedema
dantrolene,Spasm|Malignant Hyperthermia
dapagliflozin,Diabetes Mellitus
dapsone,Leprosy|Dermatitis Herpetiformis
darifenacin,Urinary Incontinence
darunavir,HIV
dasabuvir,Hepatitis C
dasatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
daunorubicin,"Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma"
decitabine,"Anemia|Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
deferasirox,Thalassemia|Iron Overload
deferiprone,Thalassemia|Iron Overload
dehydroepiandrosterone,Menopause
delivert,Sepsis
desmopressin-acetate,"Diabetes Insipidus, Neurogenic|Nocturnal Enuresis"
desvenlafaxine,Depression
dexamethasone,"Arthritis, Rheumatoid|Osteoarthritis|Rhinitis, Allergic|Psoriasis|Dermatitis Herpetiformis|Colitis, Ulcerative|Arthritis, Psoriatic|Anemia|Multiple Sclerosis|Enteritis|Nephrotic Syndrome|Hypercalcemia"
dexamethasone-acetate,"Arthritis, Rheumatoid|Osteoarthritis|Rhinitis, Allergic|Psoriasis|Dermatitis Herpetiformis|Colitis, Ulcerative|Arthritis, Psoriatic|Anemia|Multiple Sclerosis|Enteritis|Nephrotic Syndrome|Hypercalcemia"
dextromethorphan,Antitussive Agents
diacerein,Osteoarthritis
diazoxide,Hypoglycemia
diclofenac,"Arthritis, Rheumatoid|Osteoarthritis|Migraine Disorders"
dicloxacillin,Gram-Positive Bacterial Infections
dicoumarol,Venous Thrombosis
dienogest,Contraceptive Agents|Endometriosis
diethylcarbamazine,Filariasis
diflunisal,"Arthritis, Rheumatoid|Osteoarthritis"
digoxin,Heart Failure|Atrial Fibrillation
dihydroergocristine,Alzheimer Disease|Cerebrovascular Disorders
dihydroergotamine,Migraine Disorders
dilazep,Coronary Disease
diltiazem,Hypertension|Angina Pectoris
dimethyl-fumarate,Multiple Sclerosis
dinoprost,"Labor, Induced"
diosmin,Venous Thrombosis|Edema
diphenidol,Vertigo
diphenylpyraline,"Rhinitis, Allergic"
dipyridamole,Hypertension|Coronary Artery Disease|Peripheral Arterial Disease
disopyramide,"Tachycardia, Ventricular"
docetaxel,"Breast Neoplasms|Prostatic Neoplasms|Carcinoma, Non-Small-Cell Lung|Squamous Cell Carcinoma of Head and Neck"
dolasetron,Nausea|Vomiting
dolutegravir,HIV
donepezil,Alzheimer Disease
dopamine,Headache|Depression|Tremor
dorzolamide,Glaucoma|Intraocular Pressure
dosulepin,Depression
doxapram,Respiratory Insufficiency
doxazosin,Hypertension|Prostatic Hyperplasia
doxepin,Depression|Anxiety
doxifluridine,Colorectal Neoplasms
doxofylline,Asthma
doxorubicin,"Breast Neoplasms|Leukemia, Myeloid, Acute|Wilms Tumor|Ovarian Neoplasms|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Hodgkin Disease|Multiple Myeloma|Urinary Bladder Neoplasms"
doxycycline,Periodontitis
dronedarone,Atrial Fibrillation
droperidol,Nausea|Vomiting
drospirenone,Contraceptive Agents
duloxetine,Depression|Myalgia|Peripheral Nervous System Diseases
dutasteride,Prostatic Hyperplasia
ecabet,Dry Eye Syndromes
econazole,"Tinea Pedis|Tinea cruris|Tinea|Tinea Versicolor|Candidiasis, Cutaneous"
edoxaban,Venous Thrombosis|Stroke|Pulmonary Embolism|Atrial Fibrillation
edoxudine,Simplexvirus
efavirenz,HIV
elvitegravir,HIV
emedastine,Conjunctivitis
empagliflozin,Diabetes Mellitus
emtricitabine,HIV
enalapril,"Hypertension|Heart Failure|Ventricular Dysfunction, Left"
enoxacin,Urinary Tract Infections|Gonorrhea
enoxolone,Common Cold
entecavir,Hepatitis B
enzalutamide,Prostatic Neoplasms
epinastine,Conjunctivitis
epinephrine,Asthma|Heart Arrest|Anaphylaxis
epirubicin,Breast Neoplasms
epitiostanol,Breast Neoplasms
eplerenone,Hypertension|Heart Failure
eptifibatide,Acute Coronary Syndrome|Percutaneous Coronary Intervention
erlotinib,"Carcinoma, Non-Small-Cell Lung|Pancreatic Neoplasms"
erythromycin,Respiratory Tract Infections|Pelvic Inflammatory Disease|Syphilis|Amebiasis|Chlamydia|Listeria|Diphtheria|Erythrasma
erythromycin-ethylsuccinate,Respiratory Tract Infections|Pelvic Inflammatory Disease|Syphilis|Amebiasis|Chlamydia|Listeria|Diphtheria|Erythrasma
escitalopram,Depression
esmolol,"Hypertension|Tachycardia, Ventricular"
estradiol,Contraceptive Agents
estramustine,Prostatic Neoplasms
estramustine-phosphate,Prostatic Neoplasms
estriol,Urinary Tract Infections|Menopause
estrone,Menopause
etacrynic-acid,"Hypertension|Heart Failure|Edema|Liver Cirrhosis|Nephrotic Syndrome|Kidney Failure, Chronic"
ethinyl-estradiol,Contraceptive Agents
etizolam,Anxiety|Sleep Initiation and Maintenance Disorders
etodolac,"Arthritis, Rheumatoid|Osteoarthritis"
etofenamate,Myalgia|Arthralgia
etofylline-clofibrate,Hyperlipidemias
etomidate,"Anesthetics, General"
etoposide,"Carcinoma, Non-Small-Cell Lung"
etoricoxib,"Arthritis, Rheumatoid|Spondylitis, Ankylosing|Osteoarthritis|Gout|Arthritis, Psoriatic"
etravirine,HIV
eugenol,Toothache
everolimus,"Breast Neoplasms|Carcinoma, Renal Cell|Astrocytoma|Tuberous Sclerosis"
exemestane,Breast Neoplasms
fadrozole,Breast Neoplasms
famciclovir,Herpes Zoster|Herpes Labialis
famotidine,Heartburn
faropenem,Urinary Tract Infections|Bronchitis|Pneumonia|Sinusitis
fasudil,"Vasospasm, Intracranial"
febuxostat,Hyperuricemia
felbamate,Epilepsy
felbinac,"Arthritis, Rheumatoid|Myalgia"
felodipine,Hypertension
fenoldopam,Hypertension
fentiazac,Myalgia|Arthralgia
fenticonazole,"Candidiasis, Vulvovaginal"
fexofenadine,"Rhinitis, Allergic|Urticaria"
fidaxomicin,Diarrhea
finasteride,Alopecia
fingolimod,Multiple Sclerosis
flavoxate,"Urinary Incontinence|Urethritis|Cystitis, Interstitial|Prostatitis"
flecainide,"Atrial Fibrillation|Tachycardia, Ventricular"
floxuridine,Colorectal Neoplasms
fluconazole,Meningitis
fludarabine-phosphate,"Leukemia, Lymphocytic, Chronic, B-Cell"
fludroxycortide,Psoriasis
flumazenil,Hypnotics and Sedatives
fluocinolone-acetonide,"Dermatitis, Seborrheic"
fluoxetine,Depression|Bipolar Disorder|Obsessive-Compulsive Disorder|Bulimia Nervosa|Panic Disorder
fluphenazine,Schizophrenia
fluspirilene,Schizophrenia
flutamide,Prostatic Neoplasms
flutrimazole,Mycoses
fluvoxamine,Obsessive-Compulsive Disorder
folic-acid,"Anemia, Megaloblastic"
fomocaine,"Anesthetics, Local"
formestane,Breast Neoplasms
formoterol,"Asthma|Pulmonary Disease, Chronic Obstructive|Bronchial Spasm"
fosfomycin,Urinary Tract Infections
fosinopril,Hypertension|Heart Failure
ftorafur,Colorectal Neoplasms
fulvestrant,Breast Neoplasms
furosemide,Hypertension|Heart Failure|Edema|Nephrotic Syndrome
fusidic-acid,Acne Vulgaris
gabapentin,Herpes Zoster|Seizures|Simplexvirus|Restless Legs Syndrome
gallopamil,"Hypertension|Arrhythmias, Cardiac"
ganciclovir,Cytomegalovirus
gefitinib,"Carcinoma, Non-Small-Cell Lung"
gemcitabine,"Breast Neoplasms|Carcinoma, Non-Small-Cell Lung|Ovarian Neoplasms|Pancreatic Neoplasms"
gemfibrozil,Hyperlipidemias|Coronary Disease
gemifloxacin,Bronchitis|Pneumonia
gestrinone,Endometriosis
glasdegib,"Leukemia, Myeloid, Acute"
gliclazide,Diabetes Mellitus
glimepiride,Diabetes Mellitus
glipizide,Diabetes Mellitus|Hyperglycemia
gliquidone,Diabetes Mellitus
goserelin-acetate,Breast Neoplasms|Prostatic Neoplasms|Endometriosis
granisetron,Nausea|Vomiting
grazoprevir,Hepatitis C
griseofulvin,Tinea Pedis|Tinea
guanaben-acetate,Hypertension
guanadrel,Hypertension
guanethidine,Hypertension
halofantrine,Malaria
haloperidol,Schizophrenia|Tourette Syndrome
hexachlorophene,Gram-Positive Bacterial Infections
histamine,"Rhinitis, Allergic"
homochlorcyclizine,"Rhinitis, Allergic"
homoharringtonine,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
hydrocortisone,"Psoriasis|Pruritus|Eczema|Dermatitis, Seborrheic"
hydroflumethiazide,"Hypertension|Heart Failure|Edema|Liver Cirrhosis|Nephrotic Syndrome|Kidney Failure, Chronic"
hydroxyurea,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Squamous Cell Carcinoma of Head and Neck"
ibrutinib,"Lymphoma, Mantle-Cell|Leukemia, Lymphocytic, Chronic, B-Cell|Waldenstrom Macroglobulinemia"
ibudilast,Asthma|Stroke
ibuprofen,"Arthritis, Rheumatoid|Headache|Fever|Toothache|Myalgia|Common Cold|Back Pain|Dysmenorrhea"
ibutilide,Atrial Fibrillation
idebenone,"Alzheimer Disease|Friedreich Ataxia|Optic Atrophy, Hereditary, Leber"
idelalisib,"Leukemia, Lymphocytic, Chronic, B-Cell"
ifosfamide,"Cystitis, Hemorrhagic"
iguratimod,"Arthritis, Rheumatoid"
imatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Mastocytosis, Systemic|Hypereosinophilic Syndrome|Pdgfra-Associated Chronic Eosinophilic Leukemia|Dermatofibrosarcoma|Gastrointestinal Stromal Tumors"
imipramine,Depression|Nocturnal Enuresis
imiquimod,"Keratosis, Actinic|Condylomata Acuminata|Carcinoma, Basal Cell"
indacaterol,"Pulmonary Disease, Chronic Obstructive"
indapamide,Hypertension|Heart Failure
indinavir,HIV
indobufen,Thrombosis
indoramin,Hypertension|Prostatic Hyperplasia
ingenol-mebutate,"Keratosis, Actinic"
ipratropium,"Bronchitis|Emphysema|Pulmonary Disease, Chronic Obstructive|Bronchial Spasm"
ipriflavone,Osteoporosis
irbesartan,Hypertension|Diabetic Nephropathies
irinotecan,Colorectal Neoplasms
isoconazole,Gram-Positive Bacterial Infections
isoniazid,Tuberculosis
isosorbide-mononitrate,Angina Pectoris|Coronary Artery Disease
isradipine,Hypertension
itopride,Nausea|Vomiting|Dyspepsia|Heartburn|Gastroparesis|Anorexia
itraconazole,Onychomycosis|Aspergillosis|Histoplasmosis|Blastomycosis
ivabradine,Angina Pectoris
ivacaftor,Cystic Fibrosis
ivermectin,Phthiraptera|Mites|Muscidae
ixabepilone,Breast Neoplasms
ixazomib,Multiple Myeloma
ixazomib-citrate,Multiple Myeloma
josamycin,Bronchitis
ketanserin,Hypertension
ketoconazole,"Dermatitis, Seborrheic"
ketoprofen,"Arthritis, Rheumatoid|Osteoarthritis"
ketotifen,Pruritus
labetalol,Hypertension
lacidipine,Hypertension
lacitol,Constipation
lamivudine,HIV|Hepatitis B|Acquired Immunodeficiency Syndrome
lamotrigine,Epilepsy|Bipolar Disorder
lapatinib,Breast Neoplasms
laropiprant,Cholesterol
lasalocid,Coccidiosis
latanoprost,Glaucoma|Ocular Hypertension
ledipasvir,Hepatitis C
leflunomide,"Arthritis, Rheumatoid"
lenalidomide,"Lymphoma, Mantle-Cell|Multiple Myeloma"
lenvatinib,Thyroid Neoplasms
lesinurad,Gout
letermovir,Cytomegalovirus
letrozole,Breast Neoplasms
levalbuterol,Bronchial Spasm
levetiracetam,Seizures
levobunolol,Glaucoma|Ocular Hypertension
levocabastine,Conjunctivitis
levocetirizine,"Rhinitis, Allergic|Urticaria"
levofloxacin,Urinary Tract Infections|Bronchitis|Pneumonia|Pyelonephritis|Sinusitis|Anthrax|Prostatitis|Plague
levonorgestrel,Contraceptive Agents
levosimendan,Heart Failure
lidamidine,Diarrhea
lidocaine,Hemorrhage|Pruritus|Eczema
lidoflazine,Coronary Artery Disease
linagliptin,Diabetes Mellitus
linezolid,Pneumonia
linsidomine,Erectile Dysfunction
liranaftate,Mycoses
lisinopril,Diabetes Mellitus|Hypertension|Heart Failure
lobenzarit,"Arthritis, Rheumatoid"
lodoxamide,"Conjunctivitis, Allergic"
lomerizine,Migraine Disorders
lomitapide,Hypercholesterolemia
loperamide,Diarrhea
lopinavir,HIV
loratadine,"Rhinitis, Allergic|Pruritus"
losartan,Hypertension|Hypertension|Diabetic Nephropathies
luliconazole,Tinea Pedis|Tinea cruris|Tinea
lumacaftor,Cystic Fibrosis
lurasidone,Schizophrenia
macitentan,Contraceptive Agents
malotilate,Liver Cirrhosis
mannitol-D,Intraocular Pressure|Constipation|Intracranial Pressure
maprotiline,Depression|Dysthymic Disorder
maraviroc,HIV
masitinib,Mastocytoma
masoprocol,"Keratosis, Actinic"
maxacalcitol,Hyperparathyroidism
mebendazole,Ascariasis|Ancylostomatoidea|Enterobius
mecamylamine,Hypertension
meclizine,Nausea|Vomiting|Motion Sickness
meclofenamic-acid,"Arthritis, Rheumatoid|Myalgia|Arthralgia"
medetomidine,Hypnotics and Sedatives
medroxyprogesterone-acetate,Contraceptive Agents
medrysone,Conjunctivitis|Scleritis
mefloquine,Malaria
meloxicam,"Arthritis, Rheumatoid|Osteoarthritis"
melperone,Psychotic Disorders
menadione,"Arthritis, Rheumatoid|Diarrhea|Headache|Colitis, Ulcerative|Varicose Veins"
mepacrine,Giardiasis
mephentermine,Hypotension
mepivacaine,"Anesthetics, Local"
mepyramine,Common Cold|Dysmenorrhea
mercaptopurine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
mestinon,Myasthenia Gravis
mestranol,Contraceptive Agents
metergoline,Anxiety|Hyperprolactinemia|Seasonal Affective Disorder
metformin,Diabetes Mellitus
methazolamide,Glaucoma|Intraocular Pressure
methimazole,Hyperthyroidism
methoxsalen,Psoriasis
methyldopa,Hypertension
methylnaltrexone,Constipation
methylprednisolone,"Spondylitis, Ankylosing|Osteoarthritis|Rhinitis, Allergic|Psoriasis|Colitis, Ulcerative|Arthritis, Psoriatic|Anemia|Multiple Sclerosis|Enteritis|Hypercalcemia|Thyroiditis|Dermatitis, Seborrheic|Mycoses|Bursitis"
metixene,Parkinson Disease
metoclopramide,Nausea|Vomiting|Gastroparesis
metolazone,Hypertension|Edema
metoprolol,Hypertension|Angina Pectoris|Myocardial Infarction
metronidazole,Rosacea
mianserin,Depression
miconazole,Pruritus
midodrine,Hypotension
midostaurin,"Leukemia, Myeloid, Acute"
miglitol,Diabetes Mellitus
miglustat,Gaucher Disease
milnacipran,Fibromyalgia
milrinone,Heart Failure
miltefosine,Leishmaniasis
minoxidil,Alopecia
mirodenafil,Erectile Dysfunction
mirtazapine,Depression
mitiglinide,Diabetes Mellitus
mitoxantrone,"Prostatic Neoplasms|Leukemia, Myeloid, Acute|Multiple Sclerosis"
mizolastine,"Rhinitis, Allergic|Urticaria"
moclobemide,Depression|Anxiety
molindone,Schizophrenia
molsidomine,Coronary Artery Disease
moxifloxacin,Bronchitis|Pneumonia|Intraabdominal Infections|Sinusitis
moxonidine,Hypertension
mozavaptan,Hyponatremia
nafamostat,Anticoagulants
naftifine,Tinea Pedis|Tinea cruris|Tinea
naftopidil,Prostatic Hyperplasia
naproxen,"Arthritis, Rheumatoid|Headache|Fever|Toothache|Myalgia|Common Cold|Back Pain"
nateglinide,Diabetes Mellitus
nebivolol,Hypertension
nelarabine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
nemonapride,Schizophrenia
neostigmine,Myasthenia Gravis
neratinib,Breast Neoplasms
netupitant,Nausea|Vomiting
nevirapine,HIV
niacin,Hypertriglyceridemia
nicardipine,"Hypertension|Angina, Stable"
nicergoline,Migraine Disorders|Raynaud Disease|Thrombosis|Atherosclerosis
niclosamide,Cestoda
nicotinamide,Acne Vulgaris
nicotine,Smoking Cessation
nilotinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
nimesulide,Osteoarthritis|Dysmenorrhea
nimodipine,Hemorrhage
nintedanib,Idiopathic Pulmonary Fibrosis
nitrendipine,Hypertension
nizofenone,Stroke
norethindrone,Endometriosis
norfloxacin,Urinary Tract Infections|Gonorrhea|Prostatitis
norgestrel,Contraceptive Agents
nortriptyline,Depression
noscapine,Antitussive Agents
novobiocin,Mastitis
ofloxacin,Diarrhea|Urinary Tract Infections|Respiratory Tract Infections|Fever|Intraabdominal Infections|Sinusitis
olanzapine,Bipolar Disorder|Schizophrenia
olaparib,Ovarian Neoplasms
olmesartan-medoxomil,Hypertension
olprinone,Heart Failure
omeprazole,Heartburn
ondansetron,Nausea|Vomiting
ornidazole,Protozoan Infections
orphenadrine,Myalgia
osimertinib,"Carcinoma, Non-Small-Cell Lung"
otilonium,Irritable Bowel Syndrome
oxaprozin,"Arthritis, Rheumatoid|Osteoarthritis"
oxatomide,"Rhinitis, Allergic"
oxfendazole,Cestoda
oxiconazole,Tinea Pedis|Tinea cruris|Tinea
oxybuprocaine,"Anesthetics, Local"
oxybutynin,Urinary Incontinence
ozagrel,Stroke
paclitaxel,"Breast Neoplasms|Carcinoma, Non-Small-Cell Lung|Ovarian Neoplasms"
palbociclib,Breast Neoplasms
palonosetron,Nausea|Vomiting
pantoprazole,Gastroesophageal Reflux|Zollinger-Ellison Syndrome
papaverine,Angina Pectoris|Pulmonary Embolism|Myocardial Infarction|Colitis
paracetamol,Fever
paricalcitol,"Hyperthyroidism|Renal Insufficiency, Chronic"
paroxetine,"Depression|Obsessive-Compulsive Disorder|Stress Disorders, Post-Traumatic|Panic Disorder|Phobia, Social"
pasireotide,Cushing Syndrome|Acromegaly
pazopanib,"Carcinoma, Renal Cell|Sarcoma"
pazufloxacin,Pneumonia|Peritonitis
pemirolast,Asthma
penciclovir,Herpes Labialis
penfluridol,Schizophrenia
penicillin-v-potassium,Otitis|Pneumonia|Cholera|Scarlet Fever
pentamidine,Pneumonia
perhexiline,Angina Pectoris
perindopril,Hypertension|Coronary Artery Disease|Myocardial Infarction
phenprocoumon,Pulmonary Embolism|Thrombosis
phensuximide,Seizures
phentolamine,Hypertension|Pheochromocytoma
phenylbutyrate,"Urea Cycle Disorders, Inborn"
phenylephrine,Hypotension|Hemorrhoids
phenytoin,Seizures
physostigmine,Glaucoma|Hypotension|Alzheimer Disease|Gastroparesis
picotamide,Thrombosis
pilocarpine,Hypertension|Glaucoma
pimavanserin,Parkinson Disease
pimecrolimus,Eczema
pimobendan,Heart Failure
pimozide,Tourette Syndrome
pinacidil,Hypertension
pinaverium,Irritable Bowel Syndrome
pindolol,Hypertension
pioglitazone,Diabetes Mellitus
piperidolate,Spasm
piracetam,Alzheimer Disease
pirenoxine,Cataract
piretanide,Hypertension|Edema
pirfenidone,Idiopathic Pulmonary Fibrosis
piribedil,Parkinson Disease|Dizziness
piroxicam,"Arthritis, Rheumatoid|Osteoarthritis"
pitavastatin,Hyperlipidemias
podophyllotoxin,Condylomata Acuminata
pomalidomide,Multiple Myeloma
ponatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
potassium-canrenoate,Edema
pralatrexate,"Lymphoma, T-Cell, Peripheral"
pramipexole,Parkinson Disease
pranlukast,Asthma|Bronchial Spasm
pravastatin,Hyperlipidemias|Myocardial Infarction|Hypercholesterolemia
praziquantel,Schistosomiasis
prazosin,Hypertension
