pert_iname,indication
avanafil,Erectile Dysfunction
azacitidine,Anemia
azacitidine,"Leukemia, Myelomonocytic, Chronic"
azathioprine,"Arthritis, Rheumatoid"
azelaic-acid,Rosacea
azelastine,Conjunctivitis
azithromycin,Pneumonia
azithromycin,Pelvic Inflammatory Disease
baicalin,Anxiety
balsalazide,"Colitis, Ulcerative"
bambuterol,Asthma
baricitinib,"Arthritis, Rheumatoid"
bazedoxifene,Osteoporosis
bazedoxifene,Menopause
beclomethasone-dipropionate,"Rhinitis, Allergic"
belinostat,"Lymphoma, T-Cell, Peripheral"
benazepril,Hypertension
bendamustine,"Leukemia, Lymphocytic, Chronic, B-Cell"
bendamustine,"Lymphoma, Non-Hodgkin"
bendroflumethiazide,Hypertension
benzbromarone,Gout
benzthiazide,Hypertension
benzthiazide,Edema
benzylpenicillin,Meningitis
benzylpenicillin,Endocarditis
benzylpenicillin,Pneumonia
benzylpenicillin,Syphilis
bepotastine,Conjunctivitis
betahistine,Meniere Disease
betrixaban,Venous Thrombosis
bexarotene,"Lymphoma, T-Cell, Cutaneous"
bezafibrate,Cholesterol
bicalutamide,Prostatic Neoplasms
bifemelane,Glaucoma
bifemelane,Alzheimer Disease
bifonazole,Tinea Pedis
bifonazole,Tinea cruris
bimatoprost,Glaucoma
bimatoprost,Intraocular Pressure
bimatoprost,Ocular Hypertension
binimetinib,Melanoma
biperiden,Parkinson Disease
bisoprolol,Hypertension
blonanserin,Schizophrenia
bopindolol,Hypertension
bopindolol,Coronary Artery Disease
bortezomib,"Lymphoma, Mantle-Cell"
bortezomib,Multiple Myeloma
bosentan,Pulmonary Arterial Hypertension
bosutinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
brexpiprazole,Depression
brexpiprazole,Schizophrenia
brivudine,Herpes Zoster
bromocriptine,Parkinson Disease
bromocriptine,Hyperprolactinemia
bromocriptine,Acromegaly
bucladesine,Skin Ulcer
budipine,Parkinson Disease
buflomedil,Peripheral Arterial Disease
bumetanide,Heart Failure
bumetanide,Edema
bupropion,Depression
busulfan,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
butoconazole,"Candidiasis, Vulvovaginal"
cabazitaxel,Prostatic Neoplasms
cabergoline,Hyperprolactinemia
cabozantinib,"Thyroid cancer, medullary"
caffeine,Fatigue
calcitriol,Osteoporosis
calcitriol,Hypocalcemia
calcitriol,Hypoparathyroidism
camostat-mesilate,Pancreatitis
canagliflozin,Diabetes Mellitus
candesartan,Hypertension
candesartan,Heart Failure
capecitabine,Breast Neoplasms
capecitabine,Colorectal Neoplasms
capsaicin,"Arthritis, Rheumatoid"
capsaicin,Myalgia
carbachol,Intraocular Pressure
carbamazepine,Seizures
carbimazole,Hyperthyroidism
carfilzomib,Multiple Myeloma
carglumic-acid,Hyperammonemia
cariprazine,Schizophrenia
carprofen,Osteoarthritis
carvedilol,Hypertension
carvedilol,Myocardial Infarction
cefdinir,Bronchitis
cefdinir,Pneumonia
cefdinir,Tonsillitis
cefdinir,Pharyngitis
cefdinir,Otitis
cefdinir,Sinusitis
cefepime,Urinary Tract Infections
cefepime,Pneumonia
cefepime,Intraabdominal Infections
cefoperazone,Gram-Negative Bacterial Infections
cefotetan,Urinary Tract Infections
cefotetan,Respiratory Tract Infections
cefotetan,Intraabdominal Infections
cefotetan,Chlamydia
cefozopran,Gram-Negative Bacterial Infections
cefozopran,Gram-Positive Bacterial Infections
celecoxib,"Arthritis, Rheumatoid"
celecoxib,"Spondylitis, Ankylosing"
celecoxib,Osteoarthritis
cevimeline,Sjogren's Syndrome
chlorambucil,"Leukemia, Lymphocytic, Chronic, B-Cell"
chlorambucil,Hodgkin Disease
chloramphenicol,Meningitis
chloramphenicol,Fever
chloramphenicol,Cholera
chloroquine,Malaria
chloroquine,Amebiasis
chloroxine,Diarrhea
chloroxine,Inflammatory Bowel Diseases
chloroxine,Giardiasis
chloroxine,Dandruff
chlorphenamine,"Rhinitis, Allergic"
chlorphenamine,Urticaria
chlorpromazine,Nausea
chlorpromazine,Schizophrenia
chlorpromazine,Vomiting
chlorpromazine,"Porphyria, Acute Intermittent"
chlorpromazine,Tetanus
chlorpropamide,Diabetes Mellitus
chlorprothixene,Bipolar Disorder
chlorprothixene,Schizophrenia
chlorthalidone,Hypertension
chlorthalidone,Heart Failure
chlorthalidone,Edema
chlorthalidone,Liver Cirrhosis
chlorthalidone,Nephrotic Syndrome
chlorthalidone,"Kidney Failure, Chronic"
cholic-acid,Peroxisomal Disorders
cholic-acid,Zellweger Syndrome
ciclesonide,"Rhinitis, Allergic"
cimetidine,Gastroesophageal Reflux
cimetidine,"Mastocytosis, Systemic"
cimetidine,Zollinger-Ellison Syndrome
cinoxacin,Urinary Tract Infections
ciprofloxacin,Otitis
citalopram,Depression
cladribine,"Leukemia, Hairy Cell"
clarithromycin,Bronchitis
clarithromycin,Pneumonia
clarithromycin,Tonsillitis
clarithromycin,Pharyngitis
clarithromycin,Otitis
clarithromycin,Sinusitis
clemizole,"Rhinitis, Allergic"
clenbuterol,Asthma
clenbuterol,"Pulmonary Disease, Chronic Obstructive"
climbazole,Dandruff
climbazole,Eczema
clindamycin,Respiratory Tract Infections
clindamycin,Pneumonia
clindamycin,Intraabdominal Infections
clinofibrate,Hypertriglyceridemia
clofarabine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
clofazimine,Leprosy
clofibrate,Hyperlipidemias
clofibrate,Cholesterol
clofibric-acid,Hyperlipidemias
clofoctol,Gram-Positive Bacterial Infections
clomethiazole,Parkinson Disease
clomethiazole,Hypnotics and Sedatives
clomifene,Infertility
clomipramine,Obsessive-Compulsive Disorder
clonidine,Hypertension
clonidine,Attention Deficit Disorder with Hyperactivity
closantel,Fasciola hepatica
clotrimazole,"Candidiasis, Vulvovaginal"
clozapine,Schizophrenia
cobicistat,HIV
cobimetinib,Melanoma
colchicine,Gout
colchicine,Fever
conivaptan,Hyponatremia
crizotinib,"Carcinoma, Non-Small-Cell Lung"
cromoglicic-acid,Asthma
cromoglicic-acid,Urticaria
cromoglicic-acid,"Colitis, Ulcerative"
cromoglicic-acid,Conjunctivitis
cyanocobalamin,Anemia
cyanocobalamin,Celiac Disease
cyclizine,Vertigo
cyclizine,Nausea
cyclizine,Vomiting
cyclizine,Motion Sickness
cyclobenzaprine,Spasm
cyproheptadine,"Rhinitis, Allergic"
cyproheptadine,Urticaria
cyproheptadine,Conjunctivitis
cyproheptadine,"Rhinitis, Vasomotor"
cyproterone-acetate,Prostatic Neoplasms
cytarabine,"Leukemia, Myeloid, Acute"
cytarabine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
cytarabine,"Leukemia, Lymphocytic, Chronic, B-Cell"
cytarabine,"Lymphoma, Non-Hodgkin"
dabigatran-etexilate,Venous Thrombosis
dabigatran-etexilate,Stroke
dabigatran-etexilate,Pulmonary Embolism
dabrafenib,Melanoma
dacarbazine,Melanoma
dacarbazine,Hodgkin Disease
dalfampridine,Multiple Sclerosis
danazol,Endometriosis
danazol,Angioedema
dantrolene,Spasm
dantrolene,Malignant Hyperthermia
dapagliflozin,Diabetes Mellitus
dapsone,Leprosy
dapsone,Dermatitis Herpetiformis
darifenacin,Urinary Incontinence
darunavir,HIV
dasabuvir,Hepatitis C
dasatinib,Precursor Cell Lymphoblastic Leukemia-Lymphoma
dasatinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
daunorubicin,"Leukemia, Myeloid, Acute"
daunorubicin,Precursor Cell Lymphoblastic Leukemia-Lymphoma
decitabine,Anemia
decitabine,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
deferasirox,Thalassemia
deferasirox,Iron Overload
deferiprone,Thalassemia
deferiprone,Iron Overload
dehydroepiandrosterone,Menopause
delivert,Sepsis
desmopressin-acetate,"Diabetes Insipidus, Neurogenic"
desmopressin-acetate,Nocturnal Enuresis
desvenlafaxine,Depression
dexamethasone,"Arthritis, Rheumatoid"
dexamethasone,Osteoarthritis
dexamethasone,"Rhinitis, Allergic"
dexamethasone,Psoriasis
dexamethasone,Dermatitis Herpetiformis
dexamethasone,"Colitis, Ulcerative"
dexamethasone,"Arthritis, Psoriatic"
dexamethasone,Anemia
dexamethasone,Multiple Sclerosis
dexamethasone,Enteritis
dexamethasone,Nephrotic Syndrome
dexamethasone,Hypercalcemia
dexamethasone-acetate,"Arthritis, Rheumatoid"
dexamethasone-acetate,Osteoarthritis
dexamethasone-acetate,"Rhinitis, Allergic"
dexamethasone-acetate,Psoriasis
dexamethasone-acetate,Dermatitis Herpetiformis
dexamethasone-acetate,"Colitis, Ulcerative"
dexamethasone-acetate,"Arthritis, Psoriatic"
dexamethasone-acetate,Anemia
dexamethasone-acetate,Multiple Sclerosis
dexamethasone-acetate,Enteritis
dexamethasone-acetate,Nephrotic Syndrome
dexamethasone-acetate,Hypercalcemia
dextromethorphan,Antitussive Agents
diacerein,Osteoarthritis
diazoxide,Hypoglycemia
diclofenac,"Arthritis, Rheumatoid"
diclofenac,Osteoarthritis
diclofenac,Migraine Disorders
dicloxacillin,Gram-Positive Bacterial Infections
dicoumarol,Venous Thrombosis
dienogest,Contraceptive Agents
dienogest,Endometriosis
diethylcarbamazine,Filariasis
diflunisal,"Arthritis, Rheumatoid"
diflunisal,Osteoarthritis
digoxin,Heart Failure
digoxin,Atrial Fibrillation
dihydroergocristine,Alzheimer Disease
dihydroergocristine,Cerebrovascular Disorders
dihydroergotamine,Migraine Disorders
dilazep,Coronary Disease
diltiazem,Hypertension
diltiazem,Angina Pectoris
dimethyl-fumarate,Multiple Sclerosis
dinoprost,"Labor, Induced"
diosmin,Venous Thrombosis
diosmin,Edema
diphenidol,Vertigo
diphenylpyraline,"Rhinitis, Allergic"
dipyridamole,Hypertension
dipyridamole,Coronary Artery Disease
dipyridamole,Peripheral Arterial Disease
disopyramide,"Tachycardia, Ventricular"
docetaxel,Breast Neoplasms
docetaxel,Prostatic Neoplasms
docetaxel,"Carcinoma, Non-Small-Cell Lung"
docetaxel,Squamous Cell Carcinoma of Head and Neck
dolasetron,Nausea
dolasetron,Vomiting
dolutegravir,HIV
donepezil,Alzheimer Disease
dopamine,Headache
dopamine,Depression
dopamine,Tremor
dorzolamide,Glaucoma
dorzolamide,Intraocular Pressure
dosulepin,Depression
doxapram,Respiratory Insufficiency
doxazosin,Hypertension
doxazosin,Prostatic Hyperplasia
doxepin,Depression
doxepin,Anxiety
doxifluridine,Colorectal Neoplasms
doxofylline,Asthma
doxorubicin,Breast Neoplasms
doxorubicin,"Leukemia, Myeloid, Acute"
doxorubicin,Wilms Tumor
doxorubicin,Ovarian Neoplasms
doxorubicin,Precursor Cell Lymphoblastic Leukemia-Lymphoma
doxorubicin,Hodgkin Disease
doxorubicin,Multiple Myeloma
doxorubicin,Urinary Bladder Neoplasms
doxycycline,Periodontitis
dronedarone,Atrial Fibrillation
droperidol,Nausea
droperidol,Vomiting
drospirenone,Contraceptive Agents
duloxetine,Depression
duloxetine,Myalgia
duloxetine,Peripheral Nervous System Diseases
dutasteride,Prostatic Hyperplasia
ecabet,Dry Eye Syndromes
econazole,Tinea Pedis
econazole,Tinea cruris
econazole,Tinea
econazole,Tinea Versicolor
econazole,"Candidiasis, Cutaneous"
edoxaban,Venous Thrombosis
edoxaban,Stroke
edoxaban,Pulmonary Embolism
edoxaban,Atrial Fibrillation
edoxudine,Simplexvirus
efavirenz,HIV
elvitegravir,HIV
emedastine,Conjunctivitis
empagliflozin,Diabetes Mellitus
emtricitabine,HIV
enalapril,Hypertension
enalapril,Heart Failure
enalapril,"Ventricular Dysfunction, Left"
enoxacin,Urinary Tract Infections
enoxacin,Gonorrhea
enoxolone,Common Cold
entecavir,Hepatitis B
enzalutamide,Prostatic Neoplasms
epinastine,Conjunctivitis
epinephrine,Asthma
epinephrine,Heart Arrest
epinephrine,Anaphylaxis
epirubicin,Breast Neoplasms
epitiostanol,Breast Neoplasms
eplerenone,Hypertension
eplerenone,Heart Failure
eptifibatide,Acute Coronary Syndrome
eptifibatide,Percutaneous Coronary Intervention
erlotinib,"Carcinoma, Non-Small-Cell Lung"
erlotinib,Pancreatic Neoplasms
erythromycin,Respiratory Tract Infections
erythromycin,Pelvic Inflammatory Disease
erythromycin,Syphilis
erythromycin,Amebiasis
erythromycin,Chlamydia
erythromycin,Listeria
erythromycin,Diphtheria
erythromycin,Erythrasma
erythromycin-ethylsuccinate,Respiratory Tract Infections
erythromycin-ethylsuccinate,Pelvic Inflammatory Disease
erythromycin-ethylsuccinate,Syphilis
erythromycin-ethylsuccinate,Amebiasis
erythromycin-ethylsuccinate,Chlamydia
erythromycin-ethylsuccinate,Listeria
erythromycin-ethylsuccinate,Diphtheria
erythromycin-ethylsuccinate,Erythrasma
escitalopram,Depression
esmolol,Hypertension
esmolol,"Tachycardia, Ventricular"
omeprazole,Heartburn
estradiol,Contraceptive Agents
estramustine,Prostatic Neoplasms
estramustine-phosphate,Prostatic Neoplasms
estriol,Urinary Tract Infections
estriol,Menopause
estrone,Menopause
etacrynic-acid,Hypertension
etacrynic-acid,Heart Failure
etacrynic-acid,Edema
etacrynic-acid,Liver Cirrhosis
etacrynic-acid,Nephrotic Syndrome
etacrynic-acid,"Kidney Failure, Chronic"
ethinyl-estradiol,Contraceptive Agents
etizolam,Anxiety
etizolam,Sleep Initiation and Maintenance Disorders
etodolac,"Arthritis, Rheumatoid"
etodolac,Osteoarthritis
etofenamate,Myalgia
etofenamate,Arthralgia
etofylline-clofibrate,Hyperlipidemias
etomidate,"Anesthetics, General"
etoposide,"Carcinoma, Non-Small-Cell Lung"
etoricoxib,"Arthritis, Rheumatoid"
etoricoxib,"Spondylitis, Ankylosing"
etoricoxib,Osteoarthritis
etoricoxib,Gout
etoricoxib,"Arthritis, Psoriatic"
etravirine,HIV
eugenol,Toothache
everolimus,Breast Neoplasms
everolimus,"Carcinoma, Renal Cell"
everolimus,Astrocytoma
everolimus,Tuberous Sclerosis
exemestane,Breast Neoplasms
fadrozole,Breast Neoplasms
famciclovir,Herpes Zoster
famciclovir,Herpes Labialis
famotidine,Heartburn
faropenem,Urinary Tract Infections
faropenem,Bronchitis
faropenem,Pneumonia
faropenem,Sinusitis
fasudil,"Vasospasm, Intracranial"
febuxostat,Hyperuricemia
felbamate,Epilepsy
felbinac,"Arthritis, Rheumatoid"
felbinac,Myalgia
felodipine,Hypertension
fenoldopam,Hypertension
fentiazac,Myalgia
fentiazac,Arthralgia
fenticonazole,"Candidiasis, Vulvovaginal"
fexofenadine,"Rhinitis, Allergic"
fexofenadine,Urticaria
fidaxomicin,Diarrhea
finasteride,Alopecia
fingolimod,Multiple Sclerosis
flavoxate,Urinary Incontinence
flavoxate,Urethritis
flavoxate,"Cystitis, Interstitial"
flavoxate,Prostatitis
flecainide,Atrial Fibrillation
flecainide,"Tachycardia, Ventricular"
floxuridine,Colorectal Neoplasms
fluconazole,Meningitis
fludarabine-phosphate,"Leukemia, Lymphocytic, Chronic, B-Cell"
fludroxycortide,Psoriasis
flumazenil,Hypnotics and Sedatives
fluocinolone-acetonide,"Dermatitis, Seborrheic"
fluoxetine,Depression
fluoxetine,Bipolar Disorder
fluoxetine,Obsessive-Compulsive Disorder
fluoxetine,Bulimia Nervosa
fluoxetine,Panic Disorder
fluphenazine,Schizophrenia
fluspirilene,Schizophrenia
flutamide,Prostatic Neoplasms
flutrimazole,Mycoses
fluvoxamine,Obsessive-Compulsive Disorder
folic-acid,"Anemia, Megaloblastic"
fomocaine,"Anesthetics, Local"
formestane,Breast Neoplasms
formoterol,Asthma
formoterol,"Pulmonary Disease, Chronic Obstructive"
formoterol,Bronchial Spasm
fosfomycin,Urinary Tract Infections
fosinopril,Hypertension
fosinopril,Heart Failure
ftorafur,Colorectal Neoplasms
fulvestrant,Breast Neoplasms
furosemide,Hypertension
furosemide,Heart Failure
furosemide,Edema
furosemide,Nephrotic Syndrome
fusidic-acid,Acne Vulgaris
gabapentin,Herpes Zoster
gabapentin,Seizures
gabapentin,Simplexvirus
gabapentin,Restless Legs Syndrome
gallopamil,Hypertension
gallopamil,"Arrhythmias, Cardiac"
ganciclovir,Cytomegalovirus
gefitinib,"Carcinoma, Non-Small-Cell Lung"
gemcitabine,Breast Neoplasms
gemcitabine,"Carcinoma, Non-Small-Cell Lung"
gemcitabine,Ovarian Neoplasms
gemcitabine,Pancreatic Neoplasms
gemfibrozil,Hyperlipidemias
gemfibrozil,Coronary Disease
gemifloxacin,Bronchitis
gemifloxacin,Pneumonia
gestrinone,Endometriosis
glasdegib,"Leukemia, Myeloid, Acute"
gliclazide,Diabetes Mellitus
glimepiride,Diabetes Mellitus
glipizide,Diabetes Mellitus
glipizide,Hyperglycemia
gliquidone,Diabetes Mellitus
goserelin-acetate,Breast Neoplasms
goserelin-acetate,Prostatic Neoplasms
goserelin-acetate,Endometriosis
granisetron,Nausea
granisetron,Vomiting
grazoprevir,Hepatitis C
griseofulvin,Tinea Pedis
griseofulvin,Tinea
guanaben-acetate,Hypertension
guanadrel,Hypertension
guanethidine,Hypertension
halofantrine,Malaria
haloperidol,Schizophrenia
haloperidol,Tourette Syndrome
hexachlorophene,Gram-Positive Bacterial Infections
histamine,"Rhinitis, Allergic"
homochlorcyclizine,"Rhinitis, Allergic"
homoharringtonine,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
hydrocortisone,Psoriasis
hydrocortisone,Pruritus
hydrocortisone,Eczema
hydrocortisone,"Dermatitis, Seborrheic"
hydroflumethiazide,Hypertension
hydroflumethiazide,Heart Failure
hydroflumethiazide,Edema
hydroflumethiazide,Liver Cirrhosis
hydroflumethiazide,Nephrotic Syndrome
hydroflumethiazide,"Kidney Failure, Chronic"
hydroxyurea,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
hydroxyurea,Squamous Cell Carcinoma of Head and Neck
ibrutinib,"Lymphoma, Mantle-Cell"
ibrutinib,"Leukemia, Lymphocytic, Chronic, B-Cell"
ibrutinib,Waldenstrom Macroglobulinemia
ibudilast,Asthma
ibudilast,Stroke
ibuprofen,"Arthritis, Rheumatoid"
ibuprofen,Headache
ibuprofen,Fever
ibuprofen,Toothache
ibuprofen,Myalgia
ibuprofen,Common Cold
ibuprofen,Back Pain
ibuprofen,Dysmenorrhea
ibutilide,Atrial Fibrillation
idebenone,Alzheimer Disease
idebenone,Friedreich Ataxia
idebenone,"Optic Atrophy, Hereditary, Leber"
idelalisib,"Leukemia, Lymphocytic, Chronic, B-Cell"
ifosfamide,"Cystitis, Hemorrhagic"
iguratimod,"Arthritis, Rheumatoid"
imatinib,Precursor Cell Lymphoblastic Leukemia-Lymphoma
imatinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
imatinib,"Mastocytosis, Systemic"
imatinib,Hypereosinophilic Syndrome
imatinib,Pdgfra-Associated Chronic Eosinophilic Leukemia
imatinib,Dermatofibrosarcoma
imatinib,Gastrointestinal Stromal Tumors
imipramine,Depression
imipramine,Nocturnal Enuresis
imiquimod,"Keratosis, Actinic"
imiquimod,Condylomata Acuminata
imiquimod,"Carcinoma, Basal Cell"
indacaterol,"Pulmonary Disease, Chronic Obstructive"
indapamide,Hypertension
indapamide,Heart Failure
indinavir,HIV
indobufen,Thrombosis
indoramin,Hypertension
indoramin,Prostatic Hyperplasia
ingenol-mebutate,"Keratosis, Actinic"
ipratropium,Bronchitis
ipratropium,Emphysema
ipratropium,"Pulmonary Disease, Chronic Obstructive"
ipratropium,Bronchial Spasm
ipriflavone,Osteoporosis
irbesartan,Hypertension
irbesartan,Diabetic Nephropathies
irinotecan,Colorectal Neoplasms
isoconazole,Gram-Positive Bacterial Infections
isoniazid,Tuberculosis
isosorbide-mononitrate,Angina Pectoris
isosorbide-mononitrate,Coronary Artery Disease
isradipine,Hypertension
itopride,Nausea
itopride,Vomiting
itopride,Dyspepsia
itopride,Heartburn
itopride,Gastroparesis
itopride,Anorexia
itraconazole,Onychomycosis
itraconazole,Aspergillosis
itraconazole,Histoplasmosis
itraconazole,Blastomycosis
ivabradine,Angina Pectoris
ivacaftor,Cystic Fibrosis
ivermectin,Phthiraptera
ivermectin,Mites
ivermectin,Muscidae
ixabepilone,Breast Neoplasms
ixazomib,Multiple Myeloma
ixazomib-citrate,Multiple Myeloma
josamycin,Bronchitis
ketanserin,Hypertension
ketoconazole,"Dermatitis, Seborrheic"
ketoprofen,"Arthritis, Rheumatoid"
ketoprofen,Osteoarthritis
ketotifen,Pruritus
L-citrulline,Hypertension
L-citrulline,Erectile Dysfunction
labetalol,Hypertension
lacidipine,Hypertension
lacitol,Constipation
lamivudine,HIV
lamivudine,Hepatitis B
lamivudine,Acquired Immunodeficiency Syndrome
lamotrigine,Epilepsy
lamotrigine,Bipolar Disorder
lapatinib,Breast Neoplasms
laropiprant,Cholesterol
lasalocid,Coccidiosis
latanoprost,Glaucoma
latanoprost,Ocular Hypertension
ledipasvir,Hepatitis C
leflunomide,"Arthritis, Rheumatoid"
lenalidomide,"Lymphoma, Mantle-Cell"
lenalidomide,Multiple Myeloma
lenvatinib,Thyroid Neoplasms
lesinurad,Gout
letermovir,Cytomegalovirus
letrozole,Breast Neoplasms
levalbuterol,Bronchial Spasm
levetiracetam,Seizures
levobunolol,Glaucoma
levobunolol,Ocular Hypertension
levocabastine,Conjunctivitis
levocetirizine,"Rhinitis, Allergic"
levocetirizine,Urticaria
levofloxacin,Urinary Tract Infections
levofloxacin,Bronchitis
levofloxacin,Pneumonia
levofloxacin,Pyelonephritis
levofloxacin,Sinusitis
levofloxacin,Anthrax
levofloxacin,Prostatitis
levofloxacin,Plague
levonorgestrel,Contraceptive Agents
levosimendan,Heart Failure
lidamidine,Diarrhea
lidocaine,Hemorrhage
lidocaine,Pruritus
lidocaine,Eczema
lidoflazine,Coronary Artery Disease
linagliptin,Diabetes Mellitus
linezolid,Pneumonia
linsidomine,Erectile Dysfunction
liranaftate,Mycoses
lisinopril,Diabetes Mellitus
lisinopril,Hypertension
lisinopril,Heart Failure
lobenzarit,"Arthritis, Rheumatoid"
lodoxamide,"Conjunctivitis, Allergic"
lomerizine,Migraine Disorders
lomitapide,Hypercholesterolemia
loperamide,Diarrhea
lopinavir,HIV
loratadine,"Rhinitis, Allergic"
loratadine,Pruritus
losartan,Hypertension
losartan,Hypertension
losartan,Diabetic Nephropathies
luliconazole,Tinea Pedis
luliconazole,Tinea cruris
luliconazole,Tinea
lumacaftor,Cystic Fibrosis
lurasidone,Schizophrenia
macitentan,Contraceptive Agents
malotilate,Liver Cirrhosis
mannitol-D,Intraocular Pressure
mannitol-D,Constipation
mannitol-D,Intracranial Pressure
maprotiline,Depression
maprotiline,Dysthymic Disorder
maraviroc,HIV
masitinib,Mastocytoma
masoprocol,"Keratosis, Actinic"
maxacalcitol,Hyperparathyroidism
mebendazole,Ascariasis
mebendazole,Ancylostomatoidea
mebendazole,Enterobius
mecamylamine,Hypertension
meclizine,Nausea
meclizine,Vomiting
meclizine,Motion Sickness
meclofenamic-acid,"Arthritis, Rheumatoid"
meclofenamic-acid,Myalgia
meclofenamic-acid,Arthralgia
medetomidine,Hypnotics and Sedatives
medroxyprogesterone-acetate,Contraceptive Agents
medrysone,Conjunctivitis
medrysone,Scleritis
mefloquine,Malaria
meloxicam,"Arthritis, Rheumatoid"
meloxicam,Osteoarthritis
melperone,Psychotic Disorders
menadione,"Arthritis, Rheumatoid"
menadione,Diarrhea
menadione,Headache
menadione,"Colitis, Ulcerative"
menadione,Varicose Veins
mepacrine,Giardiasis
mephentermine,Hypotension
mepivacaine,"Anesthetics, Local"
mepyramine,Common Cold
mepyramine,Dysmenorrhea
mercaptopurine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
mestinon,Myasthenia Gravis
mestranol,Contraceptive Agents
metergoline,Anxiety
metergoline,Hyperprolactinemia
metergoline,Seasonal Affective Disorder
metformin,Diabetes Mellitus
methazolamide,Glaucoma
methazolamide,Intraocular Pressure
methimazole,Hyperthyroidism
methoxsalen,Psoriasis
methyldopa,Hypertension
methylnaltrexone,Constipation
methylprednisolone,"Spondylitis, Ankylosing"
methylprednisolone,Osteoarthritis
methylprednisolone,"Rhinitis, Allergic"
methylprednisolone,Psoriasis
methylprednisolone,"Colitis, Ulcerative"
methylprednisolone,"Arthritis, Psoriatic"
methylprednisolone,Anemia
methylprednisolone,Multiple Sclerosis
methylprednisolone,Enteritis
methylprednisolone,Hypercalcemia
methylprednisolone,Thyroiditis
methylprednisolone,"Dermatitis, Seborrheic"
methylprednisolone,Mycoses
methylprednisolone,Bursitis
metixene,Parkinson Disease
metoclopramide,Nausea
metoclopramide,Vomiting
metoclopramide,Gastroparesis
metolazone,Hypertension
metolazone,Edema
metoprolol,Hypertension
metoprolol,Angina Pectoris
metoprolol,Myocardial Infarction
metronidazole,Rosacea
mianserin,Depression
miconazole,Pruritus
midodrine,Hypotension
midostaurin,"Leukemia, Myeloid, Acute"
miglitol,Diabetes Mellitus
miglustat,Gaucher Disease
