pert_iname,indication
MK-1775,"Adenocarcinoma|Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Neoplasms|Recurrence|Carcinoma|Carcinoma, Squamous Cell|Carcinoma, Verrucous|Squamous Cell Carcinoma of Head and Neck|Uterine Cervical Neoplasms|Vaginal Neoplasms|Carcinoma, Endometrioid|Uterine Neoplasms|Genital Neoplasms, Female|Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Glioblastoma|Astrocytoma|Gliosarcoma|Diffuse Intrinsic Pontine Glioma|Glioma|Esophageal Squamous Cell Carcinoma|Esophageal Neoplasms|Neoplasms, Second Primary|Lymphoma|Multiple Myeloma|Neoplasms, Plasma Cell|Breast Neoplasms|Triple Negative Breast Neoplasms|Carcinoma, Renal Cell|Small Cell Lung Carcinoma|Peritoneal Neoplasms|Brenner Tumor|Fallopian Tube Neoplasms|Carcinosarcoma|Cystadenocarcinoma|Cystadenocarcinoma, Serous|Cystadenocarcinoma, Mucinous|Adenocarcinoma, Papillary|Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Preleukemia|Leukemia, Myelomonocytic, Chronic|Leukemia, Myelomonocytic, Juvenile|Myelodysplastic Syndromes|Myelodysplastic-Myeloproliferative Diseases|Myeloproliferative Disorders|Syndrome|Mixed Tumor, Mullerian|Primary Myelofibrosis|Neuroblastoma|Rhabdomyosarcoma|Medulloblastoma|Nervous System Neoplasms|Central Nervous System Neoplasms|Pinealoma|Neoplasms, Germ Cell and Embryonal|Ganglioneuroblastoma|Head and Neck Neoplasms|Laryngeal Neoplasms|Melanoma|Colorectal Neoplasms|Endometrial Neoplasms|Prostatic Neoplasms|Pancreatic Neoplasms|Stomach Neoplasms|Urinary Bladder Neoplasms|Rectal Neoplasms|Colonic Neoplasms|Thyroid Neoplasms|Carcinoma, Hepatocellular|Skin Neoplasms|Kidney Neoplasms|Thyroid Diseases|Congenital Abnormalities|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Blast Crisis"
NMS-1286937,"Leukemia|Leukemia, Myelomonocytic, Acute|Leukemia, Myelomonocytic, Chronic|Leukemia, Myelomonocytic, Juvenile|Lung Neoplasms|Small Cell Lung Carcinoma|Colorectal Neoplasms|Prostatic Neoplasms|Adenocarcinoma|Pancreatic Neoplasms|Carcinoma|Breast Neoplasms|Triple Negative Breast Neoplasms|Inflammatory Breast Neoplasms|Leukemia, Myeloid|Leukemia, Myeloid, Acute"
NVP-BEZ235,"Infections|Communicable Diseases|Respiratory Tract Infections|COVID-19|Neoplasms|Breast Neoplasms|Endometrial Neoplasms|Carcinoma, Renal Cell|Leukemia|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myeloid|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Leukemia, Myeloid, Acute|Prostatic Neoplasms|Perivascular Epithelioid Cell Neoplasms|Carcinoma|Carcinoma, Transitional Cell|Kidney Neoplasms|Hamartoma Syndrome, Multiple|Glioblastoma|Gliosarcoma|Neuroendocrine Tumors|Adenoma, Islet Cell"
NVP-BGJ398,"Glioblastoma|Recurrence|Neoplasms|Hematologic Neoplasms|Uterine Cervical Neoplasms|Carcinoma, Transitional Cell|Carcinoma|Gastrointestinal Stromal Tumors|Urinary Bladder Neoplasms|Cholangiocarcinoma|Glioma|Central Nervous System Neoplasms|Neoplasms, Connective Tissue|Osteomalacia|Papillomavirus Infections|Carcinoma, Squamous Cell|Squamous Cell Carcinoma of Head and Neck|Nasopharyngeal Carcinoma|Adenocarcinoma|Stomach Neoplasms|Esophageal Neoplasms|Melanoma|Achondroplasia|Breast Neoplasms|Pancreatic Neoplasms|Rectal Neoplasms|Colonic Neoplasms"
O6-benzylguanine,"Glioblastoma|Gliosarcoma|Glioma|Nervous System Neoplasms|Central Nervous System Neoplasms|Neuroectodermal Tumors|Neuroectodermal Tumors, Primitive|Craniopharyngioma|Adamantinoma|Choroid Plexus Neoplasms|Pinealoma|Recurrence|Neoplasms|Brain Neoplasms|Astrocytoma|Ependymoma|Meningioma|Medulloblastoma|Oligodendroglioma|Lymphoma|Lymphoma, T-Cell|Lymphoma, Non-Hodgkin|Lymphoma, T-Cell, Cutaneous|Multiple Myeloma|Neoplasms, Plasma Cell|Plasmacytoma|Sarcoma|Melanoma|Colorectal Neoplasms|Eye Neoplasms|Mycoses|Mycosis Fungoides|Sezary Syndrome|Syndrome|HIV Infections|Acquired Immunodeficiency Syndrome|Hodgkin Disease"
PCI-24781,"Carcinoma|Lung Neoplasms|Neoplasms|Melanoma|Carcinoma, Squamous Cell|Squamous Cell Carcinoma of Head and Neck|Skin Neoplasms|Carcinoma, Non-Small-Cell Lung|Ureteral Neoplasms|Breast Neoplasms|Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Fallopian Tube Neoplasms|Peritoneal Neoplasms|Carcinoma, Endometrioid|Recurrence|Lymphoma|Lymphoma, Non-Hodgkin|Lymphoma, B-Cell|Lymphoma, Mantle-Cell|Lymphoma, Large B-Cell, Diffuse|Lymphoma, Follicular|Carcinoma, Renal Cell|Multiple Myeloma|Hodgkin Disease|Sarcoma|Leukemia, Lymphocytic, Chronic, B-Cell|Leukemia, Lymphoid|Neoplasms by Site"
VT-464,"Prostatic Neoplasms|Triple Negative Breast Neoplasms|Breast Neoplasms|Breast Neoplasms, Male"
acebutolol,"Hemangioma|Hemangioma, Capillary|Port-Wine Stain"
acenocoumarol,"Pulmonary Embolism|Thrombosis|Embolism|Thromboembolism|Venous Thromboembolism|Venous Thrombosis|Atrial Fibrillation|Melanoma|Intracranial Hemorrhage, Hypertensive|Hemorrhage|Hematoma|Subarachnoid Hemorrhage|Hematoma, Subdural|Intracranial Hemorrhages|Cerebrovascular Disorders|Cerebral Small Vessel Diseases|Atrial Flutter"
acetazolamide,"Altitude Sickness|Chronic Pain|Cerebrospinal Fluid Leak|Sleep Apnea, Obstructive|Sleep Apnea Syndromes|Diabetes Mellitus|Diabetes Mellitus, Type 1|Melanoma|Prostatic Neoplasms|Pain, Postoperative|Lung Diseases, Obstructive|Pulmonary Disease, Chronic Obstructive|Orthostatic Intolerance|Tachycardia|Congenital Disorders of Glycosylation|Hydrocephalus|Hydrocephalus, Normal Pressure|Status Epilepticus|Landau-Kleffner Syndrome|Syndrome|Intracranial Hypertension|Pseudotumor Cerebri|Hypertension|Polycythemia|Glaucoma|Hypotension, Orthostatic|Pure Autonomic Failure|Hypotension|Respiratory Aspiration|Hypertension, Pulmonary|Sleep Wake Disorders|Parasomnias|Disease|Lung Diseases|Hypoventilation|Obesity Hypoventilation Syndrome|Alkalosis|Chronic Disease|Neurocysticercosis|Cysticercosis|Taeniasis|Heart Failure|Macular Edema|Retinal Vein Occlusion|Edema|Glioma|Neural Tube Defects|Spina Bifida Occulta|Sleep Apnea, Central|Apnea|Multiple Sclerosis|Sclerosis|Lung Neoplasms|Small Cell Lung Carcinoma|Schizophrenia|Mood Disorders|Psychotic Disorders|Kidney Diseases|Retinal Artery Occlusion|Hypoxia|Andersen Syndrome|Macular Degeneration|Diabetic Retinopathy|Ocular Hypertension|Subarachnoid Hemorrhage|Stroke|Hemorrhage"
acipimox,"Diabetes Mellitus|Diabetes Mellitus, Type 2|Heart Failure|Obesity|Insulin Resistance|Hypertriglyceridemia|Obesity, Abdominal|Diabetes Mellitus, Type 1|Metabolic Syndrome|Syndrome|Bulimia|Feeding and Eating Disorders|Bulimia Nervosa"
acyclovir,"Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Multiple Sclerosis|Multiple Sclerosis, Chronic Progressive|Sclerosis|Herpes Labialis|Glioma|Herpes Simplex|Infections|Chickenpox|Communicable Diseases|Acquired Immunodeficiency Syndrome|HIV Infections|Cytomegalovirus Infections|Herpes Zoster|Prostatic Neoplasms|Herpes Genitalis|Coinfection|Virus Diseases|Varicella Zoster Virus Infection|Kidney Diseases|Critical Illness|Ulcer|Sexually Transmitted Diseases|Vertigo|Meniere Disease|Neutropenia|Neonatal Sepsis|Premature Birth|Lymphoma|Lymphoma, Non-Hodgkin|Lymphoma, Large B-Cell, Diffuse|Carcinoma|Nasopharyngeal Carcinoma|Leukemia|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Lymphoid|Philadelphia Chromosome"
adapalene,Acne Vulgaris|Molluscum Contagiosum|Skin Manifestations|Skin Diseases|Purpura|Warts|Foot Diseases|Atrophy|Inflammation
adenosine,"Atrial Fibrillation|Myocardial Infarction|Myocardial Ischemia|Infarction|Ischemia|Alzheimer Disease|Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Angina Pectoris|Heart Failure|Neoplasms|Carcinoma|Pancreatic Neoplasms|Carcinoma, Renal Cell|COVID-19|Respiratory Distress Syndrome|Respiratory Distress Syndrome, Newborn|Acute Lung Injury|Vascular Diseases|Tachycardia|Tachycardia, Ventricular|Tachycardia, Supraventricular|Breast Neoplasms|Triple Negative Breast Neoplasms|Liver Diseases|Coronary Artery Disease|Carcinoma, Hepatocellular|Neuralgia|Heart Diseases|ST Elevation Myocardial Infarction|Angina, Stable|Coronary Disease|Hyperemia|Rhinitis|Rhinitis, Allergic|Atherosclerosis|Inflammation|Takotsubo Cardiomyopathy|Syndrome|Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Coronary Stenosis|Renal Insufficiency|Leukemia, Lymphoid|Leukemia, Lymphocytic, Chronic, B-Cell|Acute Coronary Syndrome|Cardiomyopathies|Myelodysplastic Syndromes|Pathologic Processes|Glaucoma|Glaucoma, Open-Angle|Ocular Hypertension|Hypertension|Bradycardia|Atrioventricular Block|Reperfusion Injury|Heart Defects, Congenital|Myocardial Reperfusion Injury|Congenital Abnormalities"
afatinib,"Carcinoma, Non-Small-Cell Lung|Diarrhea|Carcinoma|Carcinoma, Squamous Cell|Squamous Cell Carcinoma of Head and Neck|Recurrence|Lung Neoplasms|Esophageal Neoplasms|Esophageal Squamous Cell Carcinoma|Lymphoma|Neoplasms|Multiple Myeloma|Neoplasms, Plasma Cell|Neoplasms, Squamous Cell|Head and Neck Neoplasms|Pancreatic Neoplasms|Carcinoma, Ductal|Rhabdomyosarcoma|Neuroectodermal Tumors|Neuroectodermal Tumors, Primitive|Breast Neoplasms|Neoplasm Metastasis|Brain Neoplasms|Sarcoma|Prostatic Neoplasms|Lymphoma, Non-Hodgkin|Adenocarcinoma|Adenocarcinoma of Lung|Gallbladder Neoplasms|Urologic Neoplasms|Chordoma|Melanoma|Glioma|Colorectal Neoplasms|Endometrial Neoplasms|Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Stomach Neoplasms|Urinary Bladder Neoplasms|Rectal Neoplasms|Colonic Neoplasms|Thyroid Neoplasms|Uterine Neoplasms|Carcinoma, Hepatocellular|Skin Neoplasms|Carcinoma, Renal Cell|Kidney Neoplasms|Thyroid Diseases|Thrombocytosis|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Lymphoid|Leukemia, Lymphocytic, Chronic, B-Cell|Hodgkin Disease|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Hematologic Neoplasms|Leukemia, Myelomonocytic, Chronic|Leukemia, Myelomonocytic, Juvenile|Leukemia, Myeloid, Chronic-Phase|Leukemia, Myeloid, Accelerated Phase|Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative|Blast Crisis|Myelodysplastic Syndromes|Primary Myelofibrosis|Myeloproliferative Disorders|Myelodysplastic-Myeloproliferative Diseases|Syndrome|Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Preleukemia|Glioblastoma|Disease Progression|Urethral Neoplasms|Ureteral Neoplasms|Liver Diseases|Inflammatory Breast Neoplasms|Meningeal Neoplasms|Renal Insufficiency|Cystadenocarcinoma, Serous|Neoplasms, Second Primary|Small Cell Lung Carcinoma|Triple Negative Breast Neoplasms|Gastrointestinal Neoplasms|Digestive System Neoplasms|Endometriosis"
agomelatine,"Disease|Compulsive Personality Disorder|Obsessive-Compulsive Disorder|Depressive Disorder|Depressive Disorder, Treatment-Resistant|Renal Insufficiency|Liver Diseases|Depression|Depressive Disorder, Major|Psychophysiologic Disorders|Schizophrenia|Anxiety Disorders|Somatoform Disorders"
albendazole,"Hookworm Infections|Ancylostomiasis|Trichuriasis|Ascariasis|Malnutrition|Onchocerciasis|Cholera|Typhoid Fever|Malaria|Filariasis|Elephantiasis, Filarial|Elephantiasis|Helminthiasis|Infections|Communicable Diseases|COVID-19|Disease Progression|Intestinal Volvulus|Cysticercosis|Taeniasis|Neurocysticercosis|Seizures|Epilepsy|Acquired Immunodeficiency Syndrome|HIV Infections|Scabies|Trachoma|Strongyloidiasis|Toxocariasis|Tinea Capitis"
allopurinol,"Gout|Prehypertension|Hypertension|Hypersensitivity|Heart Failure|Liver Cirrhosis|Fibrosis|Peritonitis|Hepatic Encephalopathy|Brain Diseases|Ascites|Angina Pectoris|Heart Diseases|Heart Defects, Congenital|Hyperuricemia|Mania|Inflammation|Nephrolithiasis|Diabetes Mellitus|Obesity|Diabetes Mellitus, Type 2|Prediabetic State|Kidney Diseases|Renal Insufficiency, Chronic|Brain Injuries|Hypoxia-Ischemia, Brain|Hypoxia, Brain|Infant, Newborn, Diseases|Ischemia|Hypoxia|Metabolic Syndrome|Syndrome|Myelodysplastic Syndromes|Myeloproliferative Disorders|Lymphoma|Leukemia|Neoplasms|Multiple Myeloma|Neoplasms, Plasma Cell|Preleukemia|Plasmacytoma|Lymphoma, Non-Hodgkin|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Lymphoid|Leishmaniasis|Leishmaniasis, Cutaneous|Acute Kidney Injury|Wounds and Injuries|Leukemia, Lymphocytic, Chronic, B-Cell|Colitis|Colitis, Ulcerative|Ulcer|Burkitt Lymphoma|Diabetic Neuropathies|Fetal Hypoxia|Reperfusion Injury|Tumor Lysis Syndrome|Cardiovascular Diseases|Cardiomyopathies|Cardiomyopathy, Dilated|Essential Hypertension|Hand-Foot Syndrome|Myelodysplastic-Myeloproliferative Diseases|Graft vs Host Disease|Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Fallopian Tube Neoplasms|Kidney Calculi|Calculi|Ankle Injuries|Overweight|Lung Neoplasms|Small Cell Lung Carcinoma|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Arthritis, Gouty|Sarcoma|Chondrosarcoma|Sarcoma, Alveolar Soft Part|Arthritis|Intestinal Diseases|Inflammatory Bowel Diseases|Purine-Pyrimidine Metabolism, Inborn Errors|Autistic Disorder|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Blast Crisis|Recurrence|Tuberculosis|Lymphoma, Mantle-Cell|Leukemia, Prolymphocytic|Waldenstrom Macroglobulinemia|Leukemia, Plasma Cell|Hematologic Diseases|Philadelphia Chromosome|Apnea|Sleep Apnea Syndromes|Sleep Apnea, Obstructive|Hematologic Neoplasms|Diabetic Nephropathies|Coronary Artery Disease|Myocardial Ischemia|Coronary Disease"
almitrine,COVID-19|Pneumonia|Respiratory Insufficiency
alvimopan,Urinary Bladder Neoplasms|Ileus|Intestinal Diseases|Gastrointestinal Diseases|Constipation|Cancer Pain|Opioid-Induced Constipation|Fallopian Tube Neoplasms
alvocidib,"Preleukemia|Myelodysplastic Syndromes|Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Lymphoma|Leukemia, Lymphoid|Leukemia, Lymphocytic, Chronic, B-Cell|Leukemia, Prolymphocytic|Neoplasms|Lymphoma, Follicular|Lymphoma, Mantle-Cell|Lymphoma, B-Cell, Marginal Zone|Lymphoma, Large B-Cell, Diffuse|Lymphoma, Non-Hodgkin|Waldenstrom Macroglobulinemia|Multiple Myeloma|Recurrence|Breast Neoplasms|Breast Neoplasms, Male|Neoplasms, Plasma Cell|Pancreatic Neoplasms|Lymphoma, B-Cell|Leukemia, Hairy Cell|Lymphoproliferative Disorders|Prostatic Neoplasms|Melanoma|Hematologic Neoplasms|Sarcoma|Glioma|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Neuroblastoma|Astrocytoma|Osteosarcoma|Rhabdomyosarcoma|Ependymoma|Sarcoma, Ewing|Medulloblastoma|Neuroectodermal Tumors|Neuroectodermal Tumors, Primitive|Wilms Tumor|Retinoblastoma|Neuroectodermal Tumors, Primitive, Peripheral|Mesothelioma|Mesothelioma, Malignant|Carcinoma, Non-Small-Cell Lung|Esophageal Neoplasms|Carcinoma, Small Cell|Carcinoma|Gastrointestinal Stromal Tumors|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Blast Crisis|Leukemia, Monocytic, Acute|Leukemia, Myelomonocytic, Acute|Leukemia, Megakaryoblastic, Acute|Leukemia, Erythroblastic, Acute|Leukemia, Basophilic, Acute|Leukemia, Eosinophilic, Acute|Hypereosinophilic Syndrome|Carcinoma, Ovarian Epithelial|Peritoneal Neoplasms|Mycoses|Hodgkin Disease|Lymphoma, T-Cell|Mycosis Fungoides|Sezary Syndrome|Leukemia, T-Cell|Lymphoma, T-Cell, Cutaneous|Leukemia-Lymphoma, Adult T-Cell|Lymphoma, Large-Cell, Anaplastic|Lymphomatoid Granulomatosis|Immunoblastic Lymphadenopathy|Anemia|Anemia, Refractory|Anemia, Refractory, with Excess of Blasts|Neoplasms, Germ Cell and Embryonal|Germinoma|Ovarian Neoplasms|Testicular Neoplasms|Seminoma|Adenocarcinoma|Stomach Neoplasms|Thrombocytopenia"
amantadine,"Parkinson Disease|Dyskinesias|Dyskinesia, Drug-Induced|Sinusitis|Multiple Sclerosis|Sclerosis|Schizophrenia|Consciousness Disorders|Heart Arrest|Hyperkinesis|Attention Deficit Disorder with Hyperactivity|Spinal Curvatures|Fatigue|Disease|Substance-Related Disorders|Cocaine-Related Disorders|Huntington Disease|Chorea|Hepatitis A|Hepatitis C|Hepatitis C, Chronic|Hepatitis|COVID-19|Brain Injuries|Brain Injuries, Traumatic|Diabetes Mellitus|Diabetes Mellitus, Type 2|Hepatitis, Chronic|Hyperalgesia|Weight Gain|Psychotic Disorders|Mental Disorders|Mood Disorders|Recurrence|Influenza, Human|Wounds and Injuries|Stroke|Ischemic Stroke|Hemorrhagic Stroke|Infections|Communicable Diseases"
ambrisentan,"Pulmonary Arterial Hypertension|Hypertension|Vascular Diseases|Hypertension, Pulmonary|Altitude Sickness|Renal Insufficiency|Acute Kidney Injury|Scleroderma, Systemic|Scleroderma, Diffuse|Sclerosis|COVID-19|Univentricular Heart|Hypoplastic Left Heart Syndrome|Dextrocardia|Hypoxia|Familial Primary Pulmonary Hypertension|Liver Cirrhosis|Hypertension, Portal|Fibrosis|Ascites|Asthma|Fatigue|Pulmonary Fibrosis|Idiopathic Pulmonary Fibrosis|Sarcoidosis|Anemia, Sickle Cell|Metabolic Syndrome|Syndrome"
amiloride,"Hypertension|Cardiovascular Diseases|Prehypertension|Gastroesophageal Reflux|Heartburn|Nephrotic Syndrome|Nephrosis|Hypernatremia|Syndrome|Migraine Disorders|Migraine with Aura|Coronary Artery Disease|Myocardial Ischemia|Coronary Disease|Essential Hypertension|Heart Diseases|Insulin Resistance|Overweight|Fibrosis|Cystic Fibrosis|Neuritis|Multiple Sclerosis|Optic Neuritis|Sclerosis|Proteinuria|Diabetes Mellitus|Diabetes Mellitus, Type 2|Demyelinating Diseases|Apnea|Sleep Apnea Syndromes|Sleep Apnea, Obstructive|Neoplasm Metastasis|Multiple Sclerosis, Chronic Progressive|Kidney Diseases|Renal Insufficiency, Chronic|Albuminuria|Hyperparathyroidism|Hyperparathyroidism, Primary"
aminocaproic-acid,"Osteoarthritis, Knee|Thrombosis|Hemorrhage|Blood Loss, Surgical|Neoplasms|Hematologic Neoplasms|Thrombocytopenia|Inflammation|Aortic Diseases|Rosacea|Cerebral Hemorrhage|Craniosynostoses"
aminoglutethimide,Prostatic Neoplasms|Breast Neoplasms
aminoguanidine,Endotoxemia|Retinal Diseases|Diabetic Retinopathy
aminosalicylic-acid,"Colitis|Colitis, Ulcerative|Ulcer|HIV Infections|Colorectal Neoplasms|Colorectal Neoplasms, Hereditary Nonpolyposis|Crohn Disease|Tuberculosis"
amiodarone,"Atrial Fibrillation|Virus Diseases|Hemorrhagic Fever, Ebola|Coronary Artery Disease|Myocardial Ischemia|Coronary Disease|Emergencies|Ischemia|COVID-19|Chagas Cardiomyopathy|Cardiomyopathies|Tachycardia|Tachycardia, Ventricular|Tachycardia, Supraventricular|Stroke|Death, Sudden|Heart Arrest|Immunoglobulin Light-chain Amyloidosis|Amyloidosis|Premature Birth|Heart Diseases|Ventricular Premature Complexes|Heart Failure|Ventricular Fibrillation|Atrial Flutter|Out-of-Hospital Cardiac Arrest|Arrhythmias, Cardiac"
amitriptyline,"Depressive Disorder|Depression|Depressive Disorder, Major|Leprosy|Neuralgia|Intervertebral Disc Displacement|Pain, Postoperative|Laryngitis|Laryngeal Diseases|Temporomandibular Joint Disorders|Temporomandibular Joint Dysfunction Syndrome|Autistic Disorder|Autism Spectrum Disorder|Child Development Disorders, Pervasive|Compulsive Behavior|Head and Neck Neoplasms|Migraine Disorders|Pruritus|Diabetes Mellitus, Type 1|Hypoglycemia|HIV Infections|Infections|Communicable Diseases|Acquired Immunodeficiency Syndrome|Nervous System Diseases|Peripheral Nervous System Diseases|Carpal Tunnel Syndrome|Cumulative Trauma Disorders|Bursitis|Cystic Fibrosis|Fibrosis|Cystitis, Interstitial|Urinary Bladder Diseases|Cystitis|Musculoskeletal Pain|Dyspepsia|Low Back Pain|Neurotoxicity Syndromes|Diabetic Neuropathies|Neoplasms|Multiple Myeloma|Neoplasms, Plasma Cell|Disease|Plasmacytoma|Myelodysplastic Syndromes|Myeloproliferative Disorders|Lymphoproliferative Disorders|Myelodysplastic-Myeloproliferative Diseases|Headache Disorders|Headache|Sprains and Strains|Fibromyalgia|Myofascial Pain Syndromes|Pseudomonas Infections|Brain Injuries|Brain Injuries, Traumatic|Post-Traumatic Headache|Wounds and Injuries|Sleep Initiation and Maintenance Disorders|Vulvodynia|Biliary Dyskinesia|Dyskinesias|Psychophysiologic Disorders|Schizophrenia|Anxiety Disorders|Somatoform Disorders|Cough|Lung Diseases|Lung Diseases, Interstitial"
amlexanox,"Liver Diseases|Fatty Liver|Non-alcoholic Fatty Liver Disease|Diabetes Mellitus|Diabetes Mellitus, Type 2|Head and Neck Neoplasms|Mucositis|Stomatitis|Obesity"
amlodipine,"Hypertension|Essential Hypertension|Malnutrition|Adrenal Hyperplasia, Congenital|Adrenogenital Syndrome|Hyperaldosteronism|Hyperplasia|Hyperlipidemias|Dyslipidemias|Kidney Diseases|Renal Insufficiency|Renal Insufficiency, Chronic|Nephrosclerosis|Hypercholesterolemia|Obesity|Insulin Resistance|Cerebral Small Vessel Diseases|Erectile Dysfunction|Thalassemia|beta-Thalassemia|Iron Overload|Cardiovascular Diseases|Proteinuria|Atherosclerosis|Coronary Disease|Diabetes Mellitus|Diabetes Mellitus, Type 2|Cerebral Hemorrhage|Dementia, Vascular|Hemorrhagic Stroke|Hemorrhage|Cognitive Dysfunction|Heart Failure|Dystonia|Dystonic Disorders|Hyperlipoproteinemias|Angina Pectoris|Angina Pectoris, Variant|Dementia|Pancreatitis|Pancreatitis, Chronic|Hepatitis C|Depression|Depressive Disorder|Metabolic Syndrome|Syndrome|Hypertrophy, Left Ventricular|Hypertrophy|Obesity, Abdominal|Hyperhomocysteinemia|Apnea|Sleep Apnea Syndromes|Sleep Apnea, Obstructive|Aneurysm|Aortic Aneurysm|Aortic Aneurysm, Abdominal|Raynaud Disease|Alzheimer Disease|Aortic Valve Insufficiency|Stroke|Prehypertension|Breast Neoplasms|Triple Negative Breast Neoplasms|Masked Hypertension"
amodiaquine,"Malaria|Malaria, Falciparum|COVID-19|Malaria, Vivax|Anemia|Respiratory Tract Infections"
amonafide,"Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Prostatic Neoplasms|Neoplasm Metastasis"
amsacrine,"Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Neutropenia|Preleukemia|Myelodysplastic Syndromes|Syndrome"
anagrelide,"Myeloproliferative Disorders|Thrombocytosis|Thrombocythemia, Essential|Polycythemia Vera|Polycythemia|Neoplasms"
