pert_iname,indication
chlorthalidone,"Kidney Failure, Chronic"
cholic-acid,Peroxisomal Disorders
cholic-acid,Zellweger Syndrome
cimetidine,Gastroesophageal Reflux
cimetidine,"Mastocytosis, Systemic"
cimetidine,Zollinger-Ellison Syndrome
cinoxacin,Urinary Tract Infections
clarithromycin,Bronchitis
clarithromycin,Pneumonia
clarithromycin,Tonsillitis
clarithromycin,Pharyngitis
clarithromycin,Otitis
clarithromycin,Sinusitis
clemizole,"Rhinitis, Allergic"
clenbuterol,Asthma
clenbuterol,"Pulmonary Disease, Chronic Obstructive"
climbazole,Dandruff
climbazole,Eczema
clindamycin,Respiratory Tract Infections
clindamycin,Pneumonia
clindamycin,Intraabdominal Infections
clinofibrate,Hypertriglyceridemia
clofazimine,Leprosy
clofibrate,Hyperlipidemias
clofibrate,Cholesterol
clofibric-acid,Hyperlipidemias
clofoctol,Gram-Positive Bacterial Infections
clomethiazole,Parkinson Disease
clomethiazole,Hypnotics and Sedatives
clomifene,Infertility
closantel,Fasciola hepatica
cobicistat,HIV
cobimetinib,Melanoma
colchicine,Gout
colchicine,Fever
cromoglicic-acid,Asthma
cromoglicic-acid,Urticaria
cromoglicic-acid,"Colitis, Ulcerative"
cromoglicic-acid,Conjunctivitis
cyanocobalamin,Anemia
cyanocobalamin,Celiac Disease
cyclizine,Vertigo
cyclizine,Nausea
cyclizine,Vomiting
cyclizine,Motion Sickness
cyproheptadine,"Rhinitis, Allergic"
cyproheptadine,Conjunctivitis
cyproheptadine,"Rhinitis, Vasomotor"
cyproterone-acetate,Prostatic Neoplasms
dabigatran-etexilate,Venous Thrombosis
dabigatran-etexilate,Stroke
dabigatran-etexilate,Pulmonary Embolism
danazol,Endometriosis
danazol,Angioedema
dantrolene,Spasm
dantrolene,Malignant Hyperthermia
dapagliflozin,Diabetes Mellitus
dapsone,Leprosy
dapsone,Dermatitis Herpetiformis
darifenacin,Urinary Incontinence
darunavir,HIV
dasabuvir,Hepatitis C
daunorubicin,"Leukemia, Myeloid, Acute"
daunorubicin,Precursor Cell Lymphoblastic Leukemia-Lymphoma
dehydroepiandrosterone,Menopause
delivert,Sepsis
desmopressin-acetate,"Diabetes Insipidus, Neurogenic"
desmopressin-acetate,Nocturnal Enuresis
dexamethasone,"Arthritis, Rheumatoid"
dexamethasone,Osteoarthritis
dexamethasone,"Rhinitis, Allergic"
dexamethasone,Psoriasis
dexamethasone,Dermatitis Herpetiformis
dexamethasone,"Colitis, Ulcerative"
dexamethasone,"Arthritis, Psoriatic"
dexamethasone,Anemia
dexamethasone,Multiple Sclerosis
dexamethasone,Enteritis
dexamethasone,Nephrotic Syndrome
dexamethasone,Hypercalcemia
dexamethasone-acetate,"Arthritis, Rheumatoid"
dexamethasone-acetate,Osteoarthritis
dexamethasone-acetate,"Rhinitis, Allergic"
dexamethasone-acetate,Psoriasis
dexamethasone-acetate,Dermatitis Herpetiformis
dexamethasone-acetate,"Colitis, Ulcerative"
dexamethasone-acetate,"Arthritis, Psoriatic"
dexamethasone-acetate,Anemia
dexamethasone-acetate,Multiple Sclerosis
dexamethasone-acetate,Enteritis
dexamethasone-acetate,Nephrotic Syndrome
dexamethasone-acetate,Hypercalcemia
dextromethorphan,Antitussive Agents
diclofenac,Migraine Disorders
dicoumarol,Venous Thrombosis
dienogest,Contraceptive Agents
dienogest,Endometriosis
diflunisal,"Arthritis, Rheumatoid"
diflunisal,Osteoarthritis
digoxin,Heart Failure
digoxin,Atrial Fibrillation
dihydroergocristine,Alzheimer Disease
dihydroergocristine,Cerebrovascular Disorders
dilazep,Coronary Disease
diltiazem,Hypertension
diltiazem,Angina Pectoris
dinoprost,"Labor, Induced"
diosmin,Venous Thrombosis
diosmin,Edema
diphenidol,Vertigo
diphenylpyraline,"Rhinitis, Allergic"
dipyridamole,Peripheral Arterial Disease
disopyramide,"Tachycardia, Ventricular"
docetaxel,Breast Neoplasms
docetaxel,Prostatic Neoplasms
docetaxel,"Carcinoma, Non-Small-Cell Lung"
docetaxel,Squamous Cell Carcinoma of Head and Neck
dolasetron,Nausea
dolasetron,Vomiting
dolutegravir,HIV
dopamine,Tremor
dorzolamide,Glaucoma
dorzolamide,Intraocular Pressure
dosulepin,Depression
doxepin,Depression
doxepin,Anxiety
doxifluridine,Colorectal Neoplasms
doxofylline,Asthma
doxycycline,Periodontitis
drospirenone,Contraceptive Agents
dutasteride,Prostatic Hyperplasia
econazole,Tinea cruris
econazole,Tinea Versicolor
econazole,"Candidiasis, Cutaneous"
edoxaban,Venous Thrombosis
edoxaban,Stroke
edoxaban,Pulmonary Embolism
edoxaban,Atrial Fibrillation
edoxudine,Simplexvirus
efavirenz,HIV
elvitegravir,HIV
emedastine,Conjunctivitis
emtricitabine,HIV
enoxacin,Urinary Tract Infections
enoxacin,Gonorrhea
enoxolone,Common Cold
enzalutamide,Prostatic Neoplasms
epirubicin,Breast Neoplasms
epitiostanol,Breast Neoplasms
eptifibatide,Acute Coronary Syndrome
eptifibatide,Percutaneous Coronary Intervention
erythromycin,Respiratory Tract Infections
erythromycin,Pelvic Inflammatory Disease
erythromycin,Syphilis
erythromycin,Amebiasis
erythromycin,Chlamydia
erythromycin,Listeria
erythromycin,Diphtheria
erythromycin,Erythrasma
erythromycin-ethylsuccinate,Respiratory Tract Infections
erythromycin-ethylsuccinate,Pelvic Inflammatory Disease
erythromycin-ethylsuccinate,Syphilis
erythromycin-ethylsuccinate,Amebiasis
erythromycin-ethylsuccinate,Chlamydia
erythromycin-ethylsuccinate,Listeria
erythromycin-ethylsuccinate,Diphtheria
erythromycin-ethylsuccinate,Erythrasma
escitalopram,Depression
esmolol,"Tachycardia, Ventricular"
estradiol,Contraceptive Agents
estramustine,Prostatic Neoplasms
estramustine-phosphate,Prostatic Neoplasms
estriol,Urinary Tract Infections
estriol,Menopause
estrone,Menopause
etacrynic-acid,Hypertension
etacrynic-acid,Heart Failure
etacrynic-acid,Edema
etacrynic-acid,Liver Cirrhosis
etacrynic-acid,Nephrotic Syndrome
etacrynic-acid,"Kidney Failure, Chronic"
ethinyl-estradiol,Contraceptive Agents
etizolam,Anxiety
etizolam,Sleep Initiation and Maintenance Disorders
etodolac,"Arthritis, Rheumatoid"
etodolac,Osteoarthritis
etofenamate,Myalgia
etofenamate,Arthralgia
etofylline-clofibrate,Hyperlipidemias
etomidate,"Anesthetics, General"
etoricoxib,Gout
etoricoxib,"Arthritis, Psoriatic"
etravirine,HIV
eugenol,Toothache
everolimus,Breast Neoplasms
everolimus,"Carcinoma, Renal Cell"
everolimus,Astrocytoma
everolimus,Tuberous Sclerosis
exemestane,Breast Neoplasms
fadrozole,Breast Neoplasms
faropenem,Urinary Tract Infections
faropenem,Bronchitis
faropenem,Pneumonia
faropenem,Sinusitis
fasudil,"Vasospasm, Intracranial"
felbamate,Epilepsy
felbinac,"Arthritis, Rheumatoid"
felbinac,Myalgia
felodipine,Hypertension
fentiazac,Myalgia
fentiazac,Arthralgia
fenticonazole,"Candidiasis, Vulvovaginal"
fidaxomicin,Diarrhea
finasteride,Alopecia
flavoxate,Urinary Incontinence
flavoxate,Urethritis
flavoxate,"Cystitis, Interstitial"
flavoxate,Prostatitis
flecainide,"Tachycardia, Ventricular"
floxuridine,Colorectal Neoplasms
fludarabine-phosphate,"Leukemia, Lymphocytic, Chronic, B-Cell"
fludroxycortide,Psoriasis
flumazenil,Hypnotics and Sedatives
fluocinolone-acetonide,"Dermatitis, Seborrheic"
fluoxetine,Bipolar Disorder
fluoxetine,Bulimia Nervosa
fluoxetine,Panic Disorder
flutrimazole,Mycoses
folic-acid,"Anemia, Megaloblastic"
fomocaine,"Anesthetics, Local"
formestane,Breast Neoplasms
formoterol,Asthma
formoterol,"Pulmonary Disease, Chronic Obstructive"
formoterol,Bronchial Spasm
fosfomycin,Urinary Tract Infections
fosinopril,Hypertension
fosinopril,Heart Failure
ftorafur,Colorectal Neoplasms
fulvestrant,Breast Neoplasms
fusidic-acid,Acne Vulgaris
gabapentin,Herpes Zoster
gabapentin,Simplexvirus
gallopamil,Hypertension
gallopamil,"Arrhythmias, Cardiac"
ganciclovir,Cytomegalovirus
gemfibrozil,Hyperlipidemias
gemifloxacin,Bronchitis
gemifloxacin,Pneumonia
glasdegib,"Leukemia, Myeloid, Acute"
glimepiride,Diabetes Mellitus
glipizide,Hyperglycemia
gliquidone,Diabetes Mellitus
granisetron,Nausea
granisetron,Vomiting
griseofulvin,Tinea Pedis
griseofulvin,Tinea
guanaben-acetate,Hypertension
guanadrel,Hypertension
guanethidine,Hypertension
halofantrine,Malaria
haloperidol,Tourette Syndrome
hexachlorophene,Gram-Positive Bacterial Infections
homochlorcyclizine,"Rhinitis, Allergic"
hydrocortisone,Psoriasis
hydrocortisone,Pruritus
hydrocortisone,Eczema
hydrocortisone,"Dermatitis, Seborrheic"
hydroflumethiazide,Hypertension
hydroflumethiazide,Heart Failure
hydroflumethiazide,Edema
hydroflumethiazide,Liver Cirrhosis
hydroflumethiazide,Nephrotic Syndrome
hydroflumethiazide,"Kidney Failure, Chronic"
ibrutinib,"Lymphoma, Mantle-Cell"
ibrutinib,"Leukemia, Lymphocytic, Chronic, B-Cell"
ibrutinib,Waldenstrom Macroglobulinemia
ibudilast,Asthma
ibudilast,Stroke
ibuprofen,"Arthritis, Rheumatoid"
ibutilide,Atrial Fibrillation
idebenone,Alzheimer Disease
idebenone,Friedreich Ataxia
idebenone,"Optic Atrophy, Hereditary, Leber"
ifosfamide,"Cystitis, Hemorrhagic"
iguratimod,"Arthritis, Rheumatoid"
imatinib,Pdgfra-Associated Chronic Eosinophilic Leukemia
imipramine,Nocturnal Enuresis
indacaterol,"Pulmonary Disease, Chronic Obstructive"
indapamide,Heart Failure
indinavir,HIV
indobufen,Thrombosis
indoramin,Hypertension
indoramin,Prostatic Hyperplasia
ingenol-mebutate,"Keratosis, Actinic"
ipratropium,Bronchitis
ipratropium,Emphysema
ipratropium,"Pulmonary Disease, Chronic Obstructive"
ipratropium,Bronchial Spasm
ipriflavone,Osteoporosis
isoconazole,Gram-Positive Bacterial Infections
itopride,Nausea
itopride,Vomiting
itopride,Dyspepsia
itopride,Heartburn
itopride,Gastroparesis
itopride,Anorexia
ivabradine,Angina Pectoris
ivermectin,Phthiraptera
ivermectin,Mites
ivermectin,Muscidae
ixabepilone,Breast Neoplasms
ixazomib-citrate,Multiple Myeloma
josamycin,Bronchitis
ketanserin,Hypertension
ketoconazole,"Dermatitis, Seborrheic"
ketoprofen,"Arthritis, Rheumatoid"
ketotifen,Pruritus
L-citrulline,Hypertension
L-citrulline,Erectile Dysfunction
lacitol,Constipation
lamivudine,HIV
laropiprant,Cholesterol
lasalocid,Coccidiosis
letermovir,Cytomegalovirus
levalbuterol,Bronchial Spasm
levobunolol,Glaucoma
levobunolol,Ocular Hypertension
levocabastine,Conjunctivitis
levofloxacin,Anthrax
levofloxacin,Plague
levonorgestrel,Contraceptive Agents
levosimendan,Heart Failure
lidamidine,Diarrhea
lidocaine,Hemorrhage
lidocaine,Eczema
lidoflazine,Coronary Artery Disease
linsidomine,Erectile Dysfunction
liranaftate,Mycoses
lobenzarit,"Arthritis, Rheumatoid"
lodoxamide,"Conjunctivitis, Allergic"
lomerizine,Migraine Disorders
lomitapide,Hypercholesterolemia
lopinavir,HIV
luliconazole,Tinea cruris
lumacaftor,Cystic Fibrosis
macitentan,Contraceptive Agents
malotilate,Liver Cirrhosis
mannitol-D,Intraocular Pressure
mannitol-D,Intracranial Pressure
maprotiline,Depression
maprotiline,Dysthymic Disorder
maraviroc,HIV
masitinib,Mastocytoma
masoprocol,"Keratosis, Actinic"
maxacalcitol,Hyperparathyroidism
mebendazole,Ascariasis
mebendazole,Ancylostomatoidea
mebendazole,Enterobius
mecamylamine,Hypertension
meclizine,Nausea
meclizine,Vomiting
meclizine,Motion Sickness
meclofenamic-acid,"Arthritis, Rheumatoid"
meclofenamic-acid,Myalgia
meclofenamic-acid,Arthralgia
medetomidine,Hypnotics and Sedatives
medroxyprogesterone-acetate,Contraceptive Agents
medrysone,Conjunctivitis
medrysone,Scleritis
meloxicam,"Arthritis, Rheumatoid"
meloxicam,Osteoarthritis
menadione,"Arthritis, Rheumatoid"
menadione,Diarrhea
menadione,Headache
menadione,"Colitis, Ulcerative"
menadione,Varicose Veins
mepacrine,Giardiasis
mephentermine,Hypotension
mepivacaine,"Anesthetics, Local"
mepyramine,Common Cold
mepyramine,Dysmenorrhea
mestinon,Myasthenia Gravis
mestranol,Contraceptive Agents
metergoline,Anxiety
metergoline,Hyperprolactinemia
metergoline,Seasonal Affective Disorder
methazolamide,Intraocular Pressure
methylnaltrexone,Constipation
methylprednisolone,"Spondylitis, Ankylosing"
methylprednisolone,Osteoarthritis
methylprednisolone,"Rhinitis, Allergic"
methylprednisolone,Psoriasis
methylprednisolone,"Colitis, Ulcerative"
methylprednisolone,"Arthritis, Psoriatic"
methylprednisolone,Anemia
methylprednisolone,Multiple Sclerosis
methylprednisolone,Enteritis
methylprednisolone,Hypercalcemia
methylprednisolone,Thyroiditis
methylprednisolone,"Dermatitis, Seborrheic"
methylprednisolone,Mycoses
methylprednisolone,Bursitis
metixene,Parkinson Disease
metolazone,Hypertension
metolazone,Edema
mianserin,Depression
miconazole,Pruritus
miglitol,Diabetes Mellitus
miltefosine,Leishmaniasis
minoxidil,Alopecia
mirodenafil,Erectile Dysfunction
mizolastine,"Rhinitis, Allergic"
mizolastine,Urticaria
moclobemide,Depression
moclobemide,Anxiety
molindone,Schizophrenia
molsidomine,Coronary Artery Disease
mozavaptan,Hyponatremia
nafamostat,Anticoagulants
naftifine,Tinea Pedis
naftifine,Tinea cruris
naftifine,Tinea
naftopidil,Prostatic Hyperplasia
naproxen,Fever
naproxen,Myalgia
naproxen,Common Cold
nateglinide,Diabetes Mellitus
nebivolol,Hypertension
nelarabine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
nemonapride,Schizophrenia
neostigmine,Myasthenia Gravis
neratinib,Breast Neoplasms
netupitant,Nausea
netupitant,Vomiting
nevirapine,HIV
niacin,Hypertriglyceridemia
nicardipine,"Angina, Stable"
nicergoline,Migraine Disorders
nicergoline,Raynaud Disease
nicergoline,Thrombosis
nicergoline,Atherosclerosis
niclosamide,Cestoda
nicotinamide,Acne Vulgaris
nicotine,Smoking Cessation
nilotinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
nimesulide,Osteoarthritis
nimesulide,Dysmenorrhea
nintedanib,Idiopathic Pulmonary Fibrosis
nizofenone,Stroke
norethindrone,Endometriosis
norfloxacin,Urinary Tract Infections
norfloxacin,Gonorrhea
norfloxacin,Prostatitis
norgestrel,Contraceptive Agents
noscapine,Antitussive Agents
novobiocin,Mastitis
ofloxacin,Respiratory Tract Infections
ofloxacin,Intraabdominal Infections
olmesartan-medoxomil,Hypertension
olprinone,Heart Failure
ornidazole,Protozoan Infections
orphenadrine,Myalgia
otilonium,Irritable Bowel Syndrome
oxaprozin,"Arthritis, Rheumatoid"
oxaprozin,Osteoarthritis
oxatomide,"Rhinitis, Allergic"
oxfendazole,Cestoda
oxiconazole,Tinea cruris
oxybuprocaine,"Anesthetics, Local"
ozagrel,Stroke
paclitaxel,Breast Neoplasms
paclitaxel,"Carcinoma, Non-Small-Cell Lung"
paclitaxel,Ovarian Neoplasms
pantoprazole,Zollinger-Ellison Syndrome
papaverine,Angina Pectoris
papaverine,Pulmonary Embolism
papaverine,Myocardial Infarction
papaverine,Colitis
paricalcitol,Hyperthyroidism
paricalcitol,"Renal Insufficiency, Chronic"
pazopanib,"Carcinoma, Renal Cell"
pazopanib,Sarcoma
pazufloxacin,Pneumonia
pazufloxacin,Peritonitis
penfluridol,Schizophrenia
penicillin-v-potassium,Otitis
penicillin-v-potassium,Cholera
penicillin-v-potassium,Scarlet Fever
perhexiline,Angina Pectoris
perindopril,Coronary Artery Disease
perindopril,Myocardial Infarction
phensuximide,Seizures
phentolamine,Pheochromocytoma
physostigmine,Glaucoma
physostigmine,Hypotension
physostigmine,Alzheimer Disease
physostigmine,Gastroparesis
picotamide,Thrombosis
pilocarpine,Hypertension
pimecrolimus,Eczema
pimobendan,Heart Failure
pinacidil,Hypertension
pinaverium,Irritable Bowel Syndrome
pindolol,Hypertension
piperidolate,Spasm
piracetam,Alzheimer Disease
pirenoxine,Cataract
piretanide,Hypertension
piretanide,Edema
piribedil,Dizziness
piroxicam,"Arthritis, Rheumatoid"
piroxicam,Osteoarthritis
potassium-canrenoate,Edema
pralatrexate,"Lymphoma, T-Cell, Peripheral"
pranlukast,Asthma
pranlukast,Bronchial Spasm
pravastatin,Hyperlipidemias
pravastatin,Myocardial Infarction
pravastatin,Hypercholesterolemia
prednisone,"Arthritis, Rheumatoid"
prednisone,"Spondylitis, Ankylosing"
prednisone,Osteoarthritis
prednisone,Psoriasis
prednisone,"Colitis, Ulcerative"
prednisone,Conjunctivitis
prednisone,Meningitis
prednisone,"Arthritis, Psoriatic"
prednisone,Anemia
prednisone,Multiple Sclerosis
prednisone,Enteritis
prednisone,Hypercalcemia
prednisone,Mycoses
prednisone,Bursitis
prednisone,"Adrenal Hyperplasia, Congenital"
prednisone,Dermatomyositis
pregnenolone,"Arthritis, Rheumatoid"
primidone,Seizures
probenecid,Gout
probucol,Coronary Artery Disease
procainamide,"Tachycardia, Ventricular"
procaine,Anesthetics
progesterone,Amenorrhea
progesterone,Infertility
propafenone,"Tachycardia, Ventricular"
propentofylline,Stroke
propranolol,Angina Pectoris
propylthiouracil,Goiter
protriptyline,Depression
quercetin,Fatigue
quercetin,"Rhinitis, Allergic"
quinapril,Hypertension
quinapril,Heart Failure
quinapril,Angioedema
quinidine,Atrial Fibrillation
quinine,Malaria
rabeprazole,Zollinger-Ellison Syndrome
raltegravir,HIV
ramatroban,Coronary Artery Disease
ramelteon,Sleep Initiation and Maintenance Disorders
ranitidine,Heartburn
ranolazine,"Angina, Stable"
reboxetine,Depression
regadenoson,Myocardial Perfusion Imaging
regorafenib,Colorectal Neoplasms
regorafenib,Gastrointestinal Stromal Tumors
resorcinol,Acne Vulgaris
resorcinol,Psoriasis
resorcinol,Eczema
resorcinol,"Dermatitis, Seborrheic"
retapamulin,Impetigo
ribavirin,Hepatitis C
rifabutin,HIV
rifaximin,Diarrhea
rifaximin,Irritable Bowel Syndrome
rifaximin,Hepatic Encephalopathy
rilmenidine,Hypertension
rilpivirine,HIV
rimexolone,"Uveitis, Anterior"
ripasudil,Glaucoma
ripasudil,Ocular Hypertension
ritodrine,"Obstetric Labor, Premature"
ritonavir,HIV
rivaroxaban,Venous Thrombosis
rivaroxaban,Stroke
rivaroxaban,Pulmonary Embolism
rivaroxaban,Atrial Fibrillation
rocuronium,Anesthetics
roflumilast,Bronchitis
roflumilast,"Pulmonary Disease, Chronic Obstructive"
rotundine,Hypnotics and Sedatives
rotundine,Anxiety
roxithromycin,Urinary Tract Infections
roxithromycin,Respiratory Tract Infections
rupatadine,"Rhinitis, Allergic"
rupatadine,Urticaria
rutin,"Rhinitis, Allergic"
rutin,Arthralgia
rutin,Constipation
ruxolitinib,Primary Myelofibrosis
ruxolitinib,Polycythemia Vera
safinamide,Parkinson Disease
saquinavir,HIV
sasapyrine,"Arthritis, Rheumatoid"
sasapyrine,Osteoarthritis
saxagliptin,Diabetes Mellitus
scopolamine,Nausea
scopolamine,Vomiting
scopolamine,Motion Sickness
secnidazole,Protozoan Infections
selegiline,Parkinson Disease
selinexor,Multiple Myeloma
sertraline,Depression
sertraline,Obsessive-Compulsive Disorder
sertraline,"Stress Disorders, Post-Traumatic"
sertraline,Panic Disorder
sertraline,"Phobia, Social"
sertraline,Premenstrual Syndrome
setiptiline,Depression
simeprevir,Hepatitis C
sirolimus,Lymphangioleiomyomatosis
SN-38,Colorectal Neoplasms
sodium-gualenate,Pharyngitis
spironolactone,Hypertension
spironolactone,Heart Failure
spironolactone,Liver Cirrhosis
spironolactone,Nephrotic Syndrome
spironolactone,Hyperaldosteronism
spironolactone,Hypokalemia
stavudine,HIV
sulbactam,Intraabdominal Infections
sulbutiamine,Asthenia
sulfafurazole,Urinary Tract Infections
sulfasalazine,"Colitis, Ulcerative"
tacrine,Alzheimer Disease
tafamidis-meglumine,"Amyloid Neuropathies, Familial"
talinolol,Hypertension
taltirelin,Spinocerebellar Ataxias
tamibarotene,"Leukemia, Promyelocytic, Acute"
tazarotene,Cosmetics
tazobactam,Pneumonia
tebipenem,Pneumonia
tebipenem,Otitis
telmesteine,Antitussive Agents
telotristat,Diarrhea
temsirolimus,"Carcinoma, Renal Cell"
teneligliptin,Diabetes Mellitus
terbinafine,Tinea cruris
teriflunomide,Multiple Sclerosis
tetrabenazine,Cholera
tetrabenazine,Huntington Disease
tetracaine,Anesthetics
thioctic-acid,Diabetic Nephropathies
thiothixene,Schizophrenia
tiabendazole,Ancylostomatoidea
tiagabine,Seizures
tiapride,Psychotic Disorders
tiapride,Dyskinesias
tibolone,Endometriosis
ticagrelor,Myocardial Infarction
ticagrelor,Acute Coronary Syndrome
ticlopidine,Stroke
ticlopidine,Thrombosis
timolol,Glaucoma
timolol,Ocular Hypertension
tioguanine,"Leukemia, Myeloid, Acute"
tioguanine,Precursor Cell Lymphoblastic Leukemia-Lymphoma
tioguanine,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
tipiracil,Colorectal Neoplasms
tipranavir,HIV
tivozanib,"Carcinoma, Renal Cell"
tizanidine,Spasm
tobramycin,Urinary Tract Infections
tobramycin,Respiratory Tract Infections
tobramycin,Meningitis
tolfenamic-acid,Migraine Disorders
tolnaftate,Tinea Pedis
tolnaftate,Tinea
tolperisone,"Spondylitis, Ankylosing"
tolperisone,Raynaud Disease
tolperisone,Atherosclerosis
tolperisone,Encephalomyelitis
tolvaptan,Heart Failure
tolvaptan,Liver Cirrhosis
tolvaptan,Hyponatremia
topiroxostat,Gout
topiroxostat,Hyperuricemia
torasemide,Edema
tranilast,Asthma
tranylcypromine,Depression
trapidil,Coronary Artery Disease
tretinoin,"Leukemia, Promyelocytic, Acute"
triamterene,Edema
triamterene,Hypokalemia
triclabendazole,Cestoda
trifluoperazine,Schizophrenia
triflupromazine,Psychotic Disorders
triflupromazine,Nausea
triflupromazine,Vomiting
trifluridine,Simplexvirus
trilostane,Cushing Syndrome
trimethobenzamide,Nausea
trimethobenzamide,Vomiting
trimethobenzamide,Gastroenteritis
trimethoprim,Diarrhea
trimethoprim,Otitis
trimipramine,Depression
triptorelin,Myoma
triptorelin,Gender Dysphoria
ubenimex,"Leukemia, Myeloid, Acute"
ulipristal,Contraceptive Agents
umeclidinium,Bronchitis
umeclidinium,Emphysema
umeclidinium,"Pulmonary Disease, Chronic Obstructive"
urea,Psoriasis
urea,Dermatitis
urea,Ichthyosis Vulgaris
urea,Eczema
urea,Keratosis
ursodiol,Gallstones
vandetanib,"Thyroid cancer, medullary"
varenicline,Smoking Cessation
vernakalant,Atrial Fibrillation
verteporfin,Macular Degeneration
vidarabine,Simplexvirus
vidarabine,"Herpesvirus 3, Human"
vinburnine,Stroke
vinpocetine,Alzheimer Disease
vismodegib,"Carcinoma, Basal Cell"
