pert_iname,indication,drugbank_id
5-aminolevulinic-acid,Syndrome,DB00855
5-aminolevulinic-acid,Skin Neoplasms,DB00855
5-aminolevulinic-acid,Neurofibromatoses,DB00855
5-aminolevulinic-acid,Neurofibromatosis 1,DB00855
5-aminolevulinic-acid,Neurofibroma,DB00855
5-aminolevulinic-acid,Dermatitis,DB00855
5-aminolevulinic-acid,"Dermatitis, Seborrheic",DB00855
5-aminolevulinic-acid,Crohn Disease,DB00855
5-aminolevulinic-acid,Neoplasms,DB00855
5-aminolevulinic-acid,Colonic Neoplasms,DB00855
5-aminolevulinic-acid,Uterine Cervical Dysplasia,DB00855
5-aminolevulinic-acid,Cervical Intraepithelial Neoplasia,DB00855
5-aminolevulinic-acid,Carcinoma in Situ,DB00855
5-aminolevulinic-acid,Colitis,DB00855
5-aminolevulinic-acid,"Colitis, Ulcerative",DB00855
5-aminolevulinic-acid,Ulcer,DB00855
5-aminolevulinic-acid,"Carcinoma, Transitional Cell",DB00855
5-aminolevulinic-acid,"Leukoplakia, Oral",DB00855
5-aminolevulinic-acid,"Fibromatosis, Aggressive",DB00855
5-aminolevulinic-acid,Nervous System Neoplasms,DB00855
5-aminolevulinic-acid,Central Nervous System Neoplasms,DB00855
5-aminolevulinic-acid,Facies,DB00855
5-aminolevulinic-acid,"Carcinoma, Squamous Cell",DB00855
5-aminolevulinic-acid,"Neoplasms, Basal Cell",DB00855
5-aminolevulinic-acid,Skull Base Neoplasms,DB00855
5-aminolevulinic-acid,"Lymphoma, T-Cell",DB00855
5-aminolevulinic-acid,"Lymphoma, T-Cell, Peripheral",DB00855
5-aminolevulinic-acid,"Lymphoma, T-Cell, Cutaneous",DB00855
5-aminolevulinic-acid,Graft vs Host Disease,DB00855
fluorouracil,Rectal Neoplasms,DB00544
fluorouracil,Neoplasms,DB00544
fluorouracil,Colorectal Neoplasms,DB00544
fluorouracil,Carcinoma,DB00544
fluorouracil,Nasopharyngeal Carcinoma,DB00544
fluorouracil,"Carcinoma, Neuroendocrine",DB00544
fluorouracil,"Carcinoma, Squamous Cell",DB00544
fluorouracil,Pancreatic Neoplasms,DB00544
fluorouracil,Squamous Cell Carcinoma of Head and Neck,DB00544
fluorouracil,Breast Neoplasms,DB00544
fluorouracil,Stomach Neoplasms,DB00544
fluorouracil,"Carcinoma, Hepatocellular",DB00544
fluorouracil,Liver Neoplasms,DB00544
fluorouracil,Esophageal Neoplasms,DB00544
fluorouracil,Adenocarcinoma,DB00544
fluorouracil,Esophageal Squamous Cell Carcinoma,DB00544
fluorouracil,Neoplasm Metastasis,DB00544
fluorouracil,Gastrointestinal Neoplasms,DB00544
fluorouracil,Digestive System Neoplasms,DB00544
fluorouracil,Intestinal Neoplasms,DB00544
fluorouracil,Neuroendocrine Tumors,DB00544
fluorouracil,Anus Neoplasms,DB00544
fluorouracil,Neurotoxicity Syndromes,DB00544
fluorouracil,Neutropenia,DB00544
fluorouracil,Mucositis,DB00544
fluorouracil,Peripheral Nervous System Diseases,DB00544
fluorouracil,"Adenocarcinoma, Mucinous",DB00544
fluorouracil,Cystadenocarcinoma,DB00544
fluorouracil,"Keratosis, Actinic",DB00544
fluorouracil,Keratosis,DB00544
fluorouracil,Biliary Tract Neoplasms,DB00544
fluorouracil,Carcinoma in Situ,DB00544
fluorouracil,Cervical Intraepithelial Neoplasia,DB00544
fluorouracil,Squamous Intraepithelial Lesions of the Cervix,DB00544
fluorouracil,Urinary Bladder Neoplasms,DB00544
fluorouracil,Hepatoblastoma,DB00544
fluorouracil,Peritoneal Neoplasms,DB00544
fluorouracil,Cholangiocarcinoma,DB00544
fluorouracil,Klatskin Tumor,DB00544
fluorouracil,Hypopharyngeal Neoplasms,DB00544
fluorouracil,Head and Neck Neoplasms,DB00544
fluorouracil,Urethral Neoplasms,DB00544
fluorouracil,Vitiligo,DB00544
fluorouracil,Leukoplakia,DB00544
fluorouracil,"Leukoplakia, Oral",DB00544
fluorouracil,Papilloma,DB00544
fluorouracil,Oropharyngeal Neoplasms,DB00544
fluorouracil,Endometrial Neoplasms,DB00544
fluorouracil,"Neoplasms, Squamous Cell",DB00544
fluorouracil,Colonic Neoplasms,DB00544
fluorouracil,Prolapse,DB00544
fluorouracil,Gallbladder Neoplasms,DB00544
fluorouracil,Lymphoma,DB00544
fluorouracil,Leukemia,DB00544
fluorouracil,"Leukemia, Lymphocytic, Chronic, B-Cell",DB00544
fluorouracil,Chondrosarcoma,DB00544
fluorouracil,"Carcinoma, Adenosquamous",DB00544
fluorouracil,"Carcinoma, Transitional Cell",DB00544
fluorouracil,Ovarian Neoplasms,DB00544
fluorouracil,"Carcinoma, Ovarian Epithelial",DB00544
fluorouracil,Cardiotoxicity,DB00544
fluorouracil,Postoperative Complications,DB00544
fluorouracil,"Carcinoma, Islet Cell",DB00544
fluorouracil,Recurrence,DB00544
fluorouracil,Sarcoma,DB00544
fluorouracil,Mesothelioma,DB00544
fluorouracil,"Mesothelioma, Malignant",DB00544
fluorouracil,"Sarcoma, Ewing",DB00544
fluorouracil,Appendiceal Neoplasms,DB00544
fluorouracil,Lung Neoplasms,DB00544
fluorouracil,"Carcinoma, Non-Small-Cell Lung",DB00544
fluorouracil,Mouth Neoplasms,DB00544
fluorouracil,Melanoma,DB00544
fluorouracil,"Carcinoma, Renal Cell",DB00544
fluorouracil,Skin Neoplasms,DB00544
fluorouracil,"Carcinoma, Acinar Cell",DB00544
fluorouracil,Pancreatic Intraductal Neoplasms,DB00544
fluorouracil,"Carcinoma, Verrucous",DB00544
fluorouracil,Salivary Gland Neoplasms,DB00544
fluorouracil,"Neoplasms, Unknown Primary",DB00544
fluorouracil,Nasopharyngeal Neoplasms,DB00544
fluorouracil,Ectropion,DB00544
fluorouracil,Triple Negative Breast Neoplasms,DB00544
fluorouracil,"Lymphoma, Non-Hodgkin",DB00544
fluorouracil,"Carcinoma, Merkel Cell",DB00544
fluorouracil,Bile Duct Neoplasms,DB00544
fluorouracil,Esophageal Diseases,DB00544
fluorouracil,Diarrhea,DB00544
fluorouracil,Uterine Neoplasms,DB00544
fluorouracil,Kidney Neoplasms,DB00544
fluorouracil,Ureteral Neoplasms,DB00544
fluorouracil,Pelvic Neoplasms,DB00544
fluorouracil,Precancerous Conditions,DB00544
fluorouracil,Skin Diseases,DB00544
fluorouracil,Endocrine Gland Neoplasms,DB00544
fluorouracil,Laryngeal Neoplasms,DB00544
fluorouracil,"Carcinoma, Ductal",DB00544
fluorouracil,Uterine Cervical Neoplasms,DB00544
fluorouracil,Uterine Cervical Dysplasia,DB00544
fluorouracil,Hyperplasia,DB00544
fluorouracil,Adenoma,DB00544
fluorouracil,Zollinger-Ellison Syndrome,DB00544
fluorouracil,Gastrinoma,DB00544
fluorouracil,"Adenoma, Islet Cell",DB00544
fluorouracil,Syndrome,DB00544
fluorouracil,"Lymphoma, AIDS-Related",DB00544
fluorouracil,Laryngeal Diseases,DB00544
fluorouracil,Hyperthermia,DB00544
fluorouracil,Multiple Myeloma,DB00544
fluorouracil,"Neoplasms, Plasma Cell",DB00544
fluorouracil,Preleukemia,DB00544
fluorouracil,Plasmacytoma,DB00544
fluorouracil,Myelodysplastic Syndromes,DB00544
fluorouracil,Myeloproliferative Disorders,DB00544
fluorouracil,Inflammatory Breast Neoplasms,DB00544
fluorouracil,Lip Neoplasms,DB00544
fluorouracil,Microsatellite Instability,DB00544
fluorouracil,Carcinoid Tumor,DB00544
fluorouracil,Malignant Carcinoid Syndrome,DB00544
fluorouracil,"Carcinoma, Basal Cell",DB00544
fluorouracil,Paranasal Sinus Neoplasms,DB00544
fluorouracil,"Carcinoma, Adenoid Cystic",DB00544
fluorouracil,"Carcinoma, Mucoepidermoid",DB00544
fluorouracil,Mucoepidermoid Tumor,DB00544
fluorouracil,"Esthesioneuroblastoma, Olfactory",DB00544
fluorouracil,"Papilloma, Inverted",DB00544
fluorouracil,Granuloma,DB00544
fluorouracil,Drug-Related Side Effects and Adverse Reactions,DB00544
fluorouracil,Warts,DB00544
fluorouracil,"Colorectal Neoplasms, Hereditary Nonpolyposis",DB00544
fluorouracil,"Carcinoma, Signet Ring Cell",DB00544
fluorouracil,Pharyngeal Neoplasms,DB00544
fluorouracil,Ependymoma,DB00544
fluorouracil,Deglutition Disorders,DB00544
fluorouracil,Retinal Detachment,DB00544
fluorouracil,"Vitreoretinopathy, Proliferative",DB00544
fluorouracil,Dissociative Disorders,DB00544
fluorouracil,Disseminated Intravascular Coagulation,DB00544
fluorouracil,Pseudomyxoma Peritonei,DB00544
fluorouracil,Nausea,DB00544
fluorouracil,Vomiting,DB00544
fluorouracil,"Neoplasms, Germ Cell and Embryonal",DB00544
fluorouracil,Teratoma,DB00544
fluorouracil,Endodermal Sinus Tumor,DB00544
fluorouracil,Choriocarcinoma,DB00544
fluorouracil,Germinoma,DB00544
fluorouracil,Nose Neoplasms,DB00544
fluorouracil,Gastrointestinal Diseases,DB00544
fluorouracil,Digestive System Diseases,DB00544
fluorouracil,Thrombocytosis,DB00544
fluorouracil,Precursor Cell Lymphoblastic Leukemia-Lymphoma,DB00544
fluorouracil,"Leukemia, Lymphoid",DB00544
fluorouracil,Hodgkin Disease,DB00544
fluorouracil,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",DB00544
fluorouracil,Hematologic Neoplasms,DB00544
fluorouracil,"Leukemia, Myelomonocytic, Chronic",DB00544
fluorouracil,"Leukemia, Myelomonocytic, Juvenile",DB00544
fluorouracil,"Leukemia, Myeloid, Chronic-Phase",DB00544
fluorouracil,"Leukemia, Myeloid, Accelerated Phase",DB00544
fluorouracil,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",DB00544
fluorouracil,Blast Crisis,DB00544
fluorouracil,Primary Myelofibrosis,DB00544
fluorouracil,Myelodysplastic-Myeloproliferative Diseases,DB00544
fluorouracil,"Leukemia, Myeloid",DB00544
fluorouracil,"Leukemia, Myeloid, Acute",DB00544
fluorouracil,Nasopharyngeal Diseases,DB00544
fluorouracil,"Carcinoma, Ductal, Breast",DB00544
fluorouracil,"Neoplasm Recurrence, Local",DB00544
fluorouracil,Epstein-Barr Virus Infections,DB00544
fluorouracil,Fever,DB00544
fluorouracil,Fallopian Tube Neoplasms,DB00544
fluorouracil,Tongue Neoplasms,DB00544
fluorouracil,Testicular Neoplasms,DB00544
fluorouracil,Seminoma,DB00544
fluorouracil,Disease Progression,DB00544
fluorouracil,Chalazion,DB00544
fluorouracil,Dermatitis,DB00544
fluorouracil,Intestinal Obstruction,DB00544
fluorouracil,Gastrointestinal Stromal Tumors,DB00544
fluorouracil,Thrombosis,DB00544
fluorouracil,"Neoplasms, Second Primary",DB00544
fluorouracil,Infections,DB00544
fluorouracil,Communicable Diseases,DB00544
fluorouracil,Papillomavirus Infections,DB00544
fluorouracil,Glaucoma,DB00544
fluorouracil,Small Cell Lung Carcinoma,DB00544
fluorouracil,"Carcinoma, Pancreatic Ductal",DB00544
fluorouracil,Vulvar Neoplasms,DB00544
acebutolol,Hemangioma,DB01193
acebutolol,"Hemangioma, Capillary",DB01193
acebutolol,Port-Wine Stain,DB01193
acenocoumarol,Pulmonary Embolism,DB01418
acenocoumarol,Thrombosis,DB01418
acenocoumarol,Embolism,DB01418
acenocoumarol,Thromboembolism,DB01418
acenocoumarol,Venous Thromboembolism,DB01418
acenocoumarol,Venous Thrombosis,DB01418
acenocoumarol,Atrial Fibrillation,DB01418
acenocoumarol,Melanoma,DB01418
acenocoumarol,"Intracranial Hemorrhage, Hypertensive",DB01418
acenocoumarol,Hemorrhage,DB01418
acenocoumarol,Hematoma,DB01418
acenocoumarol,Subarachnoid Hemorrhage,DB01418
acenocoumarol,"Hematoma, Subdural",DB01418
acenocoumarol,Intracranial Hemorrhages,DB01418
acenocoumarol,Cerebrovascular Disorders,DB01418
acenocoumarol,Cerebral Small Vessel Diseases,DB01418
acenocoumarol,Atrial Flutter,DB01418
acetazolamide,Altitude Sickness,DB00819
acetazolamide,Chronic Pain,DB00819
acetazolamide,Cerebrospinal Fluid Leak,DB00819
acetazolamide,"Sleep Apnea, Obstructive",DB00819
acetazolamide,Sleep Apnea Syndromes,DB00819
acetazolamide,Diabetes Mellitus,DB00819
acetazolamide,"Diabetes Mellitus, Type 1",DB00819
acetazolamide,Melanoma,DB00819
acetazolamide,Prostatic Neoplasms,DB00819
acetazolamide,"Pain, Postoperative",DB00819
acetazolamide,"Lung Diseases, Obstructive",DB00819
acetazolamide,"Pulmonary Disease, Chronic Obstructive",DB00819
acetazolamide,Orthostatic Intolerance,DB00819
acetazolamide,Tachycardia,DB00819
acetazolamide,Congenital Disorders of Glycosylation,DB00819
acetazolamide,Hydrocephalus,DB00819
acetazolamide,"Hydrocephalus, Normal Pressure",DB00819
acetazolamide,Status Epilepticus,DB00819
acetazolamide,Landau-Kleffner Syndrome,DB00819
acetazolamide,Syndrome,DB00819
acetazolamide,Intracranial Hypertension,DB00819
acetazolamide,Pseudotumor Cerebri,DB00819
acetazolamide,Hypertension,DB00819
acetazolamide,Polycythemia,DB00819
acetazolamide,Glaucoma,DB00819
acetazolamide,"Hypotension, Orthostatic",DB00819
acetazolamide,Pure Autonomic Failure,DB00819
acetazolamide,Hypotension,DB00819
acetazolamide,Respiratory Aspiration,DB00819
acetazolamide,"Hypertension, Pulmonary",DB00819
acetazolamide,Sleep Wake Disorders,DB00819
acetazolamide,Parasomnias,DB00819
acetazolamide,Disease,DB00819
acetazolamide,Lung Diseases,DB00819
acetazolamide,Hypoventilation,DB00819
acetazolamide,Obesity Hypoventilation Syndrome,DB00819
acetazolamide,Alkalosis,DB00819
acetazolamide,Chronic Disease,DB00819
acetazolamide,Neurocysticercosis,DB00819
acetazolamide,Cysticercosis,DB00819
acetazolamide,Taeniasis,DB00819
acetazolamide,Heart Failure,DB00819
acetazolamide,Macular Edema,DB00819
acetazolamide,Retinal Vein Occlusion,DB00819
acetazolamide,Edema,DB00819
acetazolamide,Glioma,DB00819
acetazolamide,Neural Tube Defects,DB00819
acetazolamide,Spina Bifida Occulta,DB00819
acetazolamide,"Sleep Apnea, Central",DB00819
acetazolamide,Apnea,DB00819
acetazolamide,Multiple Sclerosis,DB00819
acetazolamide,Sclerosis,DB00819
acetazolamide,Lung Neoplasms,DB00819
acetazolamide,Small Cell Lung Carcinoma,DB00819
acetazolamide,Schizophrenia,DB00819
acetazolamide,Mood Disorders,DB00819
acetazolamide,Psychotic Disorders,DB00819
acetazolamide,Kidney Diseases,DB00819
acetazolamide,Retinal Artery Occlusion,DB00819
acetazolamide,Hypoxia,DB00819
acetazolamide,Andersen Syndrome,DB00819
acetazolamide,Macular Degeneration,DB00819
acetazolamide,Diabetic Retinopathy,DB00819
acetazolamide,Ocular Hypertension,DB00819
acetazolamide,Subarachnoid Hemorrhage,DB00819
acetazolamide,Stroke,DB00819
acetazolamide,Hemorrhage,DB00819
acipimox,Diabetes Mellitus,DB09055
acipimox,"Diabetes Mellitus, Type 2",DB09055
acipimox,Heart Failure,DB09055
acipimox,Obesity,DB09055
acipimox,Insulin Resistance,DB09055
acipimox,Hypertriglyceridemia,DB09055
acipimox,"Obesity, Abdominal",DB09055
acipimox,"Diabetes Mellitus, Type 1",DB09055
acipimox,Metabolic Syndrome,DB09055
acipimox,Syndrome,DB09055
acipimox,Bulimia,DB09055
acipimox,Feeding and Eating Disorders,DB09055
acipimox,Bulimia Nervosa,DB09055
ACY-1215,Multiple Myeloma,DB12376
ACY-1215,"Neoplasms, Plasma Cell",DB12376
ACY-1215,Fallopian Tube Neoplasms,DB12376
ACY-1215,Nervous System Diseases,DB12376
ACY-1215,Peripheral Nervous System Diseases,DB12376
ACY-1215,Diabetic Neuropathies,DB12376
ACY-1215,Pain,DB12376
ACY-1215,Lymphoma,DB12376
ACY-1215,Neoplasms,DB12376
ACY-1215,Leukemia,DB12376
ACY-1215,"Leukemia, Lymphoid",DB12376
ACY-1215,"Leukemia, Lymphocytic, Chronic, B-Cell",DB12376
ACY-1215,Cholangiocarcinoma,DB12376
ACY-1215,Bile Duct Neoplasms,DB12376
ACY-1215,Klatskin Tumor,DB12376
ACY-1215,"Carcinoma, Ductal",DB12376
ACY-1215,Breast Neoplasms,DB12376
acyclovir,Lung Neoplasms,DB00787
acyclovir,"Carcinoma, Non-Small-Cell Lung",DB00787
acyclovir,Multiple Sclerosis,DB00787
acyclovir,"Multiple Sclerosis, Chronic Progressive",DB00787
acyclovir,Sclerosis,DB00787
acyclovir,Herpes Labialis,DB00787
acyclovir,Glioma,DB00787
acyclovir,Herpes Simplex,DB00787
acyclovir,Infections,DB00787
acyclovir,Chickenpox,DB00787
acyclovir,Communicable Diseases,DB00787
acyclovir,Acquired Immunodeficiency Syndrome,DB00787
acyclovir,HIV Infections,DB00787
acyclovir,Cytomegalovirus Infections,DB00787
acyclovir,Herpes Zoster,DB00787
acyclovir,Prostatic Neoplasms,DB00787
acyclovir,Herpes Genitalis,DB00787
acyclovir,Coinfection,DB00787
acyclovir,Virus Diseases,DB00787
acyclovir,Varicella Zoster Virus Infection,DB00787
acyclovir,Kidney Diseases,DB00787
acyclovir,Critical Illness,DB00787
acyclovir,Ulcer,DB00787
acyclovir,Sexually Transmitted Diseases,DB00787
acyclovir,Vertigo,DB00787
acyclovir,Meniere Disease,DB00787
acyclovir,Neutropenia,DB00787
acyclovir,Neonatal Sepsis,DB00787
acyclovir,Premature Birth,DB00787
acyclovir,Lymphoma,DB00787
acyclovir,"Lymphoma, Non-Hodgkin",DB00787
acyclovir,"Lymphoma, Large B-Cell, Diffuse",DB00787
acyclovir,Carcinoma,DB00787
acyclovir,Nasopharyngeal Carcinoma,DB00787
acyclovir,Leukemia,DB00787
acyclovir,Precursor Cell Lymphoblastic Leukemia-Lymphoma,DB00787
acyclovir,"Leukemia, Lymphoid",DB00787
acyclovir,Philadelphia Chromosome,DB00787
adapalene,Acne Vulgaris,DB00210
adapalene,Molluscum Contagiosum,DB00210
adapalene,Skin Manifestations,DB00210
adapalene,Skin Diseases,DB00210
adapalene,Purpura,DB00210
adapalene,Warts,DB00210
adapalene,Foot Diseases,DB00210
adapalene,Atrophy,DB00210
adapalene,Inflammation,DB00210
adenosine,Atrial Fibrillation,DB00640
adenosine,Myocardial Infarction,DB00640
adenosine,Myocardial Ischemia,DB00640
adenosine,Infarction,DB00640
adenosine,Ischemia,DB00640
adenosine,Alzheimer Disease,DB00640
adenosine,Leukemia,DB00640
adenosine,"Leukemia, Myeloid",DB00640
adenosine,"Leukemia, Myeloid, Acute",DB00640
adenosine,Angina Pectoris,DB00640
adenosine,Heart Failure,DB00640
adenosine,Neoplasms,DB00640
adenosine,Carcinoma,DB00640
adenosine,Pancreatic Neoplasms,DB00640
adenosine,"Carcinoma, Renal Cell",DB00640
adenosine,COVID-19,DB00640
adenosine,Respiratory Distress Syndrome,DB00640
adenosine,"Respiratory Distress Syndrome, Newborn",DB00640
adenosine,Acute Lung Injury,DB00640
adenosine,Vascular Diseases,DB00640
adenosine,Tachycardia,DB00640
adenosine,"Tachycardia, Ventricular",DB00640
adenosine,"Tachycardia, Supraventricular",DB00640
adenosine,Breast Neoplasms,DB00640
adenosine,Triple Negative Breast Neoplasms,DB00640
adenosine,Liver Diseases,DB00640
adenosine,Coronary Artery Disease,DB00640
adenosine,"Carcinoma, Hepatocellular",DB00640
adenosine,Neuralgia,DB00640
adenosine,Heart Diseases,DB00640
adenosine,ST Elevation Myocardial Infarction,DB00640
adenosine,"Angina, Stable",DB00640
adenosine,Coronary Disease,DB00640
adenosine,Hyperemia,DB00640
adenosine,Rhinitis,DB00640
adenosine,"Rhinitis, Allergic",DB00640
adenosine,Atherosclerosis,DB00640
adenosine,Inflammation,DB00640
adenosine,Takotsubo Cardiomyopathy,DB00640
adenosine,Syndrome,DB00640
adenosine,Lung Neoplasms,DB00640
adenosine,"Carcinoma, Non-Small-Cell Lung",DB00640
adenosine,Coronary Stenosis,DB00640
adenosine,Renal Insufficiency,DB00640
adenosine,"Leukemia, Lymphoid",DB00640
adenosine,"Leukemia, Lymphocytic, Chronic, B-Cell",DB00640
adenosine,Acute Coronary Syndrome,DB00640
adenosine,Cardiomyopathies,DB00640
adenosine,Myelodysplastic Syndromes,DB00640
adenosine,Pathologic Processes,DB00640
adenosine,Glaucoma,DB00640
adenosine,"Glaucoma, Open-Angle",DB00640
adenosine,Ocular Hypertension,DB00640
adenosine,Hypertension,DB00640
adenosine,Bradycardia,DB00640
adenosine,Atrioventricular Block,DB00640
adenosine,Reperfusion Injury,DB00640
adenosine,"Heart Defects, Congenital",DB00640
adenosine,Myocardial Reperfusion Injury,DB00640
adenosine,Congenital Abnormalities,DB00640
afatinib,"Carcinoma, Non-Small-Cell Lung",DB08916
afatinib,Diarrhea,DB08916
afatinib,Carcinoma,DB08916
afatinib,"Carcinoma, Squamous Cell",DB08916
afatinib,Squamous Cell Carcinoma of Head and Neck,DB08916
afatinib,Recurrence,DB08916
afatinib,Lung Neoplasms,DB08916
afatinib,Esophageal Neoplasms,DB08916
afatinib,Esophageal Squamous Cell Carcinoma,DB08916
afatinib,Lymphoma,DB08916
afatinib,Neoplasms,DB08916
afatinib,Multiple Myeloma,DB08916
afatinib,"Neoplasms, Plasma Cell",DB08916
afatinib,"Neoplasms, Squamous Cell",DB08916
afatinib,Head and Neck Neoplasms,DB08916
afatinib,Pancreatic Neoplasms,DB08916
afatinib,"Carcinoma, Ductal",DB08916
afatinib,Rhabdomyosarcoma,DB08916
afatinib,Neuroectodermal Tumors,DB08916
afatinib,"Neuroectodermal Tumors, Primitive",DB08916
afatinib,Breast Neoplasms,DB08916
afatinib,Neoplasm Metastasis,DB08916
afatinib,Brain Neoplasms,DB08916
afatinib,Sarcoma,DB08916
afatinib,Prostatic Neoplasms,DB08916
afatinib,"Lymphoma, Non-Hodgkin",DB08916
afatinib,Adenocarcinoma,DB08916
afatinib,Adenocarcinoma of Lung,DB08916
afatinib,Gallbladder Neoplasms,DB08916
afatinib,Urologic Neoplasms,DB08916
afatinib,Chordoma,DB08916
afatinib,Melanoma,DB08916
afatinib,Glioma,DB08916
afatinib,Colorectal Neoplasms,DB08916
afatinib,Endometrial Neoplasms,DB08916
afatinib,Ovarian Neoplasms,DB08916
afatinib,"Carcinoma, Ovarian Epithelial",DB08916
afatinib,Stomach Neoplasms,DB08916
afatinib,Urinary Bladder Neoplasms,DB08916
afatinib,Rectal Neoplasms,DB08916
afatinib,Colonic Neoplasms,DB08916
afatinib,Thyroid Neoplasms,DB08916
afatinib,Uterine Neoplasms,DB08916
afatinib,"Carcinoma, Hepatocellular",DB08916
afatinib,Skin Neoplasms,DB08916
afatinib,"Carcinoma, Renal Cell",DB08916
afatinib,Kidney Neoplasms,DB08916
afatinib,Thyroid Diseases,DB08916
afatinib,Thrombocytosis,DB08916
afatinib,Precursor Cell Lymphoblastic Leukemia-Lymphoma,DB08916
afatinib,"Leukemia, Lymphoid",DB08916
afatinib,"Leukemia, Lymphocytic, Chronic, B-Cell",DB08916
afatinib,Hodgkin Disease,DB08916
afatinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",DB08916
afatinib,Hematologic Neoplasms,DB08916
afatinib,"Leukemia, Myelomonocytic, Chronic",DB08916
afatinib,"Leukemia, Myelomonocytic, Juvenile",DB08916
afatinib,"Leukemia, Myeloid, Chronic-Phase",DB08916
afatinib,"Leukemia, Myeloid, Accelerated Phase",DB08916
afatinib,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",DB08916
afatinib,Blast Crisis,DB08916
afatinib,Myelodysplastic Syndromes,DB08916
afatinib,Primary Myelofibrosis,DB08916
afatinib,Myeloproliferative Disorders,DB08916
afatinib,Myelodysplastic-Myeloproliferative Diseases,DB08916
afatinib,Syndrome,DB08916
afatinib,Leukemia,DB08916
afatinib,"Leukemia, Myeloid",DB08916
afatinib,"Leukemia, Myeloid, Acute",DB08916
afatinib,Preleukemia,DB08916
afatinib,Glioblastoma,DB08916
afatinib,Disease Progression,DB08916
afatinib,Urethral Neoplasms,DB08916
afatinib,Ureteral Neoplasms,DB08916
afatinib,Liver Diseases,DB08916
afatinib,Inflammatory Breast Neoplasms,DB08916
afatinib,Meningeal Neoplasms,DB08916
afatinib,Renal Insufficiency,DB08916
afatinib,"Cystadenocarcinoma, Serous",DB08916
afatinib,"Neoplasms, Second Primary",DB08916
afatinib,Small Cell Lung Carcinoma,DB08916
afatinib,Triple Negative Breast Neoplasms,DB08916
afatinib,Gastrointestinal Neoplasms,DB08916
afatinib,Digestive System Neoplasms,DB08916
afatinib,Endometriosis,DB08916
agomelatine,Disease,DB06594
agomelatine,Compulsive Personality Disorder,DB06594
agomelatine,Obsessive-Compulsive Disorder,DB06594
agomelatine,Depressive Disorder,DB06594
agomelatine,"Depressive Disorder, Treatment-Resistant",DB06594
agomelatine,Renal Insufficiency,DB06594
agomelatine,Liver Diseases,DB06594
agomelatine,Depression,DB06594
agomelatine,"Depressive Disorder, Major",DB06594
agomelatine,Psychophysiologic Disorders,DB06594
agomelatine,Schizophrenia,DB06594
agomelatine,Anxiety Disorders,DB06594
agomelatine,Somatoform Disorders,DB06594
albendazole,Hookworm Infections,DB00518
albendazole,Ancylostomiasis,DB00518
albendazole,Trichuriasis,DB00518
